;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;11541;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;11467;;;;;;;;;;;;;;;;;;;;;;11259;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;7.692747595528983;0.02443462438263582;0.029113595009098;1.0174161684429426;4.698986223030933;9.29139589290356;0.2886231695693614;6.429858764405164;0.019409063339398666;0.005892037085174595;0.05788059960142102;3.8515726540161164;8.535742136729919;22.001039771250326;0.03751841261589117;0.6761979031279786;0.5938826791439217;0.8870981717355515;0.0012997140629061607;0.28411749415128673;0.0017329520838748808;;1.6664933714582792;1.025041157611992;2.5522918291309247;5.727579932414868;0.33636599948011436;0.9490512087340786;0.221731219131791;0.08006238627501949;0.13569014816740319;0.007365046356468244;0.07867602460791959;1.5367819079802443;0.8706351269387401;1.3718048695953557;0.20483493631401092;0.20500823152239842;0.0006931808335499523;0.0;0.0;10.273199896022875;1.1038904774282992;0.05484793345463998;0.5566283010316263;0.4394807401616844;0.05276839095399012;0.03795165063685989;0.4524737890997314;0.5147734165150334;0.5302833376657136;0.3055194523871415;0.19218438610172428;0.20925396412789185;0.11714756086994195;0.6534095832250238;0.6431851659301621;3.0667186552291827;0.9771250324928515;2.7049649077203015
std;;47.83275355042918;0.18503581458661209;0.19575606262691936;1.7410205216150765;8.600483028930373;244.11513553342033;0.5031612562134387;43.09358088195524;0.3536945839787104;0.15341274892233409;0.7222231084122355;7.903439919503853;16.48383091581132;117.83303332435965;1.5429931784174375;3.7590900983832998;3.3812041392520626;4.175980347729729;0.03835945140444463;1.7312345885962386;0.04159445720131431;;2.79897438796805;1.7501612479673103;4.819422826941595;9.749565654047982;0.7550079590303339;2.336212589719061;0.5162514711618307;0.37444613691758494;0.6422116538309454;0.0951027771417744;0.5876075932789077;5.594420624275813;5.719496425613886;3.1675563038411827;1.1786580732344893;0.5509524228908111;0.03722903787530091;0.0;0.0;14.079440376339702;9.799207848814119;0.42539422618435835;3.087298986119829;0.6536906569848038;0.48180625361582;0.34017239703890906;0.6635588803084115;2.4689182429780647;0.8070672442226934;1.8765805218577358;0.4332112800230399;0.9045260580304352;3.0261371023742494;1.5114134905509542;1.4142330632295905;7.662727016127997;1.1818955271674754;7.822646353470931
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;5.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;3.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;15.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
max;;2025.0;5.0;4.0;53.0;158.0;10000.0;3.0;1989.0;16.0;9.0;27.0;134.0;298.0;3695.0;138.0;94.0;89.0;82.0;2.0;50.0;1.0;;27.0;55.0;57.0;194.0;18.0;32.0;17.0;9.0;23.0;2.0;20.0;212.0;254.0;47.0;38.0;7.0;3.0;0.0;0.0;115.0;1028.0;13.0;289.055555556;14.0;24.0;17.0;14.0;64.0;11.0;58.0;13.0;32.0;289.0;52.0;55.0;148.0;7.0;162.0
