;ClassDataAbstractionCoupling_75%;NCSSForThisFile_mean;NestedTryDepth_min;FileLength_mean;NCSSForThisFile_count;BooleanExpressionComplexity_std;NCSSForThisClass_mean;AnonymousInnerClassLength_mean;CyclomaticComplexity_mean;NumberOfMethods_Checkstyle_mean;CyclomaticComplexity_50%;NumberOfPackageMethod_count;NumberOfPackageMethod_std;NumberOfPrivateMethod_max;NumberOfProtectedMethod_count;FileLength_50%;NCSSForThisClass_25%;NumberOfPackageMethod_mean;ClassFanOutComplexity_75%;CyclomaticComplexity_count;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_count;NumberOfPublicMethods_Checkstyle_std;NumberOfProtectedMethod_std;AnonymousInnerClassLength_75%;NPathComplexity_max;ThrowsCount_50%;ClassFanOutComplexity_max;ClassDataAbstractionCoupling_mean;NCSSForThisClass_max;NumberOfPrivateMethod_std;NCSSForThisMethod_50%;MethodLength_50%;NPathComplexity_std;NumberOfPublicMethods_Checkstyle_50%;FileLength_min;FileLength_25%;ClassFanOutComplexity_count;NestedTryDepth_25%;NCSSForThisFile_25%;NumberOfMethods_Checkstyle_25%;NCSSForThisFile_max;NPathComplexity_50%;MethodLength_count;ThrowsCount_min;NPathComplexity_count;ExecutableStatementCount_max;NumberOfPackageMethod_25%;AnonymousInnerClassLength_count;AnonymousInnerClassLength_50%;CyclomaticComplexity_min;NCSSForThisClass_std;NumberOfMethods_Checkstyle_75%;NestedTryDepth_count;AnonymousInnerClassLength_min;ClassFanOutComplexity_min;ClassFanOutComplexity_25%;ExecutableStatementCount_mean;ClassDataAbstractionCoupling_max;NCSSForThisClass_min;NumberOfPackageMethod_max;CyclomaticComplexity_std;NumberOfProtectedMethod_50%;CyclomaticComplexity_25%;ThrowsCount_75%;NCSSForThisMethod_25%;NCSSForThisMethod_max;NestedForDepth_mean;FileLength_max;NCSSForThisClass_75%;NestedIfElseDepth_mean;NestedForDepth_max;NumberOfProtectedMethod_max;BooleanExpressionComplexity_max;NumberOfMethods_Checkstyle_min;ExecutableStatementCount_50%;NumberOfMethods_Checkstyle_max;NestedTryDepth_75%;CyclomaticComplexity_75%;ThrowsCount_max;MethodLength_std;FileLength_std;NumberOfProtectedMethod_min;ThrowsCount_mean;NumberOfPublicMethods_Checkstyle_25%;NestedForDepth_min;ClassFanOutComplexity_50%;BooleanExpressionComplexity_count;CyclomaticComplexity_max;NCSSForThisMethod_count;ExecutableStatementCount_75%;NumberOfPrivateMethod_50%;Bugged;NumberOfPublicMethods_Checkstyle_max;BooleanExpressionComplexity_mean;ExecutableStatementCount_25%;ExecutableStatementCount_count;BooleanExpressionComplexity_25%;NPathComplexity_75%;ClassDataAbstractionCoupling_25%;NumberOfPackageMethod_min;ClassDataAbstractionCoupling_count;AnonymousInnerClassLength_max;BooleanExpressionComplexity_50%;NCSSForThisMethod_mean;ThrowsCount_std;NestedIfElseDepth_max;NumberOfPublicMethods_Checkstyle_75%;NCSSForThisMethod_std;NumberOfPrivateMethod_min;NCSSForThisFile_min;NestedForDepth_50%;NumberOfPackageMethod_50%;AnonymousInnerClassLength_25%;NumberOfMethods_Checkstyle_50%;MethodLength_min;NCSSForThisMethod_75%;ClassDataAbstractionCoupling_std;NestedIfElseDepth_std;NCSSForThisFile_std;NestedTryDepth_50%;MethodLength_75%;NCSSForThisFile_75%;NestedTryDepth_mean;NCSSForThisFile_50%;FileLength_count;NPathComplexity_25%;NCSSForThisMethod_min;NestedTryDepth_std;NCSSForThisClass_count;AnonymousInnerClassLength_std;ExecutableStatementCount_min;BooleanExpressionComplexity_75%;ClassFanOutComplexity_mean;NumberOfProtectedMethod_mean;NumberOfPublicMethods_Checkstyle_min;NumberOfPackageMethod_75%;ThrowsCount_count;NestedIfElseDepth_25%;ExecutableStatementCount_std;MethodLength_mean;NPathComplexity_min;NumberOfProtectedMethod_75%;NCSSForThisClass_50%;NestedForDepth_25%;NumberOfPrivateMethod_count;NumberOfProtectedMethod_25%;NestedIfElseDepth_min;NestedTryDepth_max;NestedForDepth_std;MethodLength_25%;NumberOfMethods_Checkstyle_count;NestedForDepth_75%;ClassFanOutComplexity_std;NestedIfElseDepth_count;NumberOfPrivateMethod_25%;ThrowsCount_25%;NPathComplexity_mean;NumberOfPrivateMethod_75%;NestedIfElseDepth_75%;BooleanExpressionComplexity_min;MethodLength_max;NumberOfPublicMethods_Checkstyle_mean;NestedForDepth_count;NumberOfPrivateMethod_mean;ClassDataAbstractionCoupling_min;NumberOfMethods_Checkstyle_std;FileLength_75%;ClassDataAbstractionCoupling_50%
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.5456223628691983;11.643594299213618;0.0010548523206751054;42.44662418610242;5.918248945147679;0.06456088941448386;8.46126502824845;0.07552729996372942;1.6941299600005983;0.8411346315568972;1.4818037974683544;5.918248945147679;0.013900247122925978;0.544831223628692;5.918248945147679;25.904535864978904;3.4073048523206753;0.00499489025575801;2.0940137130801686;5.918248945147679;0.023206751054852322;5.918248945147679;1.3794531415454;0.062360645971375785;0.041666666666666664;141.56276371308016;0.3668248945147679;8.1165611814346;0.6224610380775807;54.108122362869196;0.15071799740767053;5.891613924050633;11.995253164556962;37.028713241524976;0.2879746835443038;20.65717299578059;23.280854430379748;5.918248945147679;0.002241561181434599;5.2650316455696204;0.3183016877637131;66.72995780590718;9.157172995780591;5.918248945147679;0.20675105485232068;5.918248945147679;11.572257383966244;0.0;5.918248945147679;0.012130801687763712;1.1988396624472575;15.304335251946878;0.58082805907173;5.918248945147679;0.008966244725738396;1.1872362869198312;1.3659018987341771;5.5017146810284645;2.446729957805907;2.857594936708861;0.04430379746835443;0.691722633890532;0.07779535864978902;1.3148734177215189;0.43789556962025317;4.833860759493671;13.60548523206751;0.006990679209222065;196.71149789029536;5.890954641350211;0.04219846856193119;0.024789029535864978;0.2563291139240506;0.17563291139240506;0.26529535864978904;4.698312236286919;5.7674050632911396;0.008570675105485231;1.8585179324894514;0.5479957805907173;7.941339628846961;55.90721781978183;0.07172995780590717;0.3665653739952534;0.24063818565400844;0.0031645569620253164;1.5437763713080168;5.918248945147679;3.0796413502109705;5.918248945147679;6.3979430379746836;0.0058016877637130804;;4.95042194092827;0.04603555958319376;3.7473628691983123;5.918248945147679;0.014767932489451477;11.338080168776372;0.35548523206751054;0.0;5.918248945147679;0.5970464135021097;0.02109704641350211;6.802485506909319;0.1549861179024812;0.1518987341772152;0.4721782700421941;3.526138800352976;0.0;4.4825949367088604;0.0050105485232067514;0.0;0.010548523206751054;0.3715717299578059;7.555379746835443;7.805775316455696;0.7412447520271249;0.053199927039608796;19.077561303226837;0.003955696202531646;16.40268987341772;8.669831223628693;0.007078014587847161;6.0474683544303796;5.918248945147679;8.631065400843882;3.827004219409283;0.01068782315120529;5.918248945147679;0.17697407343469;2.8143459915611815;0.053401898734177215;2.2988608906845007;0.09727625423181398;0.19356540084388185;0.0018459915611814346;5.918248945147679;0.015031645569620253;3.15097238016765;14.146027646842386;8.202004219409282;0.09018987341772151;3.9591244725738397;0.004087552742616034;5.918248945147679;0.0747626582278481;0.011075949367088608;0.02689873417721519;0.007880303499409177;9.775712025316455;5.918248945147679;0.006724683544303798;2.5188186299377766;5.918248945147679;0.0029008438818565402;0.28968881856540085;20.929437157261525;0.015822784810126583;0.05195147679324894;0.011075949367088608;29.178270042194093;0.6912642978306601;5.918248945147679;0.04894098884314847;0.30854430379746833;1.599372549153056;34.745648734177216;0.40189873417721517
std;1.4827377277146123;11.302862009638504;0.03246991946977937;44.33516709088876;9.466684496119822;0.22311445022521226;8.705041318896187;0.5884762820863023;1.837095869272825;0.3692949514340854;1.7283332265391376;9.466684496119822;0.13497900630453807;2.036369751713759;9.466684496119822;48.28149768796437;7.291721779211883;0.054373340076679634;3.2118620476297646;9.466684496119822;0.15406352209703225;9.466684496119822;1.572871339092055;0.3091587164505115;0.5303870908487143;1040.01624214309;0.4972872509477133;9.640701974104935;1.3608356644162563;108.6227837413161;0.4755758831681198;7.071328136602806;20.448267401537766;287.5992032746601;0.4520640571421204;47.38025129073529;47.03419471303686;9.466684496119822;0.04174917795774161;10.503757880074144;0.4417403405412844;119.46381472302664;232.71444408712483;9.466684496119822;0.40638283839814543;9.466684496119822;17.52203438656621;0.0;9.466684496119822;0.2585947324528064;1.4608410934799427;22.63331665042377;0.6158849736466415;9.466684496119822;0.2396650849616813;2.6649816583094594;2.6725510880197496;6.954389297120435;4.435085571230431;7.195701979867335;0.4149441142474879;1.5263471131613693;0.26420107537961435;1.549941793037688;0.5386755492872184;6.065769310599812;19.098700766066802;0.07402483049288595;284.8798656114353;9.819176955339149;0.16415566724259334;0.16538898836758437;1.1063319914329637;0.5360434750347685;0.44636109156475456;6.411337031582119;9.392031249608404;0.09554240802191342;2.187709725839591;0.5882007734186186;15.36510361169762;65.33188526962033;0.25810832617598806;0.4401464775056998;0.40324954973850297;0.0648969658650106;2.843950814063672;9.466684496119822;4.552535560499643;9.466684496119822;8.535302353636554;0.05596918410794745;;8.655754096411517;0.2012150186645298;5.473333618981038;9.466684496119822;0.1494695950237622;234.02945549067576;1.290267598921498;0.0;9.466684496119822;5.0828566677576745;0.1825589407022342;7.671771304993705;0.25754621697451197;0.4885243325699435;0.5919846784300228;6.561107040954089;0.0;10.423370980787332;0.07337473769230117;0.0;0.24450588754194208;0.4875644690446479;17.379759329967417;9.453274600108575;1.3254274200330278;0.1794809028012694;25.87699705185307;0.06586278323573384;24.850971868060775;13.496763793601021;0.06483082069932972;11.37596243365255;9.466684496119822;232.6928600399834;5.533551173805302;0.07676401195948485;9.466684496119822;1.3691571989994817;4.973632310326823;0.26743239004849906;2.682915181259771;0.2802388246342139;0.40050199232013645;0.04444639847598391;9.466684496119822;0.12305821198232987;5.945373412496205;21.35918718988887;232.69071008664008;0.28927854180184615;7.971356444183385;0.06709510229991263;9.466684496119822;0.2592254478657816;0.11432353539757276;0.1743864700232124;0.060190289803316525;18.563302650592693;9.466684496119822;0.08195101273337904;3.199407363762276;9.466684496119822;0.027984592053973724;0.44258828340020673;253.55172530113137;0.10564618716813316;0.23215496091284782;0.13149717346659998;43.992166157539685;0.4283443369260424;9.466684496119822;0.14484598158500397;1.2770558121619067;1.7029331180181206;51.47009353546871;1.3503157384233337
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;4.0;0.0;19.0;1.0;0.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;4.75;0.0;2.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;52.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.15109890109890112;1.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;9.0;0.0;35.5;2.0;0.0;6.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.224744871391589;0.0;0.0;1.0;0.0;5.0;0.08452380952380953;17.0;0.0;3.0;4.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;27.0;1.0;2.0;0.0;2.0;5.0;0.0;2.0;0.0;1.0;7.035533905932738;0.0;2.0;0.0;0.0;0.0;2.5166666666666666;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;7.0;0.0;103.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;45.55533563299022;0.0;0.03774928774928775;0.0;0.0;0.0;2.0;1.0;2.0;2.5;0.0;;2.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;3.7179487179487176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;4.0;0.0;0.0;9.192388155425117;0.0;6.5;0.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;1.4330357142857144;0.0;0.0;0.0;2.0;0.0;0.0;6.29020979020979;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;1.311371511385829;2.0;0.0;0.0;1.0;0.0;0.0;0.0;12.0;1.0;2.0;0.0;0.0;1.4142135623730951;0.0;0.0
75%;0.0;16.5;0.0;53.0;8.0;0.0;12.035714285714285;0.0;2.0;1.0;2.0;8.0;0.0;0.0;8.0;48.0;4.0;0.0;3.0;8.0;0.0;8.0;2.333333333333333;0.0;0.0;6.0;1.0;11.0;0.7;61.0;0.0;8.5;18.0;1.6416685556741868;1.0;42.0;44.3125;8.0;0.0;7.0;1.0;77.25;2.0;8.0;0.0;8.0;16.0;0.0;8.0;0.0;1.0;23.730866957946613;1.0;8.0;0.0;1.0;2.0;8.209523809523809;3.0;3.0;0.0;0.9047632389884462;0.0;1.0;1.0;6.5625;19.0;0.0;252.0;8.0;0.0;0.0;0.0;0.0;1.0;7.0;8.0;0.0;2.0;1.0;10.597757967105963;92.53274708385943;0.0;0.8571428571428571;0.5;0.0;2.0;8.0;4.0;8.0;10.0;0.0;;6.0;0.0;5.0;8.0;0.0;2.5;0.0;0.0;8.0;0.0;0.0;10.0;0.3535533905932738;0.0;1.0;5.0;0.0;5.0;0.0;0.0;0.0;1.0;5.0;11.75;1.0;0.0;30.893303567122828;0.0;24.0;11.0;0.0;8.0;8.0;1.0;3.25;0.0;8.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;8.0;0.0;4.5;20.25;1.0;0.0;5.0;0.0;8.0;0.0;0.0;0.0;0.0;12.75;8.0;0.0;4.12512477820189;8.0;0.0;1.0;2.5;0.0;0.0;0.0;41.0;1.0;8.0;0.0;0.0;2.666666666666667;53.25;0.0
