;NumberOfLambdas_max;LOCMethod_CK_50%;NumberOfModifiers_50%;MaxNumberOfNestedBlocks_std;NumberOfNumbers_50%;NumberOfAssignments_max;IsConstructor_freq;LOCMethod_CK_75%;NumberOfInnerClasses_75%;NumberOfModifiers_min;NumberOfVariables_count;NumberOfTryCatch_50%;RFC_count;NumberOfComparisons_std;Returns_25%;WMC_CK_max;NumberOfAnonymousClasses_mean;WMC_CK_50%;Returns_min;NumberOfAssignments_75%;NumberOfTryCatch_max;CBO_75%;NumberOfLambdas_count;NumberOfLogStatements_25%;NumberOfParenthesizedExps_min;NumberOfAnonymousClasses_50%;RFC_std;NumberOfParameters_CK_25%;NumberOfNumbers_min;NumberOfInnerClasses_max;CBO_max;NumberOfLogStatements_50%;CBO_count;RFC_max;CBO_50%;IsConstructor_top;NumberOfInnerClasses_25%;RFC_25%;NumberOfAssignments_min;MaxNumberOfNestedBlocks_max;NumberOfAnonymousClasses_min;Returns_mean;LOCMethod_CK_std;NumberOfComparisons_max;NumberOfModifiers_mean;NumberOfUniqueWords_min;NumberOfParenthesizedExps_count;MaxNumberOfNestedBlocks_count;NumberOfComparisons_min;NumberOfUniqueWords_max;NumberOfModifiers_count;Returns_max;NumberOfParenthesizedExps_max;NumberOfMathOperations_count;NumberOfLoops_min;MaxNumberOfNestedBlocks_50%;NumberOfUniqueWords_75%;NumberOfUniqueWords_25%;NumberOfParenthesizedExps_25%;NumberOfAssignments_mean;WMC_CK_count;NumberOfParenthesizedExps_mean;LOCMethod_CK_max;NumberOfStringLiterals_max;NumberOfLogStatements_mean;NumberOfTryCatch_75%;NumberOfUniqueWords_std;LOCMethod_CK_count;NumberOfStringLiterals_std;NumberOfLoops_max;NumberOfStringLiterals_min;NumberOfMathOperations_75%;NumberOfInnerClasses_mean;NumberOfAssignments_50%;Returns_50%;NumberOfLogStatements_max;NumberOfVariables_std;NumberOfTryCatch_min;NumberOfParameters_CK_std;NumberOfMathOperations_std;NumberOfMathOperations_max;NumberOfParameters_CK_max;WMC_CK_75%;NumberOfLambdas_75%;IsConstructor_count;NumberOfVariables_max;NumberOfMathOperations_min;NumberOfInnerClasses_count;NumberOfParenthesizedExps_std;NumberOfVariables_50%;NumberOfNumbers_25%;NumberOfParameters_CK_count;NumberOfUniqueWords_count;NumberOfStringLiterals_75%;NumberOfMathOperations_25%;NumberOfLambdas_mean;NumberOfLoops_50%;NumberOfModifiers_std;NumberOfTryCatch_std;WMC_CK_min;NumberOfComparisons_50%;LOCMethod_CK_mean;LOCMethod_CK_25%;NumberOfLogStatements_75%;NumberOfUniqueWords_mean;RFC_50%;Bugged;NumberOfModifiers_max;IsConstructor_unique;NumberOfNumbers_mean;NumberOfParenthesizedExps_50%;MaxNumberOfNestedBlocks_min;NumberOfStringLiterals_mean;NumberOfNumbers_count;NumberOfNumbers_max;NumberOfLambdas_std;NumberOfAnonymousClasses_75%;NumberOfComparisons_mean;NumberOfAssignments_count;NumberOfParenthesizedExps_75%;NumberOfModifiers_75%;NumberOfNumbers_75%;NumberOfLoops_75%;NumberOfStringLiterals_50%;NumberOfLambdas_50%;RFC_mean;NumberOfAnonymousClasses_count;NumberOfParameters_CK_mean;NumberOfStringLiterals_count;NumberOfMathOperations_50%;NumberOfComparisons_75%;NumberOfComparisons_count;NumberOfComparisons_25%;NumberOfNumbers_std;NumberOfLogStatements_count;NumberOfLogStatements_std;WMC_CK_std;CBO_std;NumberOfParameters_CK_50%;NumberOfVariables_25%;WMC_CK_25%;NumberOfAssignments_std;NumberOfParameters_CK_min;NumberOfModifiers_25%;Returns_std;NumberOfTryCatch_count;NumberOfAnonymousClasses_std;CBO_25%;NumberOfVariables_mean;NumberOfLoops_mean;CBO_min;NumberOfTryCatch_25%;NumberOfStringLiterals_25%;NumberOfLambdas_25%;NumberOfUniqueWords_50%;WMC_CK_mean;MaxNumberOfNestedBlocks_25%;NumberOfLambdas_min;Returns_count;RFC_75%;NumberOfLogStatements_min;MaxNumberOfNestedBlocks_75%;NumberOfTryCatch_mean;NumberOfLoops_count;NumberOfLoops_std;CBO_mean;RFC_min;LOCMethod_CK_min;NumberOfVariables_75%;NumberOfInnerClasses_std;NumberOfLoops_25%;NumberOfVariables_min;NumberOfInnerClasses_min;NumberOfParameters_CK_75%;NumberOfAnonymousClasses_max;NumberOfAnonymousClasses_25%;NumberOfMathOperations_mean;NumberOfAssignments_25%;Returns_75%;MaxNumberOfNestedBlocks_mean;NumberOfInnerClasses_50%
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;7.269251054852321;5.055116033755274;0.3035828093827088;1.6455696202531647;4.238396624472574;5.709388185654008;9.638053797468354;0.0;1.9140295358649788;5.868670886075949;0.0893987341772152;5.868670886075949;0.25421890165915906;0.2410337552742616;3.0026371308016877;0.005040588796275668;1.3984704641350212;0.1550632911392405;2.2899525316455698;0.4161392405063291;2.7871835443037973;5.868670886075949;0.08306962025316456;0.06381856540084388;0.0005274261603375527;1.962954975102231;0.44765295358649787;0.879746835443038;0.0;4.003164556962025;0.1115506329113924;5.868670886075949;6.92457805907173;2.261867088607595;;0.0;2.4778481012658227;0.8412447257383966;0.870253164556962;0.0005274261603375527;0.3911666133331312;4.3810382619033685;0.754746835443038;6.143258218662944;8.609177215189874;5.868670886075949;5.868670886075949;0.06540084388185655;23.369725738396625;5.868670886075949;0.8143459915611815;0.5353375527426161;5.868670886075949;0.0379746835443038;0.3043248945147679;16.700026371308017;11.576740506329115;0.0847837552742616;1.9081734508989514;5.868670886075949;0.1627626159825339;16.77373417721519;4.210970464135021;0.16477515879809843;0.16231540084388185;5.344952187163815;5.868670886075949;1.3040448270550768;0.36656118143459915;0.5796413502109705;0.323707805907173;0.0;1.6281645569620253;0.3618143459915612;0.5073839662447257;0.8726235102753738;0.043248945147679324;0.34980854878656664;0.29618807745316567;0.9493670886075949;1.2072784810126582;1.7743934599156117;0.0;5.868670886075949;2.8702531645569622;0.11550632911392406;5.868670886075949;0.17323033385133127;1.193301687763713;1.2575158227848102;5.868670886075949;5.868670886075949;1.9736286919831223;0.16033755274261605;0.0;0.0804324894514768;6.807432689541404;0.15096619120851631;1.1044303797468353;0.13185654008438819;8.404553851889169;5.993539029535865;0.18117088607594936;14.487665360503483;3.196729957805907;;17.147679324894515;1.0179324894514767;2.0305877573175235;0.10970464135021098;0.125;1.6371824466705667;5.868670886075949;4.389240506329114;0.0;0.003428270042194093;0.21817670316400536;5.868670886075949;0.17444620253164558;7.813686708860759;2.445279535864979;0.14978902953586498;1.337289029535865;0.0;3.566771454114447;5.868670886075949;0.6467547504521846;5.868670886075949;0.21598101265822786;0.24248417721518986;5.868670886075949;0.08860759493670886;1.4873237464605364;5.868670886075949;0.16599379224472866;0.7020480473168924;0.9851394224678318;0.5830696202531646;0.9018987341772152;1.2269251054852321;1.269404426404392;0.3512658227848101;3.2149261603375527;0.26502091971897834;5.868670886075949;0.010706489073856011;1.8728902953586497;1.3763806004771277;0.12006015140806076;1.3723628691983123;0.06342299578059071;0.9057225738396625;0.0;13.763976793248945;1.6089245240481402;0.20226793248945146;0.0;5.868670886075949;4.273206751054852;0.06592827004219409;0.4920886075949367;0.13708252121912298;5.868670886075949;0.12855251056421632;2.406627639422342;1.6856540084388185;4.746308016877637;1.6533491561181435;0.0;0.05155590717299578;0.6228902953586498;0.0;0.7749208860759493;0.031118143459915613;0.0005274261603375527;0.2973806551711317;1.207542194092827;0.4922204641350211;0.376141228474059;0.0
std;0.0;8.491274346013094;51.49255903605409;0.4667602035740588;18.471668711980975;6.29194084875161;9.320527261810387;11.309791025658697;0.0;23.59187940890911;9.381064942011877;0.38135774280640594;9.381064942011877;0.641623037441475;0.5047126583131865;4.536279252149358;0.04961818534362216;1.5961208854348619;0.45039495561661025;3.5262705074450773;0.9908995245094683;2.949967895726795;9.381064942011877;0.38062685056640244;0.659126292079963;0.02296576060873126;2.9733168387992746;0.7540977084579703;16.22494548784775;0.0;4.3774416338015785;0.4490723602828922;9.381064942011877;8.667052058145268;2.5463236461779823;;0.0;3.792921098472324;2.4092187352376677;1.2268074874794443;0.02296576060873126;0.6019977852899534;7.857574433055005;1.7378234162628123;48.098668707326986;9.533814291390446;9.381064942011877;9.381064942011877;0.32315259011081704;22.21694214651574;9.381064942011877;1.378433547307509;1.6808140357200376;9.381064942011877;0.2710926029214719;0.6027222921099911;14.834141563837782;10.871304831382897;0.7347602094226017;2.992565745251441;9.381064942011877;0.8461452394838745;22.78987336981385;10.771544939188788;0.5282395249731983;0.4946867751244271;7.31351626212892;9.381064942011877;3.7058443744374148;0.8832179048767991;2.380879657853601;1.3551936321207458;0.0;2.9466994203172936;0.5914051772855944;1.5748512723634198;1.5830433837944289;0.2963752759940049;0.5264620383434351;0.8368714781656323;2.73327383898781;1.5041787978550412;2.096760197506235;0.0;9.381064942011877;4.484984169042283;0.9970151003120056;9.381064942011877;0.6000852068915801;2.3591068623723124;17.12566591197287;9.381064942011877;9.381064942011877;5.3158016760307545;1.073550414679337;0.0;0.36429282008359565;58.46798978036508;0.3764482307417467;1.2883326208135497;0.47136240251078604;9.178199380101592;7.280634788972869;0.6769938988796501;12.311054246142056;4.4406445921205515;;121.45135219402353;0.5452555235311606;18.205404174896827;0.8626465489353424;0.43910138508688884;4.0532401812184276;9.381064942011877;26.32619350850288;0.0;0.05902781529708762;0.5258597403409044;9.381064942011877;1.0135270890139005;72.7924535337762;19.78045909826608;0.5325598635256176;3.9975621638219723;0.0;4.391818266994077;9.381064942011877;0.7994789433664766;9.381064942011877;1.201978530602686;0.6675499248177454;9.381064942011877;0.3687953176307999;9.509566558858468;9.381064942011877;0.6122849661603914;1.5507795832351106;1.4797466361454015;0.8256017345998066;2.0531368836711166;1.3910860155171105;2.1424153120814946;0.7220817756864739;30.900380769653705;0.5031641291347121;9.381064942011877;0.08839512529851706;2.3140321707286144;2.3409112244158026;0.37933330814036326;2.115792086980122;0.3249200305570506;2.7516567722234906;0.0;12.419580455419709;1.717726200975601;0.5066472379168865;0.0;9.381064942011877;5.380421308598705;0.3549565852859332;0.7716125489219222;0.38995708503529386;9.381064942011877;0.33610370057977795;2.5284125591059063;3.3400622329238874;6.605785189632365;2.7910029058576566;0.0;0.30140209739378365;1.8582152417113742;0.0;0.9305741944995868;0.2507656134618851;0.02296576060873126;1.198020510232339;2.6120617466169445;0.7879611149366689;0.589106864340111;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;3.0;1.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;0.0;6.0;1.0;0.0;0.0;1.0;0.0;0.0;6.0;4.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;6.0;0.0;;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.1362126245847176;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;4.0;1.0;0.0;0.0;1.0;2.0;5.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;4.0;1.0;;0.0;0.5;0.0;0.0;0.0;0.0;0.3535533905932738;0.0;1.0;6.0;2.0;2.0;0.0;17.0;2.0;0.0;0.0;2.0;0.0;0.0;13.0;8.0;0.0;0.6;2.0;0.0;8.0;1.0;0.0;0.0;2.5;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.816666666666666;3.0;0.0;11.5;1.0;;1.0;1.0;0.0;0.0;0.0;0.2;2.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.424812030075188;2.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.4409585518440984;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.08452380952380953;0.0;0.0;0.0;0.0;0.0;10.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;2.0;0.0;1.8333333333333333;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;10.0;1.0;0.5477225575051662;0.0;6.0;7.0;14.25;0.0;1.0;8.0;0.0;8.0;0.2587126534591515;0.25;4.0;0.0;1.5;0.0;3.0;1.0;4.25;8.0;0.0;0.0;0.0;3.1420719847962015;1.0;0.0;0.0;6.0;0.0;8.0;12.0;3.5;;0.0;4.0;0.0;1.0;0.0;0.7142857142857143;6.363961030678928;1.0;1.4392361111111112;11.0;8.0;8.0;0.0;34.0;8.0;1.0;0.0;8.0;0.0;0.5;25.0;16.25;0.0;2.75;8.0;0.0;24.0;3.0;0.0;0.0;8.486917564488426;8.0;1.114031457583754;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.3038404810405295;0.0;0.6080033223700279;0.23269570666200454;1.0;2.0;2.0;0.0;8.0;4.0;0.0;8.0;0.0;1.5;0.0;8.0;8.0;1.0;0.0;0.0;0.0;0.2359774023315263;0.0;1.0;0.0;12.4;8.0;0.0;21.0;5.0;;2.0;1.0;0.943125;0.0;0.0;1.0;8.0;2.0;0.0;0.0;0.16666666666666666;8.0;0.0;1.0;1.0;0.0;1.0;0.0;6.0;8.0;1.0;8.0;0.0;0.0;8.0;0.0;0.5316320938351365;8.0;0.0;0.9090905921493164;1.5;1.0;1.0;1.0;1.8786108911031723;0.0;1.0;0.5070286497173397;8.0;0.0;3.0;2.0;0.0;2.0;0.0;1.0;0.0;20.0;2.0;0.0;0.0;8.0;7.0;0.0;1.0;0.059269162210338684;8.0;0.0;3.7035714285714287;2.0;4.0;2.5;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.125;1.25;1.0;0.6;0.0
