;blame_merge_blame_getVolume_max;blamemerge_blamegetEffort_mean;FileLength_mean;AnonymousInnerClassLength_mean;blamemerge_blamegetLength_max;blamemerge_blamegetVocabulary_mean;blamemerge_blamegetLength_count;blame_merge_blame_getLength_std;blamemerge_blamegetVolume_std;FileLength_50%;blamemerge_blamegetEffort_count;AnonymousInnerClassLength_75%;blamemerge_blamegetVolume_mean;blamemerge_blamegetLength_std;MethodLength_50%;Difficulty;FileLength_min;FileLength_25%;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getDifficulty_count;blame_merge_blame_getEffort_mean;blame_merge_blame_getVolume_mean;MethodLength_count;TotalNumberOfOperands;blame_merge_blame_getVocabulary_count;AnonymousInnerClassLength_count;AnonymousInnerClassLength_50%;AnonymousInnerClassLength_min;blamemerge_blamegetDifficulty_count;blame_merge_blame_getLength_min;blamemerge_blamegetLength_mean;Volume;blame_merge_blame_getLength_mean;blame_merge_blame_getDifficulty_std;blame_merge_blame_getVolume_min;FileLength_max;blamemerge_blamegetEffort_std;blame_merge_blame_getDifficulty_max;blame_merge_blame_getDifficulty_min;blame_merge_blame_getLength_max;blamemerge_blamegetEffort_max;blamemerge_blamegetVolume_count;MethodLength_std;FileLength_std;Vocabulary;Bugged;blame_merge_blame_getVocabulary_min;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_max;blame_merge_blame_getEffort_max;AnonymousInnerClassLength_max;blame_merge_blame_getVocabulary_mean;NumberOfDistinctOperators;blamemerge_blamegetDifficulty_mean;TotalNumberOfOperators;blame_merge_blame_getLength_count;blamemerge_blamegetVocabulary_std;blame_merge_blame_getEffort_min;Length;AnonymousInnerClassLength_25%;blamemerge_blamegetVocabulary_count;MethodLength_min;blame_merge_blame_getVolume_std;blamemerge_blamegetVocabulary_max;MethodLength_75%;blame_merge_blame_getVolume_count;blame_merge_blame_getEffort_count;FileLength_count;AnonymousInnerClassLength_std;MethodLength_mean;blamemerge_blamegetDifficulty_std;MethodLength_25%;blame_merge_blame_getEffort_std;Effort;MethodLength_max;blame_merge_blame_getVocabulary_std;blamemerge_blamegetVolume_max;blame_merge_blame_getVocabulary_max;FileLength_75%
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;28.29762982860637;42.44662418610242;0.07552729996372942;22.35706751054852;3.5198067201117476;1160.597046413502;0.0;17.922748635405718;25.904535864978904;1160.597046413502;0.041666666666666664;14.768268749081534;5.120623728773089;11.995253164556962;37.98940942557997;20.65717299578059;23.280854430379748;0.0;0.0;0.0;0.0;5.918248945147679;380.2315400843882;0.0;5.918248945147679;0.012130801687763712;0.008966244725738396;1160.597046413502;0.0;4.668444847756374;7197.227393991502;0.0;0.0;0.0;196.71149789029536;49.13753681463347;0.0;0.0;0.0;357.88150343364657;1160.597046413502;7.941339628846961;55.90721781978183;107.00210970464136;;0.0;86.29905063291139;4.528434993862209;0.0;0.5970464135021097;0.0;20.703059071729957;0.7043513801948353;566.9240506329114;0.0;3.6865430055915707;0.0;947.1555907172996;0.010548523206751054;1160.597046413502;7.555379746835443;0.0;14.385021097046414;16.40268987341772;0.0;0.0;5.918248945147679;0.17697407343469;14.146027646842386;0.9415950481161148;9.775712025316455;0.0;712987.1345221908;29.178270042194093;0.0;85.51918230006244;0.0;34.745648734177216
std;0.0;23.904618930758552;44.33516709088876;0.5884762820863023;12.081195516847007;2.445150156849098;4019.323080627001;0.0;7.012494552337467;48.28149768796437;4019.323080627001;0.5303870908487143;12.991955277838152;1.6932689174725193;20.448267401537766;36.670171439400214;47.38025129073529;47.03419471303686;0.0;0.0;0.0;0.0;9.466684496119822;629.878362154344;0.0;9.466684496119822;0.2585947324528064;0.2396650849616813;4019.323080627001;0.0;3.7213795340804006;13802.928428441817;0.0;0.0;0.0;284.8798656114353;35.86553210537672;0.0;0.0;0.0;386.06348922686885;4019.323080627001;15.36510361169762;65.33188526962033;90.715007911891;;0.0;83.68053788821994;1.9543170177264442;0.0;5.0828566677576745;0.0;9.054214379227208;0.43428563334164166;978.2892863247989;0.0;1.0357953636775554;0.0;1605.5876013782613;0.24450588754194208;4019.323080627001;17.379759329967417;0.0;4.187992296059079;24.850971868060775;0.0;0.0;9.466684496119822;1.3691571989994817;21.35918718988887;0.3922271863387058;18.563302650592693;0.0;3144597.2641027384;43.992166157539685;0.0;68.95784210743216;0.0;51.47009353546871
min;0.0;0.013276103420989066;0.0;0.0;11.0;0.002899484536082475;28.0;0.0;0.7396588930223523;0.0;28.0;0.0;0.013276103420989066;0.2333364015507649;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;28.0;0.0;0.004188144329896907;33.0;0.0;0.0;0.0;0.0;0.7396588930223523;0.0;0.0;0.0;33.0;28.0;0.0;0.0;8.0;;0.0;6.0;1.0;0.0;0.0;0.0;2.0;0.00032216494845360824;5.0;0.0;0.16154058568899107;0.0;11.0;0.0;28.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017948953965443454;0.0;0.0;33.0;0.0;0.0;33.0;0.0;0.0
25%;0.0;10.619903460520467;19.0;0.0;17.0;1.7142857142857142;83.75;0.0;13.40765052094514;0.0;83.75;0.0;6.21467775963176;4.042169781050701;3.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;1.0;55.0;0.0;1.0;0.0;0.0;83.75;0.0;2.139085736931902;667.430564828358;0.0;0.0;0.0;52.0;23.896701740024522;0.0;0.0;0.0;121.5;83.75;0.0;0.0;44.0;;0.0;29.0;3.5;0.0;0.0;0.0;15.0;0.354778373800113;68.0;0.0;3.0950218976485226;0.0;123.0;0.0;83.75;3.0;0.0;11.0;3.0;0.0;0.0;1.0;0.0;3.0;0.6750071860381556;3.0;0.0;9680.684352959906;3.0;0.0;58.81033751683406;0.0;0.0
50%;0.0;23.873415705843072;35.5;0.0;19.0;2.9391346225087056;218.0;0.0;18.094514639150432;0.0;218.0;0.0;10.552964600267106;5.215635546786706;4.0;27.530612244897966;0.0;0.0;0.0;0.0;0.0;0.0;2.0;169.0;0.0;2.0;0.0;0.0;218.0;0.0;3.5743504698728574;2506.945527883965;0.0;0.0;0.0;103.0;42.141583714741614;0.0;0.0;0.0;281.2961228838133;218.0;0.0;45.55533563299022;80.0;;0.0;60.0;4.2;0.0;0.0;0.0;19.0;0.6856384453315592;224.5;0.0;3.841444150418211;0.0;392.5;0.0;218.0;3.0;0.0;14.0;6.5;0.0;0.0;2.0;0.0;6.29020979020979;0.9954058969352432;3.0;0.0;72021.00176545829;12.0;0.0;74.23092131656186;0.0;0.0
75%;0.0;41.46111038816746;53.0;0.0;26.0;4.630423358078934;716.75;0.0;21.811508184798612;48.0;716.75;0.0;18.34373975880402;6.093575649138997;18.0;50.659746657283605;42.0;44.3125;0.0;0.0;0.0;0.0;8.0;454.75;0.0;8.0;0.0;0.0;716.75;0.0;5.775036081430091;8181.967014781378;0.0;0.0;0.0;252.0;64.47734114405723;0.0;0.0;0.0;497.820120520413;716.75;10.597757967105963;92.53274708385943;143.0;;0.0;115.0;5.6;0.0;0.0;0.0;27.0;0.9417431129126828;687.0;0.0;4.36279527885101;0.0;1160.25;0.0;716.75;5.0;0.0;17.0;24.0;0.0;0.0;8.0;0.0;20.25;1.201075794205162;12.75;0.0;400049.0241464104;41.0;0.0;102.18657103125851;0.0;53.25
