;NOL;NSF;ClRCi;NOA;NSM;Bugged;RTLOC;NOD;PMd;TLOC;NPF;ClTCi
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;2;;;;;;
top;;;;;;False;;;;;;
freq;;;;;;1859;;;;;;
mean;0.0;0.7368143459915611;1.0697903532505275;0.0;0.2389240506329114;;99.78217299578058;0.0;3.4050632911392404;42.199894514767934;0.14978902953586498;8.40673739206382
std;0.0;2.5989312151399684;1.1855928046849484;0.0;1.5366700462909935;;219.73978979158568;0.0;7.11536712219342;100.83502877974803;2.0282256195776758;22.063637758677388
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;1.0;0.0;0.0;;21.0;0.0;1.0;9.0;0.0;2.0
75%;0.0;1.0;1.571428571;0.0;0.0;;101.0;0.0;3.0;35.0;0.0;8.0
max;0.0;75.0;14.511111110999998;0.0;28.0;;3233.0;0.0;90.0;1407.0;74.0;455.055555556
