;blamemerge_blamegetDistinctOperandsCnt_mean;blamemerge_blamegetDistinctOperandsCnt_std;blame_merge_blame_getDistinctOperandsCnt_max;NVAR_count;blamemerge_blamegetDistinctOperandsCnt_count;Fout_50%;IOVars_max;blame_merge_blame_getDistinctOperatorsCnt_max;VG_std;NOP_std;NVAR_min;NBD_mean;NCOMP_mean;NVAR_mean;blame_merge_blame_getDistinctOperandsCnt_min;IOVars_min;Si_mean;blame_merge_blame_getDistinctOperatorsCnt_mean;NVAR_75%;blame_merge_blame_getDistinctOperatorsCnt_count;Fout_std;Difficulty;NOP_50%;NVAR_std;NOP_mean;blame_merge_blame_getDifficulty_mean;NBD_75%;blame_merge_blame_getDifficulty_count;blamemerge_blamegetDistinctOperatorsCnt_std;VG_25%;Fout_25%;Di_min;Si_std;NCOMP_max;Fin_75%;Si_25%;Fin_std;NCOMP_75%;blamemerge_blamegetDifficulty_count;VG_mean;VG_min;Ci_max;NOP_25%;Fout_75%;Si_min;NBD_count;Fout_count;blame_merge_blame_getDifficulty_std;MCLC_max;blame_merge_blame_getDistinctOperandsCnt_mean;Fin_count;MCLC_50%;blame_merge_blame_getDifficulty_max;blame_merge_blame_getDifficulty_min;Di_max;Ci_50%;NOP_min;NCOMP_50%;Fout_min;NBD_min;Ci_std;NBD_25%;Fin_min;Bugged;NBD_std;NumberOfDistinctOperands;Fout_max;NVAR_25%;blamemerge_blamegetDifficulty_max;Fin_mean;Di_25%;blame_merge_blame_getDistinctOperandsCnt_std;MCLC_25%;IOVars_75%;Si_count;NumberOfDistinctOperators;Di_mean;blame_merge_blame_getDistinctOperatorsCnt_min;blamemerge_blamegetDifficulty_mean;Di_75%;Si_max;NCOMP_std;VG_50%;MCLC_count;Si_50%;IOVars_std;Ci_mean;blamemerge_blamegetDistinctOperatorsCnt_count;Fin_50%;ClRCi;IOVars_mean;IOVars_50%;NBD_50%;blame_merge_blame_getDistinctOperatorsCnt_std;ClTCi;Ci_count;VG_75%;Fin_25%;NBD_max;NOP_max;blamemerge_blamegetDistinctOperandsCnt_max;IOVars_count;NOP_75%;Di_std;Si_75%;MCLC_75%;NOP_count;blame_merge_blame_getDistinctOperandsCnt_count;blamemerge_blamegetDifficulty_std;Ci_min;Di_count;MCLC_std;MCLC_mean;blamemerge_blamegetDistinctOperatorsCnt_max;Di_50%;Fin_max;Fout_mean;NVAR_50%;NCOMP_min;NVAR_max;Ci_75%;Ci_25%;IOVars_25%;NCOMP_count;NCOMP_25%;VG_max;NOPa;MCLC_min;VG_count;blamemerge_blamegetDistinctOperatorsCnt_mean
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1859;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;2.0698103219095434;2.359404910371533;0.0;3.8581223628691985;1160.597046413502;0.007911392405063292;1.2964135021097047;0.0;0.44237139342407283;0.24768761136742296;0.17668776371308018;0.8915831401406704;0.500508951705792;0.41109870542664423;0.0;0.6766877637130801;0.09004641244246075;0.0;0.48984704641350213;0.0;0.06517817332939843;37.98940942557997;0.4802215189873418;0.32701619769898;0.5115372676674612;0.0;0.9633438818565401;0.0;1.6528669354110679;0.8747362869198312;0.0010548523206751054;0.6626115928734178;0.24051370404663688;1.7695147679324894;0.027689873417721517;0.0010548523206751054;0.06365745981389485;0.5758175105485233;1160.597046413502;1.110702896245815;0.8111814345991561;2.0948037472943035;0.36194620253164556;0.029931434599156117;0.0005274261603375527;3.8581223628691985;3.8581223628691985;0.0;2.6761603375527425;0.0;3.8581223628691985;0.6421413502109705;0.0;0.0;1.2742616033755274;0.9069971870603903;0.28270042194092826;0.30933544303797467;0.0005274261603375527;0.7204641350210971;0.42597872929061414;0.7718881856540084;0.0;;0.21604565464623166;86.29905063291139;0.2088607594936709;0.22784810126582278;4.528434993862209;0.030417053335839266;0.7854606188437501;0.0;0.46439873417721517;1.0081751054852321;3.8581223628691985;20.703059071729957;0.9074409200973795;0.0;0.7043513801948353;0.9937368143459916;0.9620253164556962;0.5477400417378805;0.9662447257383966;3.8581223628691985;0.008438818565400843;0.24394065039931145;0.9974873325398405;1160.597046413502;0.007383966244725738;1.0697903532505275;0.9251480221212443;0.9000527426160337;0.8346518987341772;0.0;8.40673739206382;3.8581223628691985;1.1984440928270041;0.0017141350210970465;1.2631856540084387;0.8639240506329114;9.524789029535865;3.8581223628691985;0.6286919831223629;0.23903191872340224;0.04496308016877637;1.0816191983122363;3.8581223628691985;0.0;0.9415950481161148;0.679324894514768;3.8581223628691985;0.819924411504042;0.9116076571324362;7.200949367088608;0.8816587552742616;0.2109704641350211;0.032612734860454955;0.3072257383966245;0.16772151898734178;1.0522151898734178;1.045325685653481;0.8108517932489452;0.803006329113924;3.8581223628691985;0.21822257383966245;2.0374472573839664;0.0;0.34968354430379744;3.8581223628691985;1.449996398202204
std;1.917164078029291;0.7621233300168668;0.0;8.178446314816366;4019.323080627001;0.08083120010071888;1.4974764368956537;0.0;1.3406292332512406;0.45281056132119074;0.9885384321029979;0.8955938902177881;1.3512140975744324;1.1593007273717244;0.0;0.8208399067960699;0.66500568392927;0.0;1.336836942522777;0.0;0.2651351683011651;36.670171439400214;0.7992438071730672;0.8427403841348372;0.7808492749531357;0.0;1.0483565225177722;0.0;0.6160118425551467;1.3384411576642172;0.025661592044490585;0.8156006851638817;1.951218947204553;4.984105499206696;0.18076542277642782;0.025661592044490585;0.27505194433553765;1.7589632849835528;4019.323080627001;1.6173936871609187;1.2666626529186624;9.811115986770746;0.703244241778822;0.20384029535081136;0.02296576060873126;8.178446314816366;8.178446314816366;0.0;6.468562597902676;0.0;8.178446314816366;1.9394451381417874;0.0;0.0;1.4875710162413533;0.9648856773332222;0.6531727211154187;1.1434855668124104;0.02296576060873126;0.7034952284442981;1.952047808262838;0.7657206033353294;0.0;;0.5335569441878528;83.68053788821994;0.9585860132079671;1.0252600211417287;1.9543170177264442;0.14386596820837355;0.8546931620046754;0.0;1.7253689773337257;1.0933652839997827;8.178446314816366;9.054214379227208;0.9524391253792689;0.0;0.43428563334164166;1.0777578601444258;9.794653267173926;1.5013487160029602;1.4946412039242762;8.178446314816366;0.09004536793483074;0.46922976586367077;1.1786479142264394;4019.323080627001;0.08249610040379583;1.1855928046849484;0.9635189377138772;0.9599664667422082;0.855654286910779;0.0;22.063637758677388;8.178446314816366;1.8986904124582464;0.03582373338967299;1.559999722388479;1.3141993770626745;2.8723809835804737;8.178446314816366;0.9089409756194129;0.4685104049787456;0.44579796967995655;2.6920612233215353;8.178446314816366;0.0;0.3922271863387058;0.8212319518030567;8.178446314816366;2.0780563936911114;2.1592949109208;2.195514531641427;0.9489877269430799;1.0837275198986818;0.14835015195272147;1.1157994654812844;0.9545515343040574;2.413444171395851;1.1697360477277743;0.8574217655808426;0.8590808931425258;8.178446314816366;1.0204758345001903;4.025796844686002;0.0;1.6287586626229917;8.178446314816366;0.8010153184455432
min;0.002255154639175257;0.12564267775810414;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.035897907930886916;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.00032216494845360824;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017948953965443454;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0006443298969072165
25%;0.8807837615057014;1.8031311515892565;0.0;0.0;83.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;1.266222038339672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;29.0;0.0;0.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.354778373800113;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6750071860381556;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7884615384615384
50%;1.4791781577495864;2.4151597569687695;0.0;1.0;218.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;27.530612244897966;0.0;0.0;0.0;0.0;1.0;0.0;1.7532043492405778;1.0;0.0;0.666666667;0.0;0.0;0.0;0.0;0.0;0.0;218.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;0.0;60.0;0.0;0.0;4.2;0.0;1.0;0.0;0.0;1.0;1.0;19.0;1.0;0.0;0.6856384453315592;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;218.0;0.0;1.0;1.0;1.0;1.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;9.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9954058969352432;1.0;1.0;0.0;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.4610323886639676
75%;2.2796702284450996;2.773386105288599;0.0;4.0;716.75;0.0;2.0;0.0;0.0;0.5110070177712267;0.0;1.2857142857142858;0.3333333333333333;0.2556818181818182;0.0;1.0;0.0;0.0;0.0;0.0;0.0;50.659746657283605;1.0;0.0;1.0;0.0;1.25;0.0;2.069865144172292;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;716.75;1.3333333333333333;1.0;2.0;0.5;0.0;0.0;4.0;4.0;0.0;2.0;0.0;4.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.4623836166230098;1.0;0.0;;0.0;115.0;0.0;0.0;5.6;0.0;1.0;0.0;0.0;1.75;4.0;27.0;1.3333333333333333;0.0;0.9417431129126828;1.75;0.0;0.0;1.0;4.0;0.0;0.4409585518440984;1.5;716.75;0.0;1.571428571;1.38125;1.0;1.0;0.0;8.0;4.0;1.0;0.0;2.0;1.0;10.0;4.0;1.0;0.40824829046386296;0.0;1.0;4.0;0.0;1.201075794205162;1.0;4.0;0.4472135954999579;0.87625;9.0;1.0;0.0;0.0;0.0;0.0;1.0;1.75;1.0;1.0;4.0;0.0;2.0;0.0;0.0;4.0;1.9185667752443
