;all_process_insertions_count;all_process_changes_mean;all_process_changes_count;all_process_deletions_max;all_process_insertions_mean;Bugged;all_process_deletions_std;all_process_insertions_std;all_process_insertions_min;all_process_deletions_min;all_process_count;all_process_insertions_max;all_process_changes_max;all_process_deletions_count;all_process_deletions_mean;all_process_changes_min;all_process_changes_std
count;1896.0;1896.0;1896.0;1896.0;1896.0;1896;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0;1896.0
unique;;;;;;2;;;;;;;;;;;
top;;;;;;False;;;;;;;;;;;
freq;;;;;;1859;;;;;;;;;;;
mean;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;11.288502109704641;0.0;0.0;0.0;0.0;0.0;0.0
std;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;14.91005910289126;0.0;0.0;0.0;0.0;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
max;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;304.0;0.0;0.0;0.0;0.0;0.0;0.0
