;NumberOfProtectedMethod;NumberOfPrivateMethod;MethodLength;NPathComplexity;BooleanExpressionComplexity;CyclomaticComplexity;ThrowsCount;NCSSForThisClass;NumberOfMethods_Checkstyle;FileLength;ClassFanOutComplexity;NestedTryDepth;ExecutableStatementCount;AnonymousInnerClassLength;NumberOfPublicMethods_Checkstyle;NumberOfPackageMethod;NestedForDepth;ClassDataAbstractionCoupling;NCSSForThisMethod;BuggedMethods;NCSSForThisFile;NestedIfElseDepth
count;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541;11541.0;11541.0
unique;;;;;;;;;;;;;;;;;;;;2;;
top;;;;;;;;;;;;;;;;;;;;False;;
freq;;;;;;;;;;;;;;;;;;;;11467;;
mean;0.019409063339398666;0.05788059960142102;8.535742136729919;9.29139589290356;0.029113595009098;1.0174161684429426;0.2886231695693614;6.429858764405164;0.6761979031279786;22.001039771250326;0.8870981717355515;0.0012997140629061607;3.8515726540161164;0.03751841261589117;0.5938826791439217;0.005892037085174595;0.0017329520838748808;0.28411749415128673;4.698986223030933;;7.692747595528983;0.02443462438263582
std;0.3536945839787104;0.7222231084122355;16.48383091581132;244.11513553342033;0.19575606262691936;1.7410205216150765;0.5031612562134387;43.09358088195524;3.7590900983832998;117.83303332435965;4.175980347729729;0.03835945140444463;7.903439919503853;1.5429931784174375;3.3812041392520626;0.15341274892233409;0.04159445720131431;1.7312345885962386;8.600483028930373;;47.83275355042918;0.18503581458661209
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;;0.0;0.0
75%;0.0;0.0;10.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;5.0;;0.0;0.0
max;16.0;27.0;298.0;10000.0;4.0;53.0;3.0;1989.0;94.0;3695.0;82.0;2.0;134.0;138.0;89.0;9.0;1.0;50.0;158.0;;2025.0;5.0
