;NBD;VG;NVAR;NOP;MCLC;Di;IOVars;BuggedMethods;Fin;Fout;Ci;NCOMP;Si
count;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541;11541.0;11541.0;11541.0;11541.0;11541.0
unique;;;;;;;;2;;;;;
top;;;;;;;;False;;;;;
freq;;;;;;;;11467;;;;;
mean;0.5302833376657136;0.6534095832250238;0.20925396412789185;0.19218438610172428;0.5147734165150334;0.4394807401616844;0.4524737890997314;;0.05276839095399012;0.03795165063685989;0.5566283010316263;0.3055194523871415;0.11714756086994195
std;0.8070672442226934;1.5114134905509542;0.9045260580304352;0.4332112800230399;2.4689182429780647;0.6536906569848038;0.6635588803084115;;0.48180625361582;0.34017239703890906;3.087298986119829;1.8765805218577358;3.0261371023742494
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
75%;1.0;1.0;0.0;0.0;0.0;1.0;1.0;;0.0;0.0;1.0;0.0;0.0
max;11.0;52.0;32.0;13.0;64.0;14.0;14.0;;24.0;17.0;289.055555556;58.0;289.0
