;NumberOfComparisons;NPathComplexity;NumberOfAnonymousClasses;BooleanExpressionComplexity;NumberOfNumbers;NumberOfUniqueWords;NestedIfElseDepth;NumberOfProtectedMethod;ExecutableStatementCount;ThrowsCount;NCSSForThisFile;NumberOfParameters_CK;NCSSForThisMethod;NumberOfLogStatements;IsConstructor;AnonymousInnerClassLength;CyclomaticComplexity;NumberOfAssignments;NumberOfModifiers;NCSSForThisClass;Returns;NumberOfLoops;ClassDataAbstractionCoupling;NumberOfTryCatch;NestedForDepth;WMC_CK;RFC;FileLength;ClassFanOutComplexity;LOCMethod_CK;NumberOfMathOperations;Maximum Depth;NumberOfVariables;NestedTryDepth;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfMethods_Checkstyle;NumberOfPrivateMethod;MaxNumberOfNestedBlocks;NumberOfInnerClasses;NumberOfLambdas;CBO;NumberOfPackageMethod;NumberOfPublicMethods_Checkstyle;BuggedMethods;MethodLength
count;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0
unique;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
top;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;
freq;;;;;;;;;;;;;;;12775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13206;
mean;0.3336602293301147;13.578455039227519;0.004375377187688594;0.11738080869040435;0.38314725407362704;8.317441158720579;0.10138805069402534;0.055220277610138806;3.1159474954737476;0.04269764634882318;6.8741701870850935;0.3313971031985516;4.32415509957755;0.02172601086300543;;0.7718014484007242;1.4628092939046469;0.9004978877489439;1.2202021726010863;5.815404345202173;0.49419130959565477;0.07279722389861194;0.2890012070006035;0.001584188292094146;0.00724200362100181;1.4302957151478575;2.1610591430295716;20.136768255884128;0.8010712130356065;5.540887145443572;0.07724803862401931;0.945835847917924;0.5604254677127338;0.00022631261315630657;0.1357121303560652;0.46907060953530477;0.6461225105612552;0.11044055522027761;0.34007242003621;0.0;0.0;1.3709263729631864;0.0035455642727821365;0.4801599275799638;;7.6606065178032585
std;1.5818477276740512;295.759490002562;0.0745899026275051;0.8744392161778425;2.474784112018351;9.097676954053968;0.3940077816688829;0.5911186485317266;6.422381582439117;0.20987200068239506;37.036913204412805;0.5433436949596591;8.27343034096034;0.25438336162484065;;5.427375871969137;2.869626117407572;2.4650213373177885;2.146751598605843;32.848886770858776;1.1501251381192181;0.3776828516052435;1.7752189206457993;0.03977182377630046;0.0980014425148778;2.7652474081492;3.9324850900864115;98.82779701089063;3.7865176535053187;9.679939704333387;0.8674897776952819;1.2796497935080826;1.5900387579019848;0.01504255515687811;0.9519126006136538;2.3315415342770125;3.4507141569407875;1.0982759723500886;0.7782866949851152;0.0;0.0;2.1012319682854392;0.12061497094820926;2.9287114213052057;;15.276562889763639
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;3.0
75%;0.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;3.0;0.0;0.0;1.0;5.0;0.0;;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;6.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;;8.0
max;84.0;10000.0;3.0;62.0;185.0;85.0;7.0;31.0;153.0;2.0;1112.0;6.0;204.0;9.0;;193.0;108.0;73.0;42.0;1063.0;36.0;10.0;36.0;1.0;4.0;110.0;74.0;2755.0;75.0;257.0;80.0;10.0;31.0;1.0;43.0;77.0;178.0;49.0;8.0;0.0;0.0;34.0;9.0;178.0;;384.0
