;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;13256;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;13206;;;;;;;;;;;;;;;;;;;;;;12775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;6.8741701870850935;0.10138805069402534;0.11738080869040435;1.4628092939046469;4.32415509957755;13.578455039227519;0.04269764634882318;5.815404345202173;0.055220277610138806;0.0035455642727821365;0.11044055522027761;3.1159474954737476;7.6606065178032585;20.136768255884128;0.7718014484007242;0.6461225105612552;0.4801599275799638;0.8010712130356065;0.00022631261315630657;0.2890012070006035;0.00724200362100181;;1.3709263729631864;1.4302957151478575;2.1610591430295716;5.540887145443572;0.49419130959565477;0.5604254677127338;0.3313971031985516;0.07279722389861194;0.3336602293301147;0.001584188292094146;0.1357121303560652;0.46907060953530477;0.38314725407362704;0.9004978877489439;0.07724803862401931;0.34007242003621;0.004375377187688594;0.0;0.0;8.317441158720579;1.2202021726010863;0.02172601086300543;1.3638786763246078;0.5737459062582226;0.16173808086904043;0.13412794206397102;0.6099124924562462;1.002263126131563;0.9136994568497284;0.6200211225105613;0.2684067592033796;0.3822420036210018;0.790132770066385;1.2125075437537718;0.7404948702474351;1.8237779118889559;0.945835847917924;1.4479480989740494
std;;37.036913204412805;0.3940077816688829;0.8744392161778425;2.869626117407572;8.27343034096034;295.759490002562;0.20987200068239506;32.848886770858776;0.5911186485317266;0.12061497094820926;1.0982759723500886;6.422381582439117;15.276562889763639;98.82779701089063;5.427375871969137;3.4507141569407875;2.9287114213052057;3.7865176535053187;0.01504255515687811;1.7752189206457993;0.0980014425148778;;2.1012319682854392;2.7652474081492;3.9324850900864115;9.679939704333387;1.1501251381192181;1.5900387579019848;0.5433436949596591;0.3776828516052435;1.5818477276740512;0.03977182377630046;0.9519126006136538;2.3315415342770125;2.474784112018351;2.4650213373177885;0.8674897776952819;0.7782866949851152;0.0745899026275051;0.0;0.0;9.097676954053968;2.146751598605843;0.25438336162484065;28.274518010191315;0.750388087236633;1.3191916398954444;0.8787495195702076;0.7666107244905358;4.047939173311194;1.1828420077455488;3.3249629817764523;0.534795232973513;1.2146527684871053;28.277589018364647;2.754405493518872;1.799729690790628;5.182787468639859;1.2796497935080826;4.726260610445563
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;3.0;6.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;12.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
