;Volume;blame_merge_blame_getEffort_min;blamemerge_blamegetVolume_std;FileLength_75%;blame_merge_blame_getLength_min;AnonymousInnerClassLength_min;blamemerge_blamegetEffort_mean;blame_merge_blame_getLength_max;blamemerge_blamegetVolume_mean;NumberOfDistinctOperands;AnonymousInnerClassLength_25%;blame_merge_blame_getDifficulty_std;blamemerge_blamegetLength_std;blamemerge_blamegetVocabulary_count;MethodLength_max;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetDifficulty_std;MethodLength_min;blame_merge_blame_getVolume_min;MethodLength_75%;blamemerge_blamegetEffort_max;blamemerge_blamegetVolume_max;FileLength_count;MethodLength_std;MethodLength_25%;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getDifficulty_count;blame_merge_blame_getVolume_max;FileLength_min;blame_merge_blame_getEffort_count;blame_merge_blame_getVolume_mean;Bugged;FileLength_50%;MethodLength_mean;blamemerge_blamegetDifficulty_count;blamemerge_blamegetLength_mean;blame_merge_blame_getEffort_std;AnonymousInnerClassLength_count;AnonymousInnerClassLength_max;blame_merge_blame_getLength_std;AnonymousInnerClassLength_75%;blame_merge_blame_getEffort_max;blamemerge_blamegetVolume_count;blame_merge_blame_getVocabulary_max;AnonymousInnerClassLength_std;TotalNumberOfOperators;blame_merge_blame_getVocabulary_count;blame_merge_blame_getLength_mean;blame_merge_blame_getVocabulary_std;blame_merge_blame_getDifficulty_min;Effort;FileLength_25%;blame_merge_blame_getDifficulty_max;blame_merge_blame_getVocabulary_min;blamemerge_blamegetLength_count;blamemerge_blamegetLength_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;blame_merge_blame_getVolume_count;Vocabulary;AnonymousInnerClassLength_mean;MethodLength_count;blamemerge_blamegetVocabulary_std;FileLength_std;blame_merge_blame_getEffort_mean;blamemerge_blamegetEffort_std;blamemerge_blamegetDifficulty_max;MethodLength_50%;FileLength_mean;blame_merge_blame_getLength_count;AnonymousInnerClassLength_50%;blamemerge_blamegetEffort_count;NumberOfDistinctOperators;Difficulty;blame_merge_blame_getDifficulty_mean;TotalNumberOfOperands;Length;blamemerge_blamegetVocabulary_max;FileLength_max
count;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;6290.532803412042;0.0;17.167882314539682;20.28556319407721;0.0;0.08302485457429931;25.60813399870633;0.0;15.147209385189386;85.5039661554733;0.11250661025912216;0.0;4.980575867215639;4693.11686938128;33.69328397673189;0.0;0.9095804250374524;5.05076679005817;0.0;14.509783183500794;397.72334234420856;85.49970320972456;6.831835007932311;10.47809605750415;6.617662612374405;3.5712416758513403;0.0;0.0;8.920148069804336;0.0;0.0;;12.303014278159704;12.464300021773894;4693.11686938128;4.830455746223738;0.0;6.831835007932311;5.377578001057642;0.0;0.5708619777895293;0.0;4693.11686938128;0.0;1.7476076035469474;516.7022739291381;0.0;0.0;0.0;0.0;467865.69064886356;10.611581173982021;0.0;0.0;4693.11686938128;22.77313590692755;0.6563129702208127;0.0;0.0;107.67689053410894;0.8535684448797871;6.831835007932311;3.547144745119163;60.266716329086925;0.0;44.915418662261786;4.8071074732893875;9.09307244843998;31.649843543583533;0.0;0.1578529878371232;4693.11686938128;22.172924378635642;36.227407625591624;0.0;324.72289793759916;841.4251718667372;13.796404019037546;197.62295081967213
std;10314.14136804551;0.0;5.830842612308867;35.93996810434554;0.0;1.4803769536097044;18.287363805945184;0.0;13.975261254762982;76.13908437488905;1.6191850322329056;0.0;1.4941145987868496;13043.276946506407;45.5600661996868;0.0;0.3184846206461159;10.136870894320596;0.0;19.91463686290908;457.2148592836009;35.23418429272878;9.925770092137414;17.06758377165592;11.721321978568067;2.5584290674346555;0.0;0.0;26.064378399526916;0.0;0.0;;29.49383733332727;15.711847263834496;13043.276946506407;3.9947433866259723;0.0;9.925770092137414;15.371457251873073;0.0;3.1396722855791763;0.0;13043.276946506407;0.0;4.934437550303425;745.2530266601734;0.0;0.0;0.0;0.0;1828129.9713488915;26.681260454788077;0.0;0.0;13043.276946506407;7.728586231286392;0.32818079424839636;0.0;0.0;82.60455161279857;2.7775075278977144;9.925770092137414;0.8819624359704362;56.371910738389545;0.0;31.202464634920663;1.9996289280157409;14.684839377371238;27.02720729770658;0.0;2.0158933166440813;13043.276946506407;8.349015521224251;27.671296359881527;0.0;464.1469303025384;1207.3633904916014;2.966177554412632;259.2330203058563
min;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;6.0;11.0;0.0;0.0
25%;912.5899575246625;0.0;13.431437336065414;0.0;0.0;0.0;11.206261611839347;0.0;5.7640919888743545;34.0;0.0;0.0;3.9991756025384633;124.5;4.0;0.0;0.7307510155476001;3.0;0.0;3.0;161.9439946257589;58.81033751683406;1.0;0.0;3.0;1.7410567304502123;0.0;0.0;0.0;0.0;0.0;;0.0;3.333333333333333;124.5;2.0530417303475312;0.0;1.0;0.0;0.0;0.0;0.0;124.5;0.0;0.0;96.0;0.0;0.0;0.0;0.0;13730.832841973244;0.0;0.0;0.0;124.5;17.0;0.3983258660823899;0.0;0.0;49.0;0.0;1.0;2.923545666665327;0.0;0.0;24.603098069239145;3.5;3.0;18.666666666666668;0.0;0.0;124.5;16.0;15.277777777777779;0.0;65.5;163.5;12.0;56.0
50%;2752.514325301443;0.0;16.571174167018828;0.0;0.0;0.0;21.017113878902126;0.0;9.612032092591042;61.0;0.0;0.0;4.869241592161363;502.0;17.0;0.0;0.9373739264525326;3.0;0.0;10.0;308.0;79.95445336320968;4.0;4.3576242252962665;3.0;2.696629213483146;0.0;0.0;0.0;0.0;0.0;;0.0;9.25;502.0;3.319229075967324;0.0;4.0;0.0;0.0;0.0;0.0;502.0;0.0;0.0;266.0;0.0;0.0;0.0;0.0;81759.70163277091;0.0;0.0;0.0;502.0;22.0;0.6187800963081862;0.0;0.0;84.0;0.0;4.0;3.567497729246405;56.0;0.0;40.07442281854214;4.5;5.0;28.2;0.0;0.0;502.0;21.0;29.57142857142857;0.0;169.0;432.0;13.0;124.0
75%;7156.804467515324;0.0;20.544126784991647;41.875;0.0;0.0;35.98498817521945;0.0;19.059915098668093;108.0;0.0;0.0;5.820715594923545;2682.5;44.0;0.0;1.1261471863618069;3.0;0.0;18.875;482.7094800484617;100.0;9.0;14.960180184612232;7.0;4.5099050637093026;0.0;0.0;0.0;0.0;0.0;;0.0;16.8;2682.5;5.861701999027709;0.0;9.0;0.0;0.0;0.0;0.0;2682.5;0.0;0.0;626.0;0.0;0.0;0.0;0.0;359511.0625279284;0.0;0.0;0.0;2682.5;26.0;0.9131327197333404;0.0;0.0;135.0;0.0;9.0;4.157464064594026;85.48885863203212;0.0;57.32664062652456;5.833333333333332;10.0;42.0;0.0;0.0;2682.5;28.0;49.28598394055609;0.0;383.5;1014.5;16.0;242.5
