WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
11.0;0.0;3.0;2.0;1.0;3.0;3.0;0.0;1.5275252316519468;False;4.0;3.6666666666666665;0.0;5.0;4.5
6.0;0.0;4.0;1.0;1.0;1.0;4.0;0.0;0.5;False;1.0;1.25;0.0;2.0;1.25
21.0;0.0;12.0;1.0;1.0;1.0;12.0;0.0;1.0298573010888743;False;1.5;1.8333333333333333;0.0;4.0;2.25
10.0;0.0;6.0;1.0;1.0;1.0;1.0;0.0;1.1690451944500122;False;1.5;1.8333333333333333;0.0;4.0;2.0
9.0;0.0;5.0;1.0;1.0;1.0;1.0;0.0;1.4142135623730951;False;1.0;2.0;0.0;4.0;3.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
18.0;0.0;13.0;1.0;1.0;1.0;0.0;0.0;0.7762500258061847;False;1.0;1.5384615384615383;0.0;3.0;2.0
9.0;0.0;5.0;1.0;1.0;1.0;1.0;0.0;1.4142135623730951;False;1.0;2.0;0.0;4.0;3.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
35.0;0.0;11.0;1.0;1.0;1.0;10.0;0.0;4.900834808293563;False;1.0;3.272727272727273;0.0;17.0;2.5
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
19.0;0.0;10.0;1.0;1.0;1.0;9.0;0.0;2.3664319132398464;False;1.0;2.4;0.0;8.0;2.75
1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;0.0;3.0;1.0;1.0;3.0;0.0;0.0;3.5118845842842465;False;5.0;4.666666666666667;0.0;8.0;6.5
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
12.0;0.0;9.0;1.0;1.0;1.0;6.0;0.0;0.7071067811865476;False;1.0;1.3333333333333333;0.0;3.0;1.0
41.0;0.0;5.0;1.0;1.0;1.0;3.0;0.0;11.31370849898476;False;1.0;8.0;0.0;27.0;10.0
3.0;0.0;3.0;1.0;1.0;1.0;3.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
3.0;0.0;1.0;2.0;1.0;2.0;1.0;0.0;0.0;False;2.0;2.0;0.0;2.0;2.0
15.0;0.0;11.0;1.0;1.0;1.0;7.0;0.0;0.6875516509523286;False;1.0;1.4545454545454546;0.0;3.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
6.0;0.0;5.0;1.0;1.0;1.0;2.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
14.0;0.0;3.0;1.0;1.0;1.5;2.0;0.0;2.081665999466133;False;2.0;2.6666666666666665;0.0;5.0;3.5
14.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
6.0;0.0;5.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;0.0;1.0;1.0
11.0;0.0;3.0;2.0;1.0;3.0;2.0;0.0;1.1547005383792517;False;4.0;3.333333333333333;0.0;4.0;4.0
11.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
11.0;0.0;7.0;1.0;1.0;1.0;2.0;0.0;1.1338934190276817;False;1.0;1.5714285714285714;0.0;4.0;1.5
10.0;0.0;3.0;1.0;1.0;1.5;2.0;0.0;1.5275252316519463;False;2.0;2.333333333333333;0.0;4.0;3.0
10.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
