;WMC;NOCh;WMC_CK_count;WMC_CK_min;DIT;WMC_CK_25%;NPM;NORM;WMC_CK_std;Bugged;WMC_CK_50%;WMC_CK_mean;NMI;WMC_CK_max;WMC_CK_75%
count;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0;1891.0;1891.0
unique;;;;;;;;;;2;;;;;
top;;;;;;;;;;False;;;;;
freq;;;;;;;;;;1863;;;;;
mean;16.135378106821786;0.0;6.794288736118456;1.2400846113167636;0.8582760444209413;1.4053410893707032;4.208355367530407;0.0;1.44256155306063;;1.7107350608143839;2.188825502274055;0.0;5.029613960867266;2.4447382337387626
std;23.35999999099276;0.0;9.909403858180562;2.039685833582085;0.34885904728166506;2.3075882477518865;7.564254142538203;0.0;3.1224431794319885;;2.83816321091312;3.0018609272813515;0.0;7.5401690302230024;3.7434669826899487
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0
25%;2.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;;1.0;1.0;0.0;1.0;1.0
50%;9.0;0.0;4.0;1.0;1.0;1.0;2.0;0.0;0.483045891539648;;1.0;1.6;0.0;2.0;1.75
75%;20.0;0.0;9.0;1.0;1.0;1.0;5.0;0.0;1.77937550226134;;2.0;2.4285714285714284;0.0;6.0;3.0
max;319.0;0.0;184.0;49.0;1.0;49.0;178.0;0.0;40.952934658493746;;49.0;49.0;0.0;110.0;54.5
