ClTCi;NOD;NOL;RTLOC;ClRCi;NOA;NSF;TLOC;Bugged;PMd;NPF;NSM
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
6.0;0.0;0.0;93.0;2.0;0.0;0.0;41.0;False;3.0;0.0;0.0
8.0;0.0;0.0;66.0;1.6;0.0;0.0;22.0;False;5.0;0.0;0.0
17.0;0.0;0.0;255.0;1.307692308;0.0;1.0;94.0;False;13.0;0.0;3.0
9.0;0.0;0.0;155.0;1.285714286;0.0;2.0;68.0;False;2.0;0.0;0.0
8.0;0.0;0.0;156.0;1.6;0.0;0.0;76.0;False;2.0;0.0;0.0
2.0;0.0;0.0;24.0;2.0;0.0;1.0;10.0;False;1.0;0.0;1.0
16.666666667;0.0;0.0;319.0;1.515151515;0.0;0.0;158.0;False;1.0;0.0;0.0
8.0;0.0;0.0;152.0;1.6;0.0;0.0;76.0;False;2.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
2.0;0.0;0.0;24.0;2.0;0.0;1.0;10.0;False;1.0;0.0;1.0
32.416666667;0.0;0.0;367.0;2.701388889;0.0;3.0;193.0;False;11.0;2.0;0.0
1.0;0.0;0.0;79.0;1.0;0.0;0.0;6.0;False;1.0;0.0;1.0
27.083333333000002;0.0;0.0;283.0;2.462121212;0.0;3.0;135.0;False;10.0;2.0;0.0
1.0;0.0;0.0;44.0;1.0;0.0;0.0;6.0;False;1.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0
2.0;0.0;0.0;192.0;2.0;0.0;8.0;57.0;False;1.0;8.0;0.0
2.0;0.0;0.0;192.0;2.0;0.0;8.0;57.0;False;1.0;8.0;0.0
17.0;0.0;0.0;104.0;1.888888889;0.0;0.0;41.0;False;6.0;0.0;0.0
13.0;0.0;0.0;271.0;2.166666667;0.0;2.0;129.0;False;4.0;2.0;0.0
6.0;0.0;0.0;50.0;2.0;0.0;0.0;27.0;False;3.0;0.0;0.0
3.0;0.0;0.0;56.0;1.5;0.0;11.0;34.0;False;2.0;11.0;0.0
