;HMd;Ait;NumberOfModifiers_mean;issues_priorityMajor_count;NMI;NumberOfMathOperations_75%;blamemerge_priorityMinor_std;NumberOfModifiers_min;Ai;MaxNumberOfNestedBlocks_75%;NumberOfMathOperations_25%;NumberOfModifiers_count;blame_merge_priorityMinor_count;NumberOfMathOperations_count;SIX;blamemerge_priorityMinor_min;MaxNumberOfNestedBlocks_50%;issues_priorityMinor_std;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_mean;Md;NM;blamemerge_priorityMajor_max;blame_merge_priorityMajor_max;PMd;NumberOfMathOperations_max;Mi;NMA;NumberOfMathOperations_min;Av;NumberOfModifiers_75%;Average Block Depth;blame_merge_priorityMinor_std;HMi;blame_merge_priorityMinor_min;NumberOfModifiers_50%;Bugged;issues_priorityMinor_min;Average Statements per Method;issues_priorityMajor_mean;Maximum Depth_50%;NumberOfMathOperations_std;blame_merge_priorityMajor_std;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_std;blamemerge_priorityMinor_mean;Maximum Depth_max;blamemerge_priorityMajor_count;MaxNumberOfNestedBlocks_25%;Ad;Maximum Depth_75%;Maximum Depth_count;blamemerge_priorityMajor_std;Maximum Complexity*;Mit;blame_merge_priorityMajor_min;PMi;blamemerge_priorityMajor_min;blame_merge_priorityMajor_count;MaxNumberOfNestedBlocks_count;blame_merge_priorityMinor_max;NumberOfModifiers_max;blame_merge_priorityMinor_mean;MaxNumberOfNestedBlocks_min;Maximum Block Depth;issues_priorityMinor_mean;Ao;Maximum Depth_25%;MaxNumberOfNestedBlocks_max;Average Complexity*;blamemerge_priorityMajor_mean;NumberOfMathOperations_50%;issues_priorityMinor_count;PMR;issues_priorityMajor_std;issues_priorityMajor_min;issues_priorityMajor_max;Maximum Depth_std;NumberOfMethods_Mood;blamemerge_priorityMinor_count;blame_merge_priorityMajor_mean;NumberOfMathOperations_mean;NF;issues_priorityMinor_max;NumberOfModifiers_std;Maximum Depth_min;Ma;Maximum Depth_mean;Mo;NOPa
count;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1863;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.9074563722897937;0.0;3.492812749130158;15.267054468535166;0.0;0.15534108937070334;0.0483875439499384;1.4896879957694342;0.0;0.7268640930724485;0.0898995240613432;6.794288736118456;0.0;6.794288736118456;0.0;0.05764145954521417;0.39344262295081966;0.011866298592665202;0.2554204124801692;0.5606313500820627;6.78900052882073;7.103120042305658;0.5245901639344263;0.0;4.881544156530936;0.6499206768905341;0.0;7.103120042305658;0.07667900581702802;0.2696985721840296;3.1048387096774195;1.5617662612374406;0.0;0.0;0.0;2.073241671073506;;0.05711263881544157;5.522628239026971;0.11301422876909835;1.3939714436805923;0.2032609477994181;0.0;1.7636171337916446;0.5246763605048224;0.10286577548948735;1.829190904283448;4526.796404019037;0.2392913802221047;3.7207826546800633;1.5325224748810153;2.85193019566367;0.0643378547985654;6.466419883659439;0.0;0.0;0.0;0.28397673188789;0.0;6.794288736118456;0.0;13.96985721840296;0.0;0.17028027498677947;3.7303014278159705;0.0713944143131524;0.0;1.2915124272871497;1.4780539397144368;2.5036964569011104;0.46307273695379525;0.1047065044949762;15.267054468535166;0.6285729781078795;0.013728867317455741;0.09413008989952407;0.12691697514542571;0.30098339254212236;6.537810682178741;4526.796404019037;0.0;0.1729217619292707;3.7207826546800633;0.08778424114225278;4.356994074858514;1.2009518773135908;6.78900052882073;1.4446270253955737;0.0;0.0
std;3.8387335919580083;0.0;18.650367032303404;60.59214914785818;0.0;0.703141497571482;0.12176293843302773;2.3211186998953695;0.0;0.9217536495801051;0.5527550434391281;9.909403858180562;0.0;9.909403858180562;0.0;0.2331258498256172;0.6834315409585893;0.06905155895395171;0.4362126203400777;0.6728692024201329;8.830706743693927;8.982843482587914;0.4995270553588422;0.0;7.7146005287391715;2.5981523235464885;0.0;8.982843482587914;0.5304892142466491;1.4936291033958824;29.577967572636563;0.7704388568275686;0.0;0.0;0.0;12.027550077287977;;0.2321191025787726;7.338043041662905;0.30740588214051895;1.2198731989048401;0.762005272227919;0.0;6.3624731414410025;0.6468834834278068;0.27425152798234576;1.7378190829668012;13062.945788907016;0.5611287049494552;7.381536140211193;1.3655579838655132;6.001522754510105;0.13988124696288148;8.915375745823217;0.0;0.0;0.0;0.45104493316458033;0.0;9.909403858180562;0.0;104.86914820084665;0.0;0.5087435250835353;2.0129808542743794;0.24833329115728095;0.0;1.1452088542353425;1.6051898696801847;3.4248195921872684;0.47446563892439314;0.6006029211061723;60.59214914785818;0.3917174838964832;0.07659731962068371;0.2920868574140458;0.3329679950022509;0.5761914620551886;9.648314449285323;13062.945788907016;0.0;0.6512405967733833;7.381536140211193;0.2830557145695327;37.933563940830076;1.1300695971967294;8.830706743693927;1.2567870496583124;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;1.15;0.0;0.0;0.0;1.0;;0.0;1.8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.272727273;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
50%;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.25;0.0;4.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;5.0;5.0;1.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;1.0;1.51;0.0;0.0;0.0;1.0;;0.0;3.89;0.0;2.0;0.0;0.0;1.0;0.3779644730092273;0.0;2.0;208.0;0.0;1.0;2.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;2.0;1.0;1.8;0.25274725274725274;0.0;0.0;0.75;0.0;0.0;0.0;0.0;4.0;208.0;0.0;0.0;1.0;0.0;0.0;2.0;5.0;2.0;0.0;0.0
75%;2.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;9.0;0.0;9.0;0.0;0.0;1.0;0.0;1.0;1.0;9.0;9.0;1.0;0.0;6.0;1.0;0.0;9.0;0.0;0.0;2.0;1.95;0.0;0.0;0.0;1.0;;0.0;7.0;0.0;2.0;0.0;0.0;1.0;0.9015801334626208;0.000492313070741406;3.0;2503.0;0.0;4.0;2.25;4.0;0.0;8.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0;4.0;0.0;0.0;5.0;0.0;0.0;2.0;2.0;2.975;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;8.0;2503.0;0.0;0.07019704433497537;4.0;0.0;0.6399634763332362;2.0;9.0;2.333333333333333;0.0;0.0
