;all_process_insertions_count;all_process_deletions_mean;all_process_changes_max;all_process_deletions_std;all_process_insertions_max;all_process_deletions_count;all_process_changes_min;all_process_insertions_mean;all_process_changes_mean;all_process_changes_std;Bugged;all_process_deletions_max;all_process_insertions_std;all_process_deletions_min;all_process_count;all_process_insertions_min;all_process_changes_count
count;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0;1891;1891.0;1891.0;1891.0;1891.0;1891.0;1891.0
unique;;;;;;;;;;;2;;;;;;
top;;;;;;;;;;;False;;;;;;
freq;;;;;;;;;;;1863;;;;;;
mean;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;3.7842411422527764;0.0;0.0
std;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;5.169403800632038;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;4.0;0.0;0.0
max;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;76.0;0.0;0.0
