;NPathComplexity;BooleanExpressionComplexity;NestedIfElseDepth;NumberOfProtectedMethod;ExecutableStatementCount;ThrowsCount;NCSSForThisFile;NCSSForThisMethod;AnonymousInnerClassLength;CyclomaticComplexity;NCSSForThisClass;ClassDataAbstractionCoupling;NestedForDepth;FileLength;ClassFanOutComplexity;NestedTryDepth;NumberOfMethods_Checkstyle;NumberOfPrivateMethod;NumberOfPackageMethod;NumberOfPublicMethods_Checkstyle;BuggedMethods;MethodLength
count;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256.0;13256;13256.0
unique;;;;;;;;;;;;;;;;;;;;;2;
top;;;;;;;;;;;;;;;;;;;;;False;
freq;;;;;;;;;;;;;;;;;;;;;13206;
mean;13.578455039227519;0.11738080869040435;0.10138805069402534;0.055220277610138806;3.1159474954737476;0.04269764634882318;6.8741701870850935;4.32415509957755;0.7718014484007242;1.4628092939046469;5.815404345202173;0.2890012070006035;0.00724200362100181;20.136768255884128;0.8010712130356065;0.00022631261315630657;0.6461225105612552;0.11044055522027761;0.0035455642727821365;0.4801599275799638;;7.6606065178032585
std;295.759490002562;0.8744392161778425;0.3940077816688829;0.5911186485317266;6.422381582439117;0.20987200068239506;37.036913204412805;8.27343034096034;5.427375871969137;2.869626117407572;32.848886770858776;1.7752189206457993;0.0980014425148778;98.82779701089063;3.7865176535053187;0.01504255515687811;3.4507141569407875;1.0982759723500886;0.12061497094820926;2.9287114213052057;;15.276562889763639
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;3.0
75%;1.0;0.0;0.0;0.0;3.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;8.0
max;10000.0;62.0;7.0;31.0;153.0;2.0;1112.0;204.0;193.0;108.0;1063.0;36.0;4.0;2755.0;75.0;1.0;178.0;49.0;9.0;178.0;;384.0
