;IsConstructor;Si;MCLC;NOP;MaxNumberOfNestedBlocks;NumberOfParenthesizedExps;AnonymousInnerClassLength;VG;Returns;NumberOfMathOperations;Fin;Di;NumberOfInnerClasses;NBD;NumberOfComparisons;NVAR;FileLength;NumberOfParameters_CK;NumberOfLoops;NumberOfTryCatch;NumberOfLogStatements;NumberOfAssignments;Ci;NumberOfAnonymousClasses;NumberOfVariables;NumberOfStringLiterals;LOCMethod_CK;NumberOfLambdas;NumberOfModifiers;IOVars;NCOMP;Maximum Depth;WMC_CK;Fout;CBO;RFC;MethodLength;BuggedMethods;NumberOfUniqueWords;NumberOfNumbers
count;7760;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0
unique;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;
top;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;
freq;7606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7667;;
mean;;0.20257731958762887;0.40876288659793814;0.12938144329896908;0.19574742268041237;0.04922680412371134;0.11224226804123712;0.44484536082474224;0.2658505154639175;0.36997422680412373;0.05;0.31787664477255156;0.0;0.3510309278350515;0.11649484536082474;0.14278350515463917;12.774355670103093;0.18041237113402062;0.1711340206185567;0.0034793814432989693;0.03762886597938144;1.229639175257732;0.5204539643601804;0.006572164948453608;0.9493556701030927;1.147422680412371;4.576417525773196;0.0;1.073582474226804;0.32899484536082474;0.26597938144329897;0.6896907216494845;0.8609536082474227;0.029123711340206186;1.2018041237113402;2.1725515463917526;6.277319587628866;;6.76159793814433;0.668041237113402
std;;10.473427601021083;2.6868960250113365;0.3668329905558578;0.5832719511157975;0.3308269876970865;1.2668880815114116;1.3371275242239407;0.5663310110699302;1.569739130429288;0.5210605145292827;0.6210674716998712;0.0;0.7078620363678988;0.651832621292009;0.8314444622690987;68.88463292547381;0.48103920997968025;0.7639862307466883;0.058887368929941446;0.3229049520916688;3.8675183958577457;10.488398322154836;0.12470603122730527;3.2119584355448634;4.963240936587077;10.790275275525445;0.0;16.626233060361198;0.6352489264701628;1.9902137994404159;1.2210707165318009;1.835093768231113;0.4491716023944718;2.738412175462353;5.448820490022489;16.280396865846846;;12.199521414625929;2.747783186611404
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
75%;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;4.0;;8.0;0.0
max;;900.0;88.0;5.0;7.0;9.0;40.0;34.0;15.0;28.0;25.0;6.0;0.0;14.0;18.0;25.0;1638.0;14.0;17.0;1.0;8.0;64.0;900.0645161289999;6.0;54.0;136.0;217.0;0.0;1025.0;6.0;63.0;8.0;36.0;30.0;30.0;70.0;390.0;;130.0;70.0
