;NestedTryDepth;NestedForDepth;NumberOfPrivateMethod;NumberOfMethods_Checkstyle;Si;MCLC;NOP;MaxNumberOfNestedBlocks;NPathComplexity;CyclomaticComplexity;AnonymousInnerClassLength;VG;NCSSForThisFile;NumberOfMathOperations;Fin;ExecutableStatementCount;Di;NBD;NVAR;NestedIfElseDepth;NumberOfPackageMethod;FileLength;NumberOfPublicMethods_Checkstyle;NCSSForThisClass;Ci;ThrowsCount;ClassFanOutComplexity;NumberOfModifiers;IOVars;NCOMP;Maximum Depth;WMC_CK;Fout;MethodLength;NumberOfProtectedMethod;BuggedMethods;NCSSForThisMethod;BooleanExpressionComplexity;ClassDataAbstractionCoupling
count;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760.0;7760;7760.0;7760.0;7760.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7667;;;
mean;0.0006443298969072165;0.01804123711340206;0.05670103092783505;0.448840206185567;0.20257731958762887;0.40876288659793814;0.12938144329896908;0.19574742268041237;14.34806701030928;0.8534793814432989;0.11224226804123712;0.44484536082474224;6.243814432989691;0.36997422680412373;0.05;3.1082474226804124;0.31787664477255156;0.3510309278350515;0.14278350515463917;0.023324742268041238;0.01404639175257732;12.774355670103093;0.3743556701030928;4.885051546391753;0.5204539643601804;0.0970360824742268;0.5998711340206185;1.073582474226804;0.32899484536082474;0.26597938144329897;0.6896907216494845;0.8609536082474227;0.029123711340206186;6.277319587628866;0.021778350515463916;;3.7675257731958762;0.042268041237113405;0.24510309278350514
std;0.02537711026276941;0.1570913552001145;0.5724989647332707;2.8439159472317197;10.473427601021083;2.6868960250113365;0.3668329905558578;0.5832719511157975;317.81757818049675;1.8132421659994709;1.2668880815114116;1.3371275242239407;34.32315872010364;1.569739130429288;0.5210605145292827;8.681851306111154;0.6210674716998712;0.7078620363678988;0.8314444622690987;0.17834072966918132;0.2685252414521612;68.88463292547381;2.509409968764114;26.87426741324315;10.488398322154836;0.3336851361091414;2.7855101639474538;16.626233060361198;0.6352489264701628;1.9902137994404159;1.2210707165318009;1.835093768231113;0.4491716023944718;16.280396865846846;0.5231241792502156;;9.49074896023056;0.27950024502073095;1.2987653092305003
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;4.0;0.0;;2.0;0.0;0.0
max;1.0;4.0;20.0;73.0;900.0;88.0;5.0;7.0;10000.0;36.0;40.0;34.0;747.0;28.0;25.0;215.0;6.0;14.0;25.0;4.0;11.0;1638.0;70.0;615.0;900.0645161289999;5.0;47.0;1025.0;6.0;63.0;8.0;36.0;30.0;390.0;27.0;;216.0;7.0;22.0
