;NOCh;WMC_CK_min;NMI;WMC_CK_75%;WMC_CK_count;Bugged;NMIR;WMC;NPM;DIT;NORM;WMC_CK_max;WMC_CK_25%;WMC_CK_std;WMC_CK_mean;WMC_CK_50%
count;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;;;2;;;;;;;;;;
top;;;;;;False;;;;;;;;;;
freq;;;;;;1228;;;;;;;;;;
mean;0.0;1.3383637807783955;0.0;2.460285941223193;5.254964257347101;;0.0;13.814138204924543;3.470214455917395;0.4932486100079428;0.0;4.1612390786338365;1.534352660841938;1.1141977982760705;2.154817269225597;1.8399523431294678
std;0.0;1.596363372481939;0.0;2.703706208737309;8.67626353138095;;0.0;31.42109136841297;9.157065827243187;0.5001530872042662;0.0;5.509225422795038;1.739110280774402;1.9274518303696038;2.182968238703015;2.0612636771778163
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;1.0;1.0;;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0
50%;0.0;1.0;0.0;1.75;2.0;;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.5;1.0
75%;0.0;1.0;0.0;3.25;6.0;;0.0;11.0;3.0;1.0;0.0;5.0;1.75;1.4684834952727703;3.0;2.0
max;0.0;17.0;0.0;25.5;90.0;;0.0;212.0;72.0;1.0;0.0;67.0;17.0;18.384776310850235;17.333333333333332;21.0
