NOP_count;Si_std;blamemerge_blamegetDistinctOperandsCnt_mean;Fout_50%;Si_50%;IOVars_25%;Ci_min;MCLC_count;VG_max;MCLC_std;Di_mean;blamemerge_blamegetDistinctOperatorsCnt_count;Fin_75%;NVAR_count;NVAR_50%;NCOMP_25%;MCLC_25%;Fout_max;Di_min;NBD_mean;NBD_25%;blame_merge_blame_getDistinctOperatorsCnt_min;IOVars_mean;NCOMP_std;NVAR_min;Fin_std;Fin_count;MCLC_min;blame_merge_blame_getDistinctOperandsCnt_min;Difficulty;blame_merge_blame_getDifficulty_min;blame_merge_blame_getDistinctOperatorsCnt_max;NBD_max;IOVars_count;MCLC_50%;blamemerge_blamegetDistinctOperatorsCnt_max;blame_merge_blame_getDifficulty_count;NCOMP_count;Ci_50%;blame_merge_blame_getDistinctOperandsCnt_mean;NCOMP_75%;Di_max;NCOMP_50%;Si_count;NVAR_25%;Fout_mean;NOPa;blamemerge_blamegetDistinctOperandsCnt_count;blamemerge_blamegetDifficulty_mean;Ci_75%;NBD_min;NCOMP_mean;blamemerge_blamegetDifficulty_max;Ci_25%;MCLC_75%;Fin_50%;blamemerge_blamegetDistinctOperatorsCnt_std;blame_merge_blame_getDifficulty_max;blame_merge_blame_getDifficulty_std;VG_min;IOVars_50%;Ci_std;Di_std;Di_25%;Si_mean;VG_25%;NumberOfDistinctOperands;NVAR_mean;NVAR_std;IOVars_max;NBD_50%;blamemerge_blamegetDistinctOperandsCnt_max;NOP_std;NumberOfDistinctOperators;Fin_25%;Ci_max;NOP_max;VG_std;Ci_count;blame_merge_blame_getDistinctOperatorsCnt_mean;blame_merge_blame_getDistinctOperandsCnt_count;IOVars_std;Si_75%;NVAR_max;Fout_min;NOP_25%;Fout_75%;Si_min;ClRCi;blamemerge_blamegetDistinctOperandsCnt_std;blame_merge_blame_getDistinctOperatorsCnt_std;VG_75%;blamemerge_blamegetDifficulty_std;VG_count;NOP_min;blamemerge_blamegetDifficulty_count;Ci_mean;VG_mean;IOVars_min;Fout_count;blame_merge_blame_getDifficulty_mean;Di_count;Fout_std;NVAR_75%;Fout_25%;VG_50%;Fin_max;IOVars_75%;blame_merge_blame_getDistinctOperandsCnt_max;blame_merge_blame_getDistinctOperandsCnt_std;NBD_75%;NCOMP_max;NOP_mean;Di_50%;NOP_75%;Si_max;MCLC_max;MCLC_mean;Di_75%;NBD_std;Fin_min;NCOMP_min;Bugged;Si_25%;NBD_count;blamemerge_blamegetDistinctOperatorsCnt_mean;ClTCi;Fin_mean;NOP_50%;blame_merge_blame_getDistinctOperatorsCnt_count
2.0;0.0;1.9274099033108705;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;13652.0;0.0;2.0;1.5;2.25;4.0;0.0;0.0;2.5;2.25;0.0;0.0;0.7071067811865476;1.0;0.0;2.0;4.0;0.0;28.33561643835617;0.0;0.0;3.0;2.0;4.0;7.0;0.0;2.0;0.0;0.0;2.75;0.0;2.5;2.0;1.25;0.0;0.0;13652.0;1.6708296708662953;0.0;2.0;2.5;3.5;0.0;4.0;0.0;2.329998915816659;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.25;73.0;1.5;0.7071067811865476;0.0;2.5;7.0;0.0;21.0;0.0;0.0;0.0;0.7071067811865476;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.6615078240919583;0.0;2.75;1.2255508105239123;2.0;0.0;13652.0;0.0;2.5;0.0;2.0;0.0;2.0;0.0;1.75;0.0;2.5;0.0;0.0;0.0;0.0;2.75;3.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.7071067811865476;0.0;2.0;False;0.0;2.0;3.371007910928802;3.0;0.0;0.0;0.0
5.0;0.4472135954999579;3.497042878265156;0.0;0.0;1.0;1.0;5.0;3.0;1.6431676725154982;0.9;32464.0;0.0;5.0;0.0;0.0;0.0;1.0;0.5;1.6;1.0;0.0;1.0;0.5477225575051662;0.0;0.4472135954999581;5.0;0.0;0.0;57.47916666666666;0.0;0.0;3.0;5.0;1.0;10.0;0.0;5.0;1.0;0.0;1.0;1.0;1.0;5.0;0.0;0.2;0.0;32464.0;2.2372679480860853;1.0;1.0;0.6;5.0;1.0;1.0;0.0;2.3607089974062925;0.0;0.0;1.0;1.0;0.22360679774997896;0.22360679774997896;1.0;0.2;1.0;216.0;0.6;1.3416407864998738;1.0;1.0;10.0;0.5477225575051662;31.0;0.0;1.5;1.0;0.8944271909999159;5.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.214285714;3.024852220989367;0.0;1.0;1.2857024033644335;5.0;0.0;32464.0;1.1;1.4;1.0;5.0;0.0;5.0;0.4472135954999579;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;1.0;0.6;1.0;1.0;1.0;4.0;1.2;1.0;0.8944271909999159;0.0;0.0;False;0.0;5.0;4.468888615081321;8.5;0.2;1.0;0.0
18.0;0.0;4.05905280188263;0.0;0.0;2.25;2.0;18.0;2.0;1.098126747211439;3.7777777777777777;27196.0;0.0;18.0;0.0;0.0;0.0;0.0;2.0;1.1666666666666667;1.0;0.0;3.7777777777777777;0.970142500145332;0.0;0.0;18.0;0.0;0.0;62.360902255639104;0.0;0.0;2.0;18.0;0.0;10.0;0.0;18.0;3.5;0.0;0.0;7.0;0.0;18.0;0.0;0.0;0.0;27196.0;1.990395383774925;5.0;1.0;0.3333333333333333;9.0;2.25;0.0;0.0;2.01320403112122;0.0;0.0;1.0;3.5;1.555088632070459;1.555088632070459;2.25;0.0;1.0;133.0;0.16666666666666666;0.5144957554275265;7.0;1.0;10.0;1.555088632070459;26.0;0.0;7.0;6.0;0.3834824944236852;18.0;0.0;0.0;1.555088632070459;0.0;2.0;0.0;1.25;0.0;0.0;3.777777778;2.2593163638745257;0.0;1.0;1.5781270528125235;18.0;1.0;27196.0;3.7777777777777777;1.1666666666666667;2.0;18.0;0.0;18.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;1.0;4.0;2.7777777777777777;3.5;4.0;0.0;4.0;0.5;5.0;0.3834824944236852;0.0;0.0;False;0.0;18.0;3.5445286071481097;68.0;0.0;2.5;0.0
4.0;0.0;2.6771638205311343;0.0;0.0;1.0;1.0;4.0;6.0;6.733003292241386;1.5;15401.0;0.0;4.0;0.5;0.0;0.0;0.0;1.0;2.75;2.0;0.0;1.5;4.856267428111155;0.0;0.0;4.0;0.0;0.0;49.284671532846716;0.0;0.0;5.0;4.0;1.0;8.0;0.0;4.0;1.5;0.0;3.25;2.0;0.5;4.0;0.0;0.0;0.0;15401.0;1.8884975001623272;2.0;2.0;2.75;4.666666666666667;1.0;5.0;0.0;2.034253350055434;0.0;0.0;1.0;1.5;0.5773502691896257;0.5773502691896257;1.0;0.0;1.0;137.0;1.25;1.8929694486000912;2.0;2.0;8.0;0.5773502691896257;32.0;0.0;2.0;1.0;2.3804761428476167;4.0;0.0;0.0;0.5773502691896257;0.0;4.0;0.0;0.0;0.0;0.0;1.4;2.4109983182550385;0.0;3.0;1.3649333414562523;4.0;0.0;15401.0;1.5;2.5;1.0;4.0;0.0;4.0;0.0;1.75;0.0;1.5;0.0;2.0;0.0;0.0;2.75;10.0;0.5;1.5;1.0;0.0;14.0;4.0;2.0;1.5;0.0;0.0;False;0.0;4.0;4.145250308421532;7.0;0.0;0.5;0.0
4.0;0.5773502691896257;2.545181888544892;0.5;0.5;1.0;1.0;4.0;3.0;4.5;0.875;10336.0;0.5;4.0;0.0;0.0;0.0;1.0;0.5;2.0;1.0;0.0;1.25;3.5;0.0;1.0;4.0;0.0;0.0;37.504807692307686;0.0;0.0;4.0;4.0;0.0;8.0;0.0;4.0;1.25;0.0;1.75;1.0;0.0;4.0;0.0;0.5;0.0;10336.0;1.7621823400412795;1.625;1.0;1.75;4.0;1.0;2.25;0.0;2.0013356739107926;0.0;0.0;1.0;1.0;0.478713553878169;0.25;0.875;0.5;1.0;104.0;0.5;1.0;2.0;1.5;8.0;0.5;29.0;0.0;2.0;1.0;1.0;4.0;0.0;0.0;0.5;1.0;2.0;0.0;0.0;1.0;0.0;1.3;2.386157874256358;0.0;1.5;1.2312263014042386;4.0;0.0;10336.0;1.375;1.5;1.0;4.0;0.0;4.0;0.5773502691896257;0.5;0.0;1.0;2.0;1.25;0.0;0.0;2.5;7.0;0.25;1.0;0.25;1.0;9.0;2.25;1.0;1.4142135623730951;0.0;0.0;False;0.0;4.0;3.9226973684210527;6.5;0.5;0.0;0.0
7.0;0.4879500364742666;2.052113092306177;0.0;0.0;1.0;1.0;7.0;9.0;5.472876844254851;1.7142857142857142;20302.0;0.5;7.0;0.0;0.5;0.5;1.0;0.5;2.571428571428572;1.0;0.0;2.0;4.07080195679286;0.0;0.4879500364742666;7.0;0.0;0.0;65.15107913669064;0.0;0.0;6.0;7.0;1.0;8.0;0.0;7.0;2.0;0.0;5.0;3.0;1.0;7.0;0.0;0.2857142857142857;0.0;20302.0;1.597305097785346;2.75;1.0;3.2857142857142856;4.666666666666667;1.25;8.0;0.0;1.6506994941976052;0.0;0.0;1.0;2.0;0.8660254037844386;0.9940297973880048;1.0;0.2857142857142857;1.0;139.0;1.2857142857142858;1.7043362064926937;3.0;1.0;8.0;1.2149857925879115;32.0;0.0;3.0;3.0;3.5523298860110977;7.0;0.0;0.0;1.0;0.5;4.0;0.0;0.0;0.5;0.0;2.0;1.7407862162891024;0.0;5.5;1.1851878099605118;7.0;0.0;20302.0;2.0;3.4285714285714284;1.0;7.0;0.0;7.0;0.4879500364742666;2.5;0.0;1.0;1.0;3.0;0.0;0.0;4.0;11.0;1.1428571428571428;1.5;2.0;1.0;14.0;4.571428571428571;2.5;2.14919697074224;0.0;0.0;False;0.0;7.0;3.60294552260861;16.0;0.2857142857142857;1.0;0.0
3.0;0.0;2.0565236962253235;0.0;0.0;1.0;1.0;3.0;3.0;4.932882862316247;1.3333333333333333;15551.0;0.0;3.0;0.0;0.5;0.5;0.0;1.0;2.6666666666666665;2.0;0.0;1.3333333333333333;3.7859388972001833;0.0;0.0;3.0;0.0;0.0;48.01415094339622;0.0;0.0;4.0;3.0;1.0;8.0;0.0;3.0;1.0;0.0;4.0;2.0;1.0;3.0;0.0;0.0;0.0;15551.0;1.4134192870769298;1.5;2.0;2.6666666666666665;4.666666666666667;1.0;5.0;0.0;2.2716580451112702;0.0;0.0;1.0;1.0;0.5773502691896257;0.5773502691896257;1.0;0.0;1.0;106.0;0.6666666666666666;1.1547005383792517;2.0;2.0;7.0;0.5773502691896258;27.0;0.0;2.0;1.0;1.1547005383792517;3.0;0.0;0.0;0.5773502691896257;0.0;2.0;0.0;0.0;0.0;0.0;1.25;1.8437225672233373;0.0;2.0;1.1520687322445131;3.0;0.0;15551.0;1.3333333333333333;1.6666666666666667;1.0;3.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;1.5;0.0;0.0;3.0;7.0;0.3333333333333333;1.0;0.5;0.0;9.0;3.333333333333333;1.5;1.1547005383792517;0.0;0.0;False;0.0;3.0;2.824255674876213;5.0;0.0;0.0;0.0
3.0;0.0;2.464594127806563;0.0;0.0;1.0;1.0;3.0;3.0;4.618802153517007;1.3333333333333333;10422.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;2.333333333333333;1.5;0.0;1.3333333333333333;3.4641016151377544;0.0;0.0;3.0;0.0;0.0;41.86054421768708;0.0;0.0;4.0;3.0;0.0;8.0;0.0;3.0;1.0;0.0;3.0;2.0;0.0;3.0;0.0;0.0;0.0;10422.0;1.5979258619586771;1.5;1.0;2.0;7.0;1.0;4.0;0.0;2.0886719505283584;0.0;0.0;1.0;1.0;0.5773502691896257;0.5773502691896257;1.0;0.0;1.0;147.0;0.6666666666666666;1.1547005383792517;2.0;2.0;9.0;0.5773502691896258;31.0;0.0;2.0;1.0;1.1547005383792517;3.0;0.0;0.0;0.5773502691896257;0.0;2.0;0.0;0.0;0.0;0.0;1.5;2.4813368285828017;0.0;2.0;1.313930526231424;3.0;0.0;10422.0;1.3333333333333333;1.6666666666666667;1.0;3.0;0.0;3.0;0.0;1.0;0.0;1.0;0.0;1.5;0.0;0.0;3.0;6.0;0.3333333333333333;1.0;0.5;0.0;8.0;2.6666666666666665;1.5;1.5275252316519463;0.0;0.0;False;0.0;3.0;3.7608904241028593;6.0;0.0;0.0;0.0
2.0;0.0;3.543086010195;0.0;0.0;2.25;1.0;2.0;1.0;0.0;3.5;12359.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.5;1.25;0.0;3.5;0.0;0.0;0.0;2.0;0.0;0.0;25.783783783783782;0.0;0.0;2.0;2.0;0.0;8.0;0.0;2.0;3.5;0.0;0.0;6.0;0.0;2.0;0.0;0.0;0.0;12359.0;1.5967085871487523;4.75;1.0;0.0;4.2;2.25;0.0;0.0;1.920797802836072;0.0;0.0;1.0;3.5;3.5355339059327378;3.5355339059327378;2.25;0.0;1.0;74.0;0.0;0.0;6.0;1.5;7.0;3.5355339059327378;18.0;0.0;6.0;5.0;0.0;2.0;0.0;0.0;3.5355339059327378;0.0;0.0;0.0;1.25;0.0;0.0;2.666666667;2.0851901641530506;0.0;1.0;1.169945585442716;2.0;0.0;12359.0;3.5;1.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;4.75;0.0;0.0;1.75;0.0;2.5;3.5;3.75;0.0;0.0;0.0;4.75;0.7071067811865476;0.0;0.0;False;0.0;2.0;3.0331742050327697;8.0;0.0;2.5;0.0
2.0;0.0;3.3325860477383618;0.0;0.0;1.75;1.0;2.0;1.0;0.0;2.5;7583.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.5;1.25;0.0;2.5;0.0;0.0;0.0;2.0;0.0;0.0;25.956521739130434;0.0;0.0;2.0;2.0;0.0;8.0;0.0;2.0;2.5;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;7583.0;1.492064015372732;3.25;1.0;0.0;4.2;1.75;0.0;0.0;1.4942585633450551;0.0;0.0;1.0;2.5;2.1213203435596424;2.1213203435596424;1.75;0.0;1.0;69.0;0.0;0.0;4.0;1.5;7.0;2.1213203435596424;18.0;0.0;4.0;3.0;0.0;2.0;0.0;0.0;2.1213203435596424;0.0;0.0;0.0;0.75;0.0;0.0;2.0;2.0557136436016785;0.0;1.0;0.8792804853238988;2.0;0.0;7583.0;2.5;1.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;3.25;0.0;0.0;1.75;0.0;1.5;2.5;2.25;0.0;0.0;0.0;3.25;0.7071067811865476;0.0;0.0;False;0.0;2.0;3.0536726889094026;6.0;0.0;1.5;0.0
