;NOP_count;Si_std;blamemerge_blamegetDistinctOperandsCnt_mean;Fout_50%;Si_50%;IOVars_25%;Ci_min;MCLC_count;VG_max;MCLC_std;Di_mean;blamemerge_blamegetDistinctOperatorsCnt_count;Fin_75%;NVAR_count;NVAR_50%;NCOMP_25%;MCLC_25%;Fout_max;Di_min;NBD_mean;NBD_25%;blame_merge_blame_getDistinctOperatorsCnt_min;IOVars_mean;NCOMP_std;NVAR_min;Fin_std;Fin_count;MCLC_min;blame_merge_blame_getDistinctOperandsCnt_min;Difficulty;blame_merge_blame_getDifficulty_min;blame_merge_blame_getDistinctOperatorsCnt_max;NBD_max;IOVars_count;MCLC_50%;blamemerge_blamegetDistinctOperatorsCnt_max;blame_merge_blame_getDifficulty_count;NCOMP_count;Ci_50%;blame_merge_blame_getDistinctOperandsCnt_mean;NCOMP_75%;Di_max;NCOMP_50%;Si_count;NVAR_25%;Fout_mean;NOPa;blamemerge_blamegetDistinctOperandsCnt_count;blamemerge_blamegetDifficulty_mean;Ci_75%;NBD_min;NCOMP_mean;blamemerge_blamegetDifficulty_max;Ci_25%;MCLC_75%;Fin_50%;blamemerge_blamegetDistinctOperatorsCnt_std;blame_merge_blame_getDifficulty_max;blame_merge_blame_getDifficulty_std;VG_min;IOVars_50%;Ci_std;Di_std;Di_25%;Si_mean;VG_25%;NumberOfDistinctOperands;NVAR_mean;NVAR_std;IOVars_max;NBD_50%;blamemerge_blamegetDistinctOperandsCnt_max;NOP_std;NumberOfDistinctOperators;Fin_25%;Ci_max;NOP_max;VG_std;Ci_count;blame_merge_blame_getDistinctOperatorsCnt_mean;blame_merge_blame_getDistinctOperandsCnt_count;IOVars_std;Si_75%;NVAR_max;Fout_min;NOP_25%;Fout_75%;Si_min;ClRCi;blamemerge_blamegetDistinctOperandsCnt_std;blame_merge_blame_getDistinctOperatorsCnt_std;VG_75%;blamemerge_blamegetDifficulty_std;VG_count;NOP_min;blamemerge_blamegetDifficulty_count;Ci_mean;VG_mean;IOVars_min;Fout_count;blame_merge_blame_getDifficulty_mean;Di_count;Fout_std;NVAR_75%;Fout_25%;VG_50%;Fin_max;IOVars_75%;blame_merge_blame_getDistinctOperandsCnt_max;blame_merge_blame_getDistinctOperandsCnt_std;NBD_75%;NCOMP_max;NOP_mean;Di_50%;NOP_75%;Si_max;MCLC_max;MCLC_mean;Di_75%;NBD_std;Fin_min;NCOMP_min;Bugged;Si_25%;NBD_count;blamemerge_blamegetDistinctOperatorsCnt_mean;ClTCi;Fin_mean;NOP_50%;blame_merge_blame_getDistinctOperatorsCnt_count
count;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0;1259.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1228;;;;;;;
mean;3.3836378077839555;0.45520112565346255;2.0159125249687566;0.009134233518665607;0.009134233518665607;0.7496028594122319;0.59054805401112;3.3836378077839555;2.312946783161239;1.406161070581115;0.9111865257379859;16338.796664019063;0.022239872915011914;3.3836378077839555;0.403494837172359;0.4592930897537728;0.73868149324861;0.2200158856235107;0.5635264002724385;0.8099076227924884;0.6525019857029388;0.0;0.9277315972173522;0.9628904191629066;0.17633042096902304;0.06684200555792684;3.3836378077839555;0.5091342335186656;0.0;51.676893394124775;0.0;0.0;1.2756155679110406;3.3836378077839555;1.0925337569499602;8.397934868943606;0.0;3.3836378077839555;0.9017077045274027;0.0;1.1862589356632247;1.386550172093725;0.6699761715647339;3.3836378077839555;0.2587370929308975;0.03167765733900588;0.0;16338.796664019063;1.2928371942441952;1.0946187450351468;0.5925337569499602;0.9781903860601758;5.946596238683213;0.7581413820492454;1.8772835583796663;0.006751389992057188;2.2621024805241094;0.0;0.0;0.6576648133439238;0.8880063542494043;0.7297146273382452;0.32969962617634435;0.7352594651832804;0.13923543242624564;0.761517077045274;125.77045274027006;0.5459480025981334;0.49972732825863586;1.403494837172359;0.7370929308975377;8.816521048451152;0.3330946373298227;26.752184273232725;0.0017871326449563146;3.1956544720929307;1.1278792692613184;0.6207309669712211;3.3836378077839555;0.0;0.0;0.3312919742807125;0.036735504368546466;1.4908657664813343;0.0015885623510722795;0.4521445591739476;0.029984114376489276;0.0015885623510722795;1.3077551308562352;2.1427886747326923;0.0;1.2372915011914218;1.362582696460753;3.3836378077839555;0.3193010325655282;16338.796664019063;1.0504219581642316;1.0958337894427903;0.5869737887212073;3.3836378077839555;0.0;3.3836378077839555;0.06410735514522595;0.6908260524225576;0.0041699761715647335;0.9106433677521842;0.23193010325655283;1.0712867355043685;0.0;0.0;0.8979348689436061;2.8212867355043687;0.6406814544502282;0.875595710881255;0.7907069102462272;1.9404289118347895;4.209690230341541;1.5241383886583089;1.0509332803804607;0.2781996147079835;0.0;0.3129467831612391;;0.0041699761715647335;3.3836378077839555;2.5083982293400555;16.989784453027006;0.029795905558265945;0.5893566322478158;0.0
std;8.232979887077203;8.514102581160207;0.8721858778860446;0.0898017438093747;0.0898017438093747;1.1145178691379278;0.9984795762077062;8.232979887077203;4.862881290091487;3.58694773394591;1.300460474222597;25193.888701046533;0.1676956976959725;8.232979887077203;1.322582572222594;2.0415937754019144;2.9654410111353893;1.3760544734482314;0.9934967651553179;1.0916126606083818;0.9172735654726853;0.0;1.3085292624600384;2.6846627062484774;0.9622669009523416;0.3217012537215263;8.232979887077203;2.6807689611052914;0.0;37.479669659040646;0.0;0.0;2.0353320682210922;8.232979887077203;3.5813806853123342;1.9549038723087153;0.0;8.232979887077203;1.2812155857366674;0.0;3.314040958082706;2.08546865124845;2.4651183551700195;8.232979887077203;1.065064875569329;0.15978632370730816;0.0;25193.888701046533;0.627851852633516;1.5528500546033828;0.8532970830932012;2.6991423099983938;2.196955260889898;1.1145661895132282;4.782317498827773;0.07819817668652251;0.6073978215229577;0.0;0.0;1.2757533185729697;1.2798763155506259;8.498118726795092;0.6458858803283869;1.1077560555450785;2.6612326760887233;1.427071334344957;101.09630638367187;1.3702489320419322;1.171903601892483;2.0949300261727046;1.0280168137041408;2.578592368463173;0.6308251482557065;10.459881776730867;0.03067184837322728;32.28309783816786;1.8527707600745067;1.6029863340258017;8.232979887077203;0.0;0.0;0.6452704535715683;0.283682466134539;3.5843952729056103;0.03984092848952789;0.896770043036465;0.17449814409089445;0.03984092848952789;3.7136211747485453;0.5686852201951957;0.0;2.2718505627235754;0.4771440153922888;8.232979887077203;0.7902631753124365;25193.888701046533;3.0023971289954767;1.8836075997391268;0.9988969950823763;8.232979887077203;0.0;8.232979887077203;0.3482947756607603;1.7347946142586892;0.05579037264375603;1.719775879876464;1.3326869024074035;1.5303084042094341;0.0;0.0;1.2503607208168244;7.235686463450972;1.0593169721047726;1.2730203077118765;1.27685034251394;32.28360183854373;10.17863663285258;3.8747273850300745;1.5211550884116636;0.6092966068535324;0.0;1.8429384343168953;;0.05579037264375603;8.232979887077203;1.12090617066894;59.12928011858996;0.15685321454792653;1.0424981381004295;0.0
min;0.0;0.0;0.0005219206680584551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.00013048016701461377;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.02284558311924769;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04569116623849539;0.0;0.0;0.011422791559623849;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.00026096033402922753;0.0;0.0;0.0;0.0
25%;0.0;0.0;1.4217102925500416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.51360216091067;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;449.0;0.8957204487856446;0.0;0.0;0.0;4.375;0.0;0.0;0.0;2.0720563857896144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.0;0.0;0.0;0.0;0.0;7.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8542528669277414;0.0;0.0;1.1585668471355173;0.0;0.0;449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.8482168668671355;0.0;0.0;0.0;0.0
50%;0.0;0.0;2.0947137954990422;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6663.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.901639344262286;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6663.0;1.2991071428571428;0.0;0.0;0.0;6.0;0.0;0.0;0.0;2.3607089974062925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;103.0;0.0;0.0;0.0;0.0;8.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.255679033780342;0.0;0.0;1.351124027516709;0.0;0.0;6663.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;2.5931212323421966;0.0;0.0;0.0;0.0
75%;3.0;0.0;2.627577949641087;0.0;0.0;1.0;1.0;3.0;3.0;0.8897441970783497;1.6666666666666667;21906.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.4444444444444444;1.0;0.0;1.717142857142857;0.4440860736720281;0.0;0.0;3.0;0.0;0.0;67.2102143218944;0.0;0.0;2.0;3.0;0.0;9.0;0.0;3.0;2.0;0.0;0.625;2.0;0.0;3.0;0.0;0.0;0.0;21906.0;1.6525222969527955;2.0;1.0;0.6;7.5;1.0;1.375;0.0;2.608593897011088;0.0;0.0;1.0;2.0;0.5383096332449955;0.5113289506889044;1.0;0.0;1.0;164.0;0.47727272727272724;0.1948582376892506;2.0;1.0;10.0;0.5477225575051662;34.0;0.0;3.0;2.0;0.33333333333333337;3.0;0.0;0.0;0.516973474500544;0.0;1.5;0.0;0.75;0.0;0.0;2.0;2.479034929174854;0.0;1.5;1.6012647409064567;3.0;0.0;21906.0;1.8333333333333333;1.5;1.0;3.0;0.0;3.0;0.0;0.25;0.0;1.0;0.0;2.0;0.0;0.0;1.625;2.0;1.0;1.5;1.0;0.0;3.0;1.2;2.0;0.2723056700125195;0.0;0.0;;0.0;3.0;3.195261857621496;13.0;0.0;1.0;0.0
