;NCSSForThisFile;Ci;NumberOfParenthesizedExps;Di;NVAR;MethodLength;NestedTryDepth;WMC_CK;Fin;NumberOfLogStatements;LOCMethod_CK;IsConstructor;NCSSForThisClass;IOVars;NBD;NumberOfStringLiterals;MaxNumberOfNestedBlocks;AnonymousInnerClassLength;VG;RFC;NumberOfMethods_Checkstyle;NumberOfAnonymousClasses;NumberOfNumbers;ExecutableStatementCount;NumberOfMathOperations;NestedForDepth;NCOMP;NumberOfInnerClasses;NumberOfLambdas;NumberOfModifiers;NumberOfParameters_CK;CBO;NOP;FileLength;NumberOfVariables;NumberOfTryCatch;NumberOfUniqueWords;BuggedMethods;ClassFanOutComplexity;BooleanExpressionComplexity;ClassDataAbstractionCoupling;NumberOfProtectedMethod;NPathComplexity;ThrowsCount;NumberOfComparisons;Si;CyclomaticComplexity;NumberOfPrivateMethod;Returns;NCSSForThisMethod;NumberOfAssignments;NestedIfElseDepth;NumberOfPublicMethods_Checkstyle;Fout;NumberOfLoops;NumberOfPackageMethod;MCLC
count;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0
unique;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;7193;;;;;;;;;;;;;;;;;;;;;;;;;;7333;;;;;;;;;;;;;;;;;;;
mean;6.05574393055744;0.44608868910348565;0.036213210362132105;0.39753314861793027;0.1326461413264614;6.467516614675167;0.0014919300149193002;0.8167638681676387;0.0450291604502916;0.009765360097653601;4.953343279533433;;5.43035399430354;0.40770378407703783;0.4565305845653058;1.9319137393191375;0.1571951715719517;0.11162349111623492;0.5166146751661468;2.277905872779059;0.6074867760748678;0.004475790044757901;0.3115421131154211;3.3731181337311815;0.1687237216872372;0.0024413400244134003;0.2190424521904245;0.00040689000406890003;0.0008137800081378001;1.565577105655771;0.1943577919435779;1.0987386409873865;0.15244812152448123;12.98643699986437;0.8369727383697274;0.0085446900854469;6.905465889054659;;0.7587142275871422;0.024413400244134003;0.19761291197612912;0.030109860301098603;2.509426285094263;0.1597721415977214;0.10145124101451242;0.0485555404855554;0.8167638681676387;0.0788010307880103;0.32266377322663775;4.13712193137122;1.2545775125457752;0.034992540349925404;0.48460599484605993;0.024955920249559203;0.0400108504001085;0.014241150142411502;0.3516885935168859
std;36.16214931435511;1.3137320519725084;0.321783526929375;0.6492271718802752;0.6099055807153931;15.172553674357193;0.03859930356540978;1.221831168125951;0.447918305377504;0.1394202076912287;9.75572476929842;;33.622677859808704;0.6574464347590434;0.8051750392187728;8.29665502661453;0.5545171378093454;1.4679213134482942;1.0961144999749635;5.359480659959117;3.120610139230628;0.06675598673216748;2.456551025664799;8.821160926359317;1.1891230057563094;0.05700526848261395;2.273226606026862;0.020168778250389246;0.02851715393162806;17.171470709599436;0.43865163660267065;2.1185086697738185;0.37463100156196216;82.16223929118432;2.2573218791593197;0.09494957147767974;10.819569833855375;;2.94325407012038;0.18474278138394135;1.0367028730002512;0.33982289501246815;118.48478556587129;0.42086590344337776;0.561965302834574;1.1471151574931282;1.2252679723895736;0.7920878919556643;0.5404654857909339;9.177223345907256;3.54111495406064;0.23839645748777033;2.640812007751439;0.21895032434288297;0.24794237312789202;0.2507462219634699;2.5218274331159125
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;0.0;1.0;0.0;5.0;0.0;1.0;0.0;0.0;4.0;;0.0;1.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
