;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;7333;;;;;;;;;;;;;;;;;;;;;;7193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;6.05574393055744;0.034992540349925404;0.024413400244134003;0.8167638681676387;4.13712193137122;2.509426285094263;0.1597721415977214;5.43035399430354;0.030109860301098603;0.014241150142411502;0.0788010307880103;3.3731181337311815;6.467516614675167;12.98643699986437;0.11162349111623492;0.6074867760748678;0.48460599484605993;0.7587142275871422;0.0014919300149193002;0.19761291197612912;0.0024413400244134003;;1.0987386409873865;0.8167638681676387;2.277905872779059;4.953343279533433;0.32266377322663775;0.8369727383697274;0.1943577919435779;0.0400108504001085;0.10145124101451242;0.0085446900854469;0.036213210362132105;1.9319137393191375;0.3115421131154211;1.2545775125457752;0.1687237216872372;0.1571951715719517;0.004475790044757901;0.00040689000406890003;0.0008137800081378001;6.905465889054659;1.565577105655771;0.009765360097653601;0.44608868910348565;0.39753314861793027;0.0450291604502916;0.024955920249559203;0.40770378407703783;0.3516885935168859;0.4565305845653058;0.2190424521904245;0.15244812152448123;0.1326461413264614;0.0485555404855554;0.5166146751661468;0.5069849450698495;2.8767123287671232;0.9184863691848637;2.8219178082191783
std;;36.16214931435511;0.23839645748777033;0.18474278138394135;1.2252679723895736;9.177223345907256;118.48478556587129;0.42086590344337776;33.622677859808704;0.33982289501246815;0.2507462219634699;0.7920878919556643;8.821160926359317;15.172553674357193;82.16223929118432;1.4679213134482942;3.120610139230628;2.640812007751439;2.94325407012038;0.03859930356540978;1.0367028730002512;0.05700526848261395;;2.1185086697738185;1.221831168125951;5.359480659959117;9.75572476929842;0.5404654857909339;2.2573218791593197;0.43865163660267065;0.24794237312789202;0.561965302834574;0.09494957147767974;0.321783526929375;8.29665502661453;2.456551025664799;3.54111495406064;1.1891230057563094;0.5545171378093454;0.06675598673216748;0.020168778250389246;0.02851715393162806;10.819569833855375;17.171470709599436;0.1394202076912287;1.3137320519725084;0.6492271718802752;0.447918305377504;0.21895032434288297;0.6574464347590434;2.5218274331159125;0.8051750392187728;2.273226606026862;0.37463100156196216;0.6099055807153931;1.1471151574931282;1.0961144999749635;0.902526317685012;8.80557254863253;1.2414662748739889;10.899725327709186
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;9.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
