NCSSForThisFile_max;NCSSForThisMethod_mean;ClassFanOutComplexity_max;FileLength_max;NestedIfElseDepth_75%;CyclomaticComplexity_count;ExecutableStatementCount_max;NumberOfPrivateMethod_max;ClassFanOutComplexity_50%;ClassDataAbstractionCoupling_50%;MethodLength_count;NCSSForThisFile_50%;BooleanExpressionComplexity_min;NCSSForThisFile_75%;CyclomaticComplexity_min;NCSSForThisFile_25%;ClassFanOutComplexity_count;ClassFanOutComplexity_min;NumberOfPackageMethod_max;NumberOfPrivateMethod_75%;AnonymousInnerClassLength_max;NumberOfPackageMethod_min;CyclomaticComplexity_max;FileLength_std;NestedIfElseDepth_mean;NestedTryDepth_std;NestedForDepth_50%;NumberOfProtectedMethod_max;ClassFanOutComplexity_std;MethodLength_min;NCSSForThisClass_25%;ExecutableStatementCount_25%;ExecutableStatementCount_min;AnonymousInnerClassLength_mean;NCSSForThisClass_min;ClassDataAbstractionCoupling_std;ClassDataAbstractionCoupling_25%;AnonymousInnerClassLength_50%;NumberOfPublicMethods_Checkstyle_count;NestedIfElseDepth_max;MethodLength_75%;NumberOfProtectedMethod_25%;NumberOfPackageMethod_50%;NestedForDepth_max;AnonymousInnerClassLength_25%;BooleanExpressionComplexity_50%;NumberOfPublicMethods_Checkstyle_25%;ClassDataAbstractionCoupling_mean;FileLength_count;NestedTryDepth_mean;FileLength_75%;CyclomaticComplexity_mean;NumberOfMethods_Checkstyle_25%;FileLength_25%;BooleanExpressionComplexity_75%;NCSSForThisClass_50%;NumberOfMethods_Checkstyle_max;NPathComplexity_50%;NumberOfPrivateMethod_mean;NumberOfPublicMethods_Checkstyle_min;NumberOfPublicMethods_Checkstyle_std;ThrowsCount_50%;BooleanExpressionComplexity_count;NumberOfProtectedMethod_mean;NCSSForThisClass_75%;NestedIfElseDepth_25%;NestedForDepth_mean;NumberOfPackageMethod_25%;MethodLength_25%;NestedTryDepth_75%;BooleanExpressionComplexity_std;ThrowsCount_max;NumberOfProtectedMethod_std;NestedTryDepth_min;NumberOfPublicMethods_Checkstyle_75%;NPathComplexity_75%;NCSSForThisFile_min;CyclomaticComplexity_std;NumberOfProtectedMethod_50%;NumberOfPrivateMethod_min;ThrowsCount_75%;NestedTryDepth_25%;AnonymousInnerClassLength_std;NPathComplexity_count;CyclomaticComplexity_75%;NCSSForThisMethod_25%;ClassDataAbstractionCoupling_max;ExecutableStatementCount_50%;NumberOfPrivateMethod_std;MethodLength_mean;NCSSForThisFile_count;NestedForDepth_75%;NestedForDepth_25%;ClassFanOutComplexity_75%;NestedForDepth_min;ExecutableStatementCount_75%;BooleanExpressionComplexity_25%;NumberOfProtectedMethod_count;NPathComplexity_min;NCSSForThisClass_max;NPathComplexity_std;AnonymousInnerClassLength_count;NCSSForThisMethod_75%;NumberOfMethods_Checkstyle_min;FileLength_min;BooleanExpressionComplexity_mean;FileLength_50%;NumberOfMethods_Checkstyle_50%;Bugged;NestedTryDepth_max;CyclomaticComplexity_25%;NCSSForThisFile_std;CyclomaticComplexity_50%;ClassDataAbstractionCoupling_75%;NumberOfMethods_Checkstyle_75%;NestedTryDepth_count;ExecutableStatementCount_mean;ThrowsCount_count;NumberOfPrivateMethod_50%;AnonymousInnerClassLength_75%;NumberOfMethods_Checkstyle_std;NCSSForThisMethod_count;NumberOfPrivateMethod_25%;MethodLength_50%;NumberOfPublicMethods_Checkstyle_mean;MethodLength_max;NumberOfMethods_Checkstyle_count;ThrowsCount_min;NCSSForThisMethod_std;ThrowsCount_mean;NPathComplexity_max;ExecutableStatementCount_std;ExecutableStatementCount_count;NumberOfPackageMethod_75%;NestedForDepth_count;NumberOfMethods_Checkstyle_mean;ClassFanOutComplexity_25%;NumberOfPackageMethod_mean;ThrowsCount_25%;ClassFanOutComplexity_mean;NPathComplexity_25%;NestedIfElseDepth_std;NCSSForThisClass_count;NCSSForThisMethod_50%;NumberOfPackageMethod_count;NestedForDepth_std;NCSSForThisClass_mean;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_max;NestedTryDepth_50%;NestedIfElseDepth_min;NumberOfPrivateMethod_count;NCSSForThisMethod_max;MethodLength_std;NumberOfPublicMethods_Checkstyle_50%;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_min;BooleanExpressionComplexity_max;NCSSForThisMethod_min;ThrowsCount_std;NCSSForThisFile_mean;ClassDataAbstractionCoupling_min;NumberOfProtectedMethod_75%;NPathComplexity_mean;NumberOfPackageMethod_std;FileLength_mean;AnonymousInnerClassLength_min;NCSSForThisClass_std;NestedIfElseDepth_count
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;2.0;10.0;141.0;0.0;19.0;1.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;1.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;1.0;32.347618475749194;0.0;0.0;0.0;10.0;2.2941573387056167;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;2.0647416048350564;0.0;19.0;0.5263157894736842;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.2941573387056167;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;1.0;2.0;0.0;1.0;0.0;3.0526315789473686;19.0;0.0;0.0;0.0;0.0;1.0;0.0;19.0;0.0;39.0;0.4524139283588641;19.0;2.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;11.470786693528087;1.0;0.0;0.0;19.0;1.0;19.0;0.0;0.0;4.358898943540674;19.0;0.0;3.0;0.4736842105263158;4.0;19.0;0.0;0.0;0.0;1.0;0.0;19.0;0.0;19.0;1.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;19.0;2.0;19.0;0.0;2.0526315789473686;0.0;9.0;0.0;0.0;19.0;2.0;0.2294157338705617;0.0;19.0;0.0;0.0;2.0;0.0;2.631578947368421;0.0;0.0;0.2631578947368421;0.0;7.421052631578947;0.0;8.947213620951908;19.0
11.0;2.0;6.0;42.0;0.0;2.0;1.0;0.0;3.0;0.0;2.0;5.5;0.0;8.25;1.0;2.75;2.0;0.0;0.0;0.0;0.0;0.0;1.0;29.698484809834994;0.0;0.0;0.0;2.0;4.242640687119285;3.0;1.25;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.75;0.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;31.5;1.0;0.5;10.5;0.0;2.5;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;3.75;0.0;0.0;0.0;3.25;0.0;0.0;0.0;1.4142135623730951;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0;3.5;2.0;0.0;0.0;4.5;0.0;1.0;0.0;2.0;0.0;5.0;0.0;2.0;2.0;0.0;0.0;0.0;21.0;1.0;False;0.0;1.0;7.7781745930520225;1.0;0.0;1.5;2.0;1.0;2.0;0.0;0.0;1.4142135623730951;2.0;0.0;3.5;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;1.5;0.0;0.0;3.0;0.0;0.0;2.0;2.0;2.0;0.0;2.5;0.0;0.0;0.0;0.0;2.0;2.0;0.7071067811865476;0.0;2.0;0.0;0.0;2.0;0.0;5.5;0.0;1.5;0.0;0.0;21.0;0.0;3.5355339059327378;2.0
13.0;2.0;6.0;46.0;0.0;2.0;1.0;0.0;3.0;0.0;2.0;6.5;0.0;9.75;1.0;3.25;2.0;0.0;0.0;0.0;0.0;0.0;1.0;32.526911934581186;0.0;0.0;0.0;2.0;4.242640687119285;3.0;1.75;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.75;0.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;34.5;1.0;0.5;11.5;0.0;3.5;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;5.25;0.0;0.0;0.0;3.25;0.0;0.0;0.0;1.4142135623730951;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0;3.5;2.0;0.0;0.0;4.5;0.0;1.0;0.0;2.0;0.0;7.0;0.0;2.0;2.0;0.0;0.0;0.0;23.0;1.0;False;0.0;1.0;9.192388155425117;1.0;0.0;1.5;2.0;1.0;2.0;0.0;0.0;1.4142135623730951;2.0;0.0;3.5;0.0;4.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;1.5;0.0;0.0;3.0;0.0;0.0;2.0;2.0;2.0;0.0;3.5;0.0;0.0;0.0;0.0;2.0;2.0;0.7071067811865476;0.0;2.0;0.0;0.0;2.0;0.0;6.5;0.0;1.5;0.0;0.0;23.0;0.0;4.949747468305833;2.0
9.0;2.0;1.0;37.0;0.0;3.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;4.5;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;21.361959960016147;0.0;0.0;0.0;0.0;0.5773502691896258;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;18.5;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.7320508075688772;0.0;3.0;0.0;3.5;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;0.0;3.0;3.0;0.0;0.0;0.5;0.0;1.0;0.0;3.0;0.0;7.0;0.5773502691896258;3.0;2.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;5.196152422706632;1.0;0.0;1.5;3.0;1.0;3.0;0.0;0.0;1.7320508075688772;3.0;0.0;3.0;1.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;1.0;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;3.0;2.0;3.0;0.0;2.333333333333333;0.0;3.0;0.0;0.0;3.0;2.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.6666666666666666;0.0;12.333333333333336;0.0;4.0414518843273814;3.0
6.0;2.0;3.0;28.0;0.0;1.0;1.0;0.0;3.0;0.0;1.0;6.0;0.0;6.0;1.0;6.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;28.0;1.0;1.0;28.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;1.0;2.0;1.0;28.0;0.0;28.0;1.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;3.0;1.0;0.0;1.0;2.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;1.0;0.0;28.0;0.0;0.0;1.0
7.0;2.0;4.0;31.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;7.0;0.0;7.0;1.0;7.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;31.0;1.0;1.0;31.0;0.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;1.0;2.0;1.0;31.0;0.0;31.0;1.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;4.0;0.0;0.0;4.0;1.0;0.0;1.0;2.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;7.0;0.0;1.0;1.0;0.0;31.0;0.0;0.0;1.0
6.0;2.0;3.0;29.0;0.0;1.0;1.0;0.0;3.0;0.0;1.0;6.0;0.0;6.0;1.0;6.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;29.0;1.0;1.0;29.0;0.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;1.0;2.0;1.0;29.0;0.0;29.0;1.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;3.0;1.0;0.0;1.0;2.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;1.0;0.0;29.0;0.0;0.0;1.0
10.0;2.0;5.0;46.0;0.0;1.0;1.0;0.0;5.0;0.0;1.0;10.0;0.0;10.0;1.0;10.0;1.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;5.0;1.0;1.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;46.0;1.0;1.0;46.0;0.0;5.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;5.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;10.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;5.0;0.0;1.0;0.0;1.0;1.0;5.0;0.0;1.0;2.0;1.0;46.0;0.0;46.0;1.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;5.0;0.0;1.0;5.0;1.0;0.0;1.0;2.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;10.0;0.0;1.0;1.0;0.0;46.0;0.0;0.0;1.0
21.0;2.0;8.0;64.0;0.0;5.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;28.621670111997307;0.0;0.0;0.0;2.0;3.5777087639996634;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.3416407864998738;0.0;5.0;0.4;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.8944271909999159;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;1.0;2.0;0.0;1.0;0.0;3.2;5.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;13.0;0.4472135954999579;5.0;2.0;0.0;0.0;0.0;0.0;0.0;False;0.0;1.0;9.391485505499118;1.0;0.0;0.0;5.0;1.0;5.0;0.0;0.0;2.23606797749979;5.0;0.0;3.0;0.6;4.0;5.0;0.0;0.0;0.2;1.0;0.0;5.0;0.0;5.0;1.0;0.0;0.0;0.0;1.6;0.0;0.0;5.0;2.0;5.0;0.0;2.6;0.0;3.0;0.0;0.0;5.0;2.0;0.4472135954999579;0.0;5.0;0.0;0.0;2.0;0.4472135954999579;4.2;0.0;0.0;0.2;0.0;12.8;0.0;5.813776741499454;5.0
