;NCSSForThisFile_max;NCSSForThisMethod_mean;ClassFanOutComplexity_max;FileLength_max;NestedIfElseDepth_75%;CyclomaticComplexity_count;ExecutableStatementCount_max;NumberOfPrivateMethod_max;ClassFanOutComplexity_50%;ClassDataAbstractionCoupling_50%;MethodLength_count;NCSSForThisFile_50%;BooleanExpressionComplexity_min;NCSSForThisFile_75%;CyclomaticComplexity_min;NCSSForThisFile_25%;ClassFanOutComplexity_count;ClassFanOutComplexity_min;NumberOfPackageMethod_max;NumberOfPrivateMethod_75%;AnonymousInnerClassLength_max;NumberOfPackageMethod_min;CyclomaticComplexity_max;FileLength_std;NestedIfElseDepth_mean;NestedTryDepth_std;NestedForDepth_50%;NumberOfProtectedMethod_max;ClassFanOutComplexity_std;MethodLength_min;NCSSForThisClass_25%;ExecutableStatementCount_25%;ExecutableStatementCount_min;AnonymousInnerClassLength_mean;NCSSForThisClass_min;ClassDataAbstractionCoupling_std;ClassDataAbstractionCoupling_25%;AnonymousInnerClassLength_50%;NumberOfPublicMethods_Checkstyle_count;NestedIfElseDepth_max;MethodLength_75%;NumberOfProtectedMethod_25%;NumberOfPackageMethod_50%;NestedForDepth_max;AnonymousInnerClassLength_25%;BooleanExpressionComplexity_50%;NumberOfPublicMethods_Checkstyle_25%;ClassDataAbstractionCoupling_mean;FileLength_count;NestedTryDepth_mean;FileLength_75%;CyclomaticComplexity_mean;NumberOfMethods_Checkstyle_25%;FileLength_25%;BooleanExpressionComplexity_75%;NCSSForThisClass_50%;NumberOfMethods_Checkstyle_max;NPathComplexity_50%;NumberOfPrivateMethod_mean;NumberOfPublicMethods_Checkstyle_min;NumberOfPublicMethods_Checkstyle_std;ThrowsCount_50%;BooleanExpressionComplexity_count;NumberOfProtectedMethod_mean;NCSSForThisClass_75%;NestedIfElseDepth_25%;NestedForDepth_mean;NumberOfPackageMethod_25%;MethodLength_25%;NestedTryDepth_75%;BooleanExpressionComplexity_std;ThrowsCount_max;NumberOfProtectedMethod_std;NestedTryDepth_min;NumberOfPublicMethods_Checkstyle_75%;NPathComplexity_75%;NCSSForThisFile_min;CyclomaticComplexity_std;NumberOfProtectedMethod_50%;NumberOfPrivateMethod_min;ThrowsCount_75%;NestedTryDepth_25%;AnonymousInnerClassLength_std;NPathComplexity_count;CyclomaticComplexity_75%;NCSSForThisMethod_25%;ClassDataAbstractionCoupling_max;ExecutableStatementCount_50%;NumberOfPrivateMethod_std;MethodLength_mean;NCSSForThisFile_count;NestedForDepth_75%;NestedForDepth_25%;ClassFanOutComplexity_75%;NestedForDepth_min;ExecutableStatementCount_75%;BooleanExpressionComplexity_25%;NumberOfProtectedMethod_count;NPathComplexity_min;NCSSForThisClass_max;NPathComplexity_std;AnonymousInnerClassLength_count;NCSSForThisMethod_75%;NumberOfMethods_Checkstyle_min;FileLength_min;BooleanExpressionComplexity_mean;FileLength_50%;NumberOfMethods_Checkstyle_50%;Bugged;NestedTryDepth_max;CyclomaticComplexity_25%;NCSSForThisFile_std;CyclomaticComplexity_50%;ClassDataAbstractionCoupling_75%;NumberOfMethods_Checkstyle_75%;NestedTryDepth_count;ExecutableStatementCount_mean;ThrowsCount_count;NumberOfPrivateMethod_50%;AnonymousInnerClassLength_75%;NumberOfMethods_Checkstyle_std;NCSSForThisMethod_count;NumberOfPrivateMethod_25%;MethodLength_50%;NumberOfPublicMethods_Checkstyle_mean;MethodLength_max;NumberOfMethods_Checkstyle_count;ThrowsCount_min;NCSSForThisMethod_std;ThrowsCount_mean;NPathComplexity_max;ExecutableStatementCount_std;ExecutableStatementCount_count;NumberOfPackageMethod_75%;NestedForDepth_count;NumberOfMethods_Checkstyle_mean;ClassFanOutComplexity_25%;NumberOfPackageMethod_mean;ThrowsCount_25%;ClassFanOutComplexity_mean;NPathComplexity_25%;NestedIfElseDepth_std;NCSSForThisClass_count;NCSSForThisMethod_50%;NumberOfPackageMethod_count;NestedForDepth_std;NCSSForThisClass_mean;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_max;NestedTryDepth_50%;NestedIfElseDepth_min;NumberOfPrivateMethod_count;NCSSForThisMethod_max;MethodLength_std;NumberOfPublicMethods_Checkstyle_50%;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_min;BooleanExpressionComplexity_max;NCSSForThisMethod_min;ThrowsCount_std;NCSSForThisFile_mean;ClassDataAbstractionCoupling_min;NumberOfProtectedMethod_75%;NPathComplexity_mean;NumberOfPackageMethod_std;FileLength_mean;AnonymousInnerClassLength_min;NCSSForThisClass_std;NestedIfElseDepth_count
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;45.61455525606469;5.709992423146005;5.401617250673854;95.46091644204851;0.10444743935309973;4.859838274932614;9.212938005390836;0.5842318059299192;0.8699460916442049;0.14420485175202155;4.859838274932614;3.3652291105121295;0.018867924528301886;6.170822102425876;1.0862533692722371;2.8190700808625335;4.859838274932614;0.5842318059299192;0.10242587601078167;0.03369272237196765;0.8827493261455526;0.0047169811320754715;2.574797843665768;30.7650002978209;0.09106919732676072;0.007442164582961128;0.007075471698113208;0.21630727762803234;1.96847616482523;4.462264150943396;2.262297843665768;2.869777628032345;2.1361185983827493;0.16246459894355603;1.8584905660377358;0.5001507207048304;0.11219676549865229;0.04683288409703504;4.859838274932614;0.2574123989218329;10.025101078167117;0.023921832884097036;0.007075471698113208;0.03369272237196765;0.02240566037735849;0.028975741239892182;0.22523584905660377;0.30994682823980385;4.859838274932614;0.004616749460472381;15.671327493261456;1.5079815395378782;0.27088948787061995;7.847708894878706;0.0589622641509434;2.684636118598383;4.47843665768194;9.48820754716981;0.07150513600361613;0.17587601078167117;1.1436435565483523;0.1711590296495957;4.859838274932614;0.05684273900434619;5.150606469002695;0.043295148247978435;0.010609579567632128;0.00589622641509434;5.64588948787062;0.00387466307277628;0.06559778355508765;0.34299191374663074;0.08255730184345114;0.0013477088948787063;0.5320080862533693;11.85427897574124;2.272911051212938;0.5952537915502266;0.03032345013477089;0.012803234501347708;0.22809973045822102;0.001853099730458221;0.3475924441813711;4.859838274932614;1.649932614555256;3.8982479784366575;1.373989218328841;3.8116576819407006;0.1683207333468727;8.503163873065876;4.859838274932614;0.010950134770889488;0.005390835579514825;1.4449123989218329;0.004043126684636119;5.350909703504043;0.02122641509433962;4.859838274932614;8.071428571428571;37.746630727762806;18.554431936066663;4.859838274932614;6.686152291105121;0.21159029649595687;6.419137466307277;0.05413248947489392;9.276280323450134;0.33119946091644203;;0.0215633423180593;1.1826145552560647;14.54211806683523;1.3315363881401616;0.2628032345013477;0.6354447439353099;4.859838274932614;4.467128661875405;4.859838274932614;0.015835579514824796;0.13763477088948786;1.4145669497928146;4.859838274932614;0.014319407008086253;7.248315363881401;0.6597223384124392;17.193396226415093;4.859838274932614;0.08692722371967655;3.1840635952376313;0.18750013230898374;64.0734501347709;2.790868599142628;4.859838274932614;0.01263477088948787;4.859838274932614;0.8056724765924845;0.722877358490566;0.018240883400048483;0.1307277628032345;1.5440666602253235;8.738544474393532;0.09393929207086112;4.859838274932614;4.939690026954178;4.859838274932614;0.012415739388254887;6.721733541665798;0.05525606469002695;3.6179245283018866;0.0023584905660377358;0.03638814016172507;4.859838274932614;11.153638814016173;4.954362781544317;0.27628032345013476;4.859838274932614;0.01752021563342318;0.17857142857142858;3.0909703504043127;0.11580159479066951;8.16058847159854;0.08153638814016173;0.0545822102425876;15.574093350416446;0.03315981367946756;19.322259634355664;0.0;11.84584660657606;4.859838274932614
std;99.9183062314719;8.936085271184279;6.696716525098769;200.47077555028497;0.3649888893461035;9.077505723264004;16.802985790736102;2.221769177174152;2.1031876387733366;0.5475625888936767;9.077505723264004;13.655908885396306;0.14567650476749086;15.940327163272862;1.6580500145646424;13.215791482754703;9.077505723264004;1.940877832179612;0.6509660163541447;0.2814090879277153;6.223289431139168;0.06854120599907867;4.093701676760237;42.569728760499;0.30189405866083185;0.05562200713066364;0.08077385139322012;0.8750552872934547;2.454662095510543;10.830045081232699;11.349378269168064;7.139948067954922;6.732761461710025;0.8808926940392292;11.267012551098608;0.910618265908577;0.4937705250951915;0.5180459645753932;9.077505723264004;0.6888322443314149;16.107051945555696;0.169089376017554;0.08283459111758122;0.2049873174726021;0.2561680265970146;0.1657733732508065;0.8932021755465552;0.6233730496464772;9.077505723264004;0.04711584625649161;30.86620358240685;1.871159595365954;1.2426391296991581;26.580526985778537;0.22892018633266392;11.67802224014571;9.00461820423702;261.97246325932394;0.299679982467776;0.8863604053448979;1.3370731563118297;0.4325944613023018;9.077505723264004;0.21375925425192563;13.783558678892371;0.25347322569922537;0.0862818205808172;0.07234119734067407;11.40612362077987;0.0575706238267642;0.19495525495725996;0.6653028330605026;0.30567504209714447;0.03669877549545728;1.026570344835065;266.51396203405307;13.129020811706166;1.2380142646704277;0.18659645363654115;0.25805530640315905;0.49246735996792473;0.03836162508274868;1.9023467766287074;9.077505723264004;2.0753286984270236;7.592090742168385;2.6526791484746486;8.250997950312657;0.49328212486028394;13.539727327871523;9.077505723264004;0.10590954139028443;0.0678733565217748;2.4620085776496956;0.06347830420265783;10.098864836493865;0.14793787747927745;9.077505723264004;259.85894616231246;91.96057649101289;201.58911365073007;9.077505723264004;10.624269057546297;1.2370872209531674;26.508478986734154;0.18302691244710628;27.471891170719882;1.2713359062366485;;0.14530172538461192;1.694963276728316;23.031408771506612;1.8008359670064582;0.7147571432307451;1.354147647274732;9.077505723264004;8.443075444594198;9.077505723264004;0.26081187609916057;1.0729700519260972;1.5034914974600857;9.077505723264004;0.2587096626508954;13.0318155674782;0.9235016387742292;29.327360312540296;9.077505723264004;0.33029379445304236;6.117318400760473;0.40176344852799445;672.3091742305083;5.755187745872745;9.077505723264004;0.11525748256170312;9.077505723264004;1.2519180016026434;1.968946515295399;0.1137988047973257;0.3751949944960942;2.0929700039654295;260.3807843380518;0.28307461204454015;9.077505723264004;8.734078173978379;9.077505723264004;0.09185790858964288;13.054456952671464;0.2802428899011237;8.170237057281927;0.04299747740737534;0.2463968812352251;9.077505723264004;18.319575812696016;9.494088139574078;0.9269418637303911;9.077505723264004;0.16329478986644358;0.5006257523507666;7.181526414846017;0.2692566188871083;14.778112675850391;0.4782061452484327;0.2361523460103608;272.2295508419404;0.20823384225367353;28.033608733782717;0.0;20.97442642917782;9.077505723264004
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.23922413793103448;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
50%;16.0;3.0;3.0;50.0;0.0;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;22.57203874818246;0.0;0.0;0.0;0.0;1.12164690573907;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.5;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0;0.0;1.0;0.0;4.149456521739131;3.0;0.0;0.0;0.0;0.0;1.5;0.0;3.0;0.0;10.5;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;5.5;1.0;0.0;0.0;3.0;1.5555555555555556;3.0;0.0;0.0;1.4142135623730951;3.0;0.0;3.0;0.8;6.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;3.0;0.0;4.0;0.0;2.0;0.0;0.0;3.0;4.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;5.333333333333333;0.0;0.0;0.8;0.0;16.0;0.0;3.6786767470459685;3.0
75%;48.0;7.5;8.0;104.0;0.0;6.0;11.0;0.0;1.0;0.0;6.0;0.0;0.0;8.0;1.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;3.0;45.067134033967044;0.0;0.0;0.0;0.0;3.055050463303893;3.0;0.0;2.5;1.0;0.0;0.0;0.7071067811865476;0.0;0.0;6.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4545454545454545;6.0;0.0;28.0;2.0;0.5;0.0;0.0;0.0;5.0;1.0;0.0;0.0;1.8940687354753254;0.0;6.0;0.0;6.5;0.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.792356803091055;0.0;0.0;0.0;0.0;0.0;6.0;2.0;4.0;2.0;4.5;0.0;11.25;6.0;0.0;0.0;2.0;0.0;7.0;0.0;6.0;1.0;37.0;1.2547511905949609;6.0;9.0;0.0;0.0;0.0;0.0;1.0;;0.0;1.0;20.018556395276004;1.0;0.0;1.0;6.0;5.71626984126984;6.0;0.0;0.0;2.23606797749979;6.0;0.0;9.0;1.0;22.0;6.0;0.0;4.284476211735752;0.13248847926267282;4.0;3.747958473207283;6.0;0.0;6.0;1.0;0.5;0.0;0.0;2.0;1.0;0.0;6.0;6.0;6.0;0.0;9.0;0.0;4.0;0.0;0.0;6.0;14.0;6.310044487683129;0.0;6.0;0.0;0.0;2.0;0.0;11.0;0.0;0.0;2.0;0.0;28.0;0.0;15.83601686980575;6.0
