;Returns_mean;NumberOfAnonymousClasses_75%;NumberOfAssignments_25%;WMC_CK_count;NumberOfMathOperations_25%;NumberOfStringLiterals_50%;CBO_std;NumberOfInnerClasses_25%;NumberOfComparisons_25%;Returns_std;NumberOfAssignments_75%;RFC_min;NumberOfUniqueWords_75%;NumberOfModifiers_75%;WMC_CK_50%;NumberOfNumbers_count;NumberOfParameters_CK_min;NumberOfModifiers_mean;Returns_50%;WMC_CK_75%;IsConstructor_freq;NumberOfLambdas_max;NumberOfModifiers_max;NumberOfAnonymousClasses_count;NumberOfInnerClasses_75%;NumberOfInnerClasses_max;NumberOfComparisons_min;LOCMethod_CK_std;NumberOfLoops_std;NumberOfLambdas_count;NumberOfComparisons_50%;LOCMethod_CK_min;NumberOfParenthesizedExps_max;NumberOfParameters_CK_50%;NumberOfMathOperations_mean;NumberOfVariables_mean;NumberOfUniqueWords_mean;NumberOfLambdas_50%;NumberOfLoops_50%;NumberOfParenthesizedExps_std;NumberOfTryCatch_75%;NumberOfAnonymousClasses_25%;MaxNumberOfNestedBlocks_50%;NumberOfInnerClasses_50%;CBO_25%;NumberOfModifiers_min;CBO_min;NumberOfTryCatch_min;Returns_75%;NumberOfTryCatch_25%;NumberOfAnonymousClasses_std;NumberOfLoops_min;NumberOfParameters_CK_count;NumberOfComparisons_std;NumberOfAnonymousClasses_mean;LOCMethod_CK_25%;MaxNumberOfNestedBlocks_mean;IsConstructor_count;NumberOfMathOperations_count;NumberOfParameters_CK_mean;LOCMethod_CK_mean;MaxNumberOfNestedBlocks_25%;NumberOfLambdas_25%;LOCMethod_CK_count;NumberOfTryCatch_std;NumberOfAnonymousClasses_min;NumberOfMathOperations_max;NumberOfMathOperations_50%;NumberOfLoops_75%;WMC_CK_mean;NumberOfTryCatch_mean;NumberOfStringLiterals_std;MaxNumberOfNestedBlocks_max;NumberOfAssignments_count;NumberOfAssignments_min;NumberOfLogStatements_count;NumberOfInnerClasses_count;RFC_25%;NumberOfLogStatements_mean;NumberOfAnonymousClasses_max;NumberOfMathOperations_75%;IsConstructor_top;LOCMethod_CK_max;NumberOfUniqueWords_std;NumberOfNumbers_75%;NumberOfInnerClasses_mean;NumberOfParenthesizedExps_count;NumberOfLoops_max;NumberOfAnonymousClasses_50%;LOCMethod_CK_75%;NumberOfComparisons_75%;NumberOfModifiers_std;NumberOfNumbers_25%;NumberOfVariables_std;WMC_CK_std;NumberOfLogStatements_50%;NumberOfAssignments_mean;NumberOfStringLiterals_mean;NumberOfLambdas_mean;NumberOfParenthesizedExps_min;RFC_mean;RFC_75%;NumberOfLambdas_std;NumberOfVariables_75%;RFC_count;NumberOfComparisons_count;NumberOfLoops_count;NumberOfVariables_max;LOCMethod_CK_50%;NumberOfStringLiterals_25%;NumberOfComparisons_max;NumberOfUniqueWords_50%;NumberOfLogStatements_min;Returns_min;NumberOfParenthesizedExps_50%;NumberOfTryCatch_count;NumberOfNumbers_max;NumberOfLogStatements_max;RFC_max;Bugged;NumberOfVariables_min;NumberOfStringLiterals_count;NumberOfParameters_CK_std;NumberOfParameters_CK_75%;NumberOfAssignments_max;CBO_75%;NumberOfParenthesizedExps_mean;NumberOfStringLiterals_min;NumberOfUniqueWords_min;RFC_std;NumberOfInnerClasses_std;MaxNumberOfNestedBlocks_75%;WMC_CK_min;NumberOfLogStatements_75%;NumberOfModifiers_50%;NumberOfTryCatch_50%;CBO_50%;NumberOfNumbers_50%;Returns_max;NumberOfStringLiterals_max;NumberOfUniqueWords_max;NumberOfStringLiterals_75%;NumberOfVariables_count;NumberOfVariables_50%;CBO_mean;IsConstructor_unique;CBO_count;NumberOfParameters_CK_max;CBO_max;NumberOfParenthesizedExps_75%;NumberOfParameters_CK_25%;NumberOfNumbers_mean;NumberOfLambdas_min;NumberOfInnerClasses_min;Returns_25%;NumberOfLambdas_75%;NumberOfComparisons_mean;WMC_CK_max;NumberOfAssignments_std;NumberOfMathOperations_std;NumberOfLoops_mean;RFC_50%;NumberOfAssignments_50%;NumberOfTryCatch_max;NumberOfMathOperations_min;NumberOfUniqueWords_count;NumberOfNumbers_min;WMC_CK_25%;NumberOfVariables_25%;MaxNumberOfNestedBlocks_min;NumberOfLogStatements_25%;NumberOfModifiers_count;MaxNumberOfNestedBlocks_std;NumberOfUniqueWords_25%;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_count;NumberOfNumbers_std;Returns_count;NumberOfParenthesizedExps_25%;NumberOfLogStatements_std;NumberOfLoops_25%
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.38490246085471397;0.012466307277628033;0.8598382749326146;4.824797843665769;0.08776954177897574;1.335242587601078;0.9384997536884168;0.0;0.1214622641509434;0.229302984010269;1.9299191374663074;1.2351752021563343;11.320923180592992;7.834905660377358;1.287398921832884;4.824797843665769;0.4022911051212938;7.77567458430542;0.37432614555256066;1.6005727762803235;4.689353099730458;0.016172506738544475;20.047169811320753;4.824797843665769;0.0006738544474393531;0.0006738544474393531;0.0963611859838275;3.7666904981961675;0.11353715895741522;4.824797843665769;0.16408355795148247;4.008760107816712;0.21428571428571427;0.7233827493261455;0.18877293653895597;1.0783616924787287;9.540347295024088;0.0023584905660377358;0.06098382749326146;0.07620436395774292;0.08692722371967655;0.0016846361185983828;0.30727762803234504;0.0;1.1549865229110512;3.86455525606469;0.8194070080862533;0.02223719676549865;0.4838274932614555;0.028975741239892182;0.02097784784300378;0.0330188679245283;4.824797843665769;0.25053009498389284;0.011490629043375581;4.899595687331536;0.3932401486534718;4.824797843665769;4.824797843665769;0.8135283309164874;7.080386454822677;0.20131401617250674;0.001853099730458221;4.824797843665769;0.0949711107433261;0.0;0.5970350404312669;0.12668463611859837;0.11034366576819407;1.4631556065189477;0.0775507717637488;1.500745988066074;0.9043126684636119;4.824797843665769;0.589622641509434;4.824797843665769;4.824797843665769;1.8099730458221024;0.06873324562525554;0.04649595687331536;0.2183288409703504;;13.498652291105122;4.204164232163144;0.36556603773584906;0.00022461814914645102;4.824797843665769;0.29649595687331537;0.0047169811320754715;8.259265498652292;0.2980121293800539;7.005940411397011;0.1544811320754717;0.8468443089631618;0.5810928622526753;0.036725067385444746;1.5699931852292839;1.7581220822681611;0.004312908203836729;0.016172506738544475;2.902813318386487;3.573955525606469;0.006248988726538745;1.3325471698113207;4.824797843665769;4.824797843665769;4.824797843665769;2.4380053908355794;6.15599730458221;0.9191374663072777;0.7021563342318059;8.836253369272237;0.024932614555256066;0.17452830188679244;0.032681940700808626;4.824797843665769;1.099056603773585;0.2183288409703504;5.846361185983827;;0.4049865229110512;4.824797843665769;0.47995945230108034;1.0106132075471699;3.6475741239892185;2.040599730458221;0.05732578062752308;0.6273584905660378;5.461590296495957;1.89337492221569;0.0003255026223312992;0.5028638814016172;1.0599730458221024;0.07681940700808626;5.402964959568733;0.0431266846361186;1.5347035040431267;0.20923180592991913;0.6758760107816711;4.587601078167116;15.834905660377359;2.0970350404312668;4.824797843665769;0.8854447439353099;1.6871688923920318;0.9514824797843666;4.824797843665769;1.4966307277628033;3.0451482479784366;0.058793800539083556;0.5262803234501348;0.32688959314614413;0.0006738544474393531;0.0;0.26667789757412397;0.003537735849056604;0.25285537770828753;2.5026954177897576;1.2155474658855232;0.20325923870954005;0.09910439059560448;2.5235849056603774;1.2890835579514826;0.24797843665768193;0.06334231805929919;4.824797843665769;0.11725067385444744;1.1410040431266846;0.5931603773584906;0.14150943396226415;0.02931266846361186;4.824797843665769;0.33509962887772266;7.104784366576819;4.5992250673854445;4.824797843665769;0.34695037239463977;4.824797843665769;0.02442722371967655;0.08004303676611084;0.045485175202156336
std;0.44924033117081125;0.09937218064844217;2.40836390453902;9.032960079319176;0.6335503558471031;4.948144234347177;1.3755190712174383;0.0;0.7777974880987851;0.3857743062153029;3.5664354228394797;3.5398629502147485;11.439474629304415;70.82618323199121;1.7310138283084844;9.032960079319176;1.0046527666575427;62.1712685802466;0.48775417057577386;2.0127169891589825;8.998905746731328;0.21352113322723482;131.90189936992036;9.032960079319176;0.025958706582558246;0.025958706582558246;0.7638230980761368;6.9859135267782495;0.2758111646467071;9.032960079319176;0.8173752268011776;8.374933142257804;0.8078580450438715;1.088528617280916;0.8296174756489959;2.1470551846358066;9.369686514023725;0.05945212483176735;0.37291200100492816;0.31680587585422326;0.33067636212274193;0.02423180382730972;0.7162883848807485;0.0;1.7511393265966524;53.141687577661656;1.5922098533924893;0.18773263384849084;0.5502325014846028;0.20240303344531566;0.10135803246986605;0.33595715805894644;9.032960079319176;0.6031222107780081;0.06652992852343095;8.830655233480948;0.7248002844085017;9.032960079319176;9.032960079319176;1.0731230751643215;10.345392537346468;0.6155546910381825;0.047225117433584075;9.032960079319176;0.25895785127698634;0.0;2.4113446966874483;0.7870681396890764;0.4310079490503755;1.800079495481275;0.2551068332577383;4.7987334766752445;1.4171696405996157;9.032960079319176;2.2436063633371703;9.032960079319176;9.032960079319176;3.9650498053384466;0.3475055053815632;0.21693596535667728;1.0437614351938123;;20.9497841847302;5.823808617925429;2.1403951942758686;0.008652902194186086;9.032960079319176;0.7259480182976075;0.07095809563771423;12.264248462787059;0.940721676665238;53.92013276127843;1.798965331696843;1.689098994482362;1.1933287805414277;0.31882759333757127;2.9391227354947795;5.409874562773971;0.06355496751813773;0.1675089390601406;4.733621912095828;5.95056879373942;0.08658322076568783;2.6998523937198224;9.032960079319176;9.032960079319176;9.032960079319176;4.446527772915031;10.119936081183926;4.279673806108012;1.67733555122488;9.415619136736234;0.2571663276333283;0.3970535188590855;0.26881639859530454;9.032960079319176;5.120426922369517;0.8233205204435368;8.830423500480887;;1.6036041461047112;9.032960079319176;0.6452629742627759;1.228461186211874;6.72786103736765;2.359503440199972;0.27189008821188415;4.00513234841366;7.462688066685323;3.2855973193800114;0.012539246564387983;0.9088796718630333;1.5803203066763873;0.44096350370392207;60.87759253115936;0.24871875618567485;2.0109214229668746;1.8628431066044837;1.1099672138870758;14.196710983096922;16.75693014689559;6.506294061145694;9.032960079319176;2.1498993384625984;1.9525070771316664;0.5474804291722996;9.032960079319176;1.6998241060959052;3.564829233334434;0.34123525253772874;1.0301343185978047;2.0014266775173284;0.02595870658255825;0.0;0.43473178036551574;0.06952748180461207;0.8473668942879923;3.9454292732120164;2.3404171611592606;0.8871376700660581;0.38203295887782784;4.819826895959447;2.8631972134252575;0.6160058494426174;0.581836688975681;9.032960079319176;1.7710488076644548;1.6195727157209028;1.7657027082241794;0.5819741201397394;0.273399096614376;9.032960079319176;0.5929403859276364;8.11998404871881;55.16035794612826;9.032960079319176;1.4773424285383578;9.032960079319176;0.22645649529598585;0.3673705320524074;0.34601551525853885
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.3269230769230766;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
50%;0.2;0.0;0.0;2.0;0.0;0.0;0.4629100498862757;0.0;0.0;0.0;0.5;0.0;8.5;1.0;1.0;2.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;0.0;0.0;7.666666666666668;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;2.0;2.0;0.5;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;;5.0;1.5383592850674566;0.0;0.0;2.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;3.0;0.0;0.0;6.5;0.0;0.0;0.0;2.0;0.0;0.0;1.5;;0.0;2.0;0.0;1.0;1.0;1.5;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;11.0;0.0;2.0;0.0;1.1111111111111112;1.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;5.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0
75%;0.75;0.0;1.0;6.0;0.0;1.0;1.4142135623730951;0.0;0.0;0.5;2.5;1.0;16.0;1.5;1.0;6.0;0.0;1.4936440677966103;1.0;2.0;5.0;0.0;4.0;6.0;0.0;0.0;0.0;5.656854249492381;0.0;6.0;0.0;3.0;0.0;1.0;0.0;1.4562937062937062;13.333333333333336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;0.21094028310180418;0.0;5.0;0.5714285714285714;6.0;6.0;1.125;9.666666666666666;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.8571428571428568;0.0;0.7705854718816091;2.0;6.0;0.0;6.0;6.0;2.0;0.0;0.0;0.0;;18.0;6.517575657905246;0.0;0.0;6.0;0.0;0.0;11.0;0.0;0.5;0.0;1.1547005383792517;0.8164965809277259;0.0;2.0;1.0;0.0;0.0;4.0;5.0;0.0;2.0;6.0;6.0;6.0;3.0;8.0;0.0;1.0;12.0;0.0;0.0;0.0;6.0;0.0;0.0;8.25;;0.0;6.0;0.8069292898613638;1.5;5.0;3.0;0.0;0.0;7.0;2.8284271247461903;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;3.0;23.0;1.0;6.0;1.0;2.6;1.0;6.0;2.0;4.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.2;3.0;1.5275252316519463;0.0;0.0;3.0;1.5;0.0;0.0;6.0;0.0;1.0;0.25;0.0;0.0;6.0;0.5773502691896257;9.75;1.0;6.0;0.0;6.0;0.0;0.0;0.0
