ClTCi;NOL;Bugged;NOA;NSM;RTLOC;ClRCi;PMd;NPF;NOD;NSF;TLOC
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37.0;0.0;False;0.0;0.0;111.0;1.947368421;9.0;0.0;0.0;0.0;59.0
7.0;0.0;False;0.0;0.0;17.0;3.5;0.0;0.0;0.0;0.0;8.0
8.0;0.0;False;0.0;0.0;21.0;2.666666667;1.0;0.0;0.0;0.0;11.0
2.0;0.0;False;0.0;0.0;17.0;0.666666667;3.0;0.0;0.0;0.0;11.0
2.0;0.0;False;0.0;0.0;7.0;2.0;1.0;0.0;0.0;0.0;5.0
3.0;0.0;False;0.0;0.0;9.0;3.0;0.0;0.0;0.0;0.0;5.0
2.0;0.0;False;0.0;0.0;8.0;2.0;1.0;0.0;0.0;0.0;5.0
3.0;0.0;False;0.0;0.0;22.0;1.5;1.0;0.0;0.0;0.0;8.0
10.0;0.0;False;0.0;0.0;37.0;1.666666667;4.0;0.0;0.0;0.0;20.0
3.0;0.0;False;0.0;0.0;22.0;0.75;3.0;0.0;0.0;0.0;14.0
4.0;0.0;False;0.0;0.0;21.0;1.0;3.0;0.0;0.0;0.0;14.0
8.0;0.0;False;0.0;0.0;26.0;2.0;3.0;0.0;0.0;0.0;14.0
12.0;0.0;False;0.0;0.0;50.0;2.0;3.0;0.0;0.0;0.0;20.0
2.0;0.0;False;0.0;0.0;17.0;0.666666667;3.0;0.0;0.0;0.0;11.0
2.0;0.0;False;0.0;0.0;16.0;0.666666667;3.0;0.0;0.0;0.0;11.0
3.0;0.0;False;0.0;0.0;17.0;1.5;1.0;0.0;0.0;0.0;8.0
13.0;0.0;False;0.0;0.0;69.0;2.6;1.0;0.0;0.0;0.0;17.0
5.0;0.0;False;0.0;0.0;24.0;1.666666667;1.0;0.0;0.0;0.0;11.0
1.0;0.0;False;0.0;0.0;7.0;1.0;1.0;0.0;0.0;0.0;5.0
18.0;0.0;False;0.0;0.0;87.0;1.058823529;17.0;0.0;0.0;0.0;53.0
26.0;0.0;False;0.0;0.0;102.0;1.3;20.0;0.0;0.0;0.0;62.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;False;0.0;0.0;12.0;0.5;1.0;0.0;0.0;0.0;7.0
7.5;0.0;False;0.0;2.0;116.0;1.5;4.0;0.0;0.0;2.0;81.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.0;0.0;False;0.0;0.0;79.0;3.25;0.0;0.0;0.0;3.0;45.0
30.0;0.0;False;0.0;0.0;244.0;2.307692308;4.0;0.0;0.0;5.0;173.0
30.0;0.0;False;0.0;0.0;244.0;2.307692308;4.0;0.0;0.0;5.0;173.0
30.0;0.0;False;0.0;0.0;244.0;2.307692308;4.0;0.0;0.0;5.0;173.0
4.0;0.0;False;0.0;0.0;13.0;2.0;2.0;0.0;0.0;0.0;8.0
15.0;0.0;False;0.0;0.0;62.0;1.875;0.0;0.0;0.0;0.0;43.0
60.5;0.0;False;0.0;1.0;525.0;2.240740741;5.0;0.0;0.0;10.0;321.0
60.5;0.0;False;0.0;1.0;525.0;2.240740741;5.0;0.0;0.0;10.0;321.0
17.0;0.0;False;0.0;0.0;157.0;2.125;3.0;0.0;0.0;2.0;124.0
13.5;0.0;False;0.0;1.0;299.0;1.6875;3.0;0.0;0.0;11.0;193.0
47.0;0.0;False;0.0;0.0;151.0;1.5161290319999998;0.0;0.0;0.0;0.0;33.0
2.0;0.0;False;0.0;0.0;14.0;1.0;2.0;0.0;0.0;1.0;9.0
3.0;0.0;False;0.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;3.0
29.75;0.0;False;0.0;3.0;168.0;3.3055555560000003;2.0;0.0;0.0;12.0;111.0
4.0;0.0;False;0.0;0.0;20.0;1.333333333;2.0;0.0;0.0;1.0;12.0
4.0;0.0;False;0.0;0.0;24.0;1.333333333;2.0;0.0;0.0;1.0;16.0
8.0;0.0;False;0.0;1.0;70.0;2.0;3.0;0.0;0.0;2.0;51.0
7.0;0.0;False;0.0;0.0;62.0;1.75;3.0;0.0;0.0;9.0;43.0
12.0;0.0;False;0.0;0.0;79.0;4.0;1.0;0.0;0.0;0.0;67.0
12.0;0.0;False;0.0;0.0;79.0;4.0;1.0;0.0;0.0;0.0;67.0
11.0;0.0;False;0.0;1.0;130.0;2.75;0.0;0.0;0.0;4.0;92.0
3.0;0.0;False;0.0;0.0;16.0;1.5;1.0;0.0;0.0;1.0;9.0
14.5;0.0;False;0.0;0.0;88.0;1.8125;2.0;0.0;0.0;6.0;61.0
5.0;0.0;False;0.0;0.0;27.0;1.666666667;0.0;0.0;0.0;0.0;5.0
7.0;0.0;False;0.0;1.0;57.0;2.333333333;2.0;0.0;0.0;0.0;27.0
26.0;0.0;False;0.0;0.0;333.0;2.6;0.0;0.0;0.0;6.0;269.0
26.0;0.0;False;0.0;0.0;333.0;2.6;0.0;0.0;0.0;6.0;269.0
26.0;0.0;False;0.0;0.0;333.0;2.6;0.0;0.0;0.0;6.0;269.0
5.0;0.0;False;0.0;0.0;12.0;2.5;1.0;0.0;0.0;0.0;9.0
8.0;0.0;False;0.0;0.0;54.0;2.0;2.0;0.0;0.0;3.0;35.0
6.0;0.0;False;0.0;0.0;49.0;1.5;2.0;0.0;0.0;5.0;33.0
5.0;0.0;False;0.0;0.0;46.0;1.666666667;3.0;0.0;0.0;1.0;32.0
4.0;0.0;False;0.0;0.0;20.0;1.333333333;2.0;0.0;0.0;1.0;12.0
3.0;0.0;False;0.0;0.0;16.0;1.5;1.0;0.0;0.0;1.0;9.0
1.0;0.0;False;0.0;0.0;11.0;1.0;1.0;0.0;0.0;1.0;6.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15.0;0.0;False;0.0;3.0;60.0;2.5;2.0;0.0;0.0;1.0;46.0
2.0;0.0;False;0.0;0.0;8.0;2.0;1.0;0.0;0.0;0.0;5.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;0.0;False;0.0;0.0;59.0;3.0;2.0;0.0;0.0;0.0;64.0
2.0;0.0;False;0.0;0.0;8.0;2.0;1.0;0.0;0.0;0.0;5.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7.0;0.0;False;0.0;0.0;7.0;3.5;0.0;0.0;0.0;0.0;4.0
2.0;0.0;False;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;3.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;False;0.0;2.0;33.0;1.5;1.0;0.0;0.0;2.0;28.0
35.0;0.0;False;0.0;7.0;145.0;2.692307692;3.0;0.0;0.0;0.0;123.0
