issues_priorityMinor_min;NumberOfMathOperations_25%;NumberOfModifiers_75%;blamemerge_priorityMajor_min;PMd;NumberOfModifiers_mean;Maximum Depth_count;NumberOfModifiers_max;blamemerge_priorityMinor_count;blame_merge_priorityMajor_max;Maximum Depth_50%;NumberOfMathOperations_mean;blame_merge_priorityMinor_count;issues_priorityMajor_count;issues_priorityMajor_mean;blamemerge_priorityMajor_std;blamemerge_priorityMajor_max;NumberOfMethods_Mood;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_min;PMi;Ait;Av;issues_priorityMinor_std;issues_priorityMajor_std;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_25%;issues_priorityMinor_max;NumberOfMathOperations_max;Maximum Block Depth;NumberOfMathOperations_50%;NOPa;NMIR;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_max;blamemerge_priorityMajor_mean;NumberOfMathOperations_75%;Average Complexity*;Ao;HMi;Ad;NumberOfModifiers_std;Maximum Complexity*;blamemerge_priorityMinor_std;Maximum Depth_min;Maximum Depth_max;Mo;issues_priorityMinor_mean;Average Block Depth;blamemerge_priorityMinor_mean;NMI;Bugged;Maximum Depth_std;NF;issues_priorityMajor_min;Ai;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_std;Mi;blame_merge_priorityMajor_std;Average Statements per Method;NumberOfModifiers_50%;blame_merge_priorityMajor_count;NM;Md;Maximum Depth_25%;blame_merge_priorityMinor_max;SIX;Maximum Depth_75%;PMR;Maximum Depth_mean;blame_merge_priorityMinor_mean;issues_priorityMinor_count;blamemerge_priorityMajor_count;NumberOfMathOperations_std;blame_merge_priorityMajor_mean;NumberOfMathOperations_min;Ma;MaxNumberOfNestedBlocks_min;Mit;NumberOfModifiers_count;MaxNumberOfNestedBlocks_std;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_count;HMd;blame_merge_priorityMajor_min;NMA;issues_priorityMajor_max;blame_merge_priorityMinor_min
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1536.0;0.0;0.0;0.0;0.0;11623.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11623.0;1536.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;4.0;1.0;9.0;2.5789473684210527;5.0;4.0;3211.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;19.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.5389675281277313;1.0;0.0;2.0;2.0;0.0;0.0;1.09;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;19.0;19.0;2.0;0.0;0.0;2.0;0.473684211;2.0;0.0;2302.0;3211.0;0.0;0.0;0.0;19.0;0.0;0.0;19.0;0.0;1.0;19.0;10.0;0.0;19.0;1.0;0.0
0.0;0.0;4.0;1.0;0.0;4.0;0.0;4.0;1132.0;0.0;0.0;0.0;0.0;2302.0;1.0;0.0;1.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.57;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2302.0;1132.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;4.0;2.0;2.0;0.0;2.0;1.0;0.0
0.0;0.0;3.25;1.0;1.0;2.5;0.0;4.0;1216.0;0.0;0.0;0.0;0.0;2302.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.1213203435596424;1.0;0.0;0.0;0.0;0.0;0.0;0.69;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.5;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.333333333;0.0;0.0;2302.0;1216.0;0.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;1.75;2.0;2.0;0.0;3.0;1.0;0.0
0.0;0.0;1.0;1.0;3.0;1.0;3.0;1.0;2100.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.92;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;3.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;2302.0;2100.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;1.0;3.0;0.0;0.0;3.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;838.0;0.0;0.0;0.0;0.0;2302.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2302.0;838.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;4.0;1.0;0.0;4.0;0.0;4.0;901.0;0.0;0.0;0.0;0.0;2302.0;1.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.44;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2302.0;901.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;1.0;1.0;0.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;865.0;0.0;0.0;0.0;0.0;2287.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2287.0;865.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1216.0;0.0;0.0;0.0;0.0;2302.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.55;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;2302.0;1216.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;2.0;1.0;0.0
0.0;0.0;4.0;1.0;4.0;2.2;2.0;4.0;1594.0;0.0;2.0;0.0;0.0;2302.0;1.0;0.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.6431676725154984;1.0;0.0;2.0;2.0;0.0;0.0;0.85;0.0;0.0;False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;5.0;6.0;2.0;0.0;0.0;2.0;0.666666667;2.0;0.0;2302.0;1594.0;0.0;0.0;0.0;6.0;0.0;0.0;5.0;0.0;1.0;5.0;2.0;0.0;6.0;1.0;0.0
