;issues_priorityMinor_min;NumberOfMathOperations_25%;NumberOfModifiers_75%;blamemerge_priorityMajor_min;PMd;NumberOfModifiers_mean;Maximum Depth_count;NumberOfModifiers_max;blamemerge_priorityMinor_count;blame_merge_priorityMajor_max;Maximum Depth_50%;NumberOfMathOperations_mean;blame_merge_priorityMinor_count;issues_priorityMajor_count;issues_priorityMajor_mean;blamemerge_priorityMajor_std;blamemerge_priorityMajor_max;NumberOfMethods_Mood;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_min;PMi;Ait;Av;issues_priorityMinor_std;issues_priorityMajor_std;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_25%;issues_priorityMinor_max;NumberOfMathOperations_max;Maximum Block Depth;NumberOfMathOperations_50%;NOPa;NMIR;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_max;blamemerge_priorityMajor_mean;NumberOfMathOperations_75%;Average Complexity*;Ao;HMi;Ad;NumberOfModifiers_std;Maximum Complexity*;blamemerge_priorityMinor_std;Maximum Depth_min;Maximum Depth_max;Mo;issues_priorityMinor_mean;Average Block Depth;blamemerge_priorityMinor_mean;NMI;Bugged;Maximum Depth_std;NF;issues_priorityMajor_min;Ai;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_std;Mi;blame_merge_priorityMajor_std;Average Statements per Method;NumberOfModifiers_50%;blame_merge_priorityMajor_count;NM;Md;Maximum Depth_25%;blame_merge_priorityMinor_max;SIX;Maximum Depth_75%;PMR;Maximum Depth_mean;blame_merge_priorityMinor_mean;issues_priorityMinor_count;blamemerge_priorityMajor_count;NumberOfMathOperations_std;blame_merge_priorityMajor_mean;NumberOfMathOperations_min;Ma;MaxNumberOfNestedBlocks_min;Mit;NumberOfModifiers_count;MaxNumberOfNestedBlocks_std;NumberOfModifiers_25%;MaxNumberOfNestedBlocks_count;HMd;blame_merge_priorityMajor_min;NMA;issues_priorityMajor_max;blame_merge_priorityMinor_min
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;0.08776954177897574;7.834905660377358;0.4636118598382749;2.77088948787062;7.77567458430542;1.994609164420485;20.047169811320753;16332.619946091645;0.0;1.3419811320754718;0.18877293653895597;0.0;4714.010107816712;0.9916810197919936;0.10576282016354113;1.0;5.500673854447439;0.30727762803234504;3.86455525606469;0.0;0.0;0.41509433962264153;0.017627394112633584;0.044550799111185334;0.3932401486534718;4.824797843665769;0.20131401617250674;0.16711590296495957;0.5970350404312669;3.524932614555256;0.12668463611859837;0.0;0.0;0.28975741239892183;0.9043126684636119;0.9501251245263514;0.2183288409703504;1.6662398921832884;0.0;0.0;2.4184636118598384;7.005940411397011;5.702156334231806;0.03666917751314466;1.2567385444743935;1.5107816711590296;0.0;0.002618460378280977;1.425579514824798;0.008487228957488288;0.0;;0.14032174300030364;2.4184636118598384;0.7021563342318059;0.0;0.5028638814016172;0.0;0.0;0.0;5.659501347708894;5.402964959568733;0.0;4.394878706199461;4.6219676549865225;1.3013814016172507;0.0;0.0;1.4019541778975741;0.3666213755626685;1.3609393756432526;0.0;4714.010107816712;16332.619946091645;0.20325923870954005;0.0;0.06334231805929919;4.6219676549865225;0.14150943396226415;0.0;4.824797843665769;0.33509962887772266;4.5992250673854445;4.824797843665769;1.851078167115903;0.0;5.452156334231806;1.0;0.0
std;0.0;0.6335503558471031;70.82618323199121;0.4988422472223067;5.948310867400652;62.1712685802466;4.843049595231443;131.90189936992036;19487.760536328286;0.0;1.4271934120441172;0.8296174756489959;0.0;1886.8371475410336;0.021072887785998393;0.14186958588814041;0.0;8.704135139541874;0.7162883848807485;53.141687577661656;0.0;0.0;2.396094525031868;0.045509058169229205;0.07634279959213996;0.7248002844085017;9.032960079319176;0.6155546910381825;0.37320508270797;2.4113446966874483;2.2368334311159512;0.7870681396890764;0.0;0.0;0.4538026286886878;1.4171696405996157;0.126896408927915;1.0437614351938123;1.3840083242294223;0.0;0.0;5.5244893459397595;53.92013276127843;14.56453430567858;0.07648501800467779;1.3753397458166343;1.628477914840843;0.0;0.015270368365519876;0.8301627531033225;0.035020324270540776;0.0;;0.4031539354805575;5.5244893459397595;0.4574645741863603;0.0;0.9088796718630333;0.0;0.0;0.0;7.95839963611001;60.87759253115936;0.0;9.222820544632448;8.751415408281822;1.392354537662014;0.0;0.0;1.4901869014558085;0.41086304488234865;1.439751216666601;0.0;1886.8371475410336;19487.760536328286;0.8871376700660581;0.0;0.581836688975681;8.751415408281822;0.5819741201397394;0.0;9.032960079319176;0.5929403859276364;55.16035794612826;9.032960079319176;4.5406746652896315;0.0;10.174591967865968;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;364.0;0.0;0.0;0.0;0.0;4.0;0.4802631578947368;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05942801745031508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;364.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4474.0;0.0;0.0;0.0;0.0;4243.0;0.9910493854424217;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.9731879787860932;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.93;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4243.0;4474.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
50%;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;9116.0;0.0;2.0;0.0;0.0;4257.0;1.0;0.05046621443478002;1.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.9974468622294224;0.0;1.21;0.0;0.0;0.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;1.47;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.71;1.0;0.0;1.0;2.0;2.0;0.0;0.0;2.0;0.166666667;2.0;0.0;4257.0;9116.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;2.0;1.0;0.0
75%;0.0;0.0;1.5;1.0;3.0;1.4936440677966103;2.0;4.0;17624.0;0.0;2.0;0.0;0.0;4392.25;1.0;0.16154560132744716;1.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.09418980692751515;0.5714285714285714;6.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;2.14;0.0;0.0;2.0;0.5;5.0;0.04089795848699311;2.0;2.0;0.0;0.0;1.94;0.0016754189282033624;0.0;;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;7.54;1.0;0.0;5.0;5.0;2.0;0.0;0.0;2.0;0.75;2.0;0.0;4392.25;17624.0;0.0;0.0;0.0;5.0;0.0;0.0;6.0;0.5773502691896257;1.0;6.0;1.0;0.0;6.0;1.0;0.0
