;Cohesion;NumberOfProtectedAttributes;NumberOfAttributes;NumberOfInheritedMethods;NumberPublicMethods;Bugged;NumberOfPolymorphicMethods;NumberOfSubclasses;NumberOfPrivateAttributes;NumberOfCoupledClasses;NumberUserDefinedAttributes;NumberOfAncestors;NumberOfPublicAttributes;NumberOfMethods_Mood
count;1484.0;1484.0;1484.0;1484.0;1484.0;1484;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0;1484.0
unique;;;;;;2;;;;;;;;
top;;;;;;False;;;;;;;;
freq;;;;;;1455;;;;;;;;
mean;0.20667317556992257;0.0444743935309973;2.946765498652291;0.0;3.9797843665768196;;3.782345013477089;0.0;2.3557951482479784;0.12264150943396226;0.09501347708894879;0.0;0.5464959568733153;5.500673854447439
std;0.2772765418461243;0.3170420117902721;5.60841738514623;0.0;6.8031463869772395;;6.839687121400125;0.0;4.4983056795118355;0.5579555477929151;0.37234390868130085;0.0;2.4516624025463147;8.704135139541874
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
50%;0.11363636363636365;0.0;1.0;0.0;2.0;;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0
75%;0.31752622377622375;0.0;4.0;0.0;4.0;;4.0;0.0;3.0;0.0;0.0;0.0;0.0;7.0
max;1.0;5.0;107.0;0.0;110.0;;110.0;0.0;34.0;6.0;3.0;0.0;75.0;110.0
