;NumberOfParenthesizedExps;WMC_CK;NumberOfLogStatements;LOCMethod_CK;IsConstructor;NumberOfStringLiterals;MaxNumberOfNestedBlocks;RFC;NumberOfAnonymousClasses;NumberOfNumbers;NumberOfMathOperations;NumberOfInnerClasses;NumberOfLambdas;NumberOfModifiers;NumberOfParameters_CK;CBO;NumberOfVariables;NumberOfTryCatch;NumberOfUniqueWords;BuggedMethods;NumberOfComparisons;Returns;NumberOfAssignments;NumberOfLoops
count;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0;7373.0
unique;;;;;2;;;;;;;;;;;;;;;2;;;;
top;;;;;False;;;;;;;;;;;;;;;False;;;;
freq;;;;;7193;;;;;;;;;;;;;;;7333;;;;
mean;0.036213210362132105;0.8167638681676387;0.009765360097653601;4.953343279533433;;1.9319137393191375;0.1571951715719517;2.277905872779059;0.004475790044757901;0.3115421131154211;0.1687237216872372;0.00040689000406890003;0.0008137800081378001;1.565577105655771;0.1943577919435779;1.0987386409873865;0.8369727383697274;0.0085446900854469;6.905465889054659;;0.10145124101451242;0.32266377322663775;1.2545775125457752;0.0400108504001085
std;0.321783526929375;1.221831168125951;0.1394202076912287;9.75572476929842;;8.29665502661453;0.5545171378093454;5.359480659959117;0.06675598673216748;2.456551025664799;1.1891230057563094;0.020168778250389246;0.02851715393162806;17.171470709599436;0.43865163660267065;2.1185086697738185;2.2573218791593197;0.09494957147767974;10.819569833855375;;0.561965302834574;0.5404654857909339;3.54111495406064;0.24794237312789202
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0
75%;0.0;1.0;0.0;4.0;;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;9.0;;0.0;1.0;1.0;0.0
max;11.0;31.0;4.0;189.0;;210.0;9.0;53.0;1.0;107.0;50.0;1.0;1.0;1025.0;6.0;21.0;28.0;2.0;85.0;;22.0;9.0;59.0;6.0
