;IOVars;NOP;NBD;Si;Ci;VG;Di;Fout;NVAR;BuggedMethods;NCOMP;Fin;MCLC
count;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373.0;7373;7373.0;7373.0;7373.0
unique;;;;;;;;;;2;;;
top;;;;;;;;;;False;;;
freq;;;;;;;;;;7333;;;
mean;0.40770378407703783;0.15244812152448123;0.4565305845653058;0.0485555404855554;0.44608868910348565;0.5166146751661468;0.39753314861793027;0.024955920249559203;0.1326461413264614;;0.2190424521904245;0.0450291604502916;0.3516885935168859
std;0.6574464347590434;0.37463100156196216;0.8051750392187728;1.1471151574931282;1.3137320519725084;1.0961144999749635;0.6492271718802752;0.21895032434288297;0.6099055807153931;;2.273226606026862;0.447918305377504;2.5218274331159125
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
75%;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;;0.0;0.0;0.0
max;6.0;5.0;9.0;81.0;81.0;18.0;6.0;9.0;11.0;;146.0;29.0;146.0
