;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;19313;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;19254;;;;;;;;;;;;;;;;;;;;;;18927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;4.606482680060063;0.024905504064619687;0.04002485372546989;0.923523015585357;2.7760575777973386;7.517061046963185;0.06938331693677834;4.17666856521514;0.023352146222751516;0.011080619271992958;0.0681406306632838;1.9343447418837052;3.9996375498368972;8.92725107440584;0.12152436182881997;0.5519080412157614;0.4561176409672241;0.5532025060839849;0.0009320147051209031;0.1496919173613628;0.006938331693677834;;0.943095324392896;0.9242479159115622;1.3688707088489618;3.522549578004453;0.421425982498835;0.5146792316056542;0.23098431108579714;0.08025682182985554;0.1570962564076011;0.010252161756329934;0.04789520012426863;0.48847926267281105;0.3885983534406876;0.7646145083622431;0.15031326049811009;0.18365867550354684;0.0032620514679231605;0.0;0.0005177859472893906;5.3286387407445766;1.2002278258168073;0.030963599647905557;0.6922943670233521;0.5153669088345675;0.07311137575726195;0.0536944027339098;0.5387562781546109;0.6014601563713561;0.5614353026458861;0.39885051519701753;0.2032309843110858;0.20260964117433852;0.17692745818878475;0.7203438098690002;0.4796769015688914;1.2122404597939211;0.8163931030911821;0.9582146740537462
std;;29.816847426411453;0.17670644702705599;0.23495103273502446;1.5644475185900997;5.4365190980895655;191.6567080379276;0.26972960041057986;28.92839559336158;0.4112686349855832;0.24398615400233806;0.6672573258965928;4.522432975426841;7.868603639295523;53.689743776376574;1.7631295599628456;4.495614936265335;4.100507296933873;2.921362909360559;0.03051547590389249;1.0124596779974229;0.0930113509748242;;1.8668729109651006;1.5453342446745988;3.334206152670311;6.378161649428592;0.7690892248180664;1.84488152565844;0.5177353230754678;0.39384780029500005;0.7829138647500247;0.11512800231282291;0.44269225925764843;2.1516367086215493;2.471362169605011;2.348252200821881;0.9186753538645499;0.5596910523196263;0.06780775784144384;0.0;0.03374788813280242;7.751904414677233;10.720624492490515;0.3209641846689932;9.449292569265381;0.7181765460089413;0.4921066436323129;0.4171970536129631;0.7348737318130565;2.3509133634570327;0.7729288884238988;1.7323894129073487;0.46139929740919533;0.8334910658053767;9.427316574066243;1.4266187791800873;1.0664119874229254;3.7875230287915045;1.2096197275300937;3.9428871022928313
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;1.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0
