RTLOC;NSM;Bugged;TLOC;NOD;ClRCi;ClTCi;NPF;NSF;NOA;NOL;PMd
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
229.0;0.0;False;133.0;0.0;3.1;46.5;0.0;0.0;0.0;0.0;9.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62.0;0.0;False;44.0;0.0;1.25;5.0;0.0;0.0;0.0;0.0;3.0
62.0;0.0;False;44.0;0.0;1.25;5.0;0.0;0.0;0.0;0.0;3.0
136.0;0.0;False;92.0;0.0;1.25;5.0;0.0;2.0;0.0;0.0;2.0
136.0;0.0;False;92.0;0.0;1.25;5.0;0.0;2.0;0.0;0.0;2.0
136.0;0.0;False;92.0;0.0;1.25;5.0;0.0;2.0;0.0;0.0;2.0
39.0;0.0;False;25.0;0.0;0.6;3.0;0.0;1.0;0.0;0.0;2.0
165.0;0.0;False;82.0;0.0;1.916666667;23.0;0.0;0.0;0.0;0.0;10.0
77.0;0.0;False;62.0;0.0;1.75;24.5;0.0;0.0;0.0;0.0;14.0
111.0;0.0;False;68.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0
111.0;0.0;False;68.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0
305.0;2.0;False;227.0;0.0;2.166666667;52.0;1.0;4.0;0.0;0.0;14.0
75.0;0.0;False;51.0;0.0;1.0;14.0;0.0;0.0;0.0;0.0;14.0
230.0;3.0;False;181.0;0.0;2.272727273;25.0;0.0;1.0;0.0;0.0;5.0
143.0;0.0;False;90.0;0.0;1.358974359;35.333333333;0.0;0.0;0.0;0.0;26.0
131.0;0.0;False;5.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0
100.0;0.0;False;61.0;0.0;1.272727273;14.0;0.0;0.0;0.0;0.0;11.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
175.0;5.0;False;161.0;0.0;1.75;21.0;0.0;3.0;0.0;0.0;6.0
3.0;0.0;False;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
521.0;20.0;False;372.0;0.0;1.774509804;60.333333333;3.0;9.0;0.0;0.0;23.0
521.0;20.0;False;372.0;0.0;1.774509804;60.333333333;3.0;9.0;0.0;0.0;23.0
2219.0;5.0;False;1573.0;0.0;1.227286822;527.733333333;0.0;12.0;0.0;0.0;415.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54.0;1.0;False;44.0;0.0;2.142857143;15.0;0.0;0.0;0.0;0.0;4.0
179.0;6.0;False;116.0;0.0;1.984848485;21.833333333000002;5.0;5.0;0.0;0.0;11.0
597.0;0.0;False;454.0;0.0;1.794117647;61.0;0.0;4.0;0.0;0.0;31.0
597.0;0.0;False;454.0;0.0;1.794117647;61.0;0.0;4.0;0.0;0.0;31.0
597.0;0.0;False;454.0;0.0;1.794117647;61.0;0.0;4.0;0.0;0.0;31.0
597.0;0.0;False;454.0;0.0;1.794117647;61.0;0.0;4.0;0.0;0.0;31.0
70.0;5.0;False;33.0;0.0;1.2;6.0;0.0;3.0;0.0;0.0;5.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
146.0;1.0;False;130.0;0.0;1.75;21.0;0.0;1.0;0.0;0.0;11.0
346.0;25.0;False;144.0;0.0;1.12;28.0;18.0;19.0;0.0;0.0;23.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122.0;0.0;False;80.0;0.0;1.083333333;13.0;0.0;1.0;0.0;0.0;12.0
99.0;0.0;False;78.0;0.0;1.5;12.0;0.0;0.0;0.0;0.0;4.0
93.0;0.0;False;75.0;0.0;2.0;8.0;0.0;1.0;0.0;0.0;3.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;0.0;True;15.0;0.0;2.0;18.0;0.0;0.0;0.0;0.0;0.0
21.0;2.0;False;16.0;0.0;1.5;7.5;0.0;0.0;0.0;0.0;3.0
135.0;0.0;False;20.0;0.0;1.888888889;34.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37.0;3.0;False;21.0;0.0;0.333333333;1.0;0.0;1.0;0.0;0.0;3.0
18.0;3.0;False;14.0;0.0;2.666666667;8.0;3.0;3.0;0.0;0.0;3.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.0;0.0;False;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
463.0;0.0;False;323.0;0.0;1.821428571;51.0;2.0;1.0;0.0;0.0;22.0
463.0;0.0;False;323.0;0.0;1.821428571;51.0;2.0;1.0;0.0;0.0;22.0
7.0;0.0;False;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21.0;0.0;False;12.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0
428.0;1.0;False;249.0;0.0;3.461904762;96.933333333;2.0;9.0;0.0;0.0;3.0
428.0;1.0;False;249.0;0.0;3.461904762;96.933333333;2.0;9.0;0.0;0.0;3.0
25.0;0.0;False;16.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0
86.0;0.0;False;39.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;3.0
38.0;0.0;False;33.0;0.0;3.5;7.0;0.0;1.0;0.0;0.0;2.0
20.0;0.0;False;16.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;1.0
29.0;0.0;False;18.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0
0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
28.0;0.0;False;5.0;0.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0
121.0;0.0;False;99.0;0.0;1.769230769;23.0;0.0;1.0;0.0;0.0;11.0
31.0;3.0;False;25.0;0.0;1.5;4.5;0.0;2.0;0.0;0.0;3.0
47.0;0.0;False;40.0;0.0;2.5;10.0;0.0;1.0;0.0;0.0;3.0
5.0;0.0;False;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
34.0;0.0;False;27.0;0.0;1.5;9.0;0.0;0.0;0.0;0.0;6.0
25.0;0.0;False;22.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;2.0
53.0;3.0;False;30.0;0.0;1.375;11.0;0.0;0.0;0.0;0.0;7.0
91.0;0.0;False;79.0;0.0;1.80952381;12.666666667000001;0.0;1.0;0.0;0.0;2.0
206.0;0.0;False;156.0;0.0;2.333333333;35.0;0.0;1.0;0.0;0.0;2.0
265.0;0.0;False;212.0;0.0;2.473684211;47.0;0.0;2.0;0.0;0.0;2.0
16.0;0.0;False;12.0;0.0;2.0;4.0;0.0;2.0;0.0;0.0;1.0
100.0;2.0;False;79.0;0.0;1.375;11.0;0.0;3.0;0.0;0.0;5.0
41.0;0.0;False;30.0;0.0;1.375;11.0;0.0;0.0;0.0;0.0;8.0
108.0;0.0;False;69.0;0.0;2.115384615;27.5;0.0;0.0;0.0;0.0;12.0
599.0;1.0;False;259.0;0.0;2.266666667;68.0;1.0;5.0;0.0;0.0;6.0
599.0;1.0;False;259.0;0.0;2.266666667;68.0;1.0;5.0;0.0;0.0;6.0
70.0;0.0;False;55.0;0.0;1.125;18.0;0.0;0.0;0.0;0.0;15.0
26.0;1.0;False;24.0;0.0;2.0;2.0;0.0;1.0;0.0;0.0;1.0
27.0;0.0;False;21.0;0.0;2.25;9.0;0.0;0.0;0.0;0.0;4.0
186.0;0.0;False;157.0;0.0;2.107142857;29.5;0.0;1.0;0.0;0.0;0.0
186.0;0.0;False;157.0;0.0;2.107142857;29.5;0.0;1.0;0.0;0.0;0.0
48.0;1.0;False;33.0;0.0;2.0;16.0;0.0;0.0;0.0;0.0;7.0
321.0;0.0;False;223.0;0.0;2.866666667;43.0;0.0;1.0;0.0;0.0;7.0
