;NumberOfMathOperations_25%;issues_priorityMajor_mean;NMA;NumberOfMathOperations_75%;blame_merge_priorityMajor_min;SIX;Ai;NF;Maximum Depth_50%;MaxNumberOfNestedBlocks_min;PMi;blame_merge_priorityMinor_mean;issues_priorityMajor_std;HMd;Maximum Complexity*;NMIR;Ad;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_75%;blamemerge_priorityMinor_min;blame_merge_priorityMajor_mean;Mi;NumberOfModifiers_min;Average Statements per Method;Maximum Depth_min;issues_priorityMinor_count;Average Complexity*;NumberOfModifiers_count;Bugged;NumberOfModifiers_75%;blame_merge_priorityMajor_std;MaxNumberOfNestedBlocks_mean;NMI;blamemerge_priorityMajor_count;blamemerge_priorityMajor_min;blame_merge_priorityMajor_max;NOPa;Maximum Depth_count;blame_merge_priorityMinor_max;Ait;blamemerge_priorityMajor_max;blamemerge_priorityMajor_std;MaxNumberOfNestedBlocks_max;issues_priorityMinor_mean;Mo;NumberOfModifiers_50%;Maximum Depth_std;NumberOfMathOperations_mean;Ao;Maximum Depth_75%;blamemerge_priorityMajor_mean;Mit;MaxNumberOfNestedBlocks_std;Average Block Depth;blamemerge_priorityMinor_count;MaxNumberOfNestedBlocks_50%;Maximum Block Depth;Maximum Depth_max;Av;NumberOfModifiers_25%;issues_priorityMinor_min;blame_merge_priorityMinor_min;issues_priorityMajor_min;issues_priorityMajor_max;blamemerge_priorityMinor_mean;PMd;blame_merge_priorityMinor_std;NumberOfMathOperations_max;issues_priorityMajor_count;issues_priorityMinor_std;NumberOfMethods_Mood;blame_merge_priorityMajor_count;NumberOfModifiers_std;NumberOfMathOperations_min;HMi;PMR;issues_priorityMinor_max;MaxNumberOfNestedBlocks_count;Md;MaxNumberOfNestedBlocks_25%;Maximum Depth_mean;NumberOfMathOperations_50%;NumberOfModifiers_max;Ma;NumberOfModifiers_mean;blamemerge_priorityMinor_std;NM;blamemerge_priorityMinor_max;Maximum Depth_25%;NumberOfMathOperations_count;NumberOfMathOperations_std
count;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.1328409550789154;0.906040092731929;8.4524484014569;0.39103601780655606;0.0;0.0;0.0;3.4087414002428167;1.368271954674221;0.16106839336301093;0.0;0.0;0.08850274896480534;2.0914609469850265;5.575475515985431;0.0;3.4111695669769326;0.0;0.637292594091461;0.018211250505868068;0.0;0.0;3.4779441521651155;5.581853500607042;1.273168757588021;877.7725617159045;2.0353702954269526;6.795629299878592;;14.44435451234318;0.0;0.49063689564066465;0.0;9485.827600161878;0.5779036827195467;0.0;0.0;2.727235936867665;0.0;0.0;0.9380817482800485;0.07270937926780495;1.2108458114123837;0.05867624421283246;0.0;8.332456495346014;0.15761495022882102;0.3534420764675232;0.0;1.4418251719951436;0.8857679096873536;0.0;0.42409492314793257;1.5929542695265075;9485.827600161878;0.37980574666127076;3.7511129097531364;1.6021853500607042;0.7494941319303926;5.4006475111290975;0.018615944961554026;0.0;0.5746661270740591;0.9546742209631728;0.06097221825220462;6.058680696074464;0.0;1.3322541481181709;877.7725617159045;0.0784029762577493;8.326183731282882;0.0;17.912421536330186;0.10238769728854714;0.0;0.5359410082084177;0.36179684338324564;6.795629299878592;8.15014164305949;0.2339133953864832;1.396532487115011;0.1944556859571024;51.98826386078511;8.15014164305949;13.066575461416623;0.06274127243619512;7.330635370295427;0.33346823148522864;1.3249696479158235;6.795629299878592;0.44129836563085845
std;0.86461183551434;0.24084296649079984;14.676017544499805;1.1080034470989537;0.0;0.0;0.0;4.904726761973322;1.2652906918639664;0.5269631809774561;0.0;0.0;0.14002614227849033;4.3333435504594195;5.915863317556587;0.0;4.907494546163869;0.0;0.855409314968813;0.1337416897069966;0.0;0.0;46.077449972125436;5.507238016577983;1.219379793344235;1417.1046510316664;1.57846148588457;12.866266233844906;;106.72240865728969;0.0;0.6530611315684831;0.0;22548.212813731894;0.4939936980520875;0.0;0.0;9.856093226674261;0.0;0.0;0.24105579803845087;0.12996228895405473;1.3716548314430685;0.17783066082101573;0.0;73.36392740942136;0.38995067376582354;0.9789340563226255;0.0;1.3415577791082844;0.28120001925089055;0.0;0.5385116443032404;0.7378475737152165;22548.212813731894;0.6736216416479782;1.9487288953287323;1.5431641345619227;2.6640458765293444;55.900145426374976;0.13519167159829745;0.0;0.4944936065767461;0.2080597788085056;0.19627062393520267;12.862185912078479;0.0;2.8750088431052157;1417.1046510316664;0.13316898249276649;14.168121483152621;0.0;402.9724757614701;0.8453482890453506;0.0;0.4175191898041128;0.48061769550963823;12.866266233844906;14.661598432756604;0.5674354758183983;1.2842391950953576;0.9252013771161696;1326.1887562753327;14.661598432756604;139.3222903492184;0.12183303077286096;14.223360936037198;0.4715476187871964;1.2294339523569098;12.866266233844906;0.8915503489559703
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.9597254914834004;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;76.5;1.0;1.0;;1.0;0.0;0.0;0.0;1041.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.9726872609914488;0.0;0.0;1.18;1041.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;76.5;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0
50%;0.0;1.0;5.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;4.33;2.0;301.0;1.67;4.0;;1.0;0.0;0.21052631578947367;0.0;2925.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.59;2925.0;0.0;4.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;301.0;0.0;5.0;0.0;0.0;0.0;0.0;0.666666667;0.0;4.0;4.0;0.0;2.0;0.0;1.0;4.0;1.0;0.0;4.0;0.0;2.0;4.0;0.0
75%;0.0;1.0;10.0;0.25;0.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.1521295681409821;2.0;8.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;1.0;7.550000000000001;2.0;1220.0;2.5599999999999996;8.0;;2.0;0.0;0.8571428571428571;0.0;8624.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;0.09319618435984381;2.0;0.02198602256741792;0.0;1.0;0.0;0.4;0.0;2.0;1.0;0.0;0.7559289460184544;2.025;8624.0;1.0;5.0;3.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0068413729128014855;8.0;0.0;2.0;1220.0;0.13181528286439573;10.0;0.0;0.7544319083480784;0.0;0.0;1.0;1.0;8.0;10.0;0.0;2.2;0.0;6.0;10.0;2.138095238095238;0.06632301672248904;9.0;1.0;2.0;8.0;0.5773502691896258
