;Di_min;Fout_min;NBD_count;Ci_count;NBD_min;blame_merge_blame_getDistinctOperandsCnt_count;Si_min;Di_mean;IOVars_count;NCOMP_min;NBD_std;Ci_75%;blame_merge_blame_getDifficulty_std;Ci_50%;blamemerge_blamegetDistinctOperatorsCnt_std;Di_std;VG_75%;Di_25%;Si_25%;VG_count;Si_max;Si_mean;blame_merge_blame_getDistinctOperatorsCnt_mean;NCOMP_count;Di_50%;IOVars_mean;MCLC_50%;blame_merge_blame_getDistinctOperandsCnt_mean;blamemerge_blamegetDifficulty_std;blame_merge_blame_getDifficulty_min;IOVars_25%;NVAR_std;Si_count;MCLC_mean;NBD_25%;VG_std;Bugged;blamemerge_blamegetDistinctOperatorsCnt_max;Fin_mean;Fout_50%;NVAR_max;ClRCi;NumberOfDistinctOperators;blame_merge_blame_getDistinctOperatorsCnt_max;blame_merge_blame_getDistinctOperandsCnt_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getDifficulty_max;Di_max;NOP_25%;blamemerge_blamegetDistinctOperandsCnt_mean;NCOMP_mean;Ci_std;MCLC_25%;MCLC_std;NOPa;IOVars_max;Fin_25%;blamemerge_blamegetDistinctOperandsCnt_std;Fout_75%;Fin_50%;VG_max;NBD_mean;VG_50%;Di_count;Si_50%;Fin_count;NOP_count;blame_merge_blame_getDistinctOperatorsCnt_count;NCOMP_50%;IOVars_75%;NOP_std;ClTCi;blame_merge_blame_getDifficulty_mean;NVAR_mean;Fout_max;NCOMP_75%;IOVars_50%;NVAR_75%;VG_25%;blamemerge_blamegetDistinctOperandsCnt_count;MCLC_min;NOP_mean;NOP_50%;blame_merge_blame_getDistinctOperatorsCnt_min;blame_merge_blame_getDistinctOperatorsCnt_std;NVAR_25%;Si_75%;MCLC_count;Fout_count;NVAR_min;NOP_min;blamemerge_blamegetDifficulty_count;NOP_max;IOVars_min;blamemerge_blamegetDistinctOperatorsCnt_count;Fout_25%;VG_min;Ci_max;NumberOfDistinctOperands;MCLC_75%;IOVars_std;Fin_max;NBD_75%;Difficulty;blamemerge_blamegetDistinctOperatorsCnt_mean;NBD_50%;blame_merge_blame_getDistinctOperandsCnt_min;Fin_std;Fin_75%;Di_75%;blame_merge_blame_getDistinctOperandsCnt_std;NOP_75%;NVAR_count;Ci_min;blamemerge_blamegetDistinctOperandsCnt_max;NVAR_50%;Ci_mean;Fout_mean;Fin_min;VG_mean;NBD_max;blame_merge_blame_getDifficulty_count;NCOMP_std;NCOMP_max;MCLC_max;Ci_25%;Si_std;NCOMP_25%;Fout_std;blamemerge_blamegetDifficulty_max
count;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0;2471.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2437;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.7785511983395387;0.004451639012545528;5.5718332658842575;5.5718332658842575;0.8296236341562121;0.0;0.009307972480777013;1.2280920165931215;5.5718332658842575;0.29664103601780656;0.33107148456193547;1.4781296371241401;0.0;1.228079050317078;2.222541946903936;0.4291307517156512;1.5587818696883853;0.9973981518950829;0.012950222581950627;5.5718332658842575;1.6450829623634156;0.12328481953764465;0.0;5.5718332658842575;1.1682129367326992;1.2631060675346653;1.0524079320113315;0.0;1.3114433251335222;0.0;1.0306556050182112;0.5849548946214689;5.5718332658842575;1.5608526021653366;0.8804127883447996;0.7261974325015375;;8.797248077701335;0.047118553136482506;0.017604208822339134;1.6859571023876974;1.5734867280137597;27.068798057466612;0.0;0.0;1.1389388214194012;0.0;1.9172399838122218;0.528733306353703;2.208934411076632;0.9839610898777339;0.6674472341078531;0.6770538243626062;1.5484832332784304;0.0;1.9477944152165116;0.00141643059490085;2.3749194706734467;0.05463375151760421;0.007082152974504249;2.896398219344395;1.0736606339601389;1.1833265884257385;5.5718332658842575;0.023269931201942533;5.5718332658842575;5.5718332658842575;0.0;0.6282881424524484;1.4333265884257385;0.4437612320960963;19.518159998589233;0.0;0.5768915122876026;0.3160663698907325;1.1781667341157427;1.2051800890327802;0.7177256171590449;1.0241804937272359;9561.690004046945;0.490894374747066;0.8027906759921912;0.7302711452853096;0.0;0.0;0.2444354512343181;0.06940509915014165;5.5718332658842575;5.5718332658842575;0.17847025495750707;0.38931606636989075;9561.690004046945;1.5034399028733307;0.8138405503844597;9561.690004046945;0.007689194658033185;0.9417239983812222;3.309370321794011;124.04937272359369;1.9070214488061514;0.4313003208027167;0.3346823148522865;1.1683528935653582;48.723932899080786;2.2462704790809487;0.9834075273168758;0.0;0.10313760727397447;0.041380008093889115;1.3955201769092473;0.0;0.9990894374747066;5.5718332658842575;0.8276001618777823;10.089842169162283;0.38344799676244434;1.351376836130766;0.05337938142703369;0.0;1.4238558426133512;1.6552003237555646;0.0;1.0485352074887846;3.1549979765277216;4.632942128692837;1.048276676109571;0.33648176026984156;0.40408741400242815;0.09776326346439652;5.948406513612329
std;1.0665851602732714;0.0963945837569566;12.661890917928988;12.661890917928988;0.7280586881791216;0.0;0.3261764236813623;1.1759542865763901;12.661890917928988;1.696335908484086;0.5182981680311276;1.4010501640486215;0.0;1.224353429245269;0.5298839834327914;0.5931560091394111;2.1211676023688404;1.0814570377127757;0.3296793884073414;12.661890917928988;27.165393394585475;0.6981641217828183;0.0;12.661890917928988;1.176336948809398;1.1934441433261254;2.745844351663908;0.0;0.37203084727989194;0.0;1.0938483374730978;0.98227850920439;12.661890917928988;2.949466637045621;0.7710374678997239;1.3296591181298987;;2.237101697018937;0.15353785372561887;0.14010438115171905;2.6439375855064706;1.2804439531448835;10.999195854490342;0.0;0.0;0.5155370409399148;0.0;1.8800385017042938;0.94466538326308;1.4005068287435347;2.116040485688044;2.8717551376568764;2.424918209050265;2.7122406365865186;0.0;1.9027218389938614;0.021294565014506005;1.3716664165525339;0.24353955655152434;0.07149661616223717;4.094504955130958;0.9033353231125809;1.7622277324883606;12.661890917928988;0.34495319107195405;12.661890917928988;12.661890917928988;0.0;1.9854055214367794;1.3493255258362735;0.569685024202892;63.02885925947492;0.0;1.061476647673106;1.243306315098618;2.5454869641660096;1.1938563539515963;1.336745340160444;1.621963711548093;22587.33706666133;2.3234019037281723;1.0043399431191962;1.0198387818794536;0.0;0.0;0.8647355701350969;0.4526002362846482;12.661890917928988;12.661890917928988;0.815908280936221;0.9055559377183217;22587.33706666133;1.7006453598591196;1.0772522124467405;22587.33706666133;0.1049945155720115;1.5675877256595308;27.14402352742726;178.74121928720984;3.6065659689244187;0.5966094405835822;1.208642582802051;1.0501764255630697;50.05995261303929;0.9559975381918008;0.8725038910670383;0.0;0.3289714707550219;0.2050292703231192;1.328114364485427;0.0;1.152173698393152;12.661890917928988;1.1117804353472975;6.6242730878708995;1.0064434159057698;1.3606539314631145;0.18280030261850583;0.0;1.8745048731406835;1.624736749257725;0.0;1.9691466387643801;5.770988301996226;7.692629589700902;1.127140904444129;2.869661203428601;1.766924375241138;0.29910406767325654;2.4498034228651475
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9393877368812509;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.10903982010257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;8.0;0.0;0.0;0.0;0.8166666665;18.0;0.0;0.0;0.7910035466442151;0.0;0.0;0.0;1.3377500877500879;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0009206161380124;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1070.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1070.0;0.0;0.0;1070.0;0.0;0.0;0.0;45.0;0.0;0.0;0.0;0.0;21.607017543859648;1.5871695707037428;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.375
50%;0.5;0.0;2.0;2.0;1.0;0.0;0.0;1.0714285714285714;2.0;0.0;0.0;1.125;0.0;1.0;2.3126202561949074;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;1.1290322580645162;0.0;0.0;1.343057688112398;0.0;1.0;0.0;2.0;0.0;1.0;0.0;;9.0;0.0;0.0;0.0;1.65;26.0;0.0;0.0;1.1567028038455651;0.0;2.0;0.0;2.0447170557973884;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.3548131073978538;0.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;8.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2942.0;0.0;0.5056179775280899;0.5;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2942.0;1.0;1.0;2942.0;0.0;1.0;2.0;83.0;0.0;0.0;0.0;1.0;38.793103448275865;2.303134063809217;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;9.0;0.0;1.2;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.625
75%;1.0;0.0;7.0;7.0;1.0;0.0;0.0;2.0;7.0;0.0;0.5773502691896257;2.0;0.0;2.0;2.5541111550441435;0.7264831572567789;2.0;1.25;0.0;7.0;0.0;0.0;0.0;7.0;2.0;2.0;1.0;0.0;1.5262611125725456;0.0;1.5;1.0;7.0;2.1967741935483875;1.0;1.0658337548013512;;10.0;0.0;0.0;3.0;2.2;35.0;0.0;0.0;1.4613856362217017;0.0;3.0;1.0;2.790838345961788;1.2857142857142858;0.8217445987152625;0.0;2.442767240911117;0.0;3.0;0.0;2.710770434685492;0.0;0.0;4.0;1.6;1.0;7.0;0.0;7.0;7.0;0.0;0.0;2.0;0.7527726527090809;21.0;0.0;0.8333333333333334;0.0;1.5;2.0;1.0;1.0;8626.0;0.0;1.1666666666666667;1.0;0.0;0.0;0.0;0.0;7.0;7.0;0.0;0.0;8626.0;2.0;1.0;8626.0;0.0;1.0;3.0;152.0;3.0;0.7288675857166973;0.0;2.0;62.28534031413614;2.8818084727661093;1.0;0.0;0.0;0.0;2.0;0.0;1.75;7.0;1.0;12.0;0.0;2.0;0.0;0.0;2.0;3.0;0.0;1.4834784622769457;4.0;7.0;1.5;0.0;0.0;0.0;7.5
max;11.0;4.0;427.0;427.0;8.0;0.0;16.0;11.0;427.0;39.0;4.0414518843273814;16.0;0.0;16.0;5.053241969667204;7.071067811865476;34.0;11.0;16.0;427.0;1296.0;16.0;0.0;427.0;11.0;11.0;39.0;0.0;4.110361456786029;0.0;11.0;8.082903768654761;427.0;39.0;8.0;13.279056191361391;;25.0;1.8;4.0;20.0;14.0;57.0;0.0;0.0;4.4527185177244135;0.0;14.0;11.0;34.198776758409785;39.0;113.72785595488548;39.0;36.37306695894642;0.0;14.0;0.5;59.73032647106142;4.0;1.0;40.0;8.0;34.0;427.0;16.0;427.0;427.0;0.0;39.0;11.0;6.363961030678928;1597.963577864;0.0;13.0;36.0;39.0;11.0;13.0;34.0;329082.0;39.0;11.0;11.0;0.0;0.0;13.0;16.0;427.0;427.0;13.0;11.0;329082.0;14.0;11.0;329082.0;4.0;34.0;1296.0540540539998;6467.0;39.0;7.071067811865476;22.0;8.0;485.0551523947752;7.278221208665906;8.0;0.0;5.680375574437544;3.0;11.0;0.0;11.0;427.0;16.0;200.0;13.0;16.0;4.0;0.0;34.0;10.0;0.0;28.29016319029166;55.0;66.0;16.0;113.82939875738123;39.0;3.4928498393145966;52.5
