;NCSSForThisClass;BooleanExpressionComplexity;NumberOfPrivateMethod;NestedIfElseDepth;ClassFanOutComplexity;AnonymousInnerClassLength;NPathComplexity;MethodLength;FileLength;NumberOfPackageMethod;ClassDataAbstractionCoupling;NumberOfMethods_Checkstyle;NestedTryDepth;NCSSForThisFile;NCSSForThisMethod;BuggedMethods;CyclomaticComplexity;NumberOfPublicMethods_Checkstyle;ThrowsCount;ExecutableStatementCount;NumberOfProtectedMethod;NestedForDepth
count;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0;19313;19313.0;19313.0;19313.0;19313.0;19313.0;19313.0
unique;;;;;;;;;;;;;;;;2;;;;;;
top;;;;;;;;;;;;;;;;False;;;;;;
freq;;;;;;;;;;;;;;;;19254;;;;;;
mean;4.17666856521514;0.04002485372546989;0.0681406306632838;0.024905504064619687;0.5532025060839849;0.12152436182881997;7.517061046963185;3.9996375498368972;8.92725107440584;0.011080619271992958;0.1496919173613628;0.5519080412157614;0.0009320147051209031;4.606482680060063;2.7760575777973386;;0.923523015585357;0.4561176409672241;0.06938331693677834;1.9343447418837052;0.023352146222751516;0.006938331693677834
std;28.92839559336158;0.23495103273502446;0.6672573258965928;0.17670644702705599;2.921362909360559;1.7631295599628456;191.6567080379276;7.868603639295523;53.689743776376574;0.24398615400233806;1.0124596779974229;4.495614936265335;0.03051547590389249;29.816847426411453;5.4365190980895655;;1.5644475185900997;4.100507296933873;0.26972960041057986;4.522432975426841;0.4112686349855832;0.0930113509748242
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;1.0;0.0;0.0;1.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;1.0;0.0;0.0;1.0;0.0;0.0
max;1617.0;7.0;27.0;3.0;77.0;72.0;10000.0;176.0;2273.0;15.0;24.0;427.0;1.0;1116.0;129.0;;29.0;413.0;4.0;113.0;34.0;3.0
