NumberOfComparisons;Maximum Depth;RFC;NumberOfInnerClasses;Di;NumberOfAssignments;NumberOfParameters_CK;NumberOfLoops;NumberOfLambdas;NumberOfUniqueWords;NOP;Fin;LOCMethod_CK;NumberOfModifiers;Fout;MaxNumberOfNestedBlocks;NCOMP;FileLength;MCLC;Ci;Returns;BuggedMethods;NumberOfMathOperations;VG;NumberOfNumbers;NumberOfAnonymousClasses;NumberOfLogStatements;NumberOfTryCatch;CBO;MethodLength;NumberOfVariables;NumberOfParenthesizedExps;NVAR;AnonymousInnerClassLength;NBD;WMC_CK;IOVars;NumberOfStringLiterals;Si;IsConstructor
7.0;0.0;5.0;0.0;0.222222222;1.0;1.0;0.0;0.0;12.0;1.0;0.0;7.0;1.0;8.0;1.0;8.0;0.0;10.0;64.222222222;4.0;False;0.0;7.0;0.0;0.0;0.0;0.0;1.0;10.0;1.0;0.0;2.0;0.0;1.0;6.0;2.0;0.0;64.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;50.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;0.0;6.0;3.0;1.0;0.0;0.0;0.0;92.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;False
2.0;2.0;4.0;0.0;0.2;2.0;0.0;0.0;0.0;7.0;0.0;0.0;5.0;1.0;4.0;0.0;4.0;0.0;4.0;16.2;1.0;False;2.0;3.0;3.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;16.0;False
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;3.0;1.0;0.0;0.0;6.0;0.0;6.0;1.0;1.0;False;2.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;False
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;19.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;76.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;1.0;1.0;1.0;0.0;0.0;False
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False
0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;False
