;Maximum Depth;ClassDataAbstractionCoupling;Di;NPathComplexity;NumberOfPublicMethods_Checkstyle;NCSSForThisMethod;BooleanExpressionComplexity;NOP;NestedIfElseDepth;Fin;NumberOfModifiers;Fout;NumberOfPrivateMethod;NestedForDepth;MaxNumberOfNestedBlocks;NumberOfMethods_Checkstyle;NestedTryDepth;CyclomaticComplexity;NCOMP;FileLength;MCLC;Ci;ClassFanOutComplexity;BuggedMethods;NumberOfMathOperations;VG;MethodLength;NCSSForThisClass;NumberOfPackageMethod;NVAR;AnonymousInnerClassLength;NBD;WMC_CK;ThrowsCount;IOVars;NCSSForThisFile;Si;ExecutableStatementCount;NumberOfProtectedMethod
count;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0
unique;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;7671;;;;;;;;;;;;;;;
mean;0.8379208650774146;0.17645613172769722;0.336944212129393;13.401695748341115;0.4818137134431064;2.7037355615630374;0.01572868026542148;0.13996067829933645;0.012410911771934137;0.0879823052347014;0.8914966822315065;0.06869009584664537;0.03821577783239125;0.0036864094372081593;0.12644384369623987;0.530842958957975;0.0004915212582944212;0.7741459818137134;0.26529859916441384;10.80744654706316;0.3607766035881052;1.7583008108022853;0.5830670926517572;;0.1458589333988695;0.4510936347997051;4.3463996067829935;4.137748832637012;0.009093143278446793;0.09547800442369132;0.16281641681002704;0.32956500368640945;0.7815188006881297;0.15396903416072746;0.3514376996805112;4.963750307200787;1.4213565986728927;2.0269107888916196;0.012288031457360531
std;1.2026565991767797;1.4641095206859467;0.6467865405342147;315.0878433157301;2.507793148429318;4.901621655683576;0.14368298066927887;0.3915641089861496;0.1347492757808553;0.7786165044404662;2.3159866093067536;1.190299276549773;0.5212829218502867;0.06260241231287651;0.4289065531877595;2.7180559676895686;0.027150154201548343;1.4436650065615664;2.0516921956582483;65.32044198545191;2.3544455868350944;80.86059886128524;2.9050000046612987;;1.1813483009020609;1.3320080536227443;9.112682676403837;34.20629494238543;0.25887873941329304;0.5361244903573865;1.2548672964248304;0.625352957739941;1.405564024971261;0.38817421141713737;0.6604105458641432;37.0038681906598;80.86289743095705;4.405342519116169;0.2088055406893492
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
75%;2.0;0.0;0.5;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0
max;8.0;91.0;8.0;10000.0;108.0;96.0;3.0;7.0;5.0;44.0;41.0;84.0;32.0;2.0;7.0;108.0;2.0;45.0;64.0;3237.0;78.0;7056.023529411999;98.0;;46.0;45.0;234.0;2331.0;18.0;14.0;44.0;9.0;36.0;8.0;8.0;2340.0;7056.0;87.0;10.0
