;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;7671;;;;;;;;;;;;;;;;;;;;;;7926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;4.963750307200787;0.012410911771934137;0.01572868026542148;0.7741459818137134;2.7037355615630374;13.401695748341115;0.15396903416072746;4.137748832637012;0.012288031457360531;0.009093143278446793;0.03821577783239125;2.0269107888916196;4.3463996067829935;10.80744654706316;0.16281641681002704;0.530842958957975;0.4818137134431064;0.5830670926517572;0.0004915212582944212;0.17645613172769722;0.0036864094372081593;;1.0410420250675843;0.7815188006881297;1.665274023101499;3.530228557385107;0.2973703612681248;0.5436225116736298;0.1880068812976161;0.045465716392233964;0.12828704841484395;0.0038092897517817644;0.0462029982796756;1.1151388547554681;0.4814450724993856;0.7324895551732612;0.1458589333988695;0.12644384369623987;0.014868518063406243;0.0;0.01437699680511182;5.860162202015237;0.8914966822315065;0.015605799950847874;1.7583008108022853;0.336944212129393;0.0879823052347014;0.06869009584664537;0.3514376996805112;0.3607766035881052;0.32956500368640945;0.26529859916441384;0.13996067829933645;0.09547800442369132;1.4213565986728927;0.4510936347997051;0.46817399852543623;1.6893585647579257;0.8379208650774146;1.875768001966085
std;;37.0038681906598;0.1347492757808553;0.14368298066927887;1.4436650065615664;4.901621655683576;315.0878433157301;0.38817421141713737;34.20629494238543;0.2088055406893492;0.25887873941329304;0.5212829218502867;4.405342519116169;9.112682676403837;65.32044198545191;1.2548672964248304;2.7180559676895686;2.507793148429318;2.9050000046612987;0.027150154201548343;1.4641095206859467;0.06260241231287651;;1.7974177524508026;1.405564024971261;3.6554004391476576;6.32347740143544;0.7468226684009398;1.631575719223603;0.459272775501825;0.298531427599677;1.0025203780720182;0.06547386568948174;0.45743320400329424;5.316724314883059;2.5385245605118563;1.9084564295315858;1.1813483009020609;0.4289065531877595;0.14840138239901532;0.0;0.22208135718475056;9.067570039474786;2.3159866093067536;0.2914154291840155;80.86059886128524;0.6467865405342147;0.7786165044404662;1.190299276549773;0.6604105458641432;2.3544455868350944;0.625352957739941;2.0516921956582483;0.3915641089861496;0.5361244903573865;80.86289743095705;1.3320080536227443;0.9100004973628856;4.426543253248291;1.2026565991767797;5.907456825156019
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;0.0;1.0;0.5;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
