;ThrowsCount_75%;ClassDataAbstractionCoupling_count;MethodLength_max;BooleanExpressionComplexity_count;ThrowsCount_25%;NumberOfMethods_Checkstyle_50%;NumberOfPackageMethod_min;AnonymousInnerClassLength_25%;NestedTryDepth_max;ExecutableStatementCount_std;NestedIfElseDepth_75%;AnonymousInnerClassLength_50%;NestedIfElseDepth_max;NCSSForThisMethod_25%;ClassDataAbstractionCoupling_std;CyclomaticComplexity_std;MethodLength_count;CyclomaticComplexity_50%;NCSSForThisClass_std;NumberOfPrivateMethod_25%;NestedTryDepth_mean;NestedIfElseDepth_min;NCSSForThisClass_mean;AnonymousInnerClassLength_max;CyclomaticComplexity_25%;ClassDataAbstractionCoupling_mean;NumberOfMethods_Checkstyle_std;NumberOfMethods_Checkstyle_75%;NestedTryDepth_75%;NPathComplexity_25%;NumberOfMethods_Checkstyle_min;NumberOfProtectedMethod_std;NPathComplexity_min;ExecutableStatementCount_min;FileLength_max;ClassDataAbstractionCoupling_50%;NumberOfPrivateMethod_count;CyclomaticComplexity_max;NPathComplexity_count;MethodLength_std;NumberOfProtectedMethod_mean;NCSSForThisClass_max;CyclomaticComplexity_mean;BooleanExpressionComplexity_75%;FileLength_25%;NumberOfMethods_Checkstyle_25%;ExecutableStatementCount_50%;NCSSForThisClass_50%;NumberOfPrivateMethod_mean;CyclomaticComplexity_min;CyclomaticComplexity_count;ClassDataAbstractionCoupling_max;NumberOfPrivateMethod_50%;NumberOfPackageMethod_count;ThrowsCount_max;NumberOfPackageMethod_mean;ClassFanOutComplexity_min;ExecutableStatementCount_max;NumberOfProtectedMethod_count;NPathComplexity_std;NestedForDepth_std;FileLength_std;NCSSForThisFile_25%;NumberOfPrivateMethod_max;NumberOfPackageMethod_75%;NCSSForThisClass_75%;NCSSForThisFile_mean;NCSSForThisFile_min;NumberOfPackageMethod_25%;NumberOfProtectedMethod_75%;FileLength_50%;NumberOfPrivateMethod_std;NumberOfProtectedMethod_25%;NCSSForThisMethod_50%;ClassFanOutComplexity_count;ClassDataAbstractionCoupling_75%;ExecutableStatementCount_count;ExecutableStatementCount_75%;NestedTryDepth_25%;NumberOfMethods_Checkstyle_count;CyclomaticComplexity_75%;MethodLength_25%;NestedTryDepth_50%;AnonymousInnerClassLength_min;BooleanExpressionComplexity_25%;ClassFanOutComplexity_75%;MethodLength_mean;NCSSForThisMethod_min;NCSSForThisMethod_count;NestedTryDepth_count;NCSSForThisClass_min;NestedForDepth_75%;NumberOfPublicMethods_Checkstyle_mean;BooleanExpressionComplexity_max;NPathComplexity_75%;NCSSForThisFile_50%;NestedForDepth_min;NumberOfPublicMethods_Checkstyle_50%;NCSSForThisMethod_mean;NumberOfPackageMethod_max;ExecutableStatementCount_25%;ClassFanOutComplexity_50%;NumberOfProtectedMethod_max;NCSSForThisMethod_75%;NumberOfPublicMethods_Checkstyle_min;AnonymousInnerClassLength_75%;NumberOfPublicMethods_Checkstyle_75%;NestedIfElseDepth_count;FileLength_mean;NestedForDepth_50%;ClassFanOutComplexity_25%;NestedTryDepth_min;NumberOfPrivateMethod_min;NumberOfProtectedMethod_50%;NumberOfPrivateMethod_75%;NestedIfElseDepth_std;NumberOfMethods_Checkstyle_mean;ExecutableStatementCount_mean;ThrowsCount_std;NCSSForThisFile_std;ThrowsCount_min;ClassDataAbstractionCoupling_min;AnonymousInnerClassLength_count;NCSSForThisClass_count;FileLength_75%;AnonymousInnerClassLength_mean;ThrowsCount_count;NPathComplexity_max;AnonymousInnerClassLength_std;ClassDataAbstractionCoupling_25%;NumberOfMethods_Checkstyle_max;MethodLength_min;ClassFanOutComplexity_max;NestedForDepth_max;NumberOfPackageMethod_50%;NestedForDepth_25%;BooleanExpressionComplexity_std;NestedTryDepth_std;NestedForDepth_mean;Bugged;FileLength_count;NCSSForThisClass_25%;NestedIfElseDepth_25%;FileLength_min;NCSSForThisFile_max;NumberOfPublicMethods_Checkstyle_25%;NumberOfPublicMethods_Checkstyle_count;ClassFanOutComplexity_mean;MethodLength_75%;NestedForDepth_count;ThrowsCount_50%;NestedIfElseDepth_mean;NCSSForThisMethod_std;NCSSForThisMethod_max;BooleanExpressionComplexity_50%;ThrowsCount_mean;NPathComplexity_50%;NumberOfPublicMethods_Checkstyle_max;NestedIfElseDepth_50%;MethodLength_50%;NumberOfPublicMethods_Checkstyle_std;NumberOfProtectedMethod_min;BooleanExpressionComplexity_mean;NCSSForThisFile_count;BooleanExpressionComplexity_min;ClassFanOutComplexity_std;NPathComplexity_mean;NumberOfPackageMethod_std;NCSSForThisFile_75%
count;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.17046659597030753;3.7741251325556733;12.399787910922587;3.7741251325556733;0.11651643690349947;0.4138388123011665;0.0;0.06720572640509014;0.014846235418875928;1.7013838773775063;0.036717921527041356;0.0930540827147402;0.11346765641569459;2.8686373276776247;0.3729090597970592;0.520044106603802;3.7741251325556733;1.2701484623541888;7.737343208669591;0.00835100742311771;0.0044552045610028665;0.014846235418875928;4.336999328402327;0.805408271474019;1.1599946977730646;0.2242867439224389;1.0324218504789098;0.6143955461293743;0.003976670201484623;10.947640509013786;0.32184517497348886;0.028068032112539817;10.547189819724284;1.4056203605514317;72.3780487804878;0.0975609756097561;3.7741251325556733;2.422587486744433;3.7741251325556733;3.5088374819588783;0.013983728746618036;24.423647932131495;1.4333835705239328;0.05726405090137858;5.954798515376458;0.36651643690349944;2.3077942735949097;1.7804878048780488;0.037594601902977046;1.089607635206787;3.7741251325556733;1.0821845174973488;0.009809119830328738;3.7741251325556733;0.24761399787910923;0.011872785832921458;0.42258748674443264;5.754506892895016;3.7741251325556733;22.6311599668338;0.012522531628326328;24.19889270146953;1.8706256627783668;0.2889713679745493;0.009676564156945917;3.2439024390243905;5.837330473382048;1.4825026511134676;0.0022534464475079535;0.009544008483563097;6.961558854718982;0.08657792462165573;0.003711558854718982;3.4308059384941676;3.7741251325556733;0.1793478260869565;3.7741251325556733;3.162645811240721;0.0023860021208907743;3.7741251325556733;1.5209437963944856;4.216595970307529;0.002651113467656416;0.048250265111346766;0.027439024390243903;0.9741516436903499;6.129971897035215;2.3860021208907742;3.7741251325556733;3.7741251325556733;1.1558854718981972;0.006362672322375398;0.700616777504497;0.15588547189819724;13.217258748674443;2.2587486744432663;0.0021208907741251328;0.3934252386002121;3.9622169842750785;0.056733828207847295;1.8243637327677624;0.6084305408271474;0.08377518557794274;4.448568398727465;0.3123011664899258;0.18518027571580065;0.5770148462354189;3.7741251325556733;15.116148512483402;0.003181336161187699;0.5133881230116649;0.0021208907741251328;0.006892895015906681;0.004772004241781549;0.019088016967126194;0.03973087184580282;0.7571613401745164;2.7508092882432487;0.07279966004496899;10.729188800036626;0.08483563096500531;0.06256627783669141;3.7741251325556733;3.7741251325556733;11.74430010604454;0.18947390340325668;3.7741251325556733;90.75397667020148;0.2796025189127923;0.07993107104984093;3.253446447507953;3.4183457051961823;3.757158006362672;0.03552492046659597;0.004506892895015907;0.002518557794273595;0.053577099685660615;0.004949240491729016;0.007699457784816656;;3.7741251325556733;1.4483032873806998;0.01855779427359491;4.9480381760339345;32.72269353128314;0.3516702014846235;3.7741251325556733;1.0616324441166047;7.009544008483563;3.7741251325556733;0.13626723223753975;0.036170606819414274;2.0063956386902295;7.534994697773064;0.032873806998939555;0.1481744385355146;11.39475079533404;2.898727465535525;0.023064687168610817;5.173647932131495;0.9168687040462526;0.002651113467656416;0.052424052578553273;3.7741251325556733;0.02386002120890774;1.340253354682776;18.158402695260442;0.02436265539979101;4.1525715800636265
std;0.4086725547106932;6.228018205871146;25.50404929533687;6.228018205871146;0.33394039477553683;4.7624887508377585;0.0;0.6610794862171752;0.1252780576498773;4.761214372170014;0.20667865334285007;0.7456039186052847;0.405347492491958;4.859717350937035;0.8680269251484568;1.2783872986563103;6.228018205871146;1.3939256929132493;14.841261994829189;0.16214080338906975;0.05283454773737728;0.14491249606684853;8.278544086391364;3.6787139399964386;1.2809373847016288;0.5442483813717477;1.3978292906391678;4.780091431204545;0.05744412565391376;245.80852745749573;4.757216490981279;0.16661336393513407;245.77727220638755;4.032934732827411;147.23593626906754;0.43491441304914297;6.228018205871146;3.998819306717881;6.228018205871146;9.122172132818777;0.09517023471823152;74.04481582679142;1.4844474478921645;0.2324080862815356;35.0736461560652;4.757004218156624;4.656422245623509;7.097245027246436;0.19645658821814208;1.2454386398574182;6.228018205871146;3.1523862714032225;0.1654004565457359;6.228018205871146;0.5676347047927236;0.10299461923752384;2.7082933611423616;12.907451360824412;6.228018205871146;194.00586284555732;0.07756893800467203;39.85726848609762;9.086981904837403;1.4081066175523167;0.11286221430859687;8.873557113718476;11.336033400806812;8.825719666555186;0.03198078710857299;0.10822466034744001;36.272436305723495;0.3458557730433539;0.06452856619910223;5.322601833549126;6.228018205871146;0.633303451313981;6.228018205871146;5.524435513604969;0.04742305223760939;6.228018205871146;1.6423276682147736;8.362791645697772;0.051434305309639994;0.6259673578471288;0.16330071931016546;3.0438377451667504;10.080070356376737;4.609469578050921;6.228018205871146;6.228018205871146;6.627495563056624;0.07070560601972221;4.751210602259656;0.46987196814872056;246.84775835340207;9.945640865547938;0.04601646826020485;4.755400586035321;5.723270331913724;0.5974878800283523;4.262025146367029;2.793140133621691;0.55792506873496;6.325646133830006;4.750488156568359;1.124896290818028;4.771746317059231;6.228018205871146;37.81851134051843;0.051404217968481214;2.7241891646356495;0.04601646826020485;0.16108121477442972;0.07448159284048075;0.18345032558468374;0.15364746763223078;4.7572116636635435;5.027228728866542;0.2262509138066737;19.045058230837597;0.2971360190506933;0.391296002941399;6.228018205871146;6.228018205871146;40.57412659147554;0.9387580965212481;6.228018205871146;780.4225924007684;1.2803032446654714;0.40143171561547336;7.425129480177155;7.899599601665353;6.681014645495334;0.21187533285654234;0.06396157421714598;0.04706526227187097;0.1765674723712532;0.046786496809830894;0.06021640427298898;;6.228018205871146;6.711226572421502;0.15338873692553062;34.760559586699756;81.90822958402804;4.7504051056549965;6.228018205871146;2.8408297142916634;11.468005966730631;6.228018205871146;0.36233791496794376;0.1757256219633679;5.199954190843641;14.554957414281118;0.1776083731120365;0.3505259175567059;245.90321181281521;7.009794471947673;0.17042105153235265;9.158286251088919;1.285037601860106;0.06088099638019194;0.18877679952764942;6.228018205871146;0.15945247671918686;2.1745242581063122;253.27427494910273;0.21847590143196446;12.625125154257127
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;3.0;2.0;1.0;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6547619047619048;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.17028985507246375;3.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.1111111111111111;0.0;0.0
75%;0.0;5.0;15.0;5.0;0.0;0.0;0.0;0.0;0.0;1.7320508075688772;0.0;0.0;0.0;3.0;0.40824829046386296;0.5773502691896257;5.0;1.0;11.387961282631185;0.0;0.0;0.0;6.0874125874125875;0.0;1.0;0.2222222222222222;2.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;95.0;0.0;5.0;3.0;5.0;3.5355339059327378;0.0;24.0;1.731818181818182;0.0;0.0;0.0;3.0;0.0;0.0;1.0;5.0;1.0;0.0;5.0;0.0;0.0;0.0;7.0;5.0;0.7559289460184544;0.0;41.23307733685017;0.0;0.0;0.0;3.0;8.333333333333334;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;0.0;5.0;4.5;0.0;5.0;2.0;5.0;0.0;0.0;0.0;1.0;8.7375;2.0;5.0;5.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;5.5;0.0;2.0;0.0;0.0;6.0;0.0;0.0;1.0;5.0;21.323529411764703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;16.97056274847714;0.0;0.0;5.0;5.0;0.0;0.0;5.0;3.0;0.0;0.0;4.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;;5.0;0.0;0.0;0.0;39.0;0.0;5.0;1.4444444444444444;10.0;5.0;0.0;0.0;2.309401076758503;10.0;0.0;0.0;1.0;4.0;0.0;7.0;1.7320508075688772;0.0;0.0;5.0;0.0;2.2465169943749475;1.8;0.0;0.0
