WMC_CK_max;NumberOfParameters_CK_25%;MaxNumberOfNestedBlocks_max;IsConstructor_freq;NumberOfModifiers_max;NumberOfParenthesizedExps_count;NumberOfParenthesizedExps_25%;WMC_CK_std;NumberOfParameters_CK_std;NumberOfAnonymousClasses_min;NumberOfParameters_CK_min;CBO_50%;NumberOfAnonymousClasses_max;NumberOfLogStatements_max;Returns_std;NumberOfInnerClasses_max;CBO_min;NumberOfNumbers_count;NumberOfLogStatements_count;NumberOfTryCatch_std;MaxNumberOfNestedBlocks_min;LOCMethod_CK_50%;NumberOfMathOperations_max;NumberOfParenthesizedExps_std;NumberOfNumbers_max;NumberOfTryCatch_25%;CBO_count;NumberOfParenthesizedExps_min;NumberOfLoops_mean;NumberOfAssignments_std;NumberOfAssignments_25%;NumberOfStringLiterals_max;MaxNumberOfNestedBlocks_count;NumberOfAnonymousClasses_50%;NumberOfTryCatch_min;WMC_CK_count;NumberOfLoops_50%;NumberOfAnonymousClasses_75%;NumberOfStringLiterals_50%;WMC_CK_75%;NumberOfAnonymousClasses_mean;NumberOfAssignments_50%;NumberOfVariables_mean;NumberOfStringLiterals_mean;NumberOfVariables_max;NumberOfMathOperations_50%;NumberOfUniqueWords_mean;NumberOfTryCatch_75%;NumberOfLambdas_75%;NumberOfMathOperations_count;NumberOfParameters_CK_75%;NumberOfParenthesizedExps_50%;LOCMethod_CK_mean;RFC_50%;NumberOfAssignments_75%;NumberOfLogStatements_75%;NumberOfLoops_75%;NumberOfAssignments_min;NumberOfMathOperations_min;NumberOfMathOperations_std;NumberOfModifiers_25%;NumberOfModifiers_75%;NumberOfLogStatements_mean;NumberOfVariables_50%;LOCMethod_CK_25%;IsConstructor_unique;NumberOfStringLiterals_std;NumberOfParameters_CK_50%;RFC_25%;NumberOfVariables_75%;NumberOfUniqueWords_min;Returns_max;NumberOfUniqueWords_75%;NumberOfParenthesizedExps_75%;NumberOfVariables_count;RFC_count;NumberOfStringLiterals_count;NumberOfParameters_CK_max;NumberOfComparisons_max;NumberOfLogStatements_25%;NumberOfModifiers_std;NumberOfVariables_25%;NumberOfComparisons_mean;MaxNumberOfNestedBlocks_50%;NumberOfNumbers_75%;NumberOfModifiers_min;CBO_75%;NumberOfComparisons_75%;CBO_std;RFC_mean;NumberOfParameters_CK_mean;NumberOfInnerClasses_75%;NumberOfLambdas_50%;Returns_mean;IsConstructor_top;WMC_CK_50%;LOCMethod_CK_max;NumberOfInnerClasses_min;NumberOfLambdas_min;NumberOfStringLiterals_75%;NumberOfParameters_CK_count;NumberOfLoops_max;NumberOfNumbers_25%;NumberOfStringLiterals_min;MaxNumberOfNestedBlocks_mean;CBO_25%;NumberOfLambdas_count;NumberOfAssignments_mean;NumberOfMathOperations_mean;NumberOfParenthesizedExps_mean;RFC_75%;CBO_max;NumberOfInnerClasses_std;Returns_75%;NumberOfNumbers_50%;RFC_std;NumberOfUniqueWords_50%;NumberOfAnonymousClasses_std;NumberOfLogStatements_50%;NumberOfUniqueWords_count;NumberOfTryCatch_50%;NumberOfLoops_min;WMC_CK_25%;RFC_min;NumberOfStringLiterals_25%;WMC_CK_min;NumberOfUniqueWords_25%;IsConstructor_count;NumberOfNumbers_min;NumberOfInnerClasses_25%;NumberOfMathOperations_25%;Returns_25%;LOCMethod_CK_75%;NumberOfModifiers_50%;LOCMethod_CK_std;NumberOfLoops_std;NumberOfInnerClasses_mean;NumberOfParenthesizedExps_max;NumberOfLambdas_25%;NumberOfUniqueWords_max;RFC_max;NumberOfComparisons_count;NumberOfModifiers_mean;NumberOfVariables_std;NumberOfModifiers_count;Returns_min;Bugged;NumberOfComparisons_min;NumberOfLogStatements_min;NumberOfMathOperations_75%;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_std;Returns_count;NumberOfTryCatch_max;NumberOfAnonymousClasses_25%;NumberOfUniqueWords_std;WMC_CK_mean;CBO_mean;NumberOfLambdas_std;NumberOfVariables_min;MaxNumberOfNestedBlocks_25%;NumberOfNumbers_std;LOCMethod_CK_min;NumberOfAssignments_count;NumberOfInnerClasses_50%;NumberOfInnerClasses_count;NumberOfNumbers_mean;NumberOfLoops_count;NumberOfLambdas_mean;NumberOfTryCatch_mean;NumberOfAssignments_max;NumberOfAnonymousClasses_count;Returns_50%;NumberOfComparisons_50%;NumberOfTryCatch_count;NumberOfLambdas_max;NumberOfLogStatements_std;NumberOfComparisons_25%;LOCMethod_CK_count;NumberOfComparisons_std;NumberOfLoops_25%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6.0;0.0;1.0;7.0;1.0;7.0;0.0;1.914854215512676;0.5345224838248487;0.0;0.0;0.0;0.0;0.0;1.3451854182690983;0.0;0.0;7.0;7.0;0.0;0.0;3.0;2.0;0.3779644730092273;3.0;0.0;7.0;0.0;0.0;0.7559289460184544;0.0;3.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;2.0;0.0;1.0;0.2857142857142857;0.42857142857142855;1.0;0.0;13.0;0.0;0.0;7.0;1.0;0.0;3.8571428571428568;0.0;1.0;0.0;0.0;0.0;0.0;0.9759000729485332;1.0;1.0;0.0;0.0;3.0;1.0;1.1338934190276817;0.0;0.0;0.5;3.0;4.0;12.0;0.0;7.0;7.0;7.0;1.0;7.0;0.0;0.0;0.0;1.2857142857142858;0.0;0.0;1.0;0.5;1.0;0.4879500364742666;1.2857142857142858;0.42857142857142855;0.0;0.0;1.1428571428571428;False;1.0;7.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.14285714285714285;0.0;7.0;0.7142857142857143;0.5714285714285714;0.14285714285714285;2.0;1.0;0.0;1.0;0.0;2.214669705568283;7.0;0.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;1.0;3.5;7.0;0.0;0.0;0.0;0.5;4.0;1.0;1.5735915849388864;0.0;0.0;1.0;0.0;50.0;5.0;7.0;1.0;0.4879500364742666;7.0;0.0;False;0.0;0.0;1.0;0.0;0.3779644730092273;7.0;0.0;0.0;16.772994167212165;2.0;0.2857142857142857;0.0;0.0;0.0;1.1338934190276817;3.0;7.0;0.0;7.0;0.42857142857142855;7.0;0.0;0.0;2.0;7.0;1.0;0.0;7.0;0.0;0.0;0.0;7.0;2.627691364061218;0.0
1.0;0.0;0.0;7.0;1.0;7.0;0.0;0.0;0.5345224838248488;0.0;0.0;0.0;0.0;0.0;0.5345224838248488;0.0;0.0;7.0;7.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.5345224838248488;0.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;1.0;0.14285714285714285;0.0;1.0;0.0;7.857142857142858;0.0;0.0;7.0;1.0;0.0;3.2857142857142856;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;4.0;1.0;10.0;0.0;7.0;7.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.4638501094227998;0.5714285714285714;0.5714285714285714;0.0;0.0;0.5714285714285714;False;1.0;5.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0;0.5714285714285714;0.0;0.0;0.0;4.0;0.0;1.0;0.0;1.5118578920369092;4.0;0.0;0.0;7.0;0.0;0.0;1.0;0.0;0.0;1.0;4.0;7.0;0.0;0.0;0.0;0.0;3.0;1.0;0.7559289460184545;0.0;0.0;0.0;0.0;19.0;4.0;7.0;1.0;0.3779644730092273;7.0;0.0;False;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;6.121780008803849;1.0;0.8571428571428571;0.0;0.0;0.0;0.0;3.0;7.0;0.0;7.0;0.0;7.0;0.0;0.0;1.0;7.0;1.0;0.0;7.0;0.0;0.0;0.0;7.0;0.0;0.0
6.0;0.25;1.0;5.0;1.0;6.0;0.0;2.041241452319315;0.7527726527090809;0.0;0.0;0.5;0.0;0.0;1.5491933384829668;0.0;0.0;6.0;6.0;0.0;0.0;3.5;2.0;0.40824829046386296;3.0;0.0;6.0;0.0;0.0;0.7527726527090809;0.25;0.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;2.5;0.0;1.0;0.3333333333333333;0.0;1.0;0.0;5.666666666666668;0.0;0.0;6.0;1.0;0.0;4.166666666666667;1.0;1.0;0.0;0.0;0.0;0.0;0.8164965809277259;1.0;1.0;0.0;0.0;3.0;2.0;0.0;1.0;0.0;0.75;3.0;4.0;6.75;0.0;6.0;6.0;6.0;2.0;7.0;0.0;0.0;0.0;1.5;0.0;0.0;1.0;1.0;1.5;0.5477225575051661;1.5;0.8333333333333334;0.0;0.0;1.0;False;1.0;7.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.16666666666666666;0.0;6.0;0.8333333333333334;0.3333333333333333;0.16666666666666666;2.75;1.0;0.0;1.0;0.0;1.760681686165901;4.5;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;6.0;0.0;0.0;0.0;0.0;4.75;1.0;1.6020819787597222;0.0;0.0;1.0;0.0;12.0;4.0;6.0;1.0;0.5163977794943223;6.0;0.0;False;0.0;0.0;0.0;0.0;0.40824829046386296;6.0;0.0;0.0;3.559026084010437;2.1666666666666665;0.5;0.0;0.0;0.0;1.224744871391589;3.0;6.0;0.0;6.0;0.5;6.0;0.0;0.0;2.0;6.0;0.5;0.0;6.0;0.0;0.0;0.0;6.0;2.8106938645110398;0.0
8.0;0.0;1.0;11.0;1.0;11.0;0.0;2.32379000772445;0.5222329678670934;0.0;0.0;0.0;0.0;0.0;1.7002673586554236;0.0;0.0;11.0;11.0;0.0;0.0;3.0;6.0;0.9045340337332908;7.0;0.0;11.0;0.0;0.0;1.1677484162422844;0.0;4.0;11.0;0.0;0.0;11.0;0.0;0.0;0.0;1.0;0.0;1.0;0.18181818181818185;0.3636363636363637;1.0;0.0;5.181818181818182;0.0;0.0;11.0;1.0;0.0;3.9090909090909087;0.0;1.0;0.0;0.0;0.0;0.0;1.804035879506129;1.0;1.0;0.0;0.0;3.0;1.0;1.2060453783110543;0.0;0.0;0.0;3.0;6.0;5.0;0.0;11.0;11.0;11.0;1.0;11.0;0.0;0.0;0.0;1.3636363636363635;0.0;0.0;1.0;1.5;0.0;0.9045340337332908;1.7272727272727273;0.4545454545454545;0.0;0.0;1.0909090909090908;False;1.0;9.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.09090909090909093;0.0;11.0;0.8181818181818182;0.6363636363636364;0.2727272727272727;3.0;2.0;0.0;1.0;0.0;2.9695423583747407;3.0;0.0;0.0;11.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;11.0;0.0;0.0;0.0;0.0;3.0;1.0;2.0714509627092528;0.0;0.0;3.0;0.0;15.0;7.0;11.0;1.0;0.4045199174779452;11.0;0.0;False;0.0;0.0;0.0;0.0;0.3015113445777636;11.0;0.0;0.0;3.8940514074208576;2.0;0.7272727272727273;0.0;0.0;0.0;2.110579412044345;3.0;11.0;0.0;11.0;0.6363636363636364;11.0;0.0;0.0;4.0;11.0;1.0;0.0;11.0;0.0;0.0;0.0;11.0;3.413875430437592;0.0
1.0;0.0;0.0;12.0;1.0;12.0;0.0;0.0;0.5222329678670935;0.0;0.0;0.0;0.0;0.0;0.5222329678670935;0.0;0.0;12.0;12.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.5222329678670935;0.0;0.0;12.0;0.0;0.0;12.0;0.0;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;6.583333333333332;0.0;0.0;12.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;0.5;0.0;0.0;3.0;1.0;8.25;0.0;12.0;12.0;12.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.38924947208076144;0.0;0.5;0.0;0.0;0.5;False;1.0;3.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;12.0;0.5;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;12.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;12.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;12.0;1.0;0.0;12.0;0.0;False;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;4.461111425588376;1.0;0.16666666666666666;0.0;0.0;0.0;0.0;3.0;12.0;0.0;12.0;0.0;12.0;0.0;0.0;1.0;12.0;0.5;0.0;12.0;0.0;0.0;0.0;12.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.0;0.5;5.0;14.0;10.0;15.0;0.0;2.2509257354845507;0.6399404734221844;0.0;0.0;2.0;0.0;3.0;0.8837151016885368;0.0;0.0;15.0;15.0;0.7037315505489967;0.0;9.0;2.0;0.7745966692414833;2.0;0.0;15.0;0.0;0.26666666666666666;3.1997023671109224;0.0;4.0;15.0;0.0;0.0;15.0;0.0;0.0;0.0;3.0;0.0;0.0;1.2;0.6;7.0;0.0;14.533333333333333;1.0;0.0;15.0;1.0;0.0;12.533333333333333;4.0;2.0;0.0;0.0;0.0;0.0;0.7237468644557459;1.0;1.0;0.4;0.0;5.5;2.0;1.1212238211627759;1.0;1.0;2.0;5.0;3.0;20.0;0.0;15.0;15.0;15.0;2.0;4.0;0.0;2.319687992155924;0.0;0.6666666666666666;1.0;0.0;1.0;3.0;1.0;1.2798809468443688;5.0;0.8666666666666667;0.0;0.0;0.7333333333333333;False;2.0;43.0;0.0;0.0;1.0;15.0;2.0;0.0;0.0;1.4;1.0;15.0;1.6666666666666667;0.3333333333333333;0.2;6.5;4.0;0.0;1.0;0.0;5.4902511001644685;12.0;0.0;0.0;15.0;1.0;0.0;1.0;0.0;0.0;1.0;8.5;15.0;0.0;0.0;0.0;0.0;15.0;1.0;10.828973481667905;0.5936168397046637;0.0;3.0;0.0;26.0;20.0;15.0;1.6666666666666667;2.007130147392398;15.0;0.0;False;0.0;0.0;0.0;1.5;1.5023790657297036;15.0;2.0;0.0;7.079817054402572;2.7333333333333334;1.7333333333333334;0.0;0.0;0.5;0.5606119105813882;3.0;15.0;0.0;15.0;0.2;15.0;0.0;0.7333333333333333;12.0;15.0;1.0;0.0;15.0;0.0;0.9102589898327996;0.0;15.0;1.1126972805283737;0.0
8.0;1.5;2.0;3.0;33.0;3.0;0.0;3.055050463303893;1.0;0.0;1.0;3.0;0.0;2.0;2.0816659994661326;0.0;1.0;3.0;3.0;1.0;1.0;24.0;1.0;0.0;4.0;0.5;3.0;0.0;0.3333333333333333;3.2145502536643185;3.5;4.0;3.0;0.0;0.0;3.0;0.0;0.0;2.0;6.0;0.0;6.0;2.0;2.6666666666666665;3.0;0.0;18.0;1.5;0.5;3.0;2.5;0.0;21.66666666666667;7.0;6.5;1.5;0.5;1.0;0.0;0.5773502691896258;5.0;21.0;1.0;2.0;17.0;1.0;1.1547005383792517;2.0;6.5;2.5;6.0;4.0;24.0;0.0;3.0;3.0;3.0;3.0;3.0;0.5;16.65332799572906;1.5;1.0;2.0;2.0;1.0;3.5;1.5;1.5275252316519468;8.333333333333334;2.0;0.0;0.0;1.6666666666666667;False;4.0;31.0;0.0;0.0;3.0;3.0;1.0;0.0;2.0;1.6666666666666667;2.0;3.0;4.666666666666667;0.3333333333333333;0.0;9.5;4.0;0.0;2.5;0.0;3.2145502536643185;23.0;0.0;1.0;3.0;1.0;0.0;3.0;6.0;2.0;2.0;14.5;3.0;0.0;0.0;0.0;0.5;27.5;9.0;10.692676621563626;0.5773502691896258;0.0;0.0;0.0;25.0;12.0;3.0;14.333333333333336;1.0;3.0;0.0;False;0.0;0.0;0.5;2.0;0.5773502691896257;3.0;2.0;0.0;10.44030650891055;4.666666666666667;2.6666666666666665;0.5773502691896258;1.0;1.5;2.309401076758504;10.0;3.0;0.0;3.0;1.3333333333333333;3.0;0.3333333333333333;1.0;7.0;3.0;1.0;0.0;3.0;1.0;1.0;0.0;3.0;1.7320508075688772;0.0
8.0;0.0;3.0;5.0;33.0;6.0;0.0;2.949576240750525;0.5477225575051661;0.0;0.0;0.5;0.0;1.0;2.2583179581272432;0.0;0.0;6.0;6.0;0.40824829046386296;0.0;6.5;6.0;1.2110601416389968;7.0;0.0;6.0;0.0;0.0;2.588435821108957;1.0;1.0;6.0;0.0;0.0;6.0;0.0;0.0;0.0;5.0;0.0;1.5;1.1666666666666667;0.3333333333333333;3.0;0.0;11.166666666666664;0.0;0.0;6.0;1.0;0.0;8.833333333333334;3.0;3.5;0.0;0.0;0.0;0.0;2.449489742783178;1.0;7.75;0.16666666666666666;1.0;3.75;2.0;0.5163977794943223;0.5;2.25;1.75;2.0;6.0;15.5;0.75;6.0;6.0;6.0;1.0;11.0;0.0;12.843935014888027;0.25;2.5;0.0;2.25;1.0;3.25;3.0;1.9748417658131496;3.6666666666666665;0.5;0.0;0.0;1.5;False;3.0;25.0;0.0;0.0;0.75;6.0;0.0;0.0;0.0;0.6666666666666666;0.0;6.0;2.5;1.0;0.6666666666666666;5.25;4.0;0.0;1.0;0.0;2.875181153713044;11.0;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;5.0;6.0;0.0;0.0;0.0;0.25;8.5;1.0;8.256310717667223;0.0;0.0;3.0;0.0;23.0;8.0;6.0;7.833333333333332;1.1690451944500122;6.0;0.0;False;0.0;0.0;0.0;0.75;1.2110601416389968;6.0;1.0;0.0;7.9603182515943836;3.5;1.5;0.0;0.0;0.0;2.875181153713044;3.0;6.0;0.0;6.0;1.6666666666666667;6.0;0.0;0.16666666666666666;7.0;6.0;1.0;0.0;6.0;0.0;0.40824829046386296;0.0;6.0;4.460941604639093;0.0
