WMC_CK_25%;Bugged;WMC_CK_max;WMC;WMC_CK_75%;NOCh;NPM;NMI;WMC_CK_50%;WMC_CK_min;NORM;NMIR;WMC_CK_std;WMC_CK_count;WMC_CK_mean;DIT
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;6.0;15.0;2.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;1.914854215512676;7.0;2.0;1.0
1.0;False;1.0;7.0;1.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;0.0;7.0;1.0;1.0
1.0;False;6.0;15.0;2.5;0.0;6.0;0.0;1.0;1.0;0.0;0.0;2.041241452319315;6.0;2.1666666666666665;1.0
1.0;False;8.0;25.0;1.0;0.0;11.0;0.0;1.0;1.0;0.0;0.0;2.32379000772445;11.0;2.0;1.0
1.0;False;1.0;12.0;1.0;0.0;12.0;0.0;1.0;1.0;0.0;0.0;0.0;12.0;1.0;1.0
0.0;False;0.0;30.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;False;8.0;30.0;3.0;0.0;12.0;0.0;2.0;1.0;0.0;0.0;2.2509257354845507;15.0;2.7333333333333334;1.0
3.0;False;8.0;3.0;6.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;3.055050463303893;3.0;4.666666666666667;1.0
1.0;False;8.0;3.0;5.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;2.949576240750525;6.0;3.5;1.0
0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
0.0;False;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1.0;False;1.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;1.0;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;False;2.0;4.0;2.0;0.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;3.0;2.0;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;4.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.224744871391589;6.0;1.5;0.0
1.0;False;8.0;33.0;2.25;0.0;3.0;0.0;2.0;1.0;0.0;0.0;1.7969882210706518;16.0;2.1875;1.0
2.0;False;2.0;33.0;2.0;0.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
1.0;False;23.0;54.0;5.5;0.0;4.0;0.0;2.0;1.0;0.0;0.0;6.0827625302982185;16.0;4.75;1.0
2.0;False;2.0;54.0;2.0;0.0;4.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;4.0;11.0;2.0;0.0;6.0;0.0;1.5;1.0;0.0;0.0;1.1690451944500122;6.0;1.8333333333333333;1.0
2.0;False;2.0;1.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
1.0;False;5.0;31.0;2.0;0.0;17.0;0.0;1.0;1.0;0.0;0.0;1.3639259941972874;17.0;1.8823529411764703;1.0
1.0;False;1.0;31.0;1.0;0.0;17.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
2.5;False;4.0;8.0;3.25;0.0;2.0;0.0;3.0;1.0;0.0;0.0;1.2583057392117916;4.0;2.75;1.0
1.0;False;2.0;6.0;1.25;0.0;4.0;0.0;1.0;1.0;0.0;0.0;0.5;4.0;1.25;1.0
1.5;False;9.0;17.0;4.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;2.6764970322487502;11.0;3.1818181818181817;1.0
2.0;False;2.0;17.0;2.0;0.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;6.0;14.0;2.0;0.0;3.0;0.0;1.5;1.0;0.0;0.0;1.563471919941143;10.0;2.0;1.0
2.0;False;2.0;14.0;2.0;0.0;3.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
1.0;False;18.0;0.0;4.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;4.737823307909413;12.0;3.583333333333333;0.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;False;2.0;0.0;2.0;0.0;0.0;0.0;1.5;1.0;0.0;0.0;0.5773502691896257;4.0;1.5;0.0
1.0;False;4.0;0.0;2.5;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.4638501094227998;7.0;1.8571428571428568;0.0
1.0;False;2.0;8.0;1.0;0.0;6.0;0.0;1.0;1.0;0.0;0.0;0.3779644730092273;7.0;1.1428571428571428;1.0
1.0;False;1.0;3.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.0;False;4.0;6.0;2.5;0.0;3.0;0.0;1.0;1.0;0.0;0.0;1.7320508075688772;3.0;2.0;1.0
1.0;False;7.0;15.0;2.0;0.0;3.0;0.0;1.5;1.0;0.0;0.0;2.0310096011589898;8.0;2.125;1.0
0.0;False;0.0;13.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
2.75;False;8.0;13.0;6.25;1.0;1.0;0.0;4.5;1.0;0.0;0.0;4.949747468305833;2.0;4.5;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;False;5.0;0.0;5.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;1.0;5.0;1.0
2.5;False;4.0;0.0;3.5;0.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;3.0;3.0;1.0
1.0;False;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0
1.75;False;3.0;0.0;2.25;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.8164965809277259;4.0;2.0;1.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
3.25;False;7.0;11.0;5.75;0.0;3.0;0.0;4.5;2.0;0.0;0.0;3.5355339059327378;2.0;4.5;1.0
3.0;False;3.0;11.0;3.0;0.0;3.0;0.0;3.0;3.0;0.0;0.0;0.0;1.0;3.0;1.0
1.5;False;12.0;13.0;7.0;0.0;3.0;0.0;2.0;1.0;0.0;0.0;6.0827625302982185;3.0;5.0;1.0
1.0;False;9.0;19.0;1.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;2.2188007849009166;13.0;1.6153846153846154;1.0
2.0;False;2.0;63.0;2.0;0.0;18.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
2.0;False;2.0;63.0;2.0;0.0;18.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
2.0;False;2.0;63.0;2.0;0.0;18.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
5.0;False;5.0;63.0;5.0;0.0;18.0;0.0;5.0;5.0;0.0;0.0;0.0;1.0;5.0;1.0
2.0;False;2.0;63.0;2.0;0.0;18.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
2.0;False;2.0;63.0;2.0;0.0;18.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
2.0;False;2.0;63.0;2.0;0.0;18.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;2.0;1.0
7.0;False;7.0;63.0;7.0;0.0;18.0;0.0;7.0;7.0;0.0;0.0;0.0;1.0;7.0;1.0
2.0;False;5.0;63.0;2.5;0.0;18.0;0.0;2.0;2.0;0.0;0.0;1.1338934190276817;7.0;2.571428571428572;1.0
1.25;False;3.0;63.0;3.0;0.0;18.0;0.0;2.0;1.0;0.0;0.0;0.8755950357709131;10.0;2.1;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;40.0;1.0;0.0;40.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;1.0
1.0;False;2.0;8.0;1.0;0.0;7.0;0.0;1.0;1.0;0.0;0.0;0.3779644730092273;7.0;1.1428571428571428;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
1.0;False;1.0;36.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0
