;Bugged;NPF;NSF;PMd;NOA;NOD;ClTCi;NSM;RTLOC;TLOC;ClRCi;NOL
count;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;2;;;;;;;;;;;
top;False;;;;;;;;;;;
freq;1732;;;;;;;;;;;
mean;;0.5705196182396607;1.118239660657476;22.06998939554613;0.0;0.0010604453870625664;72.9017631760159;0.5339342523860021;386.0153764581124;247.75821845174974;1.726186296006893;0.0
std;;2.104450367172099;2.997313789038337;45.45347556635131;0.0;0.03255584151216876;252.75851315887553;3.143038132830761;689.3332866870654;655.4744440599575;5.109676493895229;0.0
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;0.0;0.0
50%;;0.0;0.0;1.0;0.0;0.0;9.0;0.0;106.0;57.0;1.0;0.0
75%;;0.0;1.0;10.0;0.0;0.0;64.25;0.0;581.0;156.0;2.026515152;0.0
max;;51.0;53.0;142.0;0.0;1.0;8867.046785225999;61.0;3206.0;3178.0;184.73014135900002;0.0
