PMR;MaxNumberOfNestedBlocks_max;NumberOfModifiers_max;issues_priorityMajor_count;blamemerge_priorityMajor_max;MaxNumberOfNestedBlocks_min;blame_merge_priorityMinor_mean;Average Statements per Method;NumberOfMathOperations_max;NMIR;Maximum Depth_25%;SIX;MaxNumberOfNestedBlocks_count;Mit;NumberOfMathOperations_50%;Maximum Depth_min;issues_priorityMinor_max;NumberOfMethods_Mood;issues_priorityMinor_count;NumberOfMathOperations_count;NF;HMi;NumberOfMathOperations_min;blame_merge_priorityMinor_max;NumberOfMathOperations_std;blamemerge_priorityMajor_min;Maximum Depth_50%;NumberOfModifiers_25%;NumberOfModifiers_75%;Ad;blame_merge_priorityMinor_std;PMd;Ao;issues_priorityMajor_mean;Ait;blamemerge_priorityMinor_mean;blame_merge_priorityMajor_min;Maximum Block Depth;blamemerge_priorityMinor_max;Maximum Depth_max;NumberOfModifiers_std;Maximum Depth_count;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_min;blamemerge_priorityMinor_min;blamemerge_priorityMinor_count;Mi;blame_merge_priorityMinor_min;Maximum Depth_mean;Md;Ai;issues_priorityMajor_max;NMA;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_mean;blame_merge_priorityMajor_count;Average Block Depth;blamemerge_priorityMajor_mean;blamemerge_priorityMajor_count;Maximum Depth_std;Maximum Depth_75%;NumberOfMathOperations_25%;NumberOfModifiers_50%;NumberOfModifiers_mean;Bugged;NumberOfModifiers_count;blame_merge_priorityMajor_max;NumberOfMathOperations_75%;issues_priorityMinor_std;MaxNumberOfNestedBlocks_std;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_std;blamemerge_priorityMinor_std;Mo;issues_priorityMajor_min;blame_merge_priorityMajor_std;blame_merge_priorityMinor_count;blamemerge_priorityMajor_std;MaxNumberOfNestedBlocks_25%;Ma;issues_priorityMinor_mean;NMI;NM;NOPa;Av;Average Complexity*;HMd;Maximum Complexity*;blame_merge_priorityMajor_mean;PMi;issues_priorityMinor_min
0.0;0.0;0.0;112.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;112.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1077.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1077.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;1.0;1.0;78.0;1.0;0.0;0.0;2.13;2.0;0.0;2.0;0.0;7.0;0.0;0.0;2.0;1.0;7.0;78.0;7.0;2.0;0.0;0.0;0.0;0.9759000729485332;0.0;2.0;1.0;1.0;2.0;0.0;7.0;0.0;0.9358974358974358;0.0;0.0007521058965102287;0.0;3.0;1.0;2.0;0.0;4.0;0.0;1.0;0.0;6648.0;0.0;0.0;2.0;7.0;0.0;1.0;7.0;0.14285714285714285;0.5714285714285714;0.0;1.41;0.9992478941034898;6648.0;0.0;2.0;0.0;1.0;1.0;False;7.0;0.0;1.0;0.2465209134587992;0.3779644730092273;0.0;0.2465209134587992;0.027416296208754118;0.0;0.0;0.0;0.0;0.027416296208754118;0.0;7.0;0.0641025641025641;0.0;7.0;0.0;2.0;1.5;0.0;5.0;0.0;0.0;0.0
1.0;0.0;1.0;133.0;1.0;0.0;0.0;1.25;0.0;0.0;2.0;0.0;7.0;0.0;0.0;2.0;1.0;7.0;133.0;7.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;3.0;0.0;7.0;0.0;0.8421052631578947;0.0;0.008092125739184563;0.0;3.0;1.0;2.0;0.0;3.0;0.0;1.0;0.0;3213.0;0.0;0.0;2.0;7.0;0.0;1.0;7.0;0.0;0.0;0.0;1.14;0.9919078742608154;3213.0;0.0;2.0;0.0;1.0;1.0;False;7.0;0.0;0.0;0.3660208899312015;0.0;0.0;0.3660208899312015;0.08960548083201918;0.0;0.0;0.0;0.0;0.0896054808320192;0.0;7.0;0.15789473684210525;0.0;7.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
1.0;1.0;1.0;39.0;1.0;0.0;0.0;2.43;2.0;0.0;2.0;0.0;6.0;0.0;0.0;2.0;0.0;6.0;39.0;6.0;2.0;0.0;0.0;0.0;0.8164965809277259;1.0;2.0;1.0;1.0;2.0;0.0;7.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;3.0;0.0;1.0;0.0;2496.0;0.0;0.0;2.0;7.0;0.0;1.0;7.0;0.16666666666666666;0.3333333333333333;0.0;1.5;1.0;2496.0;0.0;2.0;0.0;1.0;1.0;False;6.0;0.0;0.0;0.0;0.40824829046386296;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;7.0;0.0;0.0;1.57;0.0;5.0;0.0;0.0;0.0
1.0;1.0;1.0;112.0;1.0;0.0;0.0;2.36;6.0;0.0;2.0;0.0;11.0;0.0;0.0;2.0;0.0;11.0;112.0;11.0;4.0;0.0;0.0;0.0;1.804035879506129;1.0;2.0;1.0;1.0;4.0;0.0;11.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;6.0;0.0;1.0;0.0;4122.0;0.0;0.0;2.0;11.0;0.0;1.0;11.0;0.09090909090909093;0.6363636363636364;0.0;1.46;1.0;4122.0;0.0;2.0;0.0;1.0;1.0;False;11.0;0.0;0.0;0.0;0.3015113445777636;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;11.0;0.0;0.0;1.55;0.0;7.0;0.0;0.0;0.0
1.0;0.0;1.0;117.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;12.0;0.0;0.0;2.0;1.0;12.0;117.0;12.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;6.0;0.0;12.0;0.0;0.9572649572649572;0.0;0.006570302233902759;0.0;2.0;1.0;2.0;0.0;6.0;0.0;1.0;0.0;4566.0;0.0;0.0;2.0;12.0;0.0;1.0;12.0;0.0;0.0;0.0;1.31;0.9934296977660972;4566.0;0.0;2.0;0.0;1.0;1.0;False;12.0;0.0;0.0;0.20312907367426605;0.0;0.0;0.20312907367426605;0.08079952464938704;0.0;0.0;0.0;0.0;0.08079952464938704;0.0;12.0;0.042735042735042736;0.0;12.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.882352941;0.0;0.0;364.0;1.0;0.0;0.0;7.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;14.0;364.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;15.0;0.0;0.7664835164835165;0.0;0.004893736017897092;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;21456.0;0.0;0.0;0.0;17.0;0.0;1.0;17.0;0.0;0.0;0.0;2.43;0.9951062639821028;21456.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.4236503408446559;0.0;0.0;0.4236503408446559;0.06978548805081111;0.0;0.0;0.0;0.0;0.06978548805081111;0.0;17.0;0.2335164835164835;0.0;17.0;0.0;0.0;2.5;2.0;7.0;0.0;0.0;0.0
0.882352941;5.0;10.0;364.0;1.0;0.0;0.0;7.72;2.0;0.0;2.25;0.0;15.0;0.0;0.0;2.0;1.0;14.0;364.0;15.0;9.0;0.0;0.0;0.0;0.7237468644557459;0.0;2.5;1.0;1.0;9.0;0.0;15.0;0.0;0.7664835164835165;0.0;0.004893736017897092;0.0;7.0;1.0;3.0;2.319687992155924;2.0;1.0;1.0;0.0;21456.0;0.0;0.0;2.5;17.0;0.0;1.0;17.0;1.4;0.3333333333333333;0.0;2.43;0.9951062639821028;21456.0;0.7071067811865476;2.75;0.0;1.0;1.6666666666666667;False;15.0;0.0;0.0;0.4236503408446559;1.5023790657297036;1.5;0.4236503408446559;0.06978548805081111;0.0;0.0;0.0;0.0;0.06978548805081111;0.5;17.0;0.2335164835164835;0.0;17.0;0.0;0.0;2.5;2.0;7.0;0.0;0.0;0.0
0.666666667;2.0;33.0;10.0;1.0;1.0;0.0;12.17;1.0;0.0;3.0;0.0;3.0;0.0;0.0;3.0;0.0;1.0;10.0;3.0;1.0;0.0;0.0;0.0;0.5773502691896258;1.0;3.0;5.0;21.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;3.0;16.65332799572906;1.0;2.0;1.0;0.0;19695.0;0.0;0.0;3.0;3.0;0.0;1.0;3.0;1.6666666666666667;0.3333333333333333;0.0;2.96;1.0;19695.0;0.0;3.0;0.0;9.0;14.333333333333336;False;3.0;0.0;0.5;0.0;0.5773502691896257;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.5;3.0;0.0;0.0;3.0;0.0;0.0;4.83;1.0;23.0;0.0;0.0;0.0
0.666666667;3.0;33.0;10.0;1.0;0.0;0.0;12.17;6.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;1.0;10.0;6.0;1.0;0.0;0.0;0.0;2.449489742783178;1.0;0.0;1.0;7.75;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;0.0;12.843935014888027;0.0;0.0;1.0;0.0;19695.0;0.0;0.0;0.0;3.0;0.0;1.0;3.0;0.6666666666666666;1.0;0.0;2.96;1.0;19695.0;0.0;0.0;0.0;1.0;7.833333333333332;False;6.0;0.0;0.0;0.0;1.2110601416389968;0.75;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;4.83;1.0;23.0;0.0;0.0;0.0
0.666666667;0.0;0.0;10.0;1.0;0.0;0.0;12.17;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;19695.0;0.0;0.0;3.0;3.0;0.0;1.0;3.0;0.0;0.0;0.0;2.96;1.0;19695.0;0.0;3.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;4.83;1.0;23.0;0.0;0.0;0.0
