;PMR;MaxNumberOfNestedBlocks_max;NumberOfModifiers_max;issues_priorityMajor_count;blamemerge_priorityMajor_max;MaxNumberOfNestedBlocks_min;blame_merge_priorityMinor_mean;Average Statements per Method;NumberOfMathOperations_max;NMIR;Maximum Depth_25%;SIX;MaxNumberOfNestedBlocks_count;Mit;NumberOfMathOperations_50%;Maximum Depth_min;issues_priorityMinor_max;NumberOfMethods_Mood;issues_priorityMinor_count;NumberOfMathOperations_count;NF;HMi;NumberOfMathOperations_min;blame_merge_priorityMinor_max;NumberOfMathOperations_std;blamemerge_priorityMajor_min;Maximum Depth_50%;NumberOfModifiers_25%;NumberOfModifiers_75%;Ad;blame_merge_priorityMinor_std;PMd;Ao;issues_priorityMajor_mean;Ait;blamemerge_priorityMinor_mean;blame_merge_priorityMajor_min;Maximum Block Depth;blamemerge_priorityMinor_max;Maximum Depth_max;NumberOfModifiers_std;Maximum Depth_count;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_min;blamemerge_priorityMinor_min;blamemerge_priorityMinor_count;Mi;blame_merge_priorityMinor_min;Maximum Depth_mean;Md;Ai;issues_priorityMajor_max;NMA;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_mean;blame_merge_priorityMajor_count;Average Block Depth;blamemerge_priorityMajor_mean;blamemerge_priorityMajor_count;Maximum Depth_std;Maximum Depth_75%;NumberOfMathOperations_25%;NumberOfModifiers_50%;NumberOfModifiers_mean;Bugged;NumberOfModifiers_count;blame_merge_priorityMajor_max;NumberOfMathOperations_75%;issues_priorityMinor_std;MaxNumberOfNestedBlocks_std;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_std;blamemerge_priorityMinor_std;Mo;issues_priorityMajor_min;blame_merge_priorityMajor_std;blame_merge_priorityMinor_count;blamemerge_priorityMajor_std;MaxNumberOfNestedBlocks_25%;Ma;issues_priorityMinor_mean;NMI;NM;NOPa;Av;Average Complexity*;HMd;Maximum Complexity*;blame_merge_priorityMajor_mean;PMi;issues_priorityMinor_min
count;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0;1886.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1732;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.46074617380328736;0.6691410392364793;359.36903499469776;434.7258748674443;0.9904559915164369;0.12725344644750794;0.0;4.024395546129375;0.6362672322375398;0.0;0.9521474019088016;0.0;3.7539766702014847;0.0;0.09437963944856839;0.9294803817603393;0.16489925768822905;19.812831389183458;434.7258748674443;3.7539766702014847;1.97932131495228;0.0;0.048250265111346766;0.0;0.21253994065072912;0.7932131495227995;0.9772004241781548;38.26033934252386;216.98502120890774;5.944856839872746;0.0;22.06998939554613;0.0;0.9657716193517774;0.0;0.02442555759786716;0.0;3.5646871686108166;0.14475079533404028;1.0890774125132556;205.93261022277275;1.5535524920466597;0.2346235418875928;2.0196182396606575;0.009013785790031814;18173.90243902439;0.0;0.0;0.9890968241011115;23.610286320254506;0.0;0.9883351007423118;34.561505832449626;0.29825232076979247;0.16667848135238963;0.0;1.462370095440085;0.9740099246207172;18173.90243902439;0.07686774735773835;1.0143160127253446;0.06800106044538706;75.02518557794274;136.82380318400482;;3.7539766702014847;0.0;0.17696182396606575;0.038345847712268816;0.2327387076657358;0.37645811240721105;0.0493937029722257;0.024122055406008463;0.0;0.8006362672322376;0.0;0.0;0.03134373118496029;0.16556203605514316;23.610286320254506;0.028976254456877275;0.0;34.561505832449626;0.0;4.663838812301167;1.6908960763520677;1.5402969247083775;5.812301166489926;0.0;0.0;0.011134676564156946
std;0.46027843017717984;1.1078557223676702;4760.863230864568;459.7431270314788;0.09725191616366455;0.4717253015622591;0.0;5.132076733380592;2.4042931673674577;0.0;1.2012082341386432;0.0;6.156312460937701;0.0;0.5583703191942704;1.1838033590861368;0.3711880209203689;37.82290808996799;459.7431270314788;6.156312460937701;3.7665421900791483;0.0;0.3689609943045905;0.0;0.7819338284574229;0.4051087081494426;1.2332742252702764;755.1525871415101;3283.654445590271;19.047146101053542;0.0;45.45347556635131;0.0;0.13238766423812556;0.0;0.13212789252347806;0.0;2.6608078154945862;0.35194271965355234;1.4170307422593564;2809.163553228145;3.266426855492544;0.5575282142304478;33.384316860885065;0.09453716836474486;25454.265153486653;0.0;0.0;1.2435413164748699;46.78489951381158;0.0;0.10740086346419461;54.511305450541606;0.5528248131195221;0.642905956016363;0.0;0.890404940415828;0.13280801990849472;25454.265153486653;0.27435056278451403;1.2876918811266862;0.4191796738128733;1508.9013836910854;1889.1243001972016;;6.156312460937701;0.0;0.8450594414298764;0.1043209603850641;0.4216276125223673;0.6797427896257615;0.11502579491236256;0.07618775521819891;0.0;0.39962796789154453;0.0;0.0;0.08191720643151233;0.49271389099314317;46.78489951381158;0.12609199445130295;0.0;54.511305450541606;0.0;18.222422917379575;1.4236280073293377;3.4923514331290604;8.404418271303012;0.0;0.0;0.10495969111884194
min;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;79.0;1.0;0.0;0.0;0.5425;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;79.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3523.25;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.98;1.0;3523.25;0.0;0.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
50%;0.45490716200000003;0.0;1.0;385.0;1.0;0.0;0.0;3.32;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;385.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;7377.5;0.0;0.0;0.0;2.0;0.0;1.0;5.0;0.0;0.0;0.0;1.44;1.0;7377.5;0.0;0.0;0.0;1.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;1.43;0.0;3.0;0.0;0.0;0.0
75%;1.0;1.0;1.0;429.0;1.0;0.0;0.0;5.815;0.0;0.0;2.0;0.0;5.0;0.0;0.0;2.0;0.0;14.0;429.0;5.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;1.0;2.0;0.0;10.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;26457.0;0.0;0.0;2.0;12.0;0.0;1.0;40.0;0.5;0.0;0.0;2.2075;1.0;26457.0;0.0;2.0;0.0;1.0;1.0;;5.0;0.0;0.0;0.0;0.4472135954999581;0.75;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;40.0;0.0;0.0;2.17;1.0;8.0;0.0;0.0;0.0
