Bugged;NumberOfCoupledClasses;NumberOfInheritedMethods;NumberPublicMethods;NumberOfAncestors;NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfSubclasses;NumberOfMethods_Mood;NumberOfPolymorphicMethods;NumberOfAttributes;NumberOfProtectedAttributes;Cohesion;NumberOfPublicAttributes
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;7.0;0.0;0.0;0.0;0.0;7.0;7.0;2.0;0.0;0.19047619047619047;2.0
False;0.0;0.0;7.0;0.0;0.0;3.0;0.0;7.0;7.0;3.0;0.0;0.2857142857142857;0.0
False;0.0;0.0;6.0;0.0;0.0;2.0;0.0;6.0;6.0;2.0;0.0;0.25;0.0
False;0.0;0.0;11.0;0.0;0.0;4.0;0.0;11.0;11.0;4.0;0.0;0.15151515151515152;0.0
False;0.0;0.0;12.0;0.0;0.0;6.0;0.0;12.0;12.0;6.0;0.0;0.16666666666666666;0.0
False;0.0;0.0;12.0;0.0;0.0;9.0;0.0;14.0;12.0;9.0;0.0;0.16071428571428573;0.0
False;0.0;0.0;12.0;0.0;0.0;9.0;0.0;14.0;12.0;9.0;0.0;0.16071428571428573;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;3.0;0.0;0.0;1.0;0.0;3.0;3.0;3.0;0.0;0.3333333333333333;2.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;3.0;0.0;0.0;4.0;0.0;6.0;3.0;4.0;0.0;0.2222222222222222;0.0
False;0.0;0.0;13.0;0.0;0.0;18.0;0.0;17.0;9.0;23.0;1.0;0.1176470588235294;4.0
False;0.0;0.0;13.0;0.0;0.0;18.0;0.0;17.0;9.0;23.0;1.0;0.1176470588235294;4.0
False;0.0;0.0;13.0;0.0;0.0;25.0;0.0;18.0;7.0;26.0;0.0;0.10256410256410256;1.0
False;0.0;0.0;13.0;0.0;0.0;25.0;0.0;18.0;7.0;26.0;0.0;0.10256410256410256;1.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;6.0;0.0;0.0;2.0;0.0;6.0;6.0;3.0;0.0;0.26666666666666666;1.0
False;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0
False;0.0;0.0;17.0;0.0;0.0;9.0;0.0;18.0;17.0;9.0;0.0;0.10416666666666667;0.0
False;0.0;0.0;17.0;0.0;0.0;9.0;0.0;18.0;17.0;9.0;0.0;0.10416666666666667;0.0
False;0.0;0.0;2.0;0.0;0.0;9.0;0.0;4.0;2.0;9.0;0.0;0.25;0.0
False;0.0;0.0;4.0;0.0;0.0;4.0;0.0;4.0;4.0;8.0;4.0;0.0;0.0
False;0.0;0.0;10.0;0.0;0.0;6.0;0.0;12.0;5.0;7.0;0.0;0.14814814814814814;1.0
False;0.0;0.0;10.0;0.0;0.0;6.0;0.0;12.0;5.0;7.0;0.0;0.14814814814814814;1.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;12.0;0.0;0.0;0.0;0.0;12.0;6.0;2.0;0.0;0.14393939393939395;2.0
False;0.0;0.0;12.0;0.0;0.0;0.0;0.0;12.0;6.0;2.0;0.0;0.14393939393939395;2.0
False;0.0;0.0;6.0;0.0;0.0;5.0;0.0;12.0;4.0;5.0;0.0;0.15;0.0
False;0.0;0.0;6.0;0.0;0.0;5.0;0.0;12.0;4.0;5.0;0.0;0.15;0.0
False;0.0;0.0;3.0;0.0;0.0;2.0;0.0;3.0;1.0;2.0;0.0;0.3333333333333333;0.0
False;0.0;0.0;3.0;0.0;0.0;2.0;0.0;3.0;1.0;2.0;0.0;0.3333333333333333;0.0
False;0.0;0.0;7.0;0.0;0.0;6.0;0.0;7.0;5.0;6.0;0.0;0.0;0.0
False;1.0;0.0;6.0;0.0;0.0;3.0;0.0;7.0;6.0;3.0;0.0;0.2857142857142857;0.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.4444444444444444;0.0
False;0.0;0.0;3.0;0.0;0.0;3.0;0.0;8.0;3.0;3.0;0.0;0.3958333333333333;0.0
False;1.0;0.0;1.0;0.0;1.0;2.0;1.0;2.0;1.0;3.0;0.0;0.5;1.0
False;1.0;0.0;1.0;0.0;1.0;2.0;1.0;2.0;1.0;3.0;0.0;0.5;1.0
False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
False;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
False;1.0;0.0;3.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.375;0.0
False;1.0;0.0;3.0;0.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.375;0.0
