;NumberOfComparisons;RFC;NumberOfInnerClasses;NumberOfAssignments;NumberOfParameters_CK;NumberOfLoops;NumberOfLambdas;NumberOfUniqueWords;LOCMethod_CK;NumberOfModifiers;MaxNumberOfNestedBlocks;Returns;BuggedMethods;NumberOfMathOperations;NumberOfNumbers;NumberOfAnonymousClasses;NumberOfLogStatements;NumberOfTryCatch;CBO;NumberOfVariables;NumberOfParenthesizedExps;WMC_CK;NumberOfStringLiterals;IsConstructor
count;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138.0;8138
unique;;;;;;;;;;;;;2;;;;;;;;;;;2
top;;;;;;;;;;;;;False;;;;;;;;;;;False
freq;;;;;;;;;;;;;7671;;;;;;;;;;;7926
mean;0.12828704841484395;1.665274023101499;0.0;0.7324895551732612;0.1880068812976161;0.045465716392233964;0.01437699680511182;5.860162202015237;3.530228557385107;0.8914966822315065;0.12644384369623987;0.2973703612681248;;0.1458589333988695;0.4814450724993856;0.014868518063406243;0.015605799950847874;0.0038092897517817644;1.0410420250675843;0.5436225116736298;0.0462029982796756;0.7815188006881297;1.1151388547554681;
std;1.0025203780720182;3.6554004391476576;0.0;1.9084564295315858;0.459272775501825;0.298531427599677;0.22208135718475056;9.067570039474786;6.32347740143544;2.3159866093067536;0.4289065531877595;0.7468226684009398;;1.1813483009020609;2.5385245605118563;0.14840138239901532;0.2914154291840155;0.06547386568948174;1.7974177524508026;1.631575719223603;0.45743320400329424;1.405564024971261;5.316724314883059;
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;
75%;0.0;1.0;0.0;1.0;0.0;0.0;0.0;8.0;4.0;1.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;
max;45.0;73.0;0.0;31.0;10.0;8.0;11.0;154.0;140.0;41.0;7.0;23.0;;46.0;138.0;5.0;16.0;2.0;19.0;31.0;20.0;36.0;164.0;
