NOP;MCLC;Ci;Fin;NBD;BuggedMethods;VG;Fout;IOVars;Di;Si;NCOMP;NVAR
1.0;10.0;64.222222222;0.0;1.0;False;7.0;8.0;2.0;0.222222222;64.0;8.0;2.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;4.0;16.2;0.0;1.0;False;3.0;4.0;1.0;0.2;16.0;4.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;6.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;6.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;10.0;64.222222222;0.0;1.0;False;7.0;8.0;2.0;0.222222222;64.0;8.0;2.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;4.0;16.2;0.0;1.0;False;3.0;4.0;1.0;0.2;16.0;4.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;14.0;256.11764705900003;0.0;1.0;False;11.0;16.0;2.0;0.117647059;256.0;12.0;2.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;7.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;6.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;10.0;64.111111111;0.0;1.0;False;5.0;8.0;1.0;0.111111111;64.0;10.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
1.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;6.0;1.5;0.0;1.0;False;1.0;1.0;1.0;0.5;1.0;6.0;0.0
0.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;0.0;1.0;False;1.0;0.0;1.0;1.0;0.0;0.0;0.0
