;Di;Fin;NVAR;NumberOfModifiers;CBO;NumberOfLoops;Maximum Depth;Fout;NumberOfLogStatements;IOVars;VG;MaxNumberOfNestedBlocks;FileLength;Si;IsConstructor;Ci;NumberOfParameters_CK;NumberOfParenthesizedExps;NumberOfAssignments;NumberOfAnonymousClasses;NumberOfLambdas;NumberOfInnerClasses;NCOMP;NumberOfComparisons;NumberOfNumbers;BuggedMethods;AnonymousInnerClassLength;WMC_CK;NOP;LOCMethod_CK;Returns;MCLC;NumberOfStringLiterals;NumberOfMathOperations;NumberOfVariables;NBD;NumberOfUniqueWords;MethodLength;NumberOfTryCatch;RFC
count;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0
unique;;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;False;;;;;;;;;;;False;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;5452;;;;;;;;;;;4995;;;;;;;;;;;;;;
mean;0.5763031600103441;0.0686641697877653;0.12181202068842518;1.680577849117175;0.7845550205100766;0.02514713750668807;0.6597110754414125;0.04868913857677903;0.034777956126270736;0.5924736935972891;0.6921705011592652;0.1100410201533797;8.325129302657393;0.2438023898698056;;0.8201055498801497;0.31496343855894415;0.016051364365971106;0.46370608168360977;0.004815409309791332;0.004993757802746567;0.0;0.21776350989834137;0.0996968075619761;0.15516318887105404;;0.3786338505439629;0.8261102193686464;0.2784019975031211;3.0287141073657926;0.33957553058676654;0.33957553058676654;0.4665596575708935;0.04155519885856965;0.23773854110932763;0.5824861779917959;4.487961476725522;3.211878009630819;0.0032102728731942215;1.2792937399678972
std;0.7605726612097805;0.621094906098643;0.6553659504832134;19.50990177779466;1.6712369385827284;0.18480170047945813;1.0527243026342648;0.49140087945125;0.25698181586352087;0.7706952523114383;1.2244306914623426;0.4379240853850786;45.55070387087978;9.91589427903622;;9.933310268323426;0.54934439690586;0.19287864623625905;1.570121270498271;0.10071983511340825;0.15681690047624766;0.0;1.286549891506219;0.5192116276981233;2.8530112533705703;;2.8624414812450705;1.2640545916542543;0.5396207891924886;6.262972652110458;0.5499405133988086;1.6865212540548267;2.678167165765338;0.426410826699188;1.0734773604340608;0.7186918963381146;7.758150138934647;6.215282296203873;0.06535150857675491;3.519342252463783
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0
75%;1.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;6.0;3.0;0.0;1.0
max;9.0;27.0;16.0;1028.0;19.0;3.0;9.0;27.0;7.0;9.0;23.0;6.0;863.0;729.0;;729.0;8.0;6.0;62.0;4.0;11.0;0.0;48.0;14.0;206.0;;110.0;22.0;8.0;284.0;8.0;48.0;104.0;16.0;36.0;7.0;269.0;168.0;2.0;92.0
