NumberOfPrivateMethod_mean;NestedIfElseDepth_std;NCSSForThisMethod_std;BooleanExpressionComplexity_mean;NCSSForThisClass_count;BooleanExpressionComplexity_25%;NumberOfPrivateMethod_50%;NCSSForThisFile_std;ThrowsCount_50%;NestedIfElseDepth_75%;CyclomaticComplexity_75%;FileLength_75%;NCSSForThisFile_25%;ClassFanOutComplexity_min;ClassDataAbstractionCoupling_min;NPathComplexity_min;ExecutableStatementCount_max;FileLength_mean;NumberOfPrivateMethod_75%;NestedTryDepth_25%;ThrowsCount_max;AnonymousInnerClassLength_50%;NCSSForThisClass_75%;NumberOfMethods_Checkstyle_std;NumberOfPrivateMethod_std;NestedTryDepth_count;NestedForDepth_25%;NumberOfProtectedMethod_50%;ExecutableStatementCount_min;ThrowsCount_min;ClassDataAbstractionCoupling_std;NestedForDepth_count;NumberOfMethods_Checkstyle_count;CyclomaticComplexity_25%;NumberOfPrivateMethod_count;FileLength_count;NumberOfPublicMethods_Checkstyle_std;NCSSForThisFile_max;ExecutableStatementCount_mean;AnonymousInnerClassLength_max;NumberOfMethods_Checkstyle_mean;NumberOfProtectedMethod_mean;MethodLength_mean;ExecutableStatementCount_25%;AnonymousInnerClassLength_25%;MethodLength_min;NestedIfElseDepth_25%;NumberOfPackageMethod_count;ThrowsCount_std;NestedIfElseDepth_max;NumberOfPrivateMethod_min;BooleanExpressionComplexity_75%;ExecutableStatementCount_count;ClassFanOutComplexity_25%;MethodLength_75%;AnonymousInnerClassLength_min;ThrowsCount_25%;NestedTryDepth_max;NestedForDepth_50%;NumberOfPublicMethods_Checkstyle_min;FileLength_max;NumberOfPublicMethods_Checkstyle_50%;ClassFanOutComplexity_std;NumberOfPackageMethod_25%;ClassDataAbstractionCoupling_50%;NCSSForThisFile_50%;NumberOfProtectedMethod_25%;NumberOfPublicMethods_Checkstyle_count;NestedForDepth_mean;NestedForDepth_75%;CyclomaticComplexity_std;NCSSForThisMethod_75%;NestedIfElseDepth_count;NCSSForThisClass_min;FileLength_std;NPathComplexity_25%;FileLength_min;NumberOfMethods_Checkstyle_75%;ThrowsCount_count;NumberOfPackageMethod_75%;NestedIfElseDepth_50%;NumberOfPublicMethods_Checkstyle_75%;NCSSForThisMethod_mean;NCSSForThisFile_min;MethodLength_25%;NestedForDepth_max;NPathComplexity_max;CyclomaticComplexity_min;ClassDataAbstractionCoupling_count;NPathComplexity_count;ExecutableStatementCount_std;ClassFanOutComplexity_75%;NCSSForThisMethod_max;NumberOfPublicMethods_Checkstyle_25%;NestedForDepth_min;NumberOfProtectedMethod_75%;NumberOfPackageMethod_min;NPathComplexity_75%;NCSSForThisFile_75%;NumberOfProtectedMethod_max;NPathComplexity_50%;AnonymousInnerClassLength_mean;Bugged;NCSSForThisClass_max;NCSSForThisMethod_count;NCSSForThisMethod_min;NumberOfPackageMethod_std;BooleanExpressionComplexity_std;NCSSForThisFile_count;NumberOfPrivateMethod_max;NumberOfProtectedMethod_min;NPathComplexity_std;NumberOfProtectedMethod_std;NCSSForThisMethod_25%;CyclomaticComplexity_count;NumberOfPublicMethods_Checkstyle_mean;NumberOfMethods_Checkstyle_25%;NumberOfPackageMethod_50%;NCSSForThisClass_50%;AnonymousInnerClassLength_75%;NCSSForThisFile_mean;ClassFanOutComplexity_count;BooleanExpressionComplexity_count;NestedTryDepth_std;NestedTryDepth_50%;ClassDataAbstractionCoupling_75%;ClassDataAbstractionCoupling_25%;ExecutableStatementCount_75%;ClassFanOutComplexity_50%;NCSSForThisClass_std;ThrowsCount_mean;ThrowsCount_75%;ExecutableStatementCount_50%;FileLength_25%;CyclomaticComplexity_50%;NCSSForThisClass_25%;NumberOfMethods_Checkstyle_50%;AnonymousInnerClassLength_count;ClassDataAbstractionCoupling_mean;NumberOfProtectedMethod_count;NumberOfPackageMethod_mean;ClassFanOutComplexity_max;FileLength_50%;MethodLength_50%;NestedIfElseDepth_min;ClassFanOutComplexity_mean;CyclomaticComplexity_mean;NumberOfPrivateMethod_25%;MethodLength_count;NumberOfPackageMethod_max;AnonymousInnerClassLength_std;NCSSForThisClass_mean;NumberOfPublicMethods_Checkstyle_max;NCSSForThisMethod_50%;MethodLength_std;NumberOfMethods_Checkstyle_max;NPathComplexity_mean;BooleanExpressionComplexity_max;NestedIfElseDepth_mean;NestedTryDepth_mean;NumberOfMethods_Checkstyle_min;BooleanExpressionComplexity_50%;BooleanExpressionComplexity_min;NestedTryDepth_75%;MethodLength_max;NestedForDepth_std;CyclomaticComplexity_max;ClassDataAbstractionCoupling_max;NestedTryDepth_min
0.15384615384615385;0.4640954808922572;7.089862752279049;0.19230769230769232;26.0;0.0;0.0;38.634878622222274;0.0;0.0;2.75;0.0;0.0;0.0;0.0;0.0;28.0;14.884615384615385;0.0;0.0;1.0;0.0;0.0;0.392232270276368;0.784464540552736;26.0;0.0;0.0;1.0;0.0;0.5883484054145522;26.0;26.0;1.0;26.0;26.0;0.392232270276368;197.0;4.4230769230769225;0.0;0.07692307692307693;0.7307692307692307;10.26923076923077;1.0;0.0;3.0;0.0;26.0;0.4019184762342503;2.0;0.0;0.0;26.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;387.0;0.0;3.7262065676254967;0.0;0.0;0.0;0.0;26.0;0.0;0.0;2.0061444077172967;6.0;26.0;0.0;75.89694429847724;1.0;0.0;0.0;26.0;0.0;0.0;0.0;5.884615384615384;0.0;3.0;0.0;19.0;1.0;26.0;26.0;6.369760290140136;0.0;30.0;0.0;0.0;0.0;0.0;2.75;0.0;19.0;1.0;0.0;True;10.0;26.0;2.0;0.0;0.4019184762342501;26.0;4.0;0.0;4.858141461663962;3.7262065676254967;2.0;26.0;0.07692307692307693;0.0;0.0;0.0;0.0;7.5769230769230775;26.0;26.0;0.0;0.0;0.0;0.0;4.75;0.0;1.9611613513818407;0.19230769230769232;0.0;2.5;0.0;1.0;0.0;0.0;26.0;0.1153846153846154;26.0;0.0;19.0;0.0;6.0;0.0;0.7307692307692307;2.230769230769231;0.0;26.0;0.0;0.0;0.38461538461538464;2.0;3.5;13.265165486514494;2.0;3.1923076923076925;1.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;64.0;0.0;8.0;3.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;3.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;True;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;5.291502622129181;0.0;4.0;0.0;0.0;29.5;0.5;0.0;3.25;29.0;0.0;0.0;0.0;1.0;10.0;29.0;0.0;0.0;1.0;0.0;10.25;2.0;0.0;4.0;0.0;0.0;1.0;0.0;2.0;4.0;4.0;1.75;4.0;4.0;2.0;59.0;6.75;0.0;1.0;0.0;12.75;4.75;0.0;3.0;0.0;4.0;0.5773502691896257;0.0;0.0;0.0;4.0;0.0;16.5;0.0;0.0;0.0;0.0;0.0;116.0;0.0;7.5;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.2909944487358056;12.5;4.0;0.0;58.0;2.5;0.0;1.0;4.0;0.0;0.0;1.0;9.0;0.0;11.25;0.0;9.0;1.0;4.0;4.0;4.272001872658765;3.75;14.0;0.0;0.0;0.0;0.0;4.5;14.75;0.0;3.0;0.0;False;41.0;4.0;2.0;0.0;0.0;4.0;0.0;0.0;3.4641016151377544;0.0;6.5;4.0;1.0;0.0;0.0;0.0;0.0;14.75;4.0;4.0;0.0;0.0;1.0;0.0;10.0;0.0;20.5;0.5;1.0;8.0;0.0;2.5;0.0;0.0;4.0;1.0;4.0;0.0;15.0;0.0;15.0;0.0;3.75;2.5;0.0;4.0;0.0;0.0;10.25;4.0;10.0;6.701989754294367;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;0.0;4.0;4.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;26.0;4.0;1.0;0.0;0.0;0.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;26.0;1.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;26.0;1.0;1.0;0.0;0.0;1.0;1.0;4.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;False;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;26.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;26.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
0.4444444444444444;0.3333333333333333;7.211102550927977;0.1111111111111111;9.0;0.0;0.0;35.66666666666667;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;15.0;22.555555555555557;0.0;0.0;1.0;0.0;0.0;3.0;1.3333333333333333;9.0;0.0;0.0;1.0;0.0;3.0;9.0;9.0;1.0;9.0;9.0;1.6666666666666667;107.0;6.333333333333332;0.0;1.0;0.0;12.222222222222221;1.0;0.0;3.0;0.0;9.0;0.5270462766947299;1.0;0.0;0.0;9.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;203.0;0.0;7.333333333333334;0.0;0.0;0.0;0.0;9.0;0.0;0.0;1.8782379449307745;15.0;9.0;0.0;67.66666666666667;1.0;0.0;0.0;9.0;0.0;0.0;0.0;8.333333333333334;0.0;3.0;0.0;12.0;1.0;9.0;9.0;6.0827625302982185;0.0;19.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;False;79.0;9.0;2.0;0.0;0.3333333333333333;9.0;4.0;0.0;3.5276684147527875;0.0;2.0;9.0;0.5555555555555556;0.0;0.0;0.0;0.0;11.888888888888891;9.0;9.0;0.0;0.0;0.0;0.0;12.0;0.0;26.333333333333336;0.5555555555555556;1.0;2.0;0.0;2.0;0.0;0.0;9.0;1.0;9.0;0.0;22.0;0.0;7.0;0.0;2.4444444444444446;2.555555555555556;0.0;9.0;0.0;0.0;8.777777777777779;5.0;3.0;10.485439640017221;9.0;3.2222222222222223;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;31.0;0.0;6.0;9.0;0.0
0.3333333333333333;0.8366600265340756;33.25457362028066;0.16666666666666666;6.0;0.0;0.0;75.52593373581466;0.0;0.75;8.25;0.0;0.0;0.0;0.0;1.0;79.0;48.33333333333334;0.0;0.0;0.0;0.0;12.75;1.5491933384829668;0.8164965809277259;6.0;0.0;0.0;1.0;0.0;2.0412414523193148;6.0;6.0;1.25;6.0;6.0;1.2110601416389968;185.0;22.33333333333333;0.0;1.0;0.0;36.333333333333336;1.5;0.0;3.0;0.0;6.0;0.0;2.0;0.0;0.0;6.0;0.0;46.25;0.0;0.0;0.0;0.0;0.0;290.0;0.0;5.715476066494082;0.0;0.0;0.0;0.0;6.0;0.16666666666666666;0.0;4.926120853842979;35.75;6.0;0.0;118.39200423452029;1.25;0.0;2.25;6.0;0.0;0.0;0.75;25.66666666666667;0.0;4.0;1.0;777.0;1.0;6.0;6.0;30.82639561587872;0.0;86.0;0.0;0.0;0.0;0.0;15.5;0.0;0.0;6.5;0.0;True;164.0;6.0;2.0;0.0;0.40824829046386296;6.0;2.0;0.0;314.6632591623412;0.0;2.75;6.0;0.6666666666666666;0.0;0.0;0.0;0.0;30.83333333333333;6.0;6.0;0.0;0.0;0.0;0.0;30.5;0.0;65.91636114552037;0.0;0.0;8.5;0.0;4.0;0.0;0.0;6.0;0.8333333333333334;6.0;0.0;14.0;0.0;18.0;0.0;2.333333333333333;5.333333333333333;0.0;6.0;0.0;0.0;30.16666666666667;3.0;11.0;47.04749373416895;3.0;134.83333333333334;1.0;0.5;0.0;0.0;0.0;0.0;0.0;124.0;0.40824829046386296;13.0;5.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;118.0;56.0;9.0;3.0;30.0;38.0;118.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;1.0;0.0;0.0;38.0;0.0;0.0;1.0;1.0;6.0;1.0;1.0;0.0;56.0;38.0;0.0;1.0;0.0;74.0;38.0;0.0;74.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;9.0;74.0;0.0;0.0;0.0;0.0;1.0;118.0;1.0;0.0;0.0;3.0;56.0;0.0;1.0;0.0;0.0;0.0;41.0;1.0;43.0;0.0;30.0;118.0;1.0;1.0;0.0;0.0;1.0;41.0;56.0;74.0;0.0;30.0;6.0;1.0;1.0;0.0;9.0;41.0;1.0;0.0;0.0;0.0;30.0;56.0;0.0;30.0;0.0;True;43.0;1.0;41.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;41.0;1.0;1.0;1.0;0.0;43.0;0.0;56.0;1.0;1.0;0.0;0.0;3.0;3.0;38.0;9.0;0.0;0.0;0.0;38.0;118.0;6.0;43.0;1.0;1.0;3.0;1.0;0.0;9.0;118.0;74.0;0.0;9.0;6.0;0.0;1.0;0.0;0.0;43.0;1.0;41.0;0.0;1.0;30.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;74.0;0.0;6.0;3.0;0.0
0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;8.0;102.0;57.0;11.0;2.0;34.0;32.0;102.0;0.0;0.0;0.0;0.0;39.0;0.0;0.0;1.0;0.0;0.0;32.0;0.0;0.0;1.0;1.0;8.0;1.0;1.0;0.0;57.0;32.0;0.0;1.0;0.0;53.0;32.0;0.0;53.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;11.0;53.0;0.0;0.0;0.0;0.0;1.0;102.0;1.0;0.0;0.0;2.0;57.0;0.0;1.0;0.0;0.0;0.0;36.0;1.0;39.0;0.0;34.0;102.0;1.0;1.0;0.0;1.0;1.0;36.0;57.0;53.0;0.0;34.0;8.0;1.0;1.0;0.0;11.0;36.0;1.0;0.0;0.0;0.0;34.0;57.0;0.0;34.0;0.0;True;39.0;1.0;36.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;36.0;1.0;1.0;1.0;0.0;39.0;0.0;57.0;1.0;1.0;0.0;0.0;2.0;2.0;32.0;11.0;0.0;0.0;0.0;32.0;102.0;8.0;39.0;1.0;1.0;2.0;1.0;0.0;11.0;102.0;53.0;1.0;11.0;8.0;0.0;1.0;0.0;0.0;39.0;1.0;36.0;0.0;1.0;34.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;53.0;0.0;8.0;2.0;0.0
