MaxNumberOfNestedBlocks_mean;NumberOfParameters_CK_mean;NumberOfStringLiterals_75%;NumberOfComparisons_min;NumberOfNumbers_max;CBO_mean;NumberOfParenthesizedExps_50%;NumberOfStringLiterals_std;NumberOfInnerClasses_count;NumberOfParenthesizedExps_max;NumberOfUniqueWords_std;MaxNumberOfNestedBlocks_std;NumberOfParameters_CK_std;RFC_50%;NumberOfModifiers_mean;NumberOfLambdas_75%;NumberOfTryCatch_max;WMC_CK_50%;NumberOfMathOperations_25%;LOCMethod_CK_std;NumberOfTryCatch_mean;IsConstructor_count;NumberOfAssignments_75%;NumberOfNumbers_75%;NumberOfMathOperations_count;NumberOfAnonymousClasses_25%;NumberOfInnerClasses_mean;LOCMethod_CK_50%;NumberOfLoops_max;WMC_CK_mean;NumberOfInnerClasses_75%;NumberOfAnonymousClasses_min;NumberOfModifiers_count;NumberOfModifiers_std;NumberOfModifiers_min;NumberOfMathOperations_50%;CBO_count;NumberOfLogStatements_std;NumberOfInnerClasses_50%;LOCMethod_CK_mean;LOCMethod_CK_count;NumberOfComparisons_max;NumberOfStringLiterals_min;NumberOfInnerClasses_max;NumberOfAnonymousClasses_std;NumberOfMathOperations_mean;NumberOfLogStatements_75%;NumberOfVariables_25%;NumberOfLoops_25%;NumberOfLoops_count;NumberOfStringLiterals_50%;NumberOfParameters_CK_75%;NumberOfVariables_count;NumberOfNumbers_50%;NumberOfParenthesizedExps_75%;MaxNumberOfNestedBlocks_count;RFC_std;NumberOfLoops_75%;NumberOfComparisons_mean;NumberOfTryCatch_std;NumberOfParenthesizedExps_min;CBO_min;NumberOfInnerClasses_min;LOCMethod_CK_75%;NumberOfUniqueWords_min;NumberOfAssignments_mean;MaxNumberOfNestedBlocks_50%;NumberOfAssignments_std;NumberOfLogStatements_50%;Returns_count;NumberOfTryCatch_min;MaxNumberOfNestedBlocks_min;NumberOfNumbers_mean;NumberOfParameters_CK_max;NumberOfAnonymousClasses_mean;NumberOfTryCatch_count;NumberOfUniqueWords_50%;NumberOfVariables_mean;RFC_max;NumberOfParameters_CK_25%;NumberOfAssignments_25%;NumberOfParenthesizedExps_std;NumberOfLoops_std;NumberOfStringLiterals_max;Returns_50%;NumberOfLoops_50%;NumberOfAssignments_50%;NumberOfModifiers_25%;RFC_count;NumberOfLambdas_50%;WMC_CK_25%;NumberOfLoops_mean;NumberOfLambdas_mean;Returns_max;NumberOfAssignments_max;IsConstructor_top;NumberOfParameters_CK_50%;NumberOfVariables_max;NumberOfVariables_50%;NumberOfNumbers_count;MaxNumberOfNestedBlocks_75%;Returns_min;NumberOfAnonymousClasses_count;IsConstructor_freq;NumberOfAnonymousClasses_50%;NumberOfNumbers_std;NumberOfParenthesizedExps_25%;Bugged;NumberOfAnonymousClasses_75%;LOCMethod_CK_25%;WMC_CK_min;NumberOfComparisons_std;NumberOfLogStatements_max;NumberOfMathOperations_std;RFC_mean;RFC_25%;NumberOfLambdas_std;Returns_std;NumberOfTryCatch_25%;MaxNumberOfNestedBlocks_25%;NumberOfVariables_min;MaxNumberOfNestedBlocks_max;Returns_75%;CBO_50%;NumberOfNumbers_25%;NumberOfTryCatch_50%;NumberOfStringLiterals_25%;NumberOfUniqueWords_max;NumberOfModifiers_75%;NumberOfAnonymousClasses_max;NumberOfModifiers_50%;NumberOfNumbers_min;NumberOfInnerClasses_std;RFC_75%;NumberOfLambdas_max;NumberOfParameters_CK_count;IsConstructor_unique;NumberOfUniqueWords_mean;NumberOfComparisons_75%;WMC_CK_count;CBO_std;CBO_75%;NumberOfLambdas_count;RFC_min;NumberOfVariables_75%;Returns_25%;WMC_CK_max;NumberOfComparisons_50%;NumberOfLambdas_25%;WMC_CK_std;NumberOfParenthesizedExps_mean;NumberOfInnerClasses_25%;NumberOfVariables_std;WMC_CK_75%;NumberOfMathOperations_min;NumberOfAssignments_count;NumberOfParameters_CK_min;NumberOfMathOperations_max;NumberOfUniqueWords_25%;NumberOfAssignments_min;NumberOfUniqueWords_count;NumberOfModifiers_max;NumberOfLogStatements_count;NumberOfLogStatements_mean;NumberOfComparisons_25%;NumberOfParenthesizedExps_count;NumberOfComparisons_count;NumberOfLogStatements_25%;NumberOfLogStatements_min;NumberOfStringLiterals_count;NumberOfUniqueWords_75%;Returns_mean;NumberOfLambdas_min;CBO_max;LOCMethod_CK_min;CBO_25%;NumberOfStringLiterals_mean;LOCMethod_CK_max;NumberOfLoops_min;NumberOfMathOperations_75%;NumberOfTryCatch_75%
0.6923076923076923;2.0384615384615383;2.0;0.0;6.0;2.4615384615384617;0.0;5.043350534652992;26.0;1.0;13.231024147812596;1.1231822922119372;1.6119744223968129;3.0;3.9615384615384617;0.0;1.0;1.0;0.0;9.032931204976938;0.038461538461538464;26.0;2.0;1.0;26.0;0.0;0.0;5.0;1.0;2.230769230769231;0.0;0.0;26.0;2.217760478153928;1.0;0.0;26.0;1.7475257233718062;0.0;7.9230769230769225;26.0;3.0;0.0;0.0;0.0;0.2307692307692308;0.0;0.0;0.0;26.0;1.0;2.75;26.0;0.0;0.0;26.0;6.756079882936213;0.0;0.3461538461538461;0.196116135138184;0.0;0.0;0.0;7.75;3.0;1.2692307692307692;0.0;2.1827998956879635;0.0;26.0;0.0;0.0;0.8076923076923077;6.0;0.0;26.0;8.5;1.0769230769230769;29.0;1.0;0.0;0.196116135138184;0.4019184762342501;20.0;1.0;0.0;0.0;4.0;26.0;0.0;1.0;0.19230769230769232;0.0;2.0;9.0;False;2.0;8.0;0.0;26.0;1.0;0.0;26.0;25.0;0.0;1.649708598976941;0.0;True;0.0;3.0;1.0;0.8458041235325208;8.0;0.5870395085642742;5.730769230769232;1.25;0.0;0.5615911461059687;0.0;0.0;0.0;4.0;1.0;2.0;0.0;0.0;0.0;56.0;4.0;0.0;4.0;0.0;0.0;7.0;0.0;26.0;2.0;13.5;0.0;26.0;2.3871450602050848;3.0;26.0;0.0;1.75;0.0;8.0;0.0;0.0;2.0061444077172967;0.038461538461538464;0.0;1.895744221630691;2.75;0.0;26.0;0.0;2.0;5.0;0.0;26.0;12.0;26.0;0.5769230769230769;0.0;26.0;26.0;0.0;0.0;26.0;16.75;0.6538461538461539;0.0;10.0;3.0;1.0;2.6538461538461537;39.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;False;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;True;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.25;2.5;1.5;0.0;1.0;4.0;0.0;1.4142135623730951;4.0;0.0;15.01110699893027;0.957427107756338;1.0;6.0;3.0;1.0;1.0;2.5;0.0;6.97614984548545;0.5;4.0;3.0;0.25;4.0;0.0;0.0;15.0;0.0;2.5;0.0;0.0;4.0;4.0;1.0;0.0;4.0;1.4142135623730951;0.0;13.0;4.0;2.0;0.0;0.0;0.0;0.0;1.5;1.5;0.0;4.0;0.5;2.5;4.0;0.0;0.0;4.0;4.123105625617661;0.0;0.5;0.5773502691896257;0.0;2.0;0.0;16.75;11.0;1.75;1.5;1.5;0.5;4.0;0.0;0.0;0.25;4.0;0.0;4.0;24.0;2.0;12.0;2.0;0.75;0.0;0.0;3.0;1.0;0.0;2.0;1.0;4.0;0.5;1.75;0.0;0.5;2.0;3.0;False;2.0;4.0;2.0;4.0;2.0;0.0;4.0;4.0;0.0;0.5;0.0;False;0.0;11.25;1.0;1.0;3.0;0.0;6.5;5.0;0.5773502691896257;0.8164965809277259;0.0;0.75;0.0;2.0;1.25;4.0;0.0;0.5;0.0;37.0;3.0;0.0;1.0;0.0;0.0;7.5;1.0;4.0;1.0;24.0;0.5;4.0;1.6329931618554518;4.5;4.0;2.0;2.5;0.75;4.0;0.0;0.0;1.2909944487358056;0.0;0.0;1.6329931618554518;3.25;0.0;4.0;2.0;0.0;11.0;0.0;4.0;9.0;4.0;1.0;0.0;4.0;4.0;0.0;0.0;4.0;37.0;1.0;0.0;6.0;3.0;3.5;1.0;19.0;0.0;0.0;1.0
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;False;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;4.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0
0.6666666666666666;2.555555555555556;3.0;0.0;7.0;4.0;0.0;1.7873008824606014;9.0;2.0;18.233059108236453;0.8660254037844387;1.5898986690282426;3.0;2.333333333333333;1.0;1.0;2.0;0.0;8.986100377805714;0.1111111111111111;9.0;3.0;0.0;9.0;0.0;0.0;4.0;1.0;2.333333333333333;0.0;0.0;9.0;2.91547594742265;1.0;0.0;9.0;0.5;0.0;10.666666666666666;9.0;2.0;0.0;0.0;0.0;0.5555555555555556;1.0;0.0;0.0;9.0;1.0;4.0;9.0;0.0;0.0;9.0;6.7226813433662365;0.0;0.5555555555555556;0.3333333333333333;0.0;1.0;0.0;19.0;2.0;1.7777777777777777;0.0;1.855921454276674;0.0;9.0;0.0;0.0;0.8888888888888888;4.0;0.0;9.0;26.0;2.4444444444444446;18.0;2.0;0.0;0.6666666666666666;0.33333333333333337;5.0;1.0;0.0;1.0;1.0;9.0;0.0;1.0;0.1111111111111111;0.6666666666666666;1.0;5.0;False;3.0;6.0;1.0;9.0;1.0;1.0;9.0;9.0;0.0;2.3154073315749675;0.0;False;0.0;3.0;1.0;0.8819171036881968;1.0;0.8819171036881968;7.222222222222222;1.0;1.118033988749895;0.0;0.0;0.0;0.0;2.0;1.0;4.0;0.0;0.0;1.0;57.0;2.0;0.0;1.0;0.0;0.0;13.0;3.0;9.0;1.0;24.222222222222218;1.0;9.0;2.29128784747792;6.0;9.0;1.0;4.0;1.0;5.0;0.0;0.0;1.5;0.2222222222222222;0.0;2.554951619459316;3.0;0.0;9.0;0.0;2.0;12.0;0.0;9.0;10.0;9.0;0.3333333333333333;0.0;9.0;9.0;0.0;0.0;9.0;34.0;1.0;0.0;7.0;3.0;3.0;1.7777777777777777;25.0;0.0;1.0;0.0
2.1666666666666665;2.5;19.5;0.0;12.0;3.6666666666666665;0.0;12.16552506059644;6.0;1.0;30.14409837209709;2.1369760566432805;2.16794833886788;6.0;4.0;0.0;1.0;4.0;0.0;38.989314775546724;0.16666666666666666;6.0;5.75;7.75;6.0;0.0;0.0;15.0;2.0;5.333333333333333;0.0;0.0;6.0;4.289522117905444;1.0;0.0;6.0;1.1690451944500122;0.0;31.83333333333333;6.0;6.0;0.0;0.0;0.0;1.6666666666666667;1.0;0.0;0.0;6.0;5.0;3.5;6.0;0.5;0.75;6.0;25.474824173420053;1.0;1.6666666666666667;0.40824829046386296;0.0;0.0;0.0;44.5;3.0;7.166666666666668;2.0;11.461529857164212;0.5;6.0;0.0;0.0;3.8333333333333335;6.0;0.0;6.0;13.0;6.166666666666668;66.0;1.25;0.5;0.5163977794943223;0.8164965809277259;27.0;1.0;0.5;3.5;1.0;6.0;0.0;1.25;0.6666666666666666;0.16666666666666666;2.0;30.0;False;2.0;27.0;2.5;6.0;3.75;0.0;6.0;5.0;0.0;5.600595206463923;0.0;True;0.0;5.0;1.0;2.6583202716502514;3.0;2.6583202716502514;15.833333333333336;0.5;0.40824829046386296;0.7527726527090809;0.0;0.25;0.0;5.0;1.0;0.5;0.0;0.0;0.25;82.0;7.25;0.0;1.5;0.0;0.0;15.25;1.0;6.0;2.0;24.66666666666667;3.0;6.0;5.750362307426088;5.5;6.0;0.0;5.0;0.25;13.0;0.0;0.0;4.926120853842979;0.3333333333333333;0.0;10.496030995889189;8.25;0.0;6.0;0.0;6.0;5.5;0.0;6.0;10.0;6.0;0.8333333333333334;0.0;6.0;6.0;0.0;0.0;6.0;28.75;0.8333333333333334;0.0;14.0;3.0;0.0;10.0;102.0;0.0;3.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2.0;1.0;14.0;3.0;4.0;10.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;36.0;1.0;0.0;1.0;6.0;6.0;0.0;1.0;1.0;13.0;4.0;1.0;0.0;0.0;49.0;0.0;6.0;0.0;0.0;1.0;0.0;1.0;6.0;1.0;0.0;0.0;49.0;1.0;3.0;14.0;0.0;0.0;6.0;7.0;9.0;0.0;1.0;14.0;1.0;1.0;4.0;2.0;1.0;0.0;0.0;3.0;0.0;2.0;10.0;0.0;49.0;60.0;13.0;2.0;0.0;7.0;1.0;1.0;2.0;4.0;1.0;0.0;1.0;60.0;9.0;36.0;1.0;13.0;0.0;0.0;14.0;1.0;0.0;13.0;1.0;1.0;0.0;6.0;0.0;0.0;1.0;13.0;False;1.0;9.0;9.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;2.0;True;0.0;49.0;6.0;0.0;7.0;0.0;36.0;36.0;0.0;0.0;1.0;2.0;9.0;2.0;1.0;10.0;4.0;1.0;14.0;60.0;1.0;0.0;1.0;4.0;0.0;36.0;0.0;1.0;1.0;60.0;3.0;1.0;0.0;10.0;1.0;36.0;9.0;1.0;6.0;3.0;0.0;0.0;2.0;0.0;0.0;6.0;6.0;1.0;1.0;6.0;60.0;13.0;1.0;1.0;1.0;7.0;3.0;1.0;1.0;7.0;7.0;1.0;60.0;1.0;0.0;10.0;49.0;10.0;14.0;49.0;0.0;6.0;1.0
3.0;4.0;20.0;1.0;1.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;32.0;1.0;5.0;1.0;8.0;1.0;0.0;1.0;1.0;10.0;1.0;1.0;0.0;0.0;46.0;0.0;8.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;46.0;1.0;1.0;20.0;0.0;0.0;1.0;1.0;13.0;0.0;1.0;20.0;4.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0;46.0;43.0;10.0;3.0;0.0;1.0;1.0;1.0;3.0;1.0;4.0;0.0;1.0;43.0;13.0;32.0;4.0;10.0;0.0;0.0;20.0;0.0;0.0;10.0;1.0;1.0;5.0;8.0;0.0;5.0;0.0;10.0;False;4.0;13.0;13.0;1.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;True;0.0;46.0;8.0;0.0;1.0;0.0;32.0;32.0;0.0;0.0;1.0;3.0;13.0;3.0;0.0;9.0;1.0;1.0;20.0;43.0;1.0;0.0;1.0;1.0;0.0;32.0;5.0;1.0;1.0;43.0;1.0;1.0;0.0;9.0;1.0;32.0;13.0;0.0;8.0;1.0;5.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0;4.0;1.0;43.0;10.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;43.0;0.0;5.0;9.0;46.0;9.0;20.0;46.0;0.0;1.0;1.0
