;MaxNumberOfNestedBlocks_mean;NumberOfParameters_CK_mean;NumberOfStringLiterals_75%;NumberOfComparisons_min;NumberOfNumbers_max;CBO_mean;NumberOfParenthesizedExps_50%;NumberOfStringLiterals_std;NumberOfInnerClasses_count;NumberOfParenthesizedExps_max;NumberOfUniqueWords_std;MaxNumberOfNestedBlocks_std;NumberOfParameters_CK_std;RFC_50%;NumberOfModifiers_mean;NumberOfLambdas_75%;NumberOfTryCatch_max;WMC_CK_50%;NumberOfMathOperations_25%;LOCMethod_CK_std;NumberOfTryCatch_mean;IsConstructor_count;NumberOfAssignments_75%;NumberOfNumbers_75%;NumberOfMathOperations_count;NumberOfAnonymousClasses_25%;NumberOfInnerClasses_mean;LOCMethod_CK_50%;NumberOfLoops_max;WMC_CK_mean;NumberOfInnerClasses_75%;NumberOfAnonymousClasses_min;NumberOfModifiers_count;NumberOfModifiers_std;NumberOfModifiers_min;NumberOfMathOperations_50%;CBO_count;NumberOfLogStatements_std;NumberOfInnerClasses_50%;LOCMethod_CK_mean;LOCMethod_CK_count;NumberOfComparisons_max;NumberOfStringLiterals_min;NumberOfInnerClasses_max;NumberOfAnonymousClasses_std;NumberOfMathOperations_mean;NumberOfLogStatements_75%;NumberOfVariables_25%;NumberOfLoops_25%;NumberOfLoops_count;NumberOfStringLiterals_50%;NumberOfParameters_CK_75%;NumberOfVariables_count;NumberOfNumbers_50%;NumberOfParenthesizedExps_75%;MaxNumberOfNestedBlocks_count;RFC_std;NumberOfLoops_75%;NumberOfComparisons_mean;NumberOfTryCatch_std;NumberOfParenthesizedExps_min;CBO_min;NumberOfInnerClasses_min;LOCMethod_CK_75%;NumberOfUniqueWords_min;NumberOfAssignments_mean;MaxNumberOfNestedBlocks_50%;NumberOfAssignments_std;NumberOfLogStatements_50%;Returns_count;NumberOfTryCatch_min;MaxNumberOfNestedBlocks_min;NumberOfNumbers_mean;NumberOfParameters_CK_max;NumberOfAnonymousClasses_mean;NumberOfTryCatch_count;NumberOfUniqueWords_50%;NumberOfVariables_mean;RFC_max;NumberOfParameters_CK_25%;NumberOfAssignments_25%;NumberOfParenthesizedExps_std;NumberOfLoops_std;NumberOfStringLiterals_max;Returns_50%;NumberOfLoops_50%;NumberOfAssignments_50%;NumberOfModifiers_25%;RFC_count;NumberOfLambdas_50%;WMC_CK_25%;NumberOfLoops_mean;NumberOfLambdas_mean;Returns_max;NumberOfAssignments_max;IsConstructor_top;NumberOfParameters_CK_50%;NumberOfVariables_max;NumberOfVariables_50%;NumberOfNumbers_count;MaxNumberOfNestedBlocks_75%;Returns_min;NumberOfAnonymousClasses_count;IsConstructor_freq;NumberOfAnonymousClasses_50%;NumberOfNumbers_std;NumberOfParenthesizedExps_25%;Bugged;NumberOfAnonymousClasses_75%;LOCMethod_CK_25%;WMC_CK_min;NumberOfComparisons_std;NumberOfLogStatements_max;NumberOfMathOperations_std;RFC_mean;RFC_25%;NumberOfLambdas_std;Returns_std;NumberOfTryCatch_25%;MaxNumberOfNestedBlocks_25%;NumberOfVariables_min;MaxNumberOfNestedBlocks_max;Returns_75%;CBO_50%;NumberOfNumbers_25%;NumberOfTryCatch_50%;NumberOfStringLiterals_25%;NumberOfUniqueWords_max;NumberOfModifiers_75%;NumberOfAnonymousClasses_max;NumberOfModifiers_50%;NumberOfNumbers_min;NumberOfInnerClasses_std;RFC_75%;NumberOfLambdas_max;NumberOfParameters_CK_count;IsConstructor_unique;NumberOfUniqueWords_mean;NumberOfComparisons_75%;WMC_CK_count;CBO_std;CBO_75%;NumberOfLambdas_count;RFC_min;NumberOfVariables_75%;Returns_25%;WMC_CK_max;NumberOfComparisons_50%;NumberOfLambdas_25%;WMC_CK_std;NumberOfParenthesizedExps_mean;NumberOfInnerClasses_25%;NumberOfVariables_std;WMC_CK_75%;NumberOfMathOperations_min;NumberOfAssignments_count;NumberOfParameters_CK_min;NumberOfMathOperations_max;NumberOfUniqueWords_25%;NumberOfAssignments_min;NumberOfUniqueWords_count;NumberOfModifiers_max;NumberOfLogStatements_count;NumberOfLogStatements_mean;NumberOfComparisons_25%;NumberOfParenthesizedExps_count;NumberOfComparisons_count;NumberOfLogStatements_25%;NumberOfLogStatements_min;NumberOfStringLiterals_count;NumberOfUniqueWords_75%;Returns_mean;NumberOfLambdas_min;CBO_max;LOCMethod_CK_min;CBO_25%;NumberOfStringLiterals_mean;LOCMethod_CK_max;NumberOfLoops_min;NumberOfMathOperations_75%;NumberOfTryCatch_75%
count;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;617;;;;;;;;;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.33427275908321946;1.03364354659597;1.5471491228070176;0.07456140350877193;1.29093567251462;2.0578169905273316;0.03874269005847953;1.294268897962831;6.991228070175438;0.24415204678362573;4.948395072177792;0.347720767999527;0.6160902945107027;2.828216374269006;57.706660942382435;0.038011695906432746;0.2324561403508772;1.3669590643274854;0.06907894736842106;4.195352682248837;0.06699429753867756;6.991228070175438;1.268640350877193;0.3527046783625731;6.991228070175438;0.010599415204678362;0.0;5.559210526315789;0.3026315789473684;1.6428117451582491;0.0;0.0043859649122807015;6.991228070175438;109.71555469947484;1.3654970760233918;0.08333333333333333;6.991228070175438;0.16813038627339638;0.0;6.83815240694436;6.991228070175438;1.0160818713450293;0.5614035087719298;0.0;0.08179127582243581;0.14787182344390262;0.1922514619883041;0.37755847953216376;0.027412280701754384;6.991228070175438;1.0087719298245614;1.2836257309941521;6.991228070175438;0.22295321637426901;0.0577485380116959;6.991228070175438;2.2923276015740197;0.07273391812865497;0.26679879036124354;0.0813555680617436;0.03070175438596491;1.0087719298245614;0.0;7.538377192982456;5.788011695906433;1.0543087027595297;0.21637426900584794;1.0342020511168357;0.11842105263157894;6.991228070175438;0.024853801169590642;0.09502923976608187;0.34012223063288666;1.9385964912280702;0.04231406087079046;6.991228070175438;9.055555555555555;0.7511836741820617;8.035087719298245;0.6750730994152047;0.4868421052631579;0.07023652275077398;0.10242407989607094;4.269005847953216;0.4619883040935672;0.03654970760233918;0.7478070175438597;2.111842105263158;6.991228070175438;0.029239766081871343;1.2141812865497077;0.07331939591078007;0.041047140747722054;0.9780701754385965;3.1871345029239766;;0.9415204678362573;2.165204678362573;0.533625730994152;6.991228070175438;0.42105263157894735;0.15204678362573099;6.991228070175438;6.720760233918129;0.01827485380116959;0.3625912755136708;0.03326023391812866;;0.03837719298245614;4.639254385964913;1.1432748538011697;0.33679121945546503;0.5233918128654971;0.16441185240363745;3.4240476735879812;2.122076023391813;0.03856787575868669;0.3522763173917438;0.029970760233918127;0.13706140350877194;0.27631578947368424;1.0029239766081872;0.6480263157894737;1.8121345029239766;0.17580409356725146;0.041666666666666664;0.7463450292397661;19.4093567251462;59.84027777777778;0.23391812865497075;4.3048245614035086;0.14619883040935672;0.0;4.072368421052632;0.14473684210526316;6.991228070175438;1.1798245614035088;10.163765269109183;0.29203216374269003;6.991228070175438;1.1335325706812416;2.4820906432748537;6.991228070175438;1.5555555555555556;0.8808479532163743;0.27521929824561403;3.4941520467836256;0.14035087719298245;0.025584795321637425;0.8033235133890898;0.0625217771836833;0.0;0.69124123614635;1.7441520467836258;0.06286549707602339;6.991228070175438;0.46345029239766083;0.5233918128654971;7.4261695906432745;0.3435672514619883;6.991228070175438;228.28508771929825;6.991228070175438;0.17029264991214518;0.09868421052631579;6.991228070175438;6.991228070175438;0.0891812865497076;0.07163742690058479;6.991228070175438;11.762426900584796;0.48162277762573086;0.021929824561403508;4.021929824561403;3.9444444444444446;1.4184941520467835;1.3896445866241407;16.428362573099417;0.02046783625730994;0.15752923976608188;0.06578947368421052
std;0.5340790182730984;1.020459069887884;2.7956688266968217;0.3998487423037524;8.174622714051443;1.9769092905472976;0.25301496409270346;2.502804903517993;9.63324126600439;0.7578062352418987;6.543676330923059;0.49002676298050624;0.6777823347869159;3.928546541248978;934.0789676987057;0.25707185448740605;0.477976876135621;1.3435455349451906;0.4340444811543622;6.67078527693968;0.1956343824538533;9.63324126600439;1.8828033659094139;1.2853906529972259;9.63324126600439;0.08755382565135306;0.0;5.844539438647299;0.7162159214963207;1.4720015749099553;0.0;0.0661295824636208;9.63324126600439;1771.702450723356;1.8996130186914564;0.4531490596682116;9.63324126600439;0.4183386743673605;0.0;6.317585314685217;9.63324126600439;1.8764250219446024;1.9504930685073294;0.0;0.29930385012240696;0.554895171375139;0.6362280555933284;1.2067908283777031;0.19761950713444673;9.63324126600439;2.210697858064315;1.218964114014418;9.63324126600439;1.0834503980393388;0.31604004034122696;9.63324126600439;3.2151277979599246;0.2887444106133791;0.5344979783308009;0.18570778412597838;0.24307468969429472;1.6853287206546168;0.0;7.410995066459476;6.54976016861186;1.6161854965073548;0.5315473808950252;1.5942266984491043;0.5389756222968;9.63324126600439;0.1649237162500385;0.399162922470591;1.1669919489174911;1.7706824472190303;0.16774648035926684;9.63324126600439;7.769123563829895;1.4262166685263578;10.518000877164372;0.9488935502776176;1.3851236282425887;0.2371985687098984;0.24827927436068994;8.065662348047038;0.5571466944186769;0.21842728589607593;1.5282822779584881;10.102354586806992;9.63324126600439;0.23715988107673638;1.2340475141717524;0.23648047710613326;0.24416657566389854;1.1406703820112218;5.411344136535774;;1.0207659532684512;4.181520363402944;1.3363520898452892;9.63324126600439;0.7008537380129815;0.4194871276021475;9.63324126600439;9.561059474722333;0.1380769637457868;1.5759659955422518;0.2444278875423939;;0.21366254192460718;5.275696857752558;1.1953785241500896;0.6157007632931097;1.199454323830147;0.5956257595990817;4.148604035572238;3.6533657744286825;0.16573532138039923;0.4103799524959183;0.17063141466585424;0.4378889083748022;1.150960077811847;1.3463220067635118;0.6259105642546365;1.9161062287825035;1.0280096747046172;0.1934600567503098;2.039279673077359;21.171660528680025;1255.3762200480571;0.9938118191055374;43.896860916911066;1.0148098920834248;0.0;4.883851203864665;0.6341559828527704;9.63324126600439;0.5582885096007468;8.162510277259551;0.6555083363709624;9.63324126600439;1.3428515287796128;2.3355010844236923;9.63324126600439;3.5712551957731313;1.653300575767099;0.481924319716799;5.049531617695554;0.4741121250915436;0.2317331291923065;1.4282987059186827;0.274471330756007;0.0;1.2716912832022087;1.6696856246591638;0.4300171667820696;9.63324126600439;0.9071751218874503;1.6786601935410967;6.947528349520437;1.3322564748015704;9.63324126600439;3543.808892034378;9.63324126600439;0.5483303539644491;0.4217092317216781;9.63324126600439;9.63324126600439;0.4921565498660844;0.47405568626238764;9.63324126600439;9.751085412523095;0.5194180922473067;0.22530620982740807;4.2341204594751884;5.0528522726425695;1.7611882672513102;2.4225987078038416;26.197288700089643;0.18633181839977417;0.6798864391602712;0.2424994111303186
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.3333333333333333;0.0;0.0;0.0;0.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4375;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;;0.0;3.0;1.0;0.0;0.0;0.0;0.4097826086956522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;1.0;0.0;0.0;0.25;0.0;1.0;1.0;5.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.75;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;3.0;0.0;0.0;4.0;0.0;0.0;0.0
50%;0.0;0.9183333333333333;0.5;0.0;0.0;1.75;0.0;0.5163977794943223;3.0;0.0;2.71023030028294;0.0;0.5345224838248488;2.0;1.0773809523809523;0.0;0.0;1.0;0.0;1.4142135623730951;0.0;3.0;1.0;0.0;3.0;0.0;0.0;4.0;0.0;1.2;0.0;0.0;3.0;0.0;1.0;0.0;3.0;0.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;3.0;0.0;0.0;3.0;1.1547005383792517;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;0.5444444444444445;0.0;0.5773502691896257;0.0;3.0;0.0;0.0;0.0;2.0;0.0;3.0;7.0;0.25;4.0;0.25;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;1.0;1.0;;1.0;1.0;0.0;3.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;;0.0;3.0;1.0;0.0;0.0;0.0;2.577777777777778;1.0;0.0;0.40824829046386296;0.0;0.0;0.0;0.0;1.0;1.25;0.0;0.0;0.0;13.5;1.0;0.0;1.0;0.0;0.0;3.0;0.0;3.0;1.0;8.0;0.0;3.0;0.7071067811865476;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;5.5;0.0;3.0;2.0;3.0;0.0;0.0;3.0;3.0;0.0;0.0;3.0;9.0;0.4833147942157954;0.0;3.0;3.0;1.0;0.5;8.0;0.0;0.0;0.0
75%;0.5;1.4487179487179487;2.0;0.0;1.0;3.0;0.0;1.6329931618554518;8.0;0.0;7.631035298769753;0.650492904157186;0.9219280865324281;4.0;3.0;0.0;0.0;1.5;0.0;5.960869872454919;0.0;8.0;1.5;0.0;8.0;0.0;0.0;7.0;0.0;2.0;0.0;0.0;8.0;1.6923831739988136;1.0;0.0;8.0;0.0;0.0;8.863445378151262;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;1.0;2.0;8.0;0.0;0.0;8.0;3.3624284764408667;0.0;0.346571906354515;0.0;0.0;1.0;0.0;10.0;7.0;1.175;0.0;1.4142135623730951;0.0;8.0;0.0;0.0;0.16666666666666666;3.0;0.0;8.0;11.0;1.0;11.0;1.0;0.5;0.0;0.0;5.0;1.0;0.0;1.0;1.0;8.0;0.0;1.0;0.0;0.0;1.0;4.0;;1.0;3.0;0.625;8.0;1.0;0.0;8.0;8.0;0.0;0.27859503640612093;0.0;;0.0;5.0;1.0;0.519401698322423;1.0;0.0;4.666666666666667;3.0;0.0;0.5773502691896257;0.0;0.0;0.0;2.0;1.0;2.5;0.0;0.0;0.5;27.0;4.0;0.0;2.0;0.0;0.0;5.5625;0.0;8.0;2.0;13.0;0.0;8.0;1.710431192237062;3.5;8.0;2.0;1.0;0.5;4.0;0.0;0.0;1.1547005383792517;0.0;0.0;0.98917855789692;2.0;0.0;8.0;1.0;0.0;8.75;0.0;8.0;9.0;8.0;0.07142857142857142;0.0;8.0;8.0;0.0;0.0;8.0;15.8125;0.75;0.0;6.0;3.0;2.0;1.6;21.0;0.0;0.0;0.0
