;blame_merge_blame_getDifficulty_mean;Difficulty;blamemerge_blamegetVolume_std;FileLength_75%;blame_merge_blame_getVolume_min;blame_merge_blame_getLength_mean;FileLength_mean;AnonymousInnerClassLength_50%;blame_merge_blame_getLength_count;blame_merge_blame_getVocabulary_min;blame_merge_blame_getDifficulty_min;FileLength_count;Volume;AnonymousInnerClassLength_max;MethodLength_mean;blamemerge_blamegetDifficulty_max;AnonymousInnerClassLength_25%;MethodLength_min;MethodLength_75%;AnonymousInnerClassLength_min;blamemerge_blamegetEffort_max;FileLength_max;Length;blamemerge_blamegetVocabulary_std;blame_merge_blame_getVocabulary_max;blamemerge_blamegetEffort_count;FileLength_std;blame_merge_blame_getLength_max;NumberOfDistinctOperands;FileLength_min;blame_merge_blame_getVolume_max;blamemerge_blamegetLength_std;blame_merge_blame_getDifficulty_std;MethodLength_25%;NumberOfDistinctOperators;blamemerge_blamegetLength_count;blamemerge_blamegetLength_mean;Effort;AnonymousInnerClassLength_mean;Bugged;blamemerge_blamegetVolume_max;blame_merge_blame_getLength_std;blamemerge_blamegetVocabulary_max;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetLength_max;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_count;blame_merge_blame_getVocabulary_std;blame_merge_blame_getVolume_count;blame_merge_blame_getEffort_count;AnonymousInnerClassLength_75%;blame_merge_blame_getEffort_min;blame_merge_blame_getEffort_std;blamemerge_blamegetDifficulty_count;blame_merge_blame_getVolume_std;TotalNumberOfOperands;blamemerge_blamegetVolume_count;blamemerge_blamegetEffort_mean;FileLength_25%;blame_merge_blame_getLength_min;AnonymousInnerClassLength_count;FileLength_50%;blame_merge_blame_getVolume_mean;MethodLength_50%;Vocabulary;blamemerge_blamegetDifficulty_std;blame_merge_blame_getDifficulty_count;blamemerge_blamegetEffort_std;MethodLength_count;TotalNumberOfOperators;AnonymousInnerClassLength_std;MethodLength_std;blame_merge_blame_getVocabulary_count;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getEffort_max;MethodLength_max;blame_merge_blame_getEffort_mean;blamemerge_blamegetVocabulary_mean
count;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;39.86280740370393;21.116611549110715;17.24671052631579;0.0;0.0;21.01147261766312;0.35964912280701755;0.0;0.0;0.0;7.011695906432749;8383.46349606967;3.8304093567251463;7.775421510762416;5.5069722553275176;0.23355263157894737;4.286549707602339;8.644736842105264;0.1564327485380117;636.9644090100918;114.19298245614036;1054.8099415204679;4.149363404942718;0.0;56814.07456140351;35.018470403382594;0.0;119.48099415204679;6.909356725146199;0.0;5.747951925165352;0.0;5.077119883040936;25.43859649122807;56814.07456140351;5.388266378270759;631842.088889745;0.8732089087271885;;120.57890670350831;0.0;17.34502923976608;0.0;29.318713450292396;0.0;17.04842699223556;56814.07456140351;0.0;0.0;0.0;0.9345760233918129;0.0;0.0;56814.07456140351;0.0;423.92543859649123;56814.07456140351;44.75472873758533;8.612938596491228;0.0;7.011695906432749;10.316520467836257;0.0;6.138888888888889;144.91959064327486;1.2070123199529956;0.0;77.91809230912956;7.011695906432749;630.8845029239766;1.3418477511855658;5.107693680967997;0.0;1.048542935667865;0.0;19.181286549707604;0.0;4.291758071911069
std;0.0;26.75756279503487;8.322335967677349;24.69145041151157;0.0;0.0;19.273379897173456;1.818252308664584;0.0;0.0;0.0;9.638708141170753;12611.377434154967;10.792623116805558;7.802786668100749;1.772710910874023;1.4345161907318562;6.233362776552807;9.107775148687555;1.2482853222867962;470.60629300161537;137.09769590700617;1393.446595070095;0.9096176529554277;0.0;105998.420562525;32.02708786412307;0.0;114.96792316614287;19.89836474799265;0.0;1.7529862422390252;0.0;6.475951619604464;9.482079966284587;105998.420562525;2.8852055430082735;1388194.2018524408;2.3869224056448712;;61.85662758518471;0.0;5.2065075143465975;0.0;12.424207730371876;0.0;10.607767057239755;105998.420562525;0.0;0.0;0.0;3.141055482126377;0.0;0.0;105998.420562525;0.0;545.5383135339647;105998.420562525;36.6557863947296;19.963100587239783;0.0;9.638708141170753;21.29362195006154;0.0;7.07565325901496;123.13690661553274;0.30946648078245786;0.0;50.66819690031577;9.638708141170753;850.7793153627407;3.550348360190335;8.092587171303927;0.0;0.5444321879152793;0.0;28.533238701336753;0.0;2.099283121495322
min;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.18947501009619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;125.47368752524048;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;20.33730158730159;15.429587759747028;0.0;0.0;0.0;10.138392857142858;0.0;0.0;0.0;0.0;1.0;1407.0504982218595;0.0;3.0;4.2;0.0;3.0;3.0;0.0;306.36905341922784;40.0;231.75;3.612954266741793;0.0;873.5;0.0;0.0;44.0;0.0;0.0;4.591591024386068;0.0;3.0;19.0;873.5;3.3644500064286684;30438.995269206793;0.0;;76.0;0.0;14.0;0.0;20.0;0.0;9.481401035218077;873.5;0.0;0.0;0.0;0.0;0.0;0.0;873.5;0.0;100.0;873.5;20.240685242767523;0.0;0.0;1.0;0.0;0.0;3.0;65.0;1.0652917215942828;0.0;40.573326488247815;1.0;134.0;0.0;0.0;0.0;0.671040682231607;0.0;3.0;0.0;2.811675510295834
50%;0.0;33.02569211409396;21.11981040232528;0.0;0.0;0.0;17.416666666666664;0.0;0.0;0.0;0.0;3.0;3670.4800000786818;0.0;5.5;5.358974358974359;0.0;3.0;5.75;0.0;548.4552807098006;68.0;543.0;4.21819600387065;0.0;8640.0;34.648232278140824;0.0;80.0;0.0;0.0;5.829597523120677;0.0;3.0;23.0;8640.0;4.909561047251783;128775.2523450464;0.0;;110.94954160280147;0.0;17.0;0.0;28.0;0.0;15.34690043190605;8640.0;0.0;0.0;0.0;0.0;0.0;0.0;8640.0;0.0;230.5;8640.0;36.934392436589086;0.0;0.0;3.0;0.0;0.0;4.0;105.0;1.2406320913944666;0.0;72.30944696621353;3.0;315.0;0.0;1.7320508075688772;0.0;1.0054762897297773;0.0;10.0;0.0;4.070578729357647
75%;0.0;52.76358577040593;25.369937880472815;32.4375;0.0;0.0;29.0;0.0;0.0;0.0;0.0;8.25;9199.698214620945;0.0;10.016666666666666;6.666666666666668;0.0;3.0;11.0;0.0;850.4306648610338;144.25;1215.0;4.710722387041953;0.0;61476.75;50.6803385282675;0.0;148.0;0.0;0.0;6.623125352726362;0.0;5.0;31.0;61476.75;6.7786513399774835;476534.46406318154;0.0;;158.45715005480787;0.0;20.0;0.0;37.0;0.0;21.601430137035617;61476.75;0.0;0.0;0.0;0.0;0.0;0.0;61476.75;0.0;494.75;61476.75;56.42598588462333;6.5625;0.0;8.25;13.125;0.0;7.5;179.5;1.3878366644711906;0.0;102.17406966321116;8.25;731.25;0.0;6.8335211838427625;0.0;1.317563865650909;0.0;23.0;0.0;5.357958073784435
