WMC_CK_75%;WMC_CK_25%;WMC_CK_count;NMI;WMC_CK_50%;NOCh;NPM;WMC;NORM;NMIR;Bugged;WMC_CK_mean;WMC_CK_max;WMC_CK_min;DIT;WMC_CK_std
2.75;1.0;26.0;0.0;1.0;0.0;2.0;53.0;0.0;0.0;True;2.230769230769231;8.0;1.0;1.0;2.0061444077172967
1.0;1.0;1.0;0.0;1.0;0.0;2.0;53.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
3.25;1.75;4.0;0.0;2.5;0.0;4.0;9.0;0.0;0.0;False;2.5;4.0;1.0;1.0;1.2909944487358056
1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
3.0;1.0;9.0;0.0;2.0;0.0;5.0;21.0;0.0;0.0;False;2.333333333333333;5.0;1.0;1.0;1.5
8.25;1.25;6.0;0.0;4.0;0.0;1.0;27.0;0.0;0.0;True;5.333333333333333;13.0;1.0;1.0;4.926120853842979
0.0;0.0;0.0;0.0;0.0;0.0;1.0;27.0;0.0;0.0;True;0.0;0.0;0.0;1.0;0.0
6.0;6.0;1.0;0.0;6.0;0.0;1.0;5.0;0.0;0.0;True;6.0;6.0;6.0;1.0;0.0
8.0;8.0;1.0;0.0;8.0;0.0;1.0;7.0;0.0;0.0;True;8.0;8.0;8.0;1.0;0.0
9.25;7.75;2.0;0.0;8.5;0.0;1.0;16.0;0.0;0.0;True;8.5;10.0;7.0;1.0;2.1213203435596424
1.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
5.0;2.0;11.0;0.0;3.0;0.0;2.0;34.0;0.0;0.0;True;5.909090909090909;19.0;1.0;1.0;6.6099099154912135
0.0;0.0;0.0;0.0;0.0;0.0;2.0;34.0;0.0;0.0;True;0.0;0.0;0.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
2.75;1.0;14.0;0.0;1.0;0.0;9.0;28.0;0.0;0.0;False;2.142857142857143;6.0;1.0;1.0;1.83374953650638
1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
3.25;1.75;2.0;0.0;2.5;0.0;2.0;3.0;0.0;0.0;False;2.5;4.0;1.0;1.0;2.1213203435596424
1.0;1.0;7.0;0.0;1.0;0.0;7.0;8.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
2.0;1.0;20.0;0.0;1.0;0.0;18.0;32.0;0.0;0.0;True;1.9;6.0;1.0;1.0;1.6511558949637928
1.0;1.0;1.0;0.0;1.0;0.0;12.0;59.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
2.75;1.0;18.0;0.0;1.0;0.0;12.0;59.0;0.0;0.0;False;2.2222222222222223;8.0;1.0;1.0;1.986885104453867
2.0;1.0;12.0;0.0;1.5;0.0;3.0;22.0;0.0;0.0;False;1.6666666666666667;4.0;1.0;1.0;0.8876253645985944
1.25;1.0;4.0;0.0;1.0;0.0;19.0;53.0;0.0;0.0;True;1.25;2.0;1.0;1.0;0.5
2.0;1.0;30.0;0.0;1.0;0.0;19.0;53.0;0.0;0.0;True;1.7666666666666666;6.0;1.0;1.0;1.3565507307349294
1.0;1.0;3.0;0.0;1.0;0.0;19.0;53.0;0.0;0.0;True;1.0;1.0;1.0;1.0;0.0
4.0;1.5;31.0;0.0;2.0;0.0;12.0;124.0;0.0;0.0;True;3.9354838709677415;26.0;1.0;1.0;5.303681010210221
2.0;1.0;7.0;0.0;2.0;0.0;2.0;17.0;0.0;0.0;False;2.571428571428572;9.0;1.0;1.0;2.8784916685156983
1.0;1.0;3.0;0.0;1.0;0.0;3.0;4.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
3.5;1.25;10.0;0.0;2.0;0.0;5.0;26.0;0.0;0.0;True;2.5;5.0;1.0;1.0;1.5811388300841898
5.5;1.5;11.0;0.0;2.0;0.0;2.0;37.0;0.0;0.0;False;3.363636363636364;7.0;1.0;1.0;2.4196167991120943
3.0;1.0;23.0;0.0;2.0;0.0;10.0;45.0;0.0;0.0;True;2.217391304347826;7.0;1.0;1.0;1.5654369630794764
1.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;2.0;0.0;1.0;0.0;2.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
1.0;1.0;11.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;True;1.0;1.0;1.0;0.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.3333333333333333;3.0;1.0;0.0;0.8164965809277259
1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
5.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;3.4;9.0;1.0;0.0;3.5777087639996634
1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
5.0;1.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;False;3.8;9.0;1.0;0.0;3.3466401061363023
3.0;3.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;False;3.0;3.0;3.0;0.0;0.0
2.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;False;2.0;2.0;2.0;0.0;0.0
1.75;1.25;2.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;False;1.5;2.0;1.0;0.0;0.7071067811865476
1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0;0.0
1.0;1.0;13.0;0.0;1.0;0.0;0.0;13.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;3.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;6.0;0.0;1.0;0.0;0.0;8.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;3.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;False;1.0;1.0;1.0;1.0;0.0
1.0;1.0;12.0;0.0;1.0;0.0;12.0;14.0;0.0;0.0;False;1.1666666666666667;3.0;1.0;1.0;0.5773502691896257
2.0;1.0;43.0;0.0;1.0;0.0;17.0;99.0;0.0;0.0;True;2.372093023255814;38.0;1.0;1.0;5.631642134759432
