;MaxNumberOfNestedBlocks_mean;NumberOfMethods_Mood;MaxNumberOfNestedBlocks_std;issues_priorityMajor_max;NumberOfModifiers_mean;NumberOfMathOperations_25%;blamemerge_priorityMajor_count;Maximum Depth_max;Maximum Complexity*;Ao;Mit;NumberOfMathOperations_count;Md;NMIR;SIX;Ad;blamemerge_priorityMinor_min;NumberOfModifiers_count;NumberOfModifiers_std;NumberOfModifiers_min;NumberOfMathOperations_50%;Maximum Depth_75%;blamemerge_priorityMajor_max;blamemerge_priorityMinor_std;NumberOfMathOperations_mean;HMi;Mo;HMd;NM;Ai;blamemerge_priorityMajor_mean;Mi;Average Statements per Method;MaxNumberOfNestedBlocks_count;issues_priorityMajor_std;NMI;blame_merge_priorityMinor_mean;issues_priorityMinor_std;Maximum Depth_count;NF;MaxNumberOfNestedBlocks_50%;PMi;blamemerge_priorityMajor_min;blame_merge_priorityMinor_std;MaxNumberOfNestedBlocks_min;Maximum Block Depth;issues_priorityMajor_mean;issues_priorityMajor_min;NOPa;NumberOfModifiers_25%;Average Block Depth;blame_merge_priorityMajor_min;blame_merge_priorityMinor_max;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_75%;issues_priorityMajor_count;Av;Ma;Bugged;NumberOfMathOperations_std;Maximum Depth_min;blamemerge_priorityMinor_count;blame_merge_priorityMinor_min;MaxNumberOfNestedBlocks_25%;MaxNumberOfNestedBlocks_max;issues_priorityMinor_max;Ait;NumberOfModifiers_75%;PMd;NumberOfModifiers_50%;issues_priorityMinor_count;Maximum Depth_std;Maximum Depth_25%;blamemerge_priorityMinor_mean;blame_merge_priorityMajor_mean;blamemerge_priorityMinor_max;blame_merge_priorityMajor_std;Maximum Depth_mean;NumberOfMathOperations_min;blamemerge_priorityMajor_std;NumberOfMathOperations_max;Average Complexity*;issues_priorityMinor_min;blame_merge_priorityMajor_count;blame_merge_priorityMajor_max;NumberOfModifiers_max;NMA;Maximum Depth_50%;PMR;NumberOfMathOperations_75%;issues_priorityMinor_mean
count;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.33427275908321946;7.70906432748538;0.347720767999527;0.9707602339181286;57.706660942382435;0.06907894736842106;56793.90935672515;1.4415204678362572;5.181286549707602;0.0;0.0;6.991228070175438;8.15643274853801;0.0;0.0;5.720760233918129;0.007309941520467836;6.991228070175438;109.71555469947484;1.3654970760233918;0.08333333333333333;1.3296783625730995;0.9590643274853801;0.06149698544851728;0.14787182344390262;0.0;0.0;2.0219298245614037;7.168128654970761;0.0;0.8773082093287822;0.0;4.593216374269006;6.991228070175438;0.14141506132757892;0.0;0.0;0.07966659918849932;2.4853801169590644;5.711988304093567;0.21637426900584794;0.0;0.38596491228070173;0.0;0.09502923976608187;3.6198830409356724;0.9043810855152405;0.3611111111111111;0.0;2.111842105263158;1.3702046783625732;0.0;0.0;0.0;0.42105263157894735;4919.733918128655;0.5394736842105263;8.15643274853801;;0.16441185240363745;1.2573099415204678;56793.90935672515;0.0;0.13706140350877194;1.0029239766081872;0.43567251461988304;0.0;59.84027777777778;6.1345029239766085;4.3048245614035086;4919.733918128655;0.08344237912142223;1.2796052631578947;0.05251022541485362;0.0;0.3713450292397661;0.0;1.315998595070125;0.06286549707602339;0.10377556841077373;0.5233918128654971;1.9107456140350878;0.0043859649122807015;0.0;0.0;228.28508771929825;8.330409356725147;1.2989766081871346;0.5806307631695906;0.15752923976608188;0.030773589037457163
std;0.5340790182730984;10.214328623346919;0.49002676298050624;0.16860118970192847;934.0789676987057;0.4340444811543622;105999.25949335517;1.44830936867746;6.501663315490019;0.0;0.0;9.63324126600439;10.555040270118166;0.0;0.0;9.205293626688691;0.08524746761971823;9.63324126600439;1771.702450723356;1.8996130186914564;0.4531490596682116;1.290469360422786;0.19828621950520697;0.12132940795556446;0.554895171375139;0.0;0.0;3.6897767537985278;10.08729578087369;0.0;0.2736198055253738;0.0;4.742600914254093;9.63324126600439;0.14749324857272506;0.0;0.0;0.11256373834236721;4.549524744887961;9.19690743870859;0.5315473808950252;0.0;0.4871786032313049;0.0;0.399162922470591;1.8788993969451404;0.21179471723150275;0.4806741781372282;0.0;10.102354586806992;0.6223442802345011;0.0;0.0;0.0;0.7008537380129815;5989.977272909744;3.8633189235065415;10.555040270118166;;0.5956257595990817;1.2236765344824758;105999.25949335517;0.0;0.4378889083748022;1.3463220067635118;0.49620756567509017;0.0;1255.3762200480571;9.435581525675218;43.896860916911066;5989.977272909744;0.2706632038277336;1.2332853156197703;0.1770297090880554;0.0;0.48351804133898874;0.0;1.2668154579180948;0.4300171667820696;0.14898296642133485;1.6786601935410967;1.3671018172850453;0.0661295824636208;0.0;0.0;3543.808892034378;10.504640784751373;1.2534633038946297;0.3858107272735023;0.6798864391602712;0.10422766743408812
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;2.0;0.0;1.0;1.0;0.0;837.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9494867519078704;0.0;1.67;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.9239981818672344;0.0;0.0;1.0;0.96;0.0;0.0;0.0;0.0;1456.0;0.0;2.0;;0.0;0.0;837.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1456.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.25;0.0;0.0
50%;0.0;4.0;0.0;1.0;1.0773809523809523;0.0;8640.0;2.0;3.0;0.0;0.0;3.0;4.0;0.0;0.0;2.0;0.0;3.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.9980288748999564;0.0;3.57;3.0;0.10844126945060492;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.9816367699162558;0.0;0.0;1.0;1.26;0.0;0.0;0.0;0.0;2924.0;0.0;4.0;;0.0;2.0;8640.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;2924.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.03059517834748455;0.0;1.5;0.0;0.0;0.0;2.0;5.0;2.0;0.666666667;0.0;0.0
75%;0.5;9.0;0.650492904157186;1.0;3.0;0.0;61476.75;2.0;6.0;0.0;0.0;8.0;10.0;0.0;0.0;7.0;0.0;8.0;1.6923831739988136;1.0;0.0;2.0;1.0;0.06317175341783575;0.0;0.0;0.0;2.0;8.25;0.0;1.0;0.0;5.6875;8.0;0.24936769433781036;0.0;0.0;0.1570713085096357;3.0;7.0;0.0;0.0;1.0;0.0;0.0;5.0;1.0;1.0;0.0;1.0;1.7;0.0;0.0;0.0;1.0;5811.75;0.0;10.0;;0.0;2.0;61476.75;0.0;0.0;2.0;1.0;0.0;4.0;7.0;2.0;5811.75;0.0;2.0;0.004463921544902833;0.0;1.0;0.0;2.0;0.0;0.14870451292800185;0.0;2.25;0.0;0.0;0.0;9.0;11.0;2.0;1.0;0.0;0.026827994259780566
max;5.0;72.0;3.0237157840738185;1.0;21845.33333333333;6.0;630769.0;9.0;54.0;0.0;0.0;70.0;68.0;0.0;0.0;117.0;1.0;70.0;37837.22724161132;10.0;6.0;9.0;1.0;0.5001847614508562;6.0;0.0;0.0;34.0;67.0;0.0;1.0;0.0;50.0;70.0;0.5010715686572637;0.0;0.0;0.5002369780691374;35.0;117.0;5.0;0.0;1.0;0.0;5.0;9.0;1.0;1.0;0.0;259.25;4.25;0.0;0.0;0.0;5.0;39594.0;85.0;68.0;;8.082903768654761;9.0;630769.0;0.0;5.0;8.0;1.0;0.0;32768.0;66.0;1028.0;39594.0;3.0;9.0;1.0;0.0;1.0;0.0;9.0;6.0;0.5003886895019561;25.0;11.0;1.0;0.0;0.0;65536.0;68.0;9.0;1.0;8.0;1.0
