;NBD_mean;Fout_mean;blame_merge_blame_getDifficulty_mean;Difficulty;NVAR_50%;NBD_count;blame_merge_blame_getDistinctOperatorsCnt_std;IOVars_count;NBD_50%;blame_merge_blame_getDistinctOperatorsCnt_max;blame_merge_blame_getDistinctOperatorsCnt_min;NOP_count;Si_count;ClTCi;IOVars_max;blamemerge_blamegetDistinctOperandsCnt_max;Fin_min;NBD_max;MCLC_min;blame_merge_blame_getDifficulty_min;Fout_min;Fout_50%;Ci_50%;NVAR_75%;blamemerge_blamegetDifficulty_max;NVAR_mean;Fin_std;NBD_min;Ci_25%;blame_merge_blame_getDistinctOperatorsCnt_mean;NCOMP_50%;Si_min;Fout_75%;NCOMP_25%;NOP_min;IOVars_mean;blamemerge_blamegetDistinctOperandsCnt_count;Si_50%;VG_min;Si_mean;NOP_25%;NBD_75%;Fin_50%;NOP_50%;MCLC_count;Di_std;VG_mean;NCOMP_max;NOP_75%;Ci_max;Di_max;Ci_std;Di_count;Fout_25%;IOVars_50%;Ci_count;IOVars_25%;NumberOfDistinctOperands;blame_merge_blame_getDistinctOperandsCnt_max;IOVars_std;blame_merge_blame_getDistinctOperandsCnt_min;blamemerge_blamegetDistinctOperatorsCnt_std;Fout_count;blame_merge_blame_getDifficulty_std;Fin_25%;VG_std;Si_max;NumberOfDistinctOperators;NOPa;NVAR_min;VG_75%;MCLC_50%;blame_merge_blame_getDistinctOperandsCnt_count;NVAR_std;NOP_mean;NBD_std;IOVars_min;Si_25%;NOP_max;blamemerge_blamegetDistinctOperatorsCnt_mean;NCOMP_75%;MCLC_max;Bugged;MCLC_std;Si_std;blame_merge_blame_getDifficulty_max;Ci_min;NBD_25%;Di_25%;Fin_mean;Fin_max;Di_75%;blamemerge_blamegetDifficulty_count;blamemerge_blamegetDistinctOperatorsCnt_max;Fin_count;MCLC_mean;blamemerge_blamegetDistinctOperandsCnt_std;Si_75%;Di_50%;ClRCi;blame_merge_blame_getDistinctOperandsCnt_std;NOP_std;blamemerge_blamegetDistinctOperatorsCnt_count;Fin_75%;VG_count;NVAR_25%;NCOMP_count;NVAR_max;Ci_mean;VG_25%;blame_merge_blame_getDistinctOperandsCnt_mean;NCOMP_mean;blamemerge_blamegetDifficulty_std;MCLC_75%;Di_min;blamemerge_blamegetDistinctOperandsCnt_mean;blame_merge_blame_getDifficulty_count;NCOMP_min;VG_50%;NVAR_count;NCOMP_std;blame_merge_blame_getDistinctOperatorsCnt_count;Di_mean;VG_max;IOVars_75%;blamemerge_blamegetDifficulty_mean;Fout_std;Fout_max;MCLC_25%;Ci_75%
count;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0;684.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;409;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.1460532195243307;0.046045396119303666;0.0;39.86280740370393;0.2543859649122807;5.894736842105263;0.0;5.894736842105263;1.047514619883041;0.0;0.0;5.894736842105263;5.894736842105263;19.37536454773538;2.396198830409357;10.387426900584796;0.0;1.7485380116959064;0.3713450292397661;0.0;0.0029239766081871343;0.014619883040935672;1.4401803118903507;0.49378654970760233;5.5069722553275176;0.42106426608168795;0.09822537094995591;0.9166666666666666;1.267787524366228;0.0;0.41812865497076024;0.0029239766081871343;0.041666666666666664;0.302266081871345;0.5043859649122807;1.5384478633082788;56814.07456140351;0.017543859649122806;1.0073099415204678;0.13200913940824596;0.6882309941520468;1.2236842105263157;0.008771929824561403;0.9378654970760234;5.894736842105263;0.5617576893169925;1.4570590595204038;2.087719298245614;1.2671783625730995;3.9399135464941524;2.361111111111111;0.8929083701361237;5.894736842105263;0.00804093567251462;1.4247076023391814;5.894736842105263;1.2543859649122806;119.48099415204679;0.0;0.5664781506384302;0.0;2.1035999987383804;5.894736842105263;0.0;0.0021929824561403508;0.7237664364245977;1.7967836257309941;25.43859649122807;0.0;0.12719298245614036;1.5519005847953216;0.7105263157894737;0.0;0.472211961945198;1.0242893270061888;0.3272205030879895;1.0014619883040936;0.009502923976608187;1.8304093567251463;2.1016076326665494;0.7306286549707602;3.324561403508772;;1.0604717963315686;0.4209458081658914;0.0;1.0241228070175439;0.964546783625731;1.2253167641334064;0.04062639991083377;0.3538011695906433;1.7021198830409356;56814.07456140351;8.742690058479532;5.894736842105263;1.056697325085685;2.456055987567245;0.046052631578947366;1.4046052631586259;1.7531809851564328;0.0;0.5675301703697557;56814.07456140351;0.023757309941520467;5.894736842105263;0.16812865497076024;5.894736842105263;1.402046783625731;1.6420468117798261;1.0730994152046784;0.0;0.635633059003997;1.2070123199529956;1.2507309941520468;0.9764354066973684;2.1901504392445195;0.0;0.24415204678362573;1.2222222222222223;5.894736842105263;0.6435792887103445;0.0;1.51003767237158;3.0555555555555554;1.7401315789473684;1.048542935667865;0.08775491598846633;0.27923976608187134;0.48026315789473684;1.7750365497072367
std;0.8242119413039196;0.15638563803917874;0.0;26.75756279503487;0.7721704517762162;9.24708976835095;0.0;9.24708976835095;0.7973287897144243;0.0;0.0;9.24708976835095;9.24708976835095;63.86541182012792;2.019534946741791;3.8111210986169954;0.0;1.6585324609070589;1.6921480724025673;0.0;0.05403420703311784;0.1289318726069113;1.2209389946288247;1.0604262332884595;1.772710910874023;0.8422688231964988;0.35511571796841884;0.6563687318514415;1.1288799669760954;0.0;1.27391627337287;0.05403420703311784;0.19393248738478652;1.1839080800387807;0.9238873582926529;1.2495540470320123;105998.420562525;0.18465857729122395;1.173751135505369;1.351100015198329;0.9585690893857384;0.9662316924216118;0.10442177412891113;1.0285879129274254;9.24708976835095;0.7255411043058007;1.5030570610519511;4.2289417735779065;1.2313681128487937;28.233246780788548;1.993879931782599;6.0237496830225625;9.24708976835095;0.0818953270235163;1.2183759210916199;9.24708976835095;1.1297499963827775;114.96792316614287;0.0;0.7321483205658306;0.0;0.49012697701369445;9.24708976835095;0.0;0.04052565527483838;1.473215495616733;28.28180591844783;9.482079966284587;0.0;0.6025011442992186;1.6879156791821504;1.9496533500216977;0.0;0.9413824088436101;1.0381415353128682;0.5445955511460178;1.126675448669663;0.10523091108304423;1.7875146480392217;1.0027247629971028;1.6156857532976585;6.08046910135754;;1.9257982256352348;6.022869618195549;0.0;1.1181007569142927;0.7032946514573791;1.1302509953453046;0.13992324684381244;1.6388315468302082;1.4380003686639253;105998.420562525;2.1829612546662243;9.24708976835095;2.0790535310876272;0.6332123191512122;0.23872631188094848;1.2185137734028946;1.7979802538011809;0.0;0.692768068322752;105998.420562525;0.14470368427320895;9.24708976835095;0.6578061553646865;9.24708976835095;2.7434034110922454;1.8046700688419934;1.2192604083008778;0.0;1.3592608518586138;0.30946648078245786;2.481925772661199;1.128668407808675;1.1984219790504205;0.0;1.1569552914413104;1.34889045137584;9.24708976835095;1.2217367598536735;0.0;1.2457287297788895;4.991924501896418;1.451507969422512;0.5444321879152793;0.32714462391193927;1.3119928872820596;1.762316438062326;1.4592472903615736
min;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;0.0;20.33730158730159;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;3.0;1.0;8.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;4.2;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;873.5;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.5;44.0;0.0;0.0;0.0;1.8499240497954619;1.0;0.0;0.0;0.0;0.0;19.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.383217903070259;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;1.0;873.5;7.0;1.0;0.0;2.0624805883424684;0.0;1.0;1.0;0.0;0.0;873.5;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0652917215942828;0.0;0.0;1.3457549336383128;0.0;0.0;1.0;1.0;0.0;0.0;0.8705357142857143;1.0;1.0;0.671040682231607;0.0;0.0;0.0;1.0
50%;1.0;0.0;0.0;33.02569211409396;0.0;2.0;0.0;2.0;1.0;0.0;0.0;2.0;2.0;9.0;2.0;10.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;5.358974358974359;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4285714285714286;8640.0;0.0;1.0;0.0;0.25;1.0;0.0;1.0;2.0;0.2992713676886759;1.0;0.0;1.0;2.0;2.0;0.34716524557075634;2.0;0.0;1.0;2.0;1.0;80.0;0.0;0.296119832624748;0.0;2.134281305407529;2.0;0.0;0.0;0.0;0.0;23.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;2.031057775128765;0.0;0.0;;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.75;8640.0;9.0;2.0;0.0;2.4861740563650225;0.0;1.0;1.6;0.0;0.5038350769915177;8640.0;0.0;2.0;0.0;2.0;0.0;1.5;1.0;0.0;0.0;1.2406320913944666;0.0;1.0;2.019120778352839;0.0;0.0;1.0;2.0;0.0;0.0;1.3333333333333333;1.0;2.0;1.0054762897297773;0.0;0.0;0.0;2.0
75%;1.5;0.0;0.0;52.76358577040593;0.0;7.0;0.0;7.0;1.0;0.0;0.0;7.0;7.0;20.0;3.0;12.0;0.0;3.0;0.0;0.0;0.0;0.0;2.0;0.5;6.666666666666668;0.5;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;61476.75;0.0;1.0;0.0;1.0;2.0;0.0;1.0;7.0;0.952749075347591;1.9333333333333331;3.0;2.0;4.0;3.0;1.0;7.0;0.0;2.0;7.0;2.0;148.0;0.0;0.957427107756338;0.0;2.438459346322742;7.0;0.0;0.0;0.8718691762342313;0.0;31.0;0.0;0.0;2.0;0.5;0.0;0.6847100785256682;1.5;0.5773502691896257;1.0;0.0;3.0;2.6789554830016575;1.0;4.0;;1.4142135623730951;0.0;0.0;1.0;1.0;2.0;0.0;0.0;2.5;61476.75;10.0;7.0;1.1488095238095237;2.8739674335651464;0.0;2.0;2.166666667;0.0;0.9523978546493154;61476.75;0.0;7.0;0.0;7.0;2.0;2.094223484838068;1.0;0.0;0.75;1.3878366644711906;1.5;1.0;2.6970952723289168;0.0;0.0;1.0;7.0;0.8782727904023211;0.0;2.0;4.0;2.5;1.317563865650909;0.0;0.0;0.0;2.5
