NumberOfInheritedMethods;Cohesion;NumberOfPolymorphicMethods;NumberPublicMethods;Bugged;NumberOfAttributes;NumberOfMethods_Mood;NumberOfProtectedAttributes;NumberOfAncestors;NumberOfPublicAttributes;NumberOfPrivateAttributes;NumberOfCoupledClasses;NumberUserDefinedAttributes;NumberOfSubclasses
0.0;0.1709090909090909;19.0;2.0;True;10.0;25.0;4.0;0.0;3.0;3.0;0.0;0.0;0.0
0.0;0.1709090909090909;19.0;2.0;True;10.0;25.0;4.0;0.0;3.0;3.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.3055555555555556;3.0;4.0;False;4.0;4.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.2323232323232323;5.0;5.0;False;3.0;9.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.4;1.0;1.0;True;1.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
0.0;0.4;1.0;1.0;True;1.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
0.0;1.0;1.0;1.0;True;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;1.0;1.0;1.0;True;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.7142857142857143;1.0;1.0;True;5.0;2.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
0.0;1.0;0.0;1.0;False;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.2777777777777778;2.0;2.0;True;34.0;8.0;0.0;0.0;3.0;31.0;1.0;0.0;0.0
0.0;0.2777777777777778;2.0;2.0;True;34.0;8.0;0.0;0.0;3.0;31.0;1.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.2307692307692308;10.0;9.0;False;15.0;13.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;False;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.2571428571428571;7.0;7.0;False;2.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.11805555555555555;18.0;18.0;True;11.0;18.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0
0.0;0.1323529411764706;12.0;12.0;False;9.0;17.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0
0.0;0.1323529411764706;12.0;12.0;False;9.0;17.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0
0.0;0.15;3.0;3.0;False;9.0;10.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0
0.0;0.0744047619047619;24.0;27.0;True;30.0;28.0;0.0;0.0;7.0;23.0;0.0;0.0;0.0
0.0;0.0744047619047619;24.0;27.0;True;30.0;28.0;0.0;0.0;7.0;23.0;0.0;0.0;0.0
0.0;0.0744047619047619;24.0;27.0;True;30.0;28.0;0.0;0.0;7.0;23.0;0.0;0.0;0.0
0.0;0.1258064516129032;22.0;22.0;True;8.0;31.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0
0.0;0.21428571428571427;4.0;5.0;False;2.0;7.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.3333333333333333;0.0;3.0;False;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.3333333333333333;0.0;5.0;True;4.0;10.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0
0.0;0.2909090909090909;2.0;2.0;False;4.0;11.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.15601023017902813;0.0;13.0;True;1.0;23.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;2.0;2.0;False;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;2.0;2.0;False;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;2.0;2.0;False;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;7.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;6.0;6.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;7.0;7.0;True;6.0;10.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0
0.0;0.0;6.0;6.0;False;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.4;5.0;5.0;False;3.0;5.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0
0.0;0.4;5.0;5.0;False;3.0;5.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0
0.0;0.4;5.0;5.0;False;3.0;5.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;2.0;2.0;False;1.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;7.0;2.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;False;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.25;12.0;12.0;False;1.0;12.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.08712121212121213;17.0;17.0;True;4.0;44.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.16666666666666666;11.0;11.0;False;1.0;12.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
0.0;0.2333333333333333;15.0;15.0;True;8.0;15.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0
0.0;0.375;4.0;4.0;True;2.0;4.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.4166666666666667;6.0;6.0;True;2.0;6.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.3333333333333333;5.0;5.0;True;5.0;5.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.18181818181818185;21.0;21.0;True;1.0;22.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.5;4.0;4.0;False;3.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.1836734693877551;8.0;22.0;False;9.0;28.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0
0.0;0.1836734693877551;8.0;22.0;False;9.0;28.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0
0.0;0.5;2.0;2.0;False;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.32142857142857145;7.0;7.0;False;4.0;7.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.16666666666666666;13.0;13.0;True;2.0;14.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.32;13.0;13.0;False;2.0;15.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.4444444444444444;9.0;9.0;False;3.0;9.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.19047619047619047;23.0;23.0;True;6.0;24.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0
0.0;0.19047619047619047;23.0;23.0;True;6.0;24.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0
0.0;0.2083333333333333;8.0;8.0;False;12.0;12.0;0.0;0.0;4.0;8.0;0.0;0.0;0.0
0.0;0.25;9.0;9.0;False;4.0;9.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.28125;8.0;8.0;False;2.0;8.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.4166666666666667;3.0;3.0;False;2.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.225;6.0;6.0;False;2.0;8.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.2769230769230769;13.0;13.0;False;2.0;13.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.3125;12.0;12.0;False;3.0;12.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.2;14.0;14.0;False;3.0;16.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0
0.0;0.3333333333333333;9.0;9.0;False;2.0;9.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
0.0;0.3076923076923077;13.0;13.0;False;4.0;13.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.1712962962962963;43.0;45.0;True;6.0;54.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0
0.0;0.1712962962962963;43.0;45.0;True;6.0;54.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0
0.0;0.5;6.0;6.0;False;5.0;6.0;0.0;0.0;1.0;4.0;0.0;1.0;0.0
0.0;0.0;3.0;3.0;False;4.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.15625;8.0;8.0;False;4.0;8.0;0.0;0.0;0.0;4.0;1.0;1.0;0.0
0.0;0.5;4.0;4.0;False;6.0;4.0;0.0;0.0;3.0;3.0;0.0;2.0;0.0
0.0;0.04017216642754663;40.0;41.0;False;20.0;41.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0
0.0;0.14285714285714285;6.0;7.0;True;3.0;7.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.25;8.0;8.0;False;5.0;8.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
0.0;0.08928571428571429;27.0;28.0;False;14.0;28.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0
0.0;0.5;4.0;4.0;False;3.0;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.08;24.0;25.0;False;13.0;25.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0
0.0;0.07589285714285714;26.0;28.0;True;15.0;28.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0
0.0;0.049099836333878884;44.0;47.0;True;22.0;47.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0
0.0;0.049099836333878884;44.0;47.0;True;22.0;47.0;0.0;0.0;0.0;22.0;0.0;0.0;0.0
0.0;0.17142857142857146;7.0;10.0;False;4.0;10.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.16666666666666666;13.0;14.0;False;7.0;14.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0
0.0;0.0641025641025641;26.0;26.0;True;22.0;26.0;0.0;0.0;9.0;13.0;0.0;0.0;0.0
0.0;0.18181818181818185;11.0;11.0;False;6.0;11.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0
0.0;0.5;15.0;16.0;False;8.0;16.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0
0.0;0.15;7.0;8.0;False;4.0;8.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.25;3.0;3.0;False;7.0;4.0;0.0;0.0;4.0;3.0;0.0;0.0;0.0
0.0;0.05865102639296187;28.0;31.0;True;14.0;31.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0
0.0;0.15625;8.0;8.0;False;4.0;8.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.25;6.0;6.0;True;4.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.08333333333333333;16.0;16.0;True;9.0;16.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0
0.0;0.04153846153846154;49.0;49.0;True;20.0;50.0;0.0;0.0;2.0;18.0;1.0;1.0;0.0
0.0;0.04153846153846154;49.0;49.0;True;20.0;50.0;0.0;0.0;2.0;18.0;1.0;1.0;0.0
0.0;0.09523809523809523;21.0;21.0;True;9.0;21.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.1;18.0;18.0;False;11.0;18.0;0.0;0.0;1.0;10.0;0.0;0.0;0.0
0.0;0.16666666666666666;6.0;6.0;False;4.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.03968253968253968;51.0;54.0;True;29.0;54.0;0.0;0.0;4.0;25.0;0.0;0.0;0.0
0.0;0.08333333333333333;12.0;12.0;True;7.0;12.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0
0.0;0.1153846153846154;13.0;13.0;True;8.0;13.0;0.0;0.0;1.0;7.0;0.0;0.0;0.0
0.0;0.056980056980056974;35.0;39.0;True;17.0;39.0;0.0;0.0;1.0;16.0;0.0;0.0;0.0
0.0;0.056980056980056974;35.0;39.0;True;17.0;39.0;0.0;0.0;1.0;16.0;0.0;0.0;0.0
0.0;0.25;6.0;6.0;True;3.0;6.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.0875;16.0;16.0;False;9.0;16.0;0.0;0.0;1.0;8.0;0.0;0.0;0.0
0.0;0.0;2.0;2.0;False;3.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0
0.0;0.25;4.0;4.0;False;1.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;0.1;18.0;18.0;False;11.0;18.0;0.0;0.0;1.0;10.0;0.0;0.0;0.0
0.0;0.08270676691729323;19.0;19.0;True;10.0;19.0;0.0;0.0;1.0;9.0;0.0;0.0;0.0
0.0;0.0784313725490196;17.0;17.0;True;11.0;17.0;0.0;0.0;2.0;9.0;0.0;0.0;0.0
0.0;0.05172413793103448;28.0;29.0;False;22.0;29.0;0.0;0.0;7.0;15.0;0.0;0.0;0.0
0.0;0.04201680672268908;65.0;68.0;True;37.0;68.0;0.0;0.0;6.0;31.0;0.0;0.0;0.0
0.0;0.16666666666666666;8.0;8.0;True;5.0;8.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
0.0;0.16666666666666666;6.0;6.0;True;4.0;6.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0
0.0;0.16666666666666666;8.0;8.0;True;5.0;8.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0
0.0;0.05533596837944664;20.0;23.0;True;14.0;23.0;0.0;0.0;3.0;11.0;0.0;0.0;0.0
0.0;0.08333333333333333;12.0;12.0;True;7.0;12.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0
