;NumberOfModifiers;CBO;NumberOfLoops;NumberOfLogStatements;MaxNumberOfNestedBlocks;IsConstructor;NumberOfParameters_CK;NumberOfLambdas;NumberOfAnonymousClasses;NumberOfParenthesizedExps;NumberOfAssignments;NumberOfInnerClasses;NumberOfComparisons;NumberOfNumbers;BuggedMethods;WMC_CK;LOCMethod_CK;Returns;NumberOfStringLiterals;NumberOfMathOperations;NumberOfVariables;NumberOfUniqueWords;NumberOfTryCatch;RFC
count;5607.0;5607.0;5607.0;5607.0;5607.0;5607;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0
unique;;;;;;2;;;;;;;;;2;;;;;;;;;
top;;;;;;False;;;;;;;;;False;;;;;;;;;
freq;;;;;;5452;;;;;;;;;4995;;;;;;;;;
mean;1.680577849117175;0.7845550205100766;0.02514713750668807;0.034777956126270736;0.1100410201533797;;0.31496343855894415;0.004993757802746567;0.004815409309791332;0.016051364365971106;0.46370608168360977;0.0;0.0996968075619761;0.15516318887105404;;0.8261102193686464;3.0287141073657926;0.33957553058676654;0.4665596575708935;0.04155519885856965;0.23773854110932763;4.487961476725522;0.0032102728731942215;1.2792937399678972
std;19.50990177779466;1.6712369385827284;0.18480170047945813;0.25698181586352087;0.4379240853850786;;0.54934439690586;0.15681690047624766;0.10071983511340825;0.19287864623625905;1.570121270498271;0.0;0.5192116276981233;2.8530112533705703;;1.2640545916542543;6.262972652110458;0.5499405133988086;2.678167165765338;0.426410826699188;1.0734773604340608;7.758150138934647;0.06535150857675491;3.519342252463783
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;3.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0
75%;1.0;1.0;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;3.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0
max;1028.0;19.0;3.0;7.0;6.0;;8.0;11.0;4.0;6.0;62.0;0.0;14.0;206.0;;22.0;284.0;8.0;104.0;16.0;36.0;269.0;2.0;92.0
