;MCLC;Di;Fin;NVAR;NBD;Si;IOVars;Fout;VG;BuggedMethods;Ci;NOP;NCOMP
count;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607.0;5607;5607.0;5607.0;5607.0
unique;;;;;;;;;;2;;;
top;;;;;;;;;;False;;;
freq;;;;;;;;;;4995;;;
mean;0.33957553058676654;0.5763031600103441;0.0686641697877653;0.12181202068842518;0.5824861779917959;0.2438023898698056;0.5924736935972891;0.04868913857677903;0.6921705011592652;;0.8201055498801497;0.2784019975031211;0.21776350989834137
std;1.6865212540548267;0.7605726612097805;0.621094906098643;0.6553659504832134;0.7186918963381146;9.91589427903622;0.7706952523114383;0.49140087945125;1.2244306914623426;;9.933310268323426;0.5396207891924886;1.286549891506219
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
75%;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;;1.0;1.0;0.0
max;48.0;9.0;27.0;16.0;7.0;729.0;9.0;27.0;23.0;;729.0;8.0;48.0
