;VG;NCSSForThisFile;NumberOfAssignments;Fout;WMC_CK;NumberOfParenthesizedExps;NumberOfMathOperations;ClassDataAbstractionCoupling;NumberOfProtectedMethod;NumberOfStringLiterals;ClassFanOutComplexity;BuggedMethods;MethodLength;NumberOfPublicMethods_Checkstyle;ExecutableStatementCount;NCOMP;NumberOfTryCatch;LOCMethod_CK;IsConstructor;NumberOfMethods_Checkstyle;Di;IOVars;Ci;NestedIfElseDepth;NumberOfVariables;MCLC;NBD;NumberOfNumbers;Fin;Maximum Depth;NumberOfLambdas;NumberOfAnonymousClasses;NumberOfPackageMethod;MaxNumberOfNestedBlocks;NestedForDepth;RFC;Returns;CyclomaticComplexity;NestedTryDepth;Si;NVAR;NumberOfLoops;FileLength;NumberOfModifiers;ThrowsCount;CBO;NumberOfParameters_CK;NumberOfUniqueWords;NumberOfLogStatements;NOP;NumberOfPrivateMethod;BooleanExpressionComplexity;AnonymousInnerClassLength;NCSSForThisClass;NCSSForThisMethod;NPathComplexity;NumberOfComparisons;NumberOfInnerClasses
count;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0;4225.0
unique;;;;;;;;;;;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;False;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;4108;;;;;;;4074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.2142011834319526;7.419644970414201;1.2892307692307692;0.19076923076923077;1.4257988165680473;0.11692307692307692;0.29680473372781063;0.2752662721893491;0.036686390532544376;0.882130177514793;0.6416568047337278;;8.12923076923077;0.3744378698224852;3.464852071005917;0.6840236686390533;0.006863905325443787;6.028639053254438;;0.5176331360946745;0.3826131235583432;0.42650887573964497;2.3949208158660356;0.03857988165680473;0.7623668639053255;1.017041420118343;0.6575147928994083;1.002603550295858;0.20023668639053255;1.029112426035503;0.00047337278106508875;0.002366863905325444;0.009940828402366864;0.298698224852071;0.011597633136094675;1.4397633136094674;0.4577514792899408;1.4610650887573964;0.001893491124260355;2.0123076923076924;0.3330177514792899;0.24710059171597634;16.779171597633137;1.1488757396449705;0.1375147928994083;1.1024852071005917;0.17420118343195265;7.190769230769231;0.002366863905325444;0.1455621301775148;0.10153846153846154;0.05254437869822485;0.07242603550295858;6.426508875739645;4.9110059171597635;78.68828402366864;0.1510059171597633;0.0
std;4.3831943803137605;46.027754744141085;4.1764627268887375;1.4058387445783302;4.352349045979466;0.7974628327997297;2.1669110546852126;1.3315149762472045;0.496033893452322;3.690606063072114;2.413830709420641;;25.343359135535437;1.688421415806319;10.807227766688174;3.103378672518989;0.09076816897170442;18.58766554175838;;2.3565338895052172;0.6755214507512292;0.7070115239240792;46.84826010545777;0.24362685277387822;2.0436417663955404;3.997062516858127;1.2765572695476695;4.749974365983133;1.165170824397391;1.5531477058883543;0.021754556158316105;0.048598568615096635;0.1372608847238202;0.9020498069523103;0.11761490591281988;2.7026274289520313;1.0939213760817512;4.389797626592664;0.043478192654560543;46.856004636060746;1.2185867240735144;1.7079656142200512;93.39694248377391;2.5922998026828266;0.35658839102923573;2.025793890472924;0.4835817500148892;10.788846302800616;0.07212995190865822;0.4217902664459759;1.1295614595537027;0.29609802549643394;1.2819623512279648;44.6288339511623;15.137270709803284;831.0985890341868;0.6188443501779555;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;3.0;0.0;1.0;0.0;0.0;3.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
75%;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;6.0;0.0;3.0;0.0;0.0;5.0;;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;11.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0
