;ThrowsCount_std;AnonymousInnerClassLength_std;MethodLength_std;NestedTryDepth_count;NestedForDepth_25%;NCSSForThisFile_min;MethodLength_50%;NumberOfMethods_Checkstyle_min;ThrowsCount_50%;FileLength_min;BooleanExpressionComplexity_mean;MethodLength_75%;ClassDataAbstractionCoupling_25%;NestedForDepth_min;ThrowsCount_min;AnonymousInnerClassLength_count;FileLength_count;NumberOfPackageMethod_25%;NCSSForThisClass_max;ClassFanOutComplexity_max;NumberOfPrivateMethod_max;ExecutableStatementCount_std;NCSSForThisClass_min;NumberOfProtectedMethod_min;NCSSForThisMethod_max;NPathComplexity_count;BooleanExpressionComplexity_min;NCSSForThisFile_std;NestedForDepth_max;NumberOfPublicMethods_Checkstyle_50%;NestedForDepth_std;NCSSForThisClass_count;NCSSForThisMethod_25%;NumberOfMethods_Checkstyle_mean;NestedTryDepth_75%;NumberOfMethods_Checkstyle_75%;ClassFanOutComplexity_min;NestedIfElseDepth_count;ExecutableStatementCount_min;NumberOfMethods_Checkstyle_25%;NumberOfPublicMethods_Checkstyle_count;NumberOfPublicMethods_Checkstyle_std;NCSSForThisMethod_count;NumberOfProtectedMethod_50%;NCSSForThisFile_count;FileLength_std;ThrowsCount_75%;NCSSForThisClass_std;BooleanExpressionComplexity_75%;FileLength_mean;NPathComplexity_75%;NestedIfElseDepth_max;AnonymousInnerClassLength_mean;ClassDataAbstractionCoupling_count;NCSSForThisMethod_min;CyclomaticComplexity_mean;ClassFanOutComplexity_50%;NumberOfProtectedMethod_max;NumberOfPackageMethod_count;ClassFanOutComplexity_25%;CyclomaticComplexity_std;NestedTryDepth_mean;NCSSForThisFile_50%;BooleanExpressionComplexity_max;NCSSForThisMethod_50%;ClassDataAbstractionCoupling_min;NumberOfProtectedMethod_75%;FileLength_50%;NumberOfPrivateMethod_min;NumberOfPackageMethod_50%;Bugged;NumberOfProtectedMethod_std;ExecutableStatementCount_50%;NestedForDepth_mean;NumberOfMethods_Checkstyle_std;CyclomaticComplexity_75%;NumberOfMethods_Checkstyle_50%;NumberOfPublicMethods_Checkstyle_mean;NumberOfPackageMethod_75%;ClassDataAbstractionCoupling_mean;ClassFanOutComplexity_std;NestedTryDepth_std;AnonymousInnerClassLength_25%;NumberOfProtectedMethod_count;NumberOfProtectedMethod_25%;ClassDataAbstractionCoupling_75%;BooleanExpressionComplexity_std;NCSSForThisClass_25%;NCSSForThisFile_max;CyclomaticComplexity_count;BooleanExpressionComplexity_50%;MethodLength_mean;CyclomaticComplexity_25%;BooleanExpressionComplexity_25%;BooleanExpressionComplexity_count;NumberOfMethods_Checkstyle_count;ThrowsCount_count;FileLength_75%;NumberOfPrivateMethod_25%;AnonymousInnerClassLength_max;NumberOfPublicMethods_Checkstyle_max;NumberOfPackageMethod_std;NCSSForThisFile_25%;ThrowsCount_25%;NumberOfPublicMethods_Checkstyle_75%;NestedIfElseDepth_min;ClassFanOutComplexity_mean;FileLength_25%;CyclomaticComplexity_max;NCSSForThisFile_75%;NestedIfElseDepth_25%;NestedForDepth_count;NestedIfElseDepth_std;ThrowsCount_max;FileLength_max;CyclomaticComplexity_50%;NestedTryDepth_min;ClassDataAbstractionCoupling_50%;AnonymousInnerClassLength_min;NCSSForThisFile_mean;NPathComplexity_min;ExecutableStatementCount_mean;NumberOfPackageMethod_max;ClassFanOutComplexity_75%;NumberOfPublicMethods_Checkstyle_min;NPathComplexity_50%;NCSSForThisClass_mean;NestedForDepth_50%;NumberOfPackageMethod_min;NestedIfElseDepth_75%;MethodLength_25%;ExecutableStatementCount_max;MethodLength_min;NestedIfElseDepth_50%;NumberOfPackageMethod_mean;MethodLength_max;NPathComplexity_std;ClassFanOutComplexity_count;NestedTryDepth_50%;NumberOfPrivateMethod_std;NumberOfPrivateMethod_mean;NPathComplexity_max;CyclomaticComplexity_min;NumberOfPrivateMethod_count;NestedIfElseDepth_mean;NumberOfMethods_Checkstyle_max;NumberOfPublicMethods_Checkstyle_25%;NestedTryDepth_25%;AnonymousInnerClassLength_50%;NumberOfPrivateMethod_75%;NestedTryDepth_max;NCSSForThisMethod_mean;NCSSForThisMethod_std;NCSSForThisClass_50%;NPathComplexity_mean;NPathComplexity_25%;AnonymousInnerClassLength_75%;ClassDataAbstractionCoupling_max;NumberOfProtectedMethod_mean;MethodLength_count;NumberOfPrivateMethod_50%;ThrowsCount_mean;NCSSForThisMethod_75%;ExecutableStatementCount_25%;ExecutableStatementCount_75%;ClassDataAbstractionCoupling_std;NestedForDepth_75%;ExecutableStatementCount_count;NCSSForThisClass_75%
count;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0;906.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.12355662908842603;0.13208920533817456;7.946999769902301;3.8642384105960264;0.012969094922737307;3.534216335540839;9.580022075055188;0.22075055187637968;0.2141280353200883;10.929359823399558;0.08560231856823398;13.77869757174393;0.28394039735099336;0.011037527593818985;0.13134657836644592;3.8642384105960264;3.8642384105960264;0.006070640176600441;38.61258278145695;4.56401766004415;0.5562913907284768;3.7406838552208486;2.6390728476821192;0.02869757174392936;14.539735099337749;3.8642384105960264;0.03090507726269316;16.50102306764646;0.09713024282560706;0.34492273730684325;0.03834806687495021;3.8642384105960264;4.402041942604857;0.843538042711069;0.020143487858719646;0.772075055187638;0.7814569536423841;3.8642384105960264;2.485651214128035;0.31043046357615894;3.8642384105960264;1.0637141304646125;3.8642384105960264;0.039183222958057394;3.8642384105960264;39.40541300723916;0.27124724061810157;13.229638542501323;0.09961368653421633;29.04077502843292;47.63824503311258;0.2571743929359823;0.06091345914455012;3.8642384105960264;3.6037527593818983;2.1177646803809282;1.1600441501103753;0.2571743929359823;3.8642384105960264;0.9688189845474614;1.2731304175881737;0.01547093451066961;5.574503311258278;0.2306843267108168;5.73841059602649;0.206401766004415;0.05932671081677704;16.428256070640177;0.0011037527593818985;0.008830022075055188;;0.08551623858009434;4.207505518763797;0.03305942071482319;1.3351426214908202;2.4003863134657837;0.40286975717439294;0.6996405717794641;0.02041942604856512;0.6123234509040809;1.8249766719933531;0.02133679359374782;0.002207505518763797;3.8642384105960264;0.03394039735099338;0.6465231788079471;0.08961754520814648;3.3962472406181017;46.81015452538632;3.8642384105960264;0.054635761589403975;11.636254390418918;1.424944812362031;0.04028697571743929;3.8642384105960264;3.8642384105960264;3.8642384105960264;26.889348785871963;0.004966887417218543;0.3620309050772627;2.747240618101545;0.029171466150877186;4.554359823399558;0.17135761589403972;0.6614238410596026;0.04966887417218543;1.7636058420574041;13.678807947019868;4.347682119205298;9.724889624724062;0.0640176600441501;3.8642384105960264;0.09209834274055856;0.37527593818984545;111.17770419426049;1.7262693156732891;0.002207505518763797;0.36147902869757176;0.002207505518763797;10.917015456245847;1.9304635761589404;5.193992189796366;0.0640176600441501;1.8609271523178808;0.18763796909492272;12.240618101545254;8.469366089891754;0.02041942604856512;0.0033112582781456954;0.12527593818984548;7.26462472406181;11.207505518763798;5.838852097130243;0.08388520971302428;0.01883436651648572;24.647902869757175;137.3116818495446;3.8642384105960264;0.009933774834437087;0.17169917654738984;0.0626665289546914;365.6423841059603;1.2527593818984548;3.8642384105960264;0.10804973010939167;3.5827814569536423;0.26490066225165565;0.006070640176600441;0.012141280353200883;0.03090507726269316;0.037527593818984545;6.947640399911508;4.603553966729272;4.164459161147903;64.15685243031936;6.936258278145695;0.02924944812362031;1.7924944812362031;0.06639027307995307;3.8642384105960264;0.008830022075055188;0.22976815881163573;8.169701986754967;3.161699779249448;6.198123620309051;0.7629843651475319;0.03890728476821192;3.8642384105960264;7.423565121412803
std;0.23600063860902962;1.1058322138803727;15.176545017755672;5.006989735851351;0.11885788503030023;10.608525670374917;13.418773375183731;0.44080525212792376;0.3974492721346143;25.269847055284206;0.2508340264363059;17.797460209367408;0.9892481841905306;0.11461983631735112;0.3412193882400756;5.006989735851351;5.006989735851351;0.06408395287044429;93.356957776352;4.899068236555611;2.3187034715613746;7.329044176890443;9.0845614179229;0.1670473619763818;26.74948379811584;5.006989735851351;0.1794240565941205;24.29179517993834;0.34776720897296665;0.4884993873920863;0.15563664762583274;5.006989735851351;6.725435656977132;0.42210083531103504;0.12742620590765583;0.6891491261819899;2.044458478821624;5.006989735851351;5.782839298210891;0.44021457866572317;5.006989735851351;1.0711467563795456;5.006989735851351;0.1801135172590756;5.006989735851351;49.554066670303186;0.4340844058489284;22.716119534979082;0.31591726448599966;24.74921712811382;413.8653104124251;0.6011759805653808;0.5605572140220288;5.006989735851351;6.446271545665912;2.463529310321002;2.1859151333993516;1.187912587909912;5.006989735851351;2.0463366098441282;2.9564585896038227;0.0996099462341163;11.81223829381772;0.6621469981821185;8.018866104606081;0.9682260761507688;0.21702073453807488;26.945347524172774;0.033222774709254776;0.08094305906244371;;0.3239077270457548;6.961098611654987;0.15443394904510166;1.2748899518841754;3.0955452513383146;0.5202555031356462;0.44289160119936644;0.12547034435602458;1.1676176635320397;2.39969639579161;0.11644299530582536;0.06644554941850955;5.006989735851351;0.16996532887087434;1.350153070107911;0.2863682985956241;9.242945480194843;95.61671498260381;5.006989735851351;0.23041046678891008;14.443381868448936;1.6814789751621293;0.19355506700362382;5.006989735851351;5.006989735851351;5.006989735851351;30.693899005340416;0.04524517625303859;3.038837714554269;3.7035324486755274;0.1503803944499832;10.755392340419336;0.3614110317187501;0.6531515296719007;0.2874250335357735;2.137235127591677;25.106849742486695;8.246444412607252;14.359761584031775;0.29900752169522365;5.006989735851351;0.24342332950099033;0.5301997757704349;190.548578193381;2.127851298725635;0.06644554941850954;1.0798841855754029;0.06644554941850955;12.105483581512807;19.765549000689862;7.366751290850463;0.31933455623186213;2.5363330691731467;0.41264748945892654;193.10912251671473;10.89475116528173;0.1536741210796892;0.057479914581473064;0.3889441451974473;11.299433747236346;20.136028811861692;10.832041297967018;0.33592409702688214;0.10125616702525578;45.18542131555917;697.3040032369544;5.006989735851351;0.09049035250607718;0.5390389616563012;0.16497303481423783;1765.5815613757725;1.548165230787063;5.006989735851351;0.32910763264081705;4.84503406880455;0.41591122227855365;0.07314264787491123;0.3062271679004784;0.1360843816737207;0.20144248266782053;8.70526139226051;9.196519507792111;10.098820870123335;351.9124021441705;98.042714681493;0.6258473942674021;2.887387119598366;0.20573506425849214;5.006989735851351;0.06995941857141424;0.3732193084412801;10.764453001401291;6.02603109925724;9.0018068665157;1.375611582786219;0.2080985163314715;5.006989735851351;12.26992772561791
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;1.0;0.0;0.0;2.625;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;14.333333333333336;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;0.0;1.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;5.25;1.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;1.0;0.0;0.0;1.0;0.0;0.0;37.0;1.0;0.0;0.0;0.0;3.75;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.625;1.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.25;1.0;0.0;0.0;1.0;0.0
50%;0.0;0.0;1.79184550355699;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;2.0;2.0;0.0;17.0;3.0;0.0;1.0163977794943224;0.0;0.0;8.0;2.0;0.0;10.5;0.0;0.0;0.0;2.0;2.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;2.0;1.0;2.0;0.0;2.0;35.10918321028359;0.0;7.071067811865476;0.0;24.5;1.0;0.0;0.0;2.0;2.0;1.25;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;;0.0;2.0;0.0;1.4142135623730951;1.0;0.0;1.0;0.0;0.2;0.7071067811865476;0.0;0.0;2.0;0.0;0.0;0.0;0.0;23.0;2.0;0.0;7.75;1.0;0.0;2.0;2.0;2.0;22.25;0.0;0.0;2.0;0.0;0.0;0.0;0.75;0.0;1.0;0.0;2.0;4.5;0.0;2.0;0.0;0.0;67.0;1.0;0.0;0.0;0.0;8.0;0.0;3.0;0.0;0.75;0.0;1.0;6.0;0.0;0.0;0.0;3.0;6.0;3.0;0.0;0.0;14.0;0.447213595499958;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;4.571428571428571;1.1928077240862895;0.0;1.0;0.5;0.0;1.0;0.0;2.0;0.0;0.0;5.0;1.0;3.875;0.0;0.0;2.0;3.0
75%;0.0;0.0;9.442165700448955;5.0;0.0;0.0;12.375;0.0;0.0;0.0;0.0;18.5;0.0;0.0;0.0;5.0;5.0;0.0;37.75;7.0;0.0;4.242640687119285;0.0;0.0;16.0;5.0;0.0;23.07050807568877;0.0;1.0;0.0;5.0;4.75;1.0;0.0;1.5;0.0;5.0;1.0;0.5;5.0;1.7320508075688772;5.0;0.0;5.0;57.067289144453376;0.75;17.320508075688775;0.0;39.66666666666666;3.5;0.0;0.0;5.0;2.0;2.5;1.5;0.0;5.0;1.0;1.3733962012556378;0.0;6.875;0.0;7.0;0.0;0.0;32.0;0.0;0.0;;0.0;5.0;0.0;2.0;3.0;1.0;1.0;0.0;1.0;3.0631736587283775;0.0;0.0;5.0;0.0;0.75;0.0;3.0;52.0;5.0;0.0;15.5;1.25;0.0;5.0;5.0;5.0;47.0;0.0;0.0;3.0;0.0;5.0;0.0;1.0;0.0;2.5;18.4375;5.0;15.5;0.0;5.0;0.0;1.0;119.75;2.0;0.0;0.0;0.0;14.624999999999998;1.0;7.0;0.0;3.0;0.0;2.0;10.98076923076923;0.0;0.0;0.0;8.0;13.0;4.0;0.0;0.0;28.0;2.1213203435596424;5.0;0.0;0.0;0.0;7.75;1.0;5.0;0.0;4.0;0.5;0.0;0.0;0.0;0.0;9.0;4.987436867076458;5.0;3.383333333333333;1.0;0.0;3.0;0.0;5.0;0.0;0.4;10.4375;3.4375;8.0;1.1547005383792517;0.0;5.0;11.25
